# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  9.91 | 11.07 | 10.74 |  9.72 |  8.89 | 10.22 | 12.20 | 10.26 |  8.22 |  9.83 | 11.04 | 11.78 |  9.98 | 11.42 |  8.69 | 10.21 | 10.99 | 11.60 | 10.81 | 11.31 |  7.62 | 10.97 |  8.38 |  9.61 |  9.29 | 11.51 | 11.21 |  8.96 |  8.47 | 11.16 |  9.31 | 10.38 | 10.74 |  8.81 |  9.90 | 10.21 |  9.05 |  8.88 |  8.92 | 10.27 |
|         1 |  9.63 | 10.96 | 10.61 |  9.41 |  9.23 | 10.03 | 11.95 |  9.98 |  8.07 |  9.57 | 11.07 | 11.77 |  9.63 | 11.15 |  8.42 | 10.08 | 10.70 | 11.28 | 10.68 | 11.55 |  7.32 | 10.70 |  8.17 |  9.49 |  9.16 | 11.65 | 10.82 |  8.47 |  8.29 | 10.84 |  9.03 | 10.13 | 10.36 |  8.91 |  9.74 |  9.99 |  8.84 |  8.50 |  8.86 | 10.05 |
|         2 |  9.44 | 11.23 | 10.54 |  9.07 |  9.54 |  9.95 | 11.81 |  9.79 |  8.00 |  9.69 | 10.96 | 11.72 |  9.41 | 10.75 |  8.11 | 10.08 | 10.44 | 11.11 | 10.55 | 11.61 |  7.26 | 10.48 |  8.05 |  9.21 |  8.93 | 11.82 | 10.60 |  8.03 |  8.32 | 10.68 |  8.97 |  9.75 | 10.14 |  9.35 |  9.92 |  9.83 |  9.03 |  8.12 |  8.67 |  9.99 |
|         3 |  9.29 | 11.45 | 10.39 |  8.63 |  9.63 |  9.89 | 11.83 |  9.56 |  7.88 | 10.04 | 10.76 | 11.48 |  9.42 | 10.12 |  7.78 | 10.28 | 10.15 | 11.32 | 10.40 | 11.57 |  7.38 | 10.48 |  7.99 |  8.85 |  8.65 | 12.12 | 10.56 |  7.66 |  8.40 | 10.54 |  8.95 |  9.41 |  9.96 | 10.05 | 10.36 |  9.86 |  9.30 |  7.85 |  8.46 |  9.99 |
|         4 |  9.17 | 11.23 | 10.20 |  8.38 | 10.03 |  9.90 | 11.84 |  9.58 |  8.02 | 10.23 | 10.56 | 11.28 |  9.52 |  9.83 |  7.77 | 10.26 |  9.98 | 11.43 | 10.40 | 11.41 |  7.48 | 10.88 |  7.97 |  8.58 |  8.40 | 12.18 | 10.87 |  7.65 |  8.57 | 10.26 |  9.20 |  9.12 |  9.88 | 10.57 | 10.18 | 10.13 |  9.20 |  7.60 |  8.27 |  9.85 |
|         5 |  9.05 | 10.74 | 10.11 |  8.24 | 10.33 |  9.90 | 11.54 |  9.64 |  7.91 | 10.14 | 10.58 | 11.23 |  9.43 |  9.66 |  7.93 | 10.24 |  9.99 | 11.23 | 10.26 | 11.19 |  7.77 | 11.06 |  7.92 |  8.50 |  8.27 | 11.91 | 10.96 |  7.51 |  8.50 |  9.93 |  9.22 |  8.93 |  9.92 | 11.35 |  9.82 | 10.43 |  8.93 |  7.72 |  8.20 |  9.74 |
|         6 |  8.84 | 10.54 | 10.04 |  8.57 | 10.73 |  9.97 | 11.02 |  9.83 |  7.75 | 10.10 | 10.66 | 11.20 |  9.57 |  9.59 |  8.00 | 10.30 |  9.89 | 10.76 | 10.16 | 11.09 |  7.95 | 11.30 |  7.78 |  8.49 |  8.28 | 11.83 | 11.08 |  7.38 |  8.33 |  9.66 |  8.93 |  8.79 | 10.08 | 11.64 |  9.67 | 10.51 |  9.00 |  8.14 |  8.11 |  9.65 |
|         7 |  9.81 | 11.36 | 11.44 |  9.67 | 11.93 | 10.88 | 11.88 | 11.11 |  8.92 | 10.63 | 12.02 | 12.21 | 10.96 | 10.74 |  9.15 | 11.19 | 11.09 | 11.46 | 11.06 | 11.90 |  9.24 | 12.57 |  8.85 |  9.54 |  9.55 | 12.72 | 12.27 |  8.35 |  9.36 | 10.72 |  9.75 |  9.91 | 11.17 | 11.64 | 10.99 | 11.45 | 10.44 |  9.65 |  9.19 | 10.53 |
|         8 | 12.33 | 13.60 | 14.34 | 12.62 | 14.40 | 13.17 | 14.30 | 14.07 | 12.41 | 12.98 | 14.10 | 14.53 | 13.35 | 13.78 | 12.16 | 13.53 | 13.87 | 14.04 | 13.60 | 13.97 | 12.75 | 14.43 | 11.80 | 12.73 | 12.78 | 14.25 | 14.35 | 11.73 | 12.04 | 13.64 | 12.84 | 13.26 | 13.96 | 13.85 | 13.44 | 14.07 | 14.16 | 13.28 | 12.20 | 13.09 |
|         9 | 14.95 | 15.92 | 16.49 | 15.33 | 16.76 | 15.13 | 17.05 | 16.21 | 15.13 | 15.40 | 16.41 | 16.69 | 15.50 | 16.50 | 15.49 | 15.46 | 16.26 | 15.71 | 15.60 | 16.17 | 15.61 | 16.76 | 15.32 | 15.63 | 15.73 | 16.41 | 16.40 | 15.24 | 15.08 | 15.95 | 15.96 | 15.41 | 16.12 | 16.16 | 16.15 | 15.94 | 16.95 | 15.73 | 15.25 | 15.57 |
|        10 | 16.76 | 17.48 | 18.20 | 17.62 | 17.92 | 16.46 | 18.55 | 17.65 | 16.86 | 17.05 | 17.86 | 18.04 | 17.37 | 17.74 | 17.54 | 17.09 | 17.95 | 16.61 | 16.79 | 17.90 | 17.52 | 18.53 | 16.89 | 17.34 | 17.51 | 17.95 | 18.38 | 17.55 | 16.59 | 17.57 | 17.00 | 17.34 | 17.68 | 17.48 | 17.49 | 17.26 | 18.13 | 16.96 | 16.97 | 16.97 |
|        11 | 18.30 | 18.61 | 20.18 | 18.87 | 18.95 | 18.32 | 20.10 | 18.73 | 18.62 | 18.02 | 19.15 | 19.24 | 19.22 | 18.79 | 18.76 | 18.35 | 19.53 | 18.94 | 18.87 | 19.39 | 19.69 | 19.57 | 18.28 | 18.45 | 19.42 | 19.11 | 19.91 | 19.26 | 18.06 | 19.34 | 18.17 | 19.06 | 18.89 | 18.43 | 18.83 | 18.57 | 19.30 | 18.87 | 18.60 | 18.36 |
|        12 | 18.65 | 18.87 | 20.90 | 20.34 | 19.76 | 19.70 | 21.33 | 19.09 | 19.77 | 19.29 | 20.38 | 20.19 | 20.31 | 20.44 | 19.81 | 18.71 | 19.84 | 19.32 | 19.49 | 20.51 | 20.73 | 20.88 | 19.21 | 19.69 | 20.31 | 19.59 | 20.28 | 19.92 | 18.78 | 19.63 | 19.70 | 18.99 | 20.13 | 18.92 | 20.44 | 19.69 | 19.79 | 18.93 | 19.73 | 19.00 |
|        13 | 18.77 | 19.66 | 21.47 | 20.78 | 20.79 | 20.21 | 22.42 | 20.23 | 20.52 | 20.05 | 21.51 | 21.22 | 21.13 | 21.51 | 20.29 | 19.34 | 19.60 | 19.50 | 19.27 | 21.62 | 21.71 | 21.69 | 19.94 | 20.73 | 20.95 | 20.05 | 21.19 | 20.03 | 19.61 | 19.94 | 20.49 | 19.55 | 20.75 | 19.30 | 21.53 | 20.36 | 20.12 | 19.56 | 19.58 | 19.57 |
|        14 | 18.68 | 19.76 | 20.86 | 20.94 | 21.27 | 19.65 | 22.23 | 20.62 | 20.56 | 19.85 | 20.44 | 21.48 | 21.33 | 21.21 | 20.37 | 19.65 | 19.07 | 19.47 | 19.30 | 21.90 | 21.01 | 21.74 | 19.68 | 21.05 | 20.74 | 20.10 | 21.24 | 20.10 | 19.95 | 20.55 | 20.41 | 19.76 | 20.71 | 19.32 | 21.67 | 19.86 | 19.88 | 19.97 | 18.90 | 20.04 |
|        15 | 18.71 | 19.62 | 19.89 | 20.25 | 20.83 | 19.23 | 21.31 | 20.43 | 19.44 | 19.62 | 18.53 | 20.75 | 20.39 | 20.32 | 20.03 | 19.11 | 18.88 | 18.89 | 19.16 | 21.24 | 20.16 | 21.04 | 19.11 | 20.40 | 20.25 | 19.52 | 20.58 | 19.64 | 19.51 | 20.52 | 19.60 | 19.31 | 20.01 | 18.95 | 20.69 | 19.41 | 19.27 | 19.31 | 18.94 | 19.77 |
|        16 | 18.15 | 19.00 | 18.46 | 19.11 | 19.82 | 18.58 | 20.28 | 19.68 | 18.30 | 18.68 | 16.52 | 19.88 | 18.90 | 17.33 | 19.08 | 18.34 | 18.18 | 18.13 | 18.42 | 20.15 | 19.22 | 19.21 | 18.22 | 19.02 | 17.85 | 17.29 | 19.86 | 17.99 | 18.67 | 19.96 | 18.59 | 18.46 | 18.98 | 18.19 | 19.18 | 18.84 | 17.51 | 18.47 | 18.30 | 18.97 |
|        17 | 17.59 | 17.12 | 16.98 | 17.84 | 18.78 | 17.80 | 19.20 | 17.28 | 17.32 | 17.27 | 15.79 | 18.63 | 17.75 | 16.39 | 17.32 | 17.36 | 17.25 | 17.12 | 16.94 | 18.19 | 17.40 | 17.42 | 17.46 | 16.48 | 16.86 | 16.54 | 18.95 | 16.32 | 17.41 | 17.45 | 17.19 | 16.98 | 17.93 | 16.84 | 17.68 | 17.56 | 16.44 | 17.47 | 17.40 | 17.25 |
|        18 | 17.38 | 16.29 | 16.27 | 16.40 | 17.55 | 15.88 | 17.24 | 16.29 | 16.30 | 15.85 | 15.70 | 16.92 | 16.62 | 16.04 | 15.92 | 16.05 | 15.98 | 15.79 | 16.02 | 16.84 | 16.29 | 16.05 | 16.19 | 16.02 | 16.40 | 16.22 | 17.83 | 15.69 | 15.96 | 16.59 | 16.49 | 15.92 | 17.30 | 15.92 | 16.43 | 16.35 | 16.33 | 15.75 | 16.33 | 15.90 |
|        19 | 16.01 | 16.04 | 16.06 | 15.34 | 16.39 | 15.59 | 16.14 | 16.41 | 15.55 | 15.21 | 15.80 | 16.02 | 15.86 | 16.05 | 15.38 | 15.61 | 15.36 | 15.22 | 15.56 | 16.43 | 16.10 | 15.97 | 15.33 | 16.10 | 16.38 | 16.28 | 16.70 | 15.72 | 15.37 | 16.83 | 16.12 | 15.62 | 16.32 | 15.54 | 15.87 | 16.07 | 16.22 | 15.06 | 15.35 | 15.47 |
|        20 | 15.15 | 16.31 | 15.96 | 14.96 | 15.95 | 15.52 | 15.96 | 16.60 | 15.28 | 15.19 | 15.89 | 15.68 | 15.71 | 16.20 | 15.36 | 15.78 | 15.46 | 15.32 | 15.56 | 16.53 | 16.33 | 16.11 | 15.21 | 16.36 | 16.53 | 16.28 | 16.19 | 16.07 | 15.08 | 17.07 | 15.64 | 15.68 | 15.90 | 15.35 | 15.77 | 16.13 | 16.13 | 15.00 | 15.37 | 15.54 |
|        21 | 15.47 | 16.40 | 15.65 | 14.90 | 16.28 | 15.47 | 15.85 | 16.41 | 15.14 | 15.26 | 15.93 | 15.50 | 15.83 | 16.22 | 15.37 | 15.99 | 15.42 | 15.08 | 15.73 | 16.60 | 16.41 | 15.85 | 15.21 | 16.35 | 16.55 | 16.36 | 16.10 | 16.30 | 15.01 | 16.95 | 15.27 | 15.92 | 15.85 | 15.27 | 15.73 | 16.12 | 16.18 | 15.40 | 15.79 | 15.64 |
|        22 | 15.69 | 16.43 | 15.24 | 14.91 | 15.74 | 15.28 | 15.71 | 16.50 | 15.04 | 15.39 | 16.01 | 15.51 | 15.74 | 16.23 | 15.37 | 15.92 | 15.34 | 14.84 | 15.70 | 16.54 | 16.34 | 15.78 | 15.07 | 16.44 | 16.61 | 16.09 | 16.29 | 16.22 | 14.92 | 16.86 | 15.05 | 15.86 | 15.63 | 15.13 | 15.46 | 16.07 | 16.22 | 15.61 | 15.86 | 15.47 |
|        23 | 15.95 | 16.36 | 15.18 | 15.13 | 15.48 | 15.26 | 15.66 | 16.58 | 15.16 | 15.31 | 16.42 | 15.54 | 16.31 | 16.38 | 15.48 | 15.83 | 15.63 | 14.76 | 15.64 | 16.27 | 16.21 | 16.03 | 15.08 | 16.54 | 16.53 | 16.20 | 16.24 | 16.20 | 15.10 | 16.67 | 15.03 | 15.75 | 15.52 | 15.23 | 15.35 | 16.15 | 16.49 | 15.79 | 15.74 | 15.45 |
|        24 | 16.29 | 16.59 | 15.37 | 15.21 | 16.23 | 15.40 | 15.85 | 16.54 | 15.26 | 14.79 | 16.52 | 16.16 | 16.51 | 16.39 | 15.37 | 16.12 | 15.85 | 15.09 | 15.73 | 16.63 | 16.05 | 16.11 | 15.16 | 16.74 | 16.31 | 16.27 | 15.86 | 16.47 | 15.38 | 16.53 | 15.35 | 15.78 | 15.75 | 15.46 | 15.49 | 16.43 | 16.61 | 16.00 | 15.70 | 15.73 |
|        25 | 16.39 | 16.38 | 15.21 | 15.51 | 16.71 | 15.41 | 15.88 | 16.62 | 15.62 | 14.53 | 15.94 | 16.61 | 16.84 | 16.31 | 15.24 | 16.66 | 16.14 | 14.93 | 15.87 | 17.01 | 16.19 | 15.78 | 15.12 | 16.97 | 15.83 | 16.25 | 15.94 | 16.50 | 15.36 | 16.62 | 15.78 | 15.96 | 16.08 | 15.40 | 15.50 | 16.05 | 15.61 | 16.06 | 15.84 | 15.92 |
|        26 | 15.52 | 15.73 | 15.02 | 15.90 | 16.66 | 15.02 | 15.62 | 16.95 | 15.77 | 14.42 | 15.15 | 16.69 | 16.96 | 16.34 | 15.07 | 16.77 | 16.04 | 14.69 | 15.78 | 16.97 | 15.68 | 15.43 | 14.82 | 17.13 | 15.65 | 15.77 | 15.72 | 16.33 | 15.35 | 16.84 | 15.30 | 16.34 | 16.32 | 15.25 | 15.34 | 15.28 | 15.41 | 16.17 | 15.41 | 15.71 |
|        27 | 15.62 | 15.49 | 15.16 | 15.78 | 16.21 | 14.45 | 15.57 | 16.49 | 15.65 | 14.67 | 14.86 | 16.41 | 15.96 | 16.02 | 15.20 | 16.55 | 15.61 | 14.96 | 15.51 | 16.78 | 15.06 | 15.03 | 14.18 | 17.19 | 15.88 | 15.24 | 15.41 | 15.44 | 15.45 | 16.20 | 15.04 | 15.83 | 16.28 | 14.91 | 15.33 | 15.10 | 15.53 | 15.98 | 14.56 | 15.34 |
|        28 | 15.61 | 15.76 | 15.51 | 15.56 | 16.49 | 14.17 | 15.52 | 15.91 | 15.42 | 14.93 | 15.48 | 15.22 | 16.07 | 15.56 | 14.79 | 16.08 | 14.32 | 15.34 | 15.24 | 15.81 | 15.25 | 15.14 | 13.85 | 17.00 | 15.82 | 15.22 | 15.15 | 14.83 | 14.97 | 15.52 | 15.36 | 15.35 | 16.20 | 15.29 | 15.48 | 15.13 | 15.68 | 15.73 | 14.50 | 15.49 |
|        29 | 15.35 | 15.59 | 15.93 | 15.42 | 15.86 | 14.82 | 14.93 | 15.02 | 15.16 | 14.94 | 15.38 | 14.16 | 15.42 | 14.67 | 14.59 | 16.11 | 13.48 | 14.92 | 13.94 | 14.90 | 14.79 | 15.11 | 13.80 | 16.39 | 14.68 | 15.05 | 14.80 | 13.82 | 14.17 | 15.82 | 14.79 | 15.12 | 15.95 | 15.60 | 14.25 | 14.84 | 15.42 | 15.26 | 14.85 | 15.67 |
|        30 | 14.68 | 14.83 | 15.73 | 15.80 | 15.18 | 14.99 | 13.45 | 13.55 | 14.27 | 13.93 | 14.58 | 13.59 | 14.67 | 13.94 | 14.20 | 14.97 | 12.93 | 13.98 | 12.84 | 14.09 | 14.14 | 14.07 | 13.49 | 15.77 | 13.83 | 14.34 | 14.57 | 13.26 | 13.31 | 15.53 | 14.21 | 14.29 | 15.25 | 15.07 | 13.34 | 14.44 | 14.09 | 14.79 | 15.16 | 15.08 |
|        31 | 14.44 | 14.12 | 15.18 | 15.19 | 14.62 | 15.17 | 12.80 | 13.22 | 13.73 | 12.94 | 13.50 | 13.21 | 14.18 | 13.55 | 14.06 | 14.14 | 12.74 | 13.29 | 12.43 | 13.61 | 13.96 | 13.69 | 13.52 | 14.90 | 12.61 | 13.74 | 14.66 | 12.65 | 12.76 | 15.01 | 13.44 | 13.42 | 14.69 | 14.34 | 12.85 | 14.14 | 13.15 | 14.08 | 15.28 | 14.40 |
|        32 | 13.81 | 13.71 | 14.81 | 14.39 | 14.12 | 15.25 | 12.85 | 13.17 | 13.42 | 12.56 | 12.93 | 13.12 | 13.87 | 12.81 | 14.02 | 13.89 | 12.77 | 12.79 | 12.42 | 13.37 | 13.91 | 13.28 | 13.37 | 14.24 | 11.98 | 13.30 | 14.53 | 12.47 | 12.51 | 14.41 | 13.04 | 12.96 | 14.22 | 13.98 | 12.52 | 13.66 | 13.03 | 13.98 | 15.45 | 14.13 |
|        33 | 13.57 | 13.66 | 14.53 | 14.15 | 14.06 | 15.11 | 13.24 | 13.63 | 13.28 | 12.54 | 13.38 | 13.53 | 13.97 | 13.28 | 13.97 | 13.30 | 12.93 | 12.51 | 12.62 | 13.62 | 14.06 | 13.04 | 13.03 | 14.13 | 12.12 | 13.23 | 14.20 | 13.07 | 12.62 | 14.08 | 13.20 | 12.64 | 13.83 | 13.75 | 12.14 | 13.79 | 13.36 | 13.88 | 15.58 | 13.87 |
|        34 | 13.96 | 13.90 | 14.66 | 14.10 | 14.45 | 14.62 | 13.85 | 13.99 | 13.30 | 12.19 | 14.05 | 14.25 | 14.40 | 13.70 | 13.86 | 13.05 | 13.05 | 12.77 | 12.98 | 14.14 | 14.46 | 13.34 | 13.28 | 14.43 | 12.77 | 13.66 | 13.93 | 13.53 | 12.79 | 14.17 | 13.46 | 13.10 | 14.08 | 13.95 | 12.68 | 14.07 | 13.80 | 13.80 | 15.24 | 14.05 |
|        35 | 14.68 | 14.18 | 14.75 | 13.30 | 14.85 | 13.91 | 14.39 | 14.30 | 14.33 | 11.98 | 14.55 | 15.07 | 15.17 | 14.36 | 14.50 | 13.23 | 12.97 | 13.56 | 12.99 | 14.50 | 15.10 | 13.78 | 13.34 | 14.80 | 13.49 | 14.22 | 14.22 | 14.07 | 13.19 | 14.63 | 13.92 | 13.71 | 14.36 | 14.23 | 13.01 | 14.32 | 14.51 | 13.84 | 15.11 | 14.42 |
|        36 | 14.91 | 14.35 | 14.25 | 13.91 | 15.10 | 14.41 | 14.55 | 14.45 | 14.40 | 11.72 | 15.24 | 15.80 | 15.60 | 14.99 | 14.66 | 13.56 | 13.74 | 14.12 | 13.15 | 14.87 | 15.59 | 14.10 | 13.61 | 15.21 | 14.21 | 14.86 | 14.42 | 14.60 | 13.74 | 14.91 | 14.35 | 14.06 | 14.90 | 13.91 | 13.80 | 14.55 | 15.17 | 13.54 | 13.79 | 14.45 |
|        37 | 14.94 | 14.79 | 14.04 | 14.05 | 15.18 | 14.49 | 14.90 | 14.54 | 14.39 | 12.02 | 15.28 | 16.03 | 16.00 | 15.03 | 14.81 | 13.56 | 14.20 | 14.42 | 13.22 | 15.14 | 15.53 | 14.05 | 13.63 | 15.42 | 13.85 | 15.06 | 14.54 | 14.99 | 13.76 | 15.06 | 14.50 | 14.13 | 15.22 | 13.90 | 14.26 | 13.90 | 15.29 | 13.66 | 13.09 | 14.64 |
|        38 | 14.97 | 14.61 | 13.57 | 13.96 | 15.10 | 14.68 | 14.98 | 14.36 | 14.54 | 12.27 | 14.61 | 15.62 | 15.93 | 15.12 | 14.77 | 12.84 | 14.15 | 14.09 | 12.88 | 15.14 | 15.10 | 14.23 | 13.70 | 15.30 | 13.83 | 15.17 | 14.33 | 14.51 | 13.84 | 15.03 | 14.45 | 14.06 | 15.10 | 13.89 | 14.20 | 14.01 | 15.15 | 13.63 | 12.49 | 14.55 |
