# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  6.06 |  7.89 |  6.11 |  5.37 |  5.92 |  6.46 |  7.83 |  5.83 |  5.46 |  5.93 |  6.55 |  6.02 |  5.53 |  4.59 |  4.61 |  6.08 |  5.84 |  7.85 |  6.00 |  6.73 |  4.80 |  5.61 |  5.09 |  4.62 |  5.23 |  7.62 |  5.65 |  4.90 |  4.67 |  5.41 |  5.29 |  4.22 |  6.37 |  5.13 |  5.33 |  5.85 |  5.43 |  5.29 |  5.42 |  5.78 |
|         1 |  5.64 |  7.69 |  5.80 |  4.81 |  5.90 |  5.91 |  7.79 |  5.78 |  5.01 |  5.90 |  6.21 |  5.84 |  5.63 |  4.06 |  4.16 |  6.04 |  5.53 |  7.19 |  5.45 |  6.61 |  4.89 |  5.63 |  5.12 |  4.39 |  4.78 |  7.37 |  5.51 |  4.41 |  4.53 |  5.17 |  5.07 |  4.33 |  6.09 |  5.21 |  5.51 |  5.76 |  5.36 |  4.84 |  5.05 |  5.47 |
|         2 |  5.88 |  8.25 |  6.04 |  4.84 |  6.58 |  6.07 |  8.20 |  6.23 |  5.05 |  6.40 |  6.25 |  6.07 |  6.27 |  4.51 |  4.33 |  6.40 |  5.90 |  7.35 |  5.87 |  7.16 |  5.21 |  6.19 |  5.28 |  4.84 |  4.99 |  7.52 |  6.32 |  4.40 |  4.85 |  5.30 |  5.32 |  4.77 |  6.32 |  6.02 |  5.96 |  6.15 |  5.67 |  4.93 |  5.19 |  5.88 |
|         3 |  5.60 |  8.38 |  6.18 |  4.94 |  7.49 |  5.89 |  7.91 |  6.37 |  5.27 |  6.32 |  6.26 |  6.02 |  6.68 |  5.02 |  4.60 |  6.53 |  6.16 |  7.40 |  6.10 |  7.37 |  5.49 |  6.48 |  5.35 |  5.02 |  5.21 |  7.70 |  7.00 |  4.36 |  4.97 |  5.22 |  5.39 |  5.06 |  6.30 |  6.62 |  6.16 |  6.54 |  5.75 |  5.18 |  5.25 |  6.45 |
|         4 |  5.44 |  8.54 |  6.30 |  5.03 |  8.03 |  5.62 |  7.15 |  6.53 |  5.38 |  5.97 |  6.78 |  6.03 |  6.98 |  5.05 |  4.78 |  6.68 |  6.17 |  7.28 |  6.18 |  7.48 |  5.85 |  6.55 |  5.31 |  5.10 |  4.97 |  8.23 |  7.43 |  4.54 |  5.24 |  5.14 |  5.36 |  4.84 |  6.33 |  7.70 |  6.38 |  6.90 |  5.93 |  5.60 |  5.33 |  6.35 |
|         5 |  5.56 |  8.69 |  6.92 |  5.10 |  8.73 |  6.42 |  7.55 |  7.27 |  5.71 |  6.23 |  7.72 |  6.75 |  7.82 |  5.66 |  5.22 |  7.46 |  6.65 |  7.74 |  6.64 |  7.99 |  6.36 |  7.40 |  5.81 |  5.27 |  5.73 |  9.43 |  8.23 |  4.93 |  5.65 |  5.89 |  5.51 |  5.06 |  7.14 |  8.93 |  6.98 |  7.70 |  6.77 |  6.27 |  5.68 |  6.39 |
|         6 |  6.20 |  8.60 |  7.73 |  5.72 |  9.43 |  7.54 |  8.44 |  8.09 |  6.43 |  6.69 |  9.30 |  7.76 |  8.97 |  6.40 |  5.95 |  8.08 |  7.66 |  8.40 |  7.39 |  8.88 |  6.98 |  8.77 |  6.29 |  5.79 |  6.65 | 11.06 |  9.31 |  5.33 |  6.25 |  7.08 |  5.86 |  5.76 |  8.41 | 10.42 |  7.86 |  8.34 |  7.83 |  7.44 |  6.39 |  6.75 |
|         7 |  7.25 |  8.98 |  9.10 |  7.12 | 10.07 |  8.91 |  9.40 |  9.24 |  7.19 |  7.46 | 11.54 |  9.20 |  9.84 |  7.19 |  6.28 |  8.61 |  9.27 |  9.38 |  8.28 |  9.84 |  8.53 | 10.26 |  6.62 |  6.76 |  7.28 | 13.18 | 11.42 |  6.51 |  6.83 |  7.96 |  6.35 |  6.97 | 10.07 | 10.81 |  8.84 |  9.37 |  8.73 |  8.26 |  6.91 |  7.38 |
|         8 |  8.53 |  9.94 | 10.67 |  8.82 | 13.95 | 10.69 | 10.27 | 10.62 |  8.55 |  8.68 | 16.19 | 11.20 | 10.56 |  9.93 |  7.53 | 10.27 | 11.47 | 11.82 |  9.68 | 11.21 | 10.40 | 11.85 |  7.24 |  9.03 |  8.76 | 15.72 | 13.87 |  7.73 |  8.02 | 10.03 |  7.79 |  9.50 | 11.21 | 13.13 |  9.82 | 11.21 | 13.66 | 10.35 |  7.34 |  8.86 |
|         9 | 10.85 | 11.59 | 14.00 | 15.42 | 19.41 | 13.27 | 12.16 | 13.03 | 12.47 | 10.63 | 21.14 | 14.71 | 11.95 | 13.06 | 13.20 | 13.19 | 14.90 | 15.34 | 12.81 | 14.44 | 15.92 | 14.74 | 12.14 | 14.19 | 13.38 | 20.41 | 17.03 | 11.31 | 11.39 | 14.43 | 10.45 | 14.27 | 13.53 | 17.66 | 13.95 | 14.50 | 19.41 | 14.86 | 11.01 | 12.81 |
|        10 | 15.78 | 17.10 | 19.16 | 22.48 | 21.42 | 16.84 | 18.15 | 16.94 | 16.98 | 14.27 | 23.19 | 18.88 | 16.43 | 19.18 | 18.98 | 19.59 | 19.09 | 18.65 | 15.73 | 19.59 | 20.27 | 17.91 | 15.98 | 19.12 | 18.30 | 23.06 | 21.43 | 19.11 | 16.93 | 20.87 | 14.10 | 19.19 | 18.82 | 20.76 | 17.56 | 17.11 | 21.40 | 18.21 | 15.34 | 17.93 |
|        11 | 20.23 | 19.58 | 23.87 | 24.39 | 22.75 | 21.20 | 22.20 | 18.71 | 19.23 | 17.40 | 24.84 | 21.52 | 21.28 | 21.79 | 20.83 | 21.45 | 22.45 | 22.55 | 21.31 | 21.99 | 24.62 | 18.86 | 19.39 | 20.64 | 22.17 | 23.95 | 23.60 | 23.68 | 19.15 | 22.72 | 17.35 | 21.71 | 21.83 | 20.96 | 17.95 | 19.06 | 22.06 | 20.83 | 20.09 | 20.16 |
|        12 | 20.71 | 19.03 | 23.48 | 22.78 | 22.45 | 22.76 | 22.61 | 17.45 | 20.06 | 19.25 | 25.06 | 21.26 | 21.72 | 22.84 | 20.04 | 19.43 | 20.55 | 23.95 | 20.59 | 21.89 | 23.50 | 20.85 | 20.32 | 20.47 | 21.91 | 22.25 | 21.47 | 23.89 | 18.13 | 21.12 | 19.37 | 18.75 | 21.60 | 19.04 | 20.01 | 20.51 | 21.78 | 20.73 | 20.24 | 20.28 |
|        13 | 19.43 | 21.70 | 24.05 | 20.57 | 22.94 | 23.42 | 23.16 | 19.16 | 17.82 | 19.26 | 25.00 | 20.98 | 21.03 | 23.31 | 18.53 | 18.64 | 17.82 | 21.50 | 16.21 | 21.72 | 22.09 | 20.89 | 19.36 | 21.08 | 20.99 | 21.06 | 20.83 | 21.86 | 17.27 | 19.96 | 18.37 | 17.68 | 20.70 | 18.50 | 19.88 | 20.58 | 20.56 | 20.36 | 17.79 | 18.51 |
|        14 | 18.61 | 19.40 | 21.39 | 21.56 | 21.94 | 22.28 | 23.37 | 20.07 | 17.48 | 16.93 | 23.98 | 19.56 | 18.83 | 19.84 | 18.33 | 18.84 | 16.63 | 21.14 | 15.70 | 19.98 | 20.79 | 19.58 | 18.37 | 21.32 | 20.89 | 20.98 | 22.12 | 20.61 | 17.37 | 20.43 | 17.81 | 19.07 | 21.11 | 19.17 | 18.56 | 20.27 | 19.82 | 21.25 | 15.45 | 18.91 |
|        15 | 18.01 | 18.39 | 18.74 | 21.11 | 19.35 | 21.33 | 17.91 | 17.99 | 15.41 | 15.47 | 20.71 | 18.16 | 18.92 | 21.15 | 16.48 | 19.06 | 16.83 | 18.42 | 16.89 | 18.60 | 17.65 | 19.83 | 18.39 | 21.59 | 21.65 | 21.38 | 19.34 | 19.13 | 16.11 | 19.42 | 17.62 | 17.76 | 19.46 | 17.86 | 17.35 | 19.60 | 20.52 | 18.97 | 16.21 | 18.80 |
|        16 | 18.12 | 17.70 | 14.64 | 19.19 | 18.87 | 18.69 | 15.59 | 18.77 | 13.98 | 14.05 | 16.34 | 16.77 | 16.62 | 18.97 | 15.00 | 19.38 | 15.23 | 15.62 | 15.57 | 18.05 | 17.78 | 16.70 | 16.93 | 22.88 | 21.55 | 19.09 | 18.22 | 19.90 | 16.46 | 21.44 | 16.19 | 16.02 | 17.29 | 15.87 | 16.29 | 17.53 | 21.63 | 17.29 | 14.31 | 17.49 |
|        17 | 18.46 | 17.97 | 12.62 | 16.24 | 18.59 | 16.71 | 13.34 | 15.21 | 14.38 | 12.60 | 17.83 | 16.65 | 16.54 | 15.82 | 12.24 | 19.49 | 13.22 | 14.78 | 14.25 | 18.46 | 17.29 | 16.58 | 13.61 | 19.44 | 17.71 | 18.13 | 19.19 | 15.69 | 18.90 | 17.56 | 13.68 | 14.14 | 16.44 | 14.45 | 15.12 | 16.12 | 19.24 | 15.81 | 13.39 | 17.27 |
|        18 | 18.05 | 17.67 | 14.49 | 13.90 | 16.37 | 15.90 | 12.10 | 16.53 | 13.49 | 10.74 | 19.67 | 11.88 | 13.78 | 17.34 | 10.75 | 18.96 | 12.62 | 15.26 | 13.03 | 17.80 | 17.85 | 15.05 | 14.38 | 19.71 | 19.84 | 20.25 | 18.05 | 17.25 | 15.49 | 18.37 | 11.63 | 14.79 | 15.63 | 14.19 | 13.41 | 17.24 | 19.62 | 13.31 | 13.94 | 17.56 |
|        19 | 19.81 | 20.65 | 15.05 | 14.90 | 18.68 | 16.16 | 11.97 | 19.83 | 15.67 | 14.39 | 20.59 | 11.10 | 14.25 | 18.30 | 12.23 | 20.63 | 15.62 | 19.06 | 15.07 | 19.49 | 21.19 | 18.14 | 16.76 | 20.03 | 20.73 | 20.29 | 18.56 | 21.68 | 15.69 | 20.63 | 10.92 | 18.32 | 15.56 | 14.13 | 15.21 | 19.69 | 20.59 | 14.40 | 14.74 | 17.04 |
|        20 | 20.27 | 21.74 | 16.84 | 17.55 | 20.55 | 18.18 | 14.56 | 20.42 | 17.96 | 18.15 | 20.49 | 14.97 | 15.60 | 18.96 | 14.18 | 20.66 | 19.48 | 21.61 | 20.35 | 21.18 | 21.37 | 22.24 | 19.07 | 20.39 | 23.31 | 21.13 | 19.99 | 21.65 | 17.86 | 21.65 | 12.10 | 19.90 | 16.65 | 16.08 | 16.67 | 21.15 | 21.03 | 17.70 | 16.53 | 18.24 |
|        21 | 23.38 | 23.15 | 17.91 | 22.83 | 21.85 | 18.90 | 16.44 | 21.29 | 18.81 | 21.88 | 20.24 | 17.97 | 20.06 | 22.27 | 16.75 | 21.37 | 21.77 | 23.71 | 23.63 | 22.34 | 22.11 | 24.18 | 20.73 | 20.12 | 25.86 | 21.62 | 20.65 | 22.93 | 20.25 | 21.67 | 15.88 | 20.98 | 18.81 | 17.48 | 18.53 | 20.84 | 21.05 | 19.94 | 18.24 | 19.69 |
|        22 | 24.01 | 25.11 | 16.08 | 24.65 | 23.53 | 18.18 | 19.59 | 23.66 | 22.28 | 22.13 | 21.58 | 21.94 | 23.79 | 24.68 | 18.75 | 21.51 | 24.58 | 23.90 | 24.55 | 23.16 | 21.96 | 26.76 | 21.07 | 20.90 | 26.41 | 22.60 | 19.75 | 26.19 | 22.32 | 21.91 | 20.31 | 20.86 | 21.40 | 18.69 | 18.46 | 20.60 | 21.55 | 21.07 | 19.69 | 21.51 |
|        23 | 25.48 | 24.88 | 15.95 | 24.29 | 24.31 | 19.31 | 22.56 | 25.20 | 22.09 | 24.37 | 23.57 | 25.82 | 26.91 | 26.63 | 22.64 | 21.31 | 27.32 | 22.85 | 27.47 | 22.56 | 23.17 | 28.44 | 22.65 | 22.13 | 27.23 | 23.70 | 19.81 | 27.82 | 23.10 | 22.38 | 22.21 | 20.81 | 24.64 | 20.20 | 19.35 | 21.33 | 24.42 | 22.23 | 19.68 | 22.15 |
|        24 | 29.92 | 26.42 | 21.14 | 23.98 | 25.95 | 22.68 | 25.75 | 26.11 | 22.63 | 26.46 | 24.51 | 28.80 | 27.17 | 27.76 | 26.26 | 22.82 | 30.22 | 23.73 | 28.01 | 26.88 | 24.32 | 29.88 | 22.71 | 24.97 | 28.06 | 24.62 | 19.86 | 30.11 | 25.50 | 23.76 | 23.41 | 22.29 | 26.23 | 19.84 | 23.37 | 24.61 | 26.70 | 25.38 | 20.68 | 22.28 |
|        25 | 32.74 | 26.19 | 23.84 | 26.54 | 29.15 | 24.62 | 26.95 | 28.14 | 24.49 | 26.57 | 22.02 | 31.55 | 30.95 | 28.34 | 26.08 | 27.09 | 31.86 | 22.85 | 30.22 | 30.35 | 27.22 | 32.17 | 24.43 | 27.99 | 27.10 | 24.42 | 21.80 | 31.80 | 24.62 | 27.51 | 24.41 | 23.69 | 28.73 | 20.47 | 25.64 | 26.71 | 25.20 | 29.02 | 21.47 | 24.54 |
