# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |     39 |     40 |
|         1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         5 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         6 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         7 |   0.20 |      0 |      0 |   0.20 |   0.10 |      0 |   0.20 |   0.50 |   0.50 |   0.40 |      0 |   0.10 |   0.40 |      0 |   0.50 |   1.50 |   0.40 |      0 |   0.70 |   0.40 |   0.20 |   0.30 |   0.30 |   0.10 |   0.20 |   2.50 |      0 |   0.30 |   2.00 |   0.10 |   0.10 |   0.40 |   0.60 |   0.70 |      0 |   0.40 |      0 |      0 |   0.20 |      0 |
|         8 |   0.80 |      0 |   2.20 |   4.50 |   2.90 |   1.50 |   3.20 |   6.60 |   8.10 |   5.30 |   1.70 |   0.30 |   3.20 |   3.30 |   9.20 |  25.90 |   3.30 |   0.40 |  10.50 |   7.10 |   4.80 |   2.90 |   0.50 |   2.00 |   0.50 |  32.00 |   3.00 |   2.40 |  29.60 |   1.90 |   8.10 |   4.00 |  12.70 |  11.70 |   0.20 |   6.20 |  12.60 |   0.30 |      0 |   0.80 |
|         9 |   1.10 |      0 |  10.50 |  16.30 |  15.60 |  10.70 |  43.40 |  14.00 |  34.10 |  14.90 |  39.60 |  18.70 |  32.80 |  15.30 |  31.50 | 102.90 |  17.10 |  35.10 |  25.70 |  47.60 |  15.60 |  18.80 |  14.20 |   1.60 |   4.40 |  66.20 |  58.20 |  27.10 |  79.90 |   5.60 |  53.20 |  10.10 |  49.20 |  50.90 |   9.40 |  23.90 | 100.20 |  18.70 |   9.10 |   6.00 |
|        10 |  38.20 |  24.70 |  55.70 |  72.60 |  38.20 |  76.90 | 137.20 |  18.00 |  79.30 |  52.90 | 136.90 |  26.40 | 105.30 |  80.40 |  79.00 | 185.60 |  48.10 | 147.50 |  60.70 | 106.80 |  40.00 |  98.80 |  30.50 |  38.40 |  31.10 |  54.70 | 166.50 | 120.70 | 128.60 |  24.40 |  88.60 |  37.80 | 105.60 | 136.20 |  56.00 |  60.50 | 198.40 |  37.50 |  34.00 |   6.90 |
