# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |   23 |   24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  5.25 |  2.03 |  5.52 |  3.44 |  2.53 |  0.63 |  2.76 |  3.73 |  5.04 |  4.64 |  4.80 |  2.34 |  5.59 |  3.20 |  3.83 |  4.60 |  2.61 |  3.28 |  4.80 |  3.00 |  2.65 |  2.82 | 1.25 | 4.50 |  1.72 |  3.46 |  3.47 |  3.35 |  5.86 |  2.45 |  6.39 |  3.70 |  5.07 |  3.16 |  3.03 |  2.95 |  1.88 |  2.42 |  4.34 |  2.35 |
|         1 |  5.26 |  1.42 |  4.43 |  2.93 |  2.55 |  0.67 |  2.32 |  2.90 |  3.79 |  4.89 |  3.74 |  1.94 |  4.60 |  2.65 |  3.14 |  4.67 |  1.97 |  2.79 |  4.03 |  3.06 |  2.49 |  2.11 | 1.54 | 3.35 |  0.68 |  4.00 |  2.94 |  2.73 |  5.82 |  1.65 |  6.62 |  3.15 |  5.09 |  1.86 |  2.85 |  2.63 |  1.59 |  1.46 |  3.82 |  2.32 |
|         2 |  5.11 |  1.08 |  3.57 |  2.51 |  2.32 |  1.60 |  1.57 |  1.65 |  2.99 |  4.64 |  3.50 |  1.87 |  3.48 |  1.62 |  2.81 |  4.74 |  2.25 |  2.39 |  3.85 |  2.63 |  2.35 |  1.92 | 1.56 | 2.51 |  1.96 |  4.69 |  2.34 |  1.66 |  5.16 |  1.20 |  6.74 |  2.87 |  4.61 |  0.81 |  2.06 |  2.03 |  1.67 |  0.60 |  2.88 |  1.18 |
|         3 |  5.41 |  2.26 |  3.87 |  3.28 |  1.94 |  1.65 |  1.03 |  0.89 |  4.15 |  4.71 |  4.22 |  1.93 |  3.12 |  1.68 |  3.00 |  4.84 |  3.20 |  2.84 |  3.75 |  3.26 |  2.57 |  2.39 | 1.81 | 1.58 |  2.06 |  5.54 |  2.75 |  0.60 |  5.54 |  2.22 |  6.67 |  3.32 |  5.24 |  1.74 |  1.85 |  2.17 |  2.42 |  1.80 |  2.45 |  1.24 |
|         4 |  5.92 |  2.47 |  4.64 |  3.43 |  2.54 |  2.34 |  2.80 |  2.55 |  5.72 |  5.20 |  5.10 |  2.26 |  3.15 |  2.61 |  3.71 |  5.16 |  4.24 |  3.45 |  4.14 |  4.59 |  3.13 |  2.73 | 2.08 | 1.88 |  2.54 |  5.42 |  3.84 |  2.50 |  5.91 |  2.85 |  7.07 |  4.02 |  5.89 |  3.82 |  2.08 |  3.18 |  3.37 |  2.60 |  3.65 |  1.96 |
|         5 |  6.55 |  2.63 |  4.66 |  3.71 |  2.72 |  3.16 |  3.86 |  3.53 |  6.60 |  6.34 |  5.35 |  2.71 |  3.64 |  2.89 |  4.48 |  6.08 |  4.67 |  4.34 |  5.32 |  5.47 |  3.33 |  3.25 | 2.45 | 2.57 |  2.67 |  5.96 |  4.51 |  3.41 |  6.28 |  3.01 |  7.78 |  5.05 |  6.55 |  4.45 |  2.59 |  4.42 |  4.37 |  3.56 |  4.84 |  2.64 |
|         6 |  7.10 |  2.37 |  5.09 |  4.24 |  2.72 |  3.50 |  5.00 |  3.80 |  6.97 |  6.79 |  6.07 |  3.33 |  5.44 |  3.88 |  4.93 |  5.57 |  4.77 |  4.96 |  6.03 |  6.82 |  3.67 |  3.91 | 2.58 | 2.56 |  2.94 |  6.30 |  5.50 |  3.65 |  6.54 |  3.22 |  7.67 |  5.67 |  6.23 |  5.27 |  2.69 |  6.45 |  5.10 |  5.42 |  5.49 |  3.37 |
|         7 |  7.81 |  3.13 |  5.63 |  4.35 |  2.96 |  4.23 |  6.81 |  4.36 |  7.33 |  6.73 |  7.03 |  4.76 |  6.10 |  5.45 |  5.45 |  5.42 |  5.56 |  5.46 |  6.78 |  7.24 |  4.77 |  4.34 | 4.07 | 3.36 |  3.54 |  6.27 |  5.97 |  3.72 |  6.55 |  3.76 |  7.54 |  6.44 |  5.94 |  6.53 |  2.83 |  6.92 |  7.10 |  6.15 |  5.35 |  3.53 |
|         8 |  8.77 |  4.32 |  6.82 |  4.84 |  4.06 |  7.03 |  8.45 |  5.84 |  8.73 |  7.21 |  7.27 |  6.59 |  6.54 |  7.48 |  6.65 |  5.47 |  6.67 |  5.89 |  8.02 |  8.34 |  6.00 |  6.42 | 6.21 | 6.59 |  4.34 |  7.19 |  6.63 |  4.59 |  6.48 |  6.06 |  7.90 |  8.73 |  5.79 |  7.30 |  3.59 |  7.76 |  6.95 |  6.62 |  7.28 |  4.19 |
|         9 |  7.69 |  5.76 |  7.69 |  7.29 |  5.62 |  7.80 |  8.13 |  6.98 |  8.36 |  8.60 |  7.05 |  8.22 |  6.52 |  7.22 |  7.33 |  5.55 |  7.82 |  6.89 |  8.16 |  6.86 |  8.08 |  7.04 | 8.91 | 7.37 |  8.86 | 10.04 |  6.68 |  6.32 |  7.10 |  7.06 |  8.52 |  9.37 |  5.92 |  6.95 |  4.98 |  7.11 |  6.74 |  6.62 |  8.35 |  6.80 |
