# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |     2 |     3 |    4 |     5 |     6 |     7 |     8 |    9 |    10 |   11 |    12 |    13 |    14 |   15 |    16 |    17 |   18 |    19 |    20 |   21 |   22 |   23 |    24 |    25 |    26 |    27 |    28 |   29 |    30 |    31 |    32 |   33 |   34 |   35 |   36 |    37 |   38 |   39 |    40 |
|         0 | 4.45 |  3.46 |  4.03 | 5.84 |  5.53 |  3.77 |  5.21 |  5.21 | 4.08 |  4.94 | 5.34 |  4.69 |  3.29 |  5.43 | 5.23 |  5.34 |  3.52 | 5.11 |  5.30 |  4.78 | 4.85 | 4.57 | 4.97 |  5.76 |  3.62 |  5.20 |  5.55 |  5.70 | 5.15 |  4.01 |  4.93 |  4.87 | 5.60 | 5.77 | 4.96 | 4.07 |  4.63 | 4.39 | 5.44 |  5.45 |
|         1 | 3.95 |  2.98 |  3.50 | 5.38 |  4.82 |  3.23 |  4.90 |  4.78 | 3.63 |  4.56 | 4.97 |  4.33 |  2.83 |  5.01 | 4.78 |  4.82 |  3.16 | 4.77 |  4.96 |  4.27 | 4.45 | 4.30 | 4.58 |  5.40 |  3.17 |  4.89 |  5.13 |  5.42 | 4.81 |  3.55 |  4.60 |  4.44 | 5.17 | 5.34 | 4.49 | 3.64 |  4.02 | 3.92 | 5.03 |  5.10 |
|         2 | 3.61 |  2.63 |  3.19 | 5.03 |  3.82 |  2.92 |  4.63 |  4.37 | 3.29 |  4.20 | 4.58 |  3.99 |  2.47 |  4.59 | 4.34 |  4.42 |  2.88 | 4.41 |  4.64 |  3.83 | 4.10 | 4.03 | 4.21 |  5.02 |  2.85 |  4.62 |  4.71 |  5.10 | 4.42 |  3.20 |  4.25 |  4.11 | 4.74 | 4.95 | 4.10 | 3.29 |  3.57 | 3.42 | 4.65 |  4.80 |
|         3 | 3.22 |  2.33 |  2.87 | 4.57 |  3.22 |  2.59 |  4.35 |  4.02 | 2.90 |  3.75 | 4.13 |  3.64 |  2.10 |  4.20 | 3.92 |  3.93 |  2.56 | 3.99 |  4.32 |  3.46 | 3.76 | 3.75 | 3.85 |  4.62 |  2.53 |  4.31 |  4.31 |  4.67 | 3.97 |  2.85 |  3.94 |  3.76 | 4.39 | 4.50 | 3.72 | 2.96 |  3.00 | 2.83 | 4.21 |  4.50 |
|         4 | 2.95 |  2.22 |  2.64 | 4.26 |  2.77 |  2.31 |  4.06 |  3.80 | 2.64 |  3.42 | 3.70 |  3.41 |  1.82 |  4.01 | 3.67 |  3.57 |  2.28 | 3.61 |  4.06 |  3.14 | 3.53 | 3.50 | 3.57 |  4.29 |  2.25 |  4.04 |  4.03 |  4.24 | 3.57 |  2.60 |  3.70 |  3.40 | 4.10 | 4.12 | 3.43 | 2.69 |  2.78 | 2.51 | 3.83 |  4.15 |
|         5 | 2.66 |  2.10 |  2.45 | 4.10 |  2.42 |  2.17 |  3.74 |  3.67 | 2.38 |  3.25 | 3.32 |  3.26 |  1.54 |  3.90 | 3.37 |  3.27 |  2.02 | 3.33 |  3.82 |  2.87 | 3.34 | 3.24 | 3.38 |  4.06 |  2.04 |  3.83 |  3.72 |  3.84 | 3.30 |  2.36 |  3.54 |  3.16 | 3.79 | 3.86 | 3.23 | 2.44 |  2.49 | 2.28 | 3.46 |  3.77 |
|         6 | 2.36 |  1.97 |  2.16 | 3.95 |  2.11 |  2.02 |  3.45 |  3.52 | 2.17 |  3.10 | 3.02 |  3.18 |  1.29 |  3.85 | 3.09 |  3.00 |  1.80 | 3.12 |  3.62 |  2.66 | 3.15 | 2.96 | 3.34 |  3.80 |  1.90 |  3.61 |  3.37 |  3.57 | 3.03 |  2.23 |  3.35 |  2.97 | 3.49 | 3.69 | 3.11 | 2.19 |  2.27 | 2.00 | 3.12 |  3.49 |
|         7 | 2.23 |  1.73 |  1.94 | 3.77 |  1.93 |  2.04 |  3.34 |  3.42 | 2.10 |  3.00 | 2.76 |  3.12 |  1.23 |  3.84 | 2.91 |  2.74 |  1.73 | 3.00 |  3.49 |  2.55 | 3.00 | 2.75 | 3.49 |  3.60 |  1.61 |  3.48 |  3.04 |  3.40 | 2.80 |  2.13 |  3.18 |  2.80 | 3.28 | 3.59 | 3.04 | 2.07 |  2.09 | 1.79 | 2.88 |  3.36 |
|         8 | 2.98 |  2.51 |  2.83 | 4.21 |  2.58 |  3.11 |  4.01 |  3.99 | 2.98 |  3.62 | 3.13 |  3.68 |  2.21 |  4.33 | 3.39 |  3.13 |  2.77 | 3.61 |  3.99 |  3.08 | 3.61 | 3.28 | 4.13 |  3.99 |  2.44 |  4.03 |  3.38 |  3.96 | 3.30 |  2.94 |  3.73 |  3.31 | 3.67 | 4.07 | 3.71 | 2.96 |  2.65 | 2.81 | 3.59 |  3.91 |
|         9 | 4.44 |  3.96 |  4.72 | 5.19 |  4.15 |  4.61 |  5.30 |  5.01 | 4.55 |  4.99 | 4.41 |  5.00 |  4.01 |  5.33 | 4.60 |  4.37 |  4.68 | 4.93 |  5.16 |  4.41 | 4.88 | 4.44 | 5.42 |  5.03 |  4.04 |  5.09 |  4.47 |  5.18 | 4.52 |  4.70 |  4.91 |  4.47 | 4.72 | 4.93 | 5.01 | 4.65 |  3.99 | 4.41 | 4.90 |  5.04 |
