# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |    5 |     6 |    7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  7.94 |  6.43 |  5.61 |  8.56 | 8.22 |  6.34 | 7.20 |  8.67 |  6.62 |  9.26 |  8.76 |  7.21 |  5.39 |  8.16 |  6.76 |  7.98 |  6.13 |  8.68 |  8.25 |  6.95 |  7.45 |  8.32 |  7.90 |  8.85 |  4.80 |  9.34 |  8.83 |  8.31 |  8.66 |  6.04 |  7.76 |  7.76 |  7.78 |  8.58 |  8.20 |  6.21 |  6.78 |  7.18 |  8.87 |  9.34 |
|         1 |  7.40 |  5.79 |  4.87 |  7.74 | 6.07 |  5.43 | 7.04 |  7.17 |  6.03 |  8.21 |  8.05 |  6.63 |  4.95 |  6.99 |  6.19 |  7.26 |  5.64 |  7.84 |  7.50 |  6.30 |  6.78 |  7.68 |  7.30 |  8.16 |  4.38 |  8.70 |  8.13 |  7.44 |  7.76 |  5.60 |  6.53 |  7.34 |  7.18 |  7.99 |  6.86 |  5.31 |  6.12 |  6.58 |  7.74 |  8.29 |
|         2 |  6.98 |  5.77 |  4.45 |  7.45 | 4.99 |  4.79 | 6.90 |  6.62 |  5.88 |  7.24 |  7.35 |  6.01 |  4.65 |  6.25 |  5.66 |  6.75 |  5.06 |  6.92 |  7.36 |  6.01 |  6.49 |  7.48 |  7.23 |  7.69 |  4.36 |  8.32 |  7.77 |  6.67 |  7.10 |  5.51 |  6.44 |  6.84 |  7.11 |  7.70 |  6.26 |  5.00 |  5.61 |  4.86 |  6.74 |  7.17 |
|         3 |  7.00 |  6.10 |  4.61 |  8.08 | 5.37 |  4.59 | 6.48 |  6.96 |  5.81 |  6.26 |  6.85 |  6.29 |  4.58 |  6.23 |  5.95 |  6.64 |  4.89 |  6.58 |  7.62 |  6.40 |  6.65 |  7.24 |  7.07 |  7.83 |  4.71 |  8.36 |  7.84 |  6.54 |  6.45 |  5.61 |  6.55 |  6.35 |  7.06 |  7.63 |  6.19 |  5.08 |  5.38 |  4.70 |  6.30 |  6.13 |
|         4 |  7.22 |  6.48 |  5.10 |  8.78 | 5.69 |  4.86 | 6.69 |  7.39 |  6.16 |  7.13 |  7.35 |  6.96 |  5.01 |  7.01 |  7.27 |  7.28 |  5.20 |  7.17 |  8.36 |  6.99 |  7.12 |  7.39 |  7.47 |  8.22 |  5.17 |  8.80 |  7.62 |  6.86 |  6.55 |  6.02 |  7.49 |  6.67 |  7.12 |  8.50 |  6.84 |  5.36 |  7.15 |  5.11 |  6.09 |  6.78 |
|         5 |  6.74 |  6.47 |  5.22 |  9.28 | 5.57 |  5.31 | 6.57 |  7.63 |  6.38 |  7.97 |  7.88 |  7.10 |  5.16 |  7.84 |  7.64 |  7.40 |  5.43 |  7.85 |  8.56 |  7.10 |  7.46 |  7.38 |  7.49 |  8.13 |  5.53 |  8.80 |  7.32 |  6.92 |  7.13 |  6.27 |  7.88 |  7.03 |  7.06 |  8.97 |  7.05 |  5.57 |  6.69 |  5.19 |  6.38 |  7.97 |
|         6 |  6.70 |  6.31 |  5.20 |  9.03 | 5.36 |  5.59 | 6.82 |  8.03 |  6.45 |  8.52 |  7.90 |  7.31 |  5.21 |  8.57 |  7.79 |  7.31 |  5.73 |  7.98 |  8.51 |  7.24 |  7.87 |  7.53 |  8.00 |  8.01 |  5.91 |  8.94 |  7.17 |  6.70 |  7.56 |  6.28 |  8.10 |  7.48 |  7.41 |  8.76 |  7.07 |  5.85 |  6.38 |  5.13 |  6.54 |  8.29 |
|         7 |  6.77 |  5.54 |  5.21 |  8.48 | 4.28 |  5.62 | 6.23 |  7.61 |  6.40 |  7.70 |  6.54 |  7.35 |  4.83 |  8.19 |  6.94 |  6.36 |  5.71 |  7.72 |  8.09 |  6.70 |  7.45 |  7.00 |  7.34 |  7.42 |  5.58 |  8.66 |  6.57 |  5.87 |  6.86 |  5.80 |  7.42 |  7.15 |  7.36 |  7.86 |  7.02 |  5.71 |  5.70 |  4.58 |  5.68 |  7.79 |
|         8 |  6.47 |  5.04 |  4.77 |  7.02 | 3.58 |  7.03 | 5.72 |  7.90 |  6.74 |  6.46 |  5.83 |  7.20 |  4.35 |  7.56 |  5.80 |  5.25 |  5.64 |  7.32 |  7.55 |  6.21 |  6.97 |  6.06 |  7.31 |  6.38 |  5.25 |  7.68 |  6.50 |  4.55 |  6.20 |  5.10 |  6.49 |  6.80 |  6.00 |  7.36 |  7.56 |  5.35 |  5.43 |  4.88 |  4.41 |  6.50 |
|         9 |  7.20 |  5.34 |  6.56 |  6.62 | 4.50 |  6.40 | 4.96 |  8.86 |  6.00 |  6.45 |  5.86 |  7.92 |  5.26 |  7.54 |  4.65 |  5.05 |  6.94 |  7.37 |  7.69 |  5.03 |  6.79 |  5.27 |  8.52 |  5.91 |  5.41 |  7.59 |  5.37 |  5.09 |  5.89 |  5.91 |  5.96 |  6.06 |  5.90 |  7.22 |  8.37 |  6.68 |  4.27 |  5.14 |  4.38 |  5.94 |
|        10 |  5.16 |  5.10 |  7.96 |  4.16 | 5.03 |  6.88 | 3.90 |  7.65 |  5.75 |  4.11 |  4.24 |  7.80 |  5.19 |  6.24 |  4.41 |  4.95 |  6.67 |  5.56 |  7.71 |  4.86 |  6.21 |  5.28 |  7.71 |  4.63 |  4.70 |  6.39 |  4.33 |  5.57 |  5.11 |  5.79 |  4.92 |  5.98 |  3.56 |  6.97 |  8.31 |  6.13 |  3.97 |  4.64 |  4.52 |  5.31 |
|        11 |  4.25 |  6.75 |  5.68 |  3.79 | 4.42 |  5.09 | 4.37 |  5.34 |  4.48 |  4.37 |  4.94 |  6.38 |  4.64 |  5.07 |  4.98 |  3.98 |  5.44 |  5.61 |  5.61 |  4.47 |  4.96 |  4.96 |  5.68 |  4.38 |  3.81 |  5.68 |  4.18 |  5.61 |  4.63 |  4.47 |  5.13 |  4.58 |  3.55 |  5.94 |  5.53 |  5.27 |  3.29 |  5.68 |  5.44 |  4.92 |
|        12 |  3.83 |  5.78 |  5.18 |  4.31 | 5.15 |  5.01 | 5.33 |  4.43 |  4.11 |  5.62 |  5.81 |  6.52 |  3.55 |  4.59 |  4.10 |  4.82 |  5.14 |  5.34 |  4.39 |  3.73 |  5.27 |  4.52 |  5.67 |  3.73 |  3.86 |  5.82 |  4.77 |  3.77 |  3.74 |  3.31 |  5.14 |  4.62 |  4.53 |  5.10 |  3.68 |  4.87 |  3.50 |  5.84 |  5.09 |  3.94 |
|        13 |  4.65 |  5.15 |  5.25 |  5.68 | 6.18 |  5.51 | 5.03 |  5.29 |  3.94 |  5.61 |  6.60 |  5.97 |  5.18 |  5.13 |  3.59 |  3.64 |  6.38 |  5.04 |  4.55 |  4.68 |  5.43 |  6.14 |  5.38 |  5.07 |  4.06 |  4.61 |  5.91 |  4.01 |  4.08 |  4.24 |  5.92 |  5.44 |  5.44 |  5.02 |  4.65 |  5.47 |  4.41 |  5.92 |  5.00 |  4.86 |
|        14 |  4.63 |  6.48 |  5.59 |  5.81 | 5.18 |  5.12 | 3.70 |  5.75 |  4.38 |  5.39 |  6.63 |  5.07 |  5.48 |  5.38 |  5.30 |  4.82 |  6.62 |  5.77 |  6.22 |  5.46 |  5.15 |  6.91 |  5.45 |  5.33 |  4.91 |  5.25 |  4.99 |  4.65 |  5.25 |  5.29 |  5.84 |  6.40 |  6.38 |  4.41 |  5.74 |  5.61 |  5.21 |  4.64 |  4.43 |  4.80 |
|        15 |  3.85 |  5.71 |  5.02 |  5.47 | 4.54 |  4.19 | 4.49 |  4.75 |  4.49 |  4.66 |  6.09 |  5.20 |  3.89 |  5.17 |  4.95 |  5.14 |  5.06 |  6.00 |  5.94 |  4.11 |  5.81 |  6.56 |  5.11 |  5.18 |  5.06 |  5.52 |  4.62 |  5.38 |  4.41 |  3.65 |  6.25 |  4.98 |  5.84 |  4.77 |  4.26 |  4.78 |  5.20 |  4.07 |  5.76 |  5.78 |
|        16 |  3.74 |  4.21 |  3.68 |  6.08 | 4.50 |  3.58 | 5.21 |  5.87 |  4.66 |  4.71 |  4.88 |  4.09 |  3.89 |  3.99 |  4.50 |  4.40 |  4.34 |  5.13 |  4.72 |  3.22 |  6.60 |  5.33 |  4.19 |  6.13 |  4.31 |  6.50 |  4.53 |  5.54 |  4.63 |  3.82 |  5.90 |  5.28 |  4.89 |  5.27 |  3.52 |  4.29 |  4.28 |  4.04 |  5.22 |  5.58 |
|        17 |  3.81 |  4.00 |  3.48 |  5.98 | 5.73 |  3.98 | 4.89 |  6.07 |  4.42 |  4.94 |  5.39 |  4.05 |  3.69 |  4.28 |  3.83 |  4.06 |  3.86 |  4.10 |  4.92 |  3.59 |  7.26 |  4.76 |  4.04 |  5.85 |  3.54 |  6.32 |  4.79 |  5.00 |  4.12 |  3.96 |  5.24 |  5.96 |  4.95 |  4.88 |  3.46 |  3.78 |  3.81 |  3.87 |  4.60 |  5.20 |
