# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |    14 |     15 |    16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |    26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |    37 |     38 |     39 |     40 |
|         1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         5 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         6 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         7 |   0.30 |      0 |   0.10 |   0.20 |      0 |      0 |   0.40 |   0.20 |   0.30 |      0 |   0.30 |      0 |   0.20 |     0 |   0.10 |     0 |   0.20 |   0.20 |   0.20 |   0.20 |   0.20 |      0 |      0 |   0.10 |      0 |     0 |      0 |   0.10 |   0.10 |      0 |      0 |      0 |      0 |   0.10 |   0.10 |   0.20 |  0.10 |   0.10 |   0.10 |      0 |
|         8 |   2.20 |   0.20 |   2.60 |      0 |      0 |   2.60 |   5.90 |   3.80 |   1.80 |   1.10 |   0.40 |   4.20 |   2.80 |  2.90 |   1.10 |  4.20 |   7.30 |   3.00 |   0.10 |   2.40 |   4.40 |   1.40 |   5.80 |   0.40 |   1.80 |  0.80 |   1.80 |   1.40 |   2.60 |   3.20 |   1.10 |   1.80 |      0 |   1.80 |   4.60 |   1.30 |  1.20 |   2.90 |   2.00 |   4.00 |
|         9 |   5.20 |  13.90 |   4.20 |   7.60 |  13.50 |  22.80 |  16.30 |  20.00 |   1.00 |  11.60 |  12.90 |   7.80 |  18.10 | 18.90 |  12.70 | 14.10 |  33.60 |   4.40 |  10.60 |  11.70 |  43.20 |  14.50 |  21.40 |   2.50 |   8.00 | 18.30 |  11.50 |  10.80 |  21.90 |  26.80 |   5.20 |  21.00 |   2.20 |   7.90 |  20.70 |  13.10 | 10.30 |  21.60 |   8.20 |  15.30 |
|        10 |  11.20 |  46.10 |   1.50 |  78.70 |  53.40 |  42.00 |  32.80 |  76.50 |  12.20 |  37.40 |  53.60 |  31.60 |  50.00 | 39.00 |  16.50 | 27.00 | 138.90 |   9.90 |  40.20 |  27.20 |  96.70 |  85.50 |  62.30 |   8.90 |  62.40 | 68.50 |  23.40 |  24.60 |  74.80 |  75.60 |   6.60 |  84.40 |   4.20 |  10.20 |  63.50 |  46.00 | 10.40 |  56.60 |  22.20 |  48.60 |
