# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |    5 |     6 |    7 |     8 |     9 |   10 |   11 |    12 |    13 |   14 |    15 |   16 |   17 |    18 |    19 |    20 |    21 |   22 |    23 |    24 |    25 |    26 |   27 |    28 |    29 |    30 |   31 |   32 |    33 |   34 |   35 |   36 |    37 |    38 |   39 |    40 |
|         0 |  2.31 |  2.49 |  3.62 |  4.39 | 3.62 |  3.28 | 3.57 |  3.78 |  3.11 | 2.89 | 3.56 |  3.16 |  2.29 | 3.77 |  3.15 | 3.72 | 2.92 |  3.99 |  4.66 |  3.76 |  2.89 | 3.30 |  2.83 |  4.44 |  2.91 |  3.80 | 3.96 |  3.65 |  3.50 |  2.66 | 3.29 | 4.29 |  2.49 | 3.93 | 4.06 | 3.12 |  3.17 |  2.97 | 3.63 |  3.86 |
|         1 |  2.19 |  1.97 |  2.44 |  3.81 | 2.99 |  2.71 | 3.14 |  3.32 |  2.33 | 2.17 | 2.85 |  2.45 |  1.67 | 3.35 |  2.19 | 2.88 | 2.34 |  3.22 |  4.13 |  2.77 |  2.40 | 2.80 |  2.03 |  3.71 |  2.28 |  3.17 | 3.51 |  2.95 |  2.47 |  2.23 | 2.33 | 3.63 |  1.98 | 2.99 | 3.49 | 2.40 |  2.39 |  2.59 | 2.56 |  3.30 |
|         2 |  1.50 |  1.28 |  1.91 |  3.12 | 1.97 |  2.00 | 2.29 |  2.74 |  1.98 | 1.89 | 1.93 |  1.79 |  1.46 | 2.47 |  1.98 | 2.45 | 1.80 |  2.12 |  3.29 |  1.15 |  1.91 | 2.11 |  1.80 |  2.07 |  1.68 |  1.88 | 2.68 |  2.48 |  2.29 |  1.80 | 1.81 | 2.94 |  1.76 | 2.17 | 2.66 | 1.98 |  1.69 |  2.13 | 2.09 |  2.57 |
|         3 |  1.33 |  0.96 |  1.48 |  2.31 | 2.01 |  1.56 | 1.57 |  1.97 |  1.40 | 1.54 | 1.46 |  1.61 |  0.80 | 1.98 |  1.19 | 2.36 | 1.58 |  1.94 |  2.27 |  1.29 |  1.61 | 1.54 |  1.69 |  2.21 |  1.50 |  1.65 | 1.73 |  2.02 |  1.79 |  1.46 | 1.65 | 2.44 |  1.20 | 1.90 | 2.02 | 1.53 |  1.01 |  1.70 | 1.83 |  2.16 |
|         4 |  1.01 |  0.37 |  0.80 |  2.20 | 1.25 |  1.61 | 1.44 |  1.72 |  1.20 | 1.10 | 1.33 |  1.12 |  1.17 | 1.38 |  0.69 | 1.49 | 1.33 |  1.52 |  1.96 |  1.36 |  1.41 | 1.10 |  1.00 |  1.68 |  1.00 |  1.71 | 2.00 |  1.27 |  1.14 |  1.49 | 1.37 | 1.84 |  1.06 | 1.40 | 1.78 | 1.66 |  0.84 |  1.00 | 1.41 |  1.67 |
|         5 |  0.64 |  0.04 |  0.78 |  2.02 | 0.92 |  1.31 | 1.23 |  1.37 |  0.79 | 0.51 | 0.85 |  0.51 |  0.54 | 0.80 |  0.06 | 1.30 | 1.26 |  1.16 |  1.75 |  1.09 |  1.34 | 1.31 |  0.86 |  1.37 |  0.81 |  1.55 | 1.54 |  0.96 |  0.43 |  1.09 | 1.38 | 1.27 |  1.28 | 0.91 | 1.11 | 1.04 |  0.11 |  0.37 | 1.21 |  1.67 |
|         6 |  0.74 | -0.10 |  0.27 |  2.17 | 0.56 |  0.83 | 1.02 |  1.41 |  0.68 | 0.23 | 0.72 |  0.20 | -0.24 | 0.72 | -0.22 | 0.66 | 1.17 |  1.13 |  1.68 |  0.24 |  1.33 | 1.52 |  0.24 |  1.41 |  0.30 |  1.65 | 0.97 |  0.91 | -0.03 |  0.54 | 1.61 | 0.95 |  1.17 | 1.00 | 0.83 | 0.36 | -0.23 |  0.01 | 0.88 |  1.77 |
|         7 |  0.96 |  0.16 |  0.39 |  2.32 | 0.70 |  0.72 | 1.10 |  1.51 |  0.90 | 0.35 | 0.92 |  0.29 | -0.61 | 0.79 | -0.19 | 0.40 | 0.98 |  1.28 |  1.79 | -0.16 |  1.40 | 1.58 | -0.02 |  1.42 |  0.07 |  1.74 | 0.44 |  1.26 | -0.22 |  0.41 | 1.73 | 1.07 |  0.96 | 1.22 | 0.57 | 0.13 | -0.17 | -0.17 | 1.07 |  1.85 |
|         8 |  1.41 |  0.71 |  1.34 |  2.60 | 1.49 |  1.63 | 1.54 |  1.87 |  1.53 | 1.00 | 1.49 |  0.78 | -0.35 | 1.32 |  0.58 | 0.81 | 1.56 |  1.83 |  2.11 | -0.12 |  1.92 | 1.92 |  0.42 |  1.46 |  0.34 |  2.02 | 0.62 |  1.35 |  0.29 |  0.87 | 1.79 | 1.44 |  1.01 | 1.71 | 0.71 | 0.64 |  0.65 |  0.05 | 1.56 |  2.19 |
|         9 |  2.54 |  1.73 |  1.84 |  3.54 | 2.94 |  2.85 | 2.25 |  2.70 |  2.32 | 2.23 | 2.48 |  1.87 |  0.79 | 2.47 |  1.46 | 1.93 | 2.92 |  2.51 |  2.83 |  1.00 |  3.21 | 2.74 |  1.94 |  2.24 |  1.15 |  3.21 | 1.76 |  1.63 |  1.83 |  2.28 | 2.34 | 2.88 |  1.60 | 2.48 | 1.86 | 2.07 |  1.33 |  1.17 | 2.06 |  3.23 |
|        10 |  3.44 |  2.89 |  2.66 |  5.03 | 4.48 |  3.96 | 3.22 |  4.22 |  3.49 | 3.35 | 3.82 |  2.80 |  2.52 | 3.68 |  2.24 | 3.10 | 5.07 |  3.50 |  4.02 |  2.17 |  4.79 | 4.08 |  3.98 |  2.89 |  3.22 |  4.93 | 2.67 |  2.43 |  3.97 |  3.78 | 3.32 | 4.60 |  2.79 | 3.14 | 3.12 | 3.72 |  1.87 |  3.15 | 3.24 |  4.82 |
|        11 |  4.48 |  4.60 |  4.10 |  6.72 | 5.95 |  5.18 | 4.69 |  5.68 |  4.48 | 5.15 | 5.62 |  4.56 |  4.19 | 4.73 |  3.66 | 3.83 | 6.87 |  4.52 |  5.60 |  3.45 |  6.29 | 5.74 |  4.97 |  3.80 |  5.86 |  6.32 | 3.98 |  3.77 |  5.44 |  5.58 | 4.68 | 6.15 |  3.87 | 4.08 | 4.83 | 4.85 |  3.01 |  4.56 | 4.98 |  6.19 |
|        12 |  5.47 |  6.31 |  5.57 |  8.00 | 7.28 |  6.44 | 6.02 |  6.91 |  5.44 | 6.71 | 7.15 |  6.26 |  5.92 | 5.77 |  5.28 | 4.48 | 8.13 |  5.59 |  7.11 |  5.03 |  7.31 | 7.06 |  6.00 |  5.01 |  7.43 |  7.56 | 5.29 |  4.97 |  6.68 |  7.11 | 5.84 | 7.27 |  4.70 | 5.13 | 6.17 | 5.98 |  4.52 |  5.50 | 6.68 |  7.27 |
