# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |    2 |    3 |    4 |    5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |   13 |    14 |    15 |    16 |    17 |   18 |    19 |    20 |    21 |   22 |    23 |   24 |   25 |   26 |   27 |    28 |   29 |   30 |    31 |   32 |   33 |   34 |   35 |    36 |   37 |   38 |   39 |    40 |
|         0 |  7.28 | 6.54 | 6.90 | 7.04 | 6.97 |  6.75 |  7.12 |  6.98 |  7.01 |  6.85 |  6.63 |  6.86 | 7.07 |  6.67 |  6.85 |  5.94 |  6.99 | 6.76 |  6.97 |  7.25 |  6.33 | 6.70 |  6.54 | 6.90 | 6.90 | 6.88 | 6.81 |  6.04 | 7.42 | 6.14 |  6.42 | 6.93 | 7.11 | 6.78 | 6.46 |  6.64 | 6.17 | 7.02 | 6.82 |  6.42 |
|         1 |  7.24 | 6.19 | 6.30 | 6.68 | 6.66 |  6.45 |  6.78 |  6.82 |  6.51 |  6.70 |  6.26 |  6.59 | 6.79 |  6.34 |  6.88 |  5.83 |  6.70 | 6.51 |  6.63 |  6.76 |  6.14 | 6.44 |  6.45 | 6.72 | 6.85 | 6.76 | 6.75 |  5.90 | 7.04 | 5.99 |  5.94 | 6.84 | 6.77 | 6.45 | 6.25 |  6.51 | 6.10 | 6.81 | 6.53 |  6.23 |
|         2 |  7.31 | 6.12 | 6.39 | 6.61 | 6.73 |  6.18 |  6.79 |  6.78 |  6.40 |  6.80 |  6.18 |  6.48 | 6.88 |  6.12 |  6.71 |  5.79 |  6.88 | 6.44 |  6.38 |  6.55 |  6.07 | 6.48 |  6.44 | 6.66 | 6.71 | 6.86 | 6.58 |  5.72 | 6.81 | 5.99 |  5.96 | 6.87 | 6.70 | 6.42 | 6.06 |  6.45 | 5.95 | 6.63 | 6.50 |  6.34 |
|         3 |  7.44 | 6.36 | 6.48 | 6.90 | 7.03 |  6.31 |  7.00 |  6.69 |  6.61 |  6.95 |  6.38 |  6.44 | 6.93 |  6.03 |  6.76 |  5.90 |  7.03 | 6.58 |  6.54 |  6.34 |  6.17 | 6.81 |  6.57 | 6.57 | 6.77 | 6.90 | 6.71 |  5.82 | 6.90 | 6.14 |  6.24 | 6.96 | 6.82 | 6.66 | 6.18 |  6.37 | 6.12 | 6.47 | 6.72 |  6.43 |
|         4 |  7.56 | 6.54 | 6.59 | 7.19 | 7.11 |  6.38 |  7.22 |  6.59 |  6.89 |  7.09 |  6.56 |  6.62 | 6.93 |  5.99 |  6.85 |  5.93 |  7.06 | 6.65 |  6.89 |  6.56 |  6.46 | 6.87 |  6.74 | 6.64 | 6.95 | 7.02 | 6.86 |  5.96 | 7.07 | 6.35 |  6.48 | 7.00 | 6.96 | 6.65 | 6.31 |  6.30 | 6.23 | 6.63 | 6.97 |  6.49 |
|         5 |  7.65 | 6.80 | 6.78 | 7.32 | 7.13 |  6.69 |  7.32 |  6.77 |  7.06 |  7.22 |  6.55 |  6.77 | 7.29 |  6.06 |  6.87 |  5.98 |  7.02 | 6.79 |  7.00 |  6.69 |  6.72 | 7.01 |  6.69 | 6.67 | 7.21 | 7.03 | 6.89 |  5.90 | 7.29 | 6.66 |  6.72 | 7.04 | 7.10 | 6.68 | 6.34 |  6.41 | 6.42 | 6.66 | 7.01 |  6.64 |
|         6 |  7.70 | 6.57 | 7.14 | 7.06 | 7.16 |  6.81 |  7.55 |  7.08 |  7.01 |  7.31 |  6.44 |  7.01 | 7.66 |  6.06 |  6.89 |  6.13 |  7.11 | 6.90 |  7.01 |  6.76 |  6.89 | 7.10 |  6.74 | 6.67 | 7.23 | 6.84 | 6.98 |  6.00 | 7.52 | 6.77 |  6.84 | 6.94 | 7.16 | 6.77 | 6.44 |  6.80 | 6.30 | 6.56 | 7.26 |  6.85 |
|         7 |  7.86 | 6.27 | 7.52 | 7.11 | 7.07 |  6.79 |  7.66 |  7.12 |  6.99 |  7.47 |  6.43 |  7.11 | 7.70 |  6.23 |  6.77 |  6.67 |  7.36 | 6.80 |  7.10 |  6.94 |  6.81 | 7.13 |  6.92 | 6.92 | 7.25 | 6.83 | 7.34 |  6.22 | 7.68 | 6.90 |  6.86 | 6.77 | 7.38 | 6.85 | 6.64 |  6.85 | 6.23 | 6.86 | 7.54 |  7.00 |
|         8 |  7.95 | 6.28 | 7.24 | 7.04 | 6.93 |  6.82 |  7.86 |  7.09 |  6.98 |  7.70 |  6.39 |  7.32 | 7.68 |  5.96 |  6.57 |  6.85 |  7.48 | 6.81 |  7.02 |  6.82 |  6.70 | 7.09 |  7.10 | 7.19 | 7.29 | 6.84 | 7.38 |  6.37 | 7.72 | 6.73 |  6.83 | 6.76 | 7.34 | 7.03 | 6.82 |  6.85 | 6.38 | 7.04 | 7.69 |  7.20 |
|         9 |  7.60 | 6.34 | 6.95 | 7.07 | 6.85 |  6.98 |  7.91 |  7.00 |  7.15 |  7.59 |  6.30 |  7.39 | 7.72 |  5.93 |  6.61 |  6.94 |  7.42 | 6.80 |  7.00 |  6.76 |  6.72 | 7.01 |  6.83 | 7.09 | 7.21 | 6.91 | 7.49 |  6.65 | 7.87 | 6.65 |  6.84 | 6.46 | 7.11 | 7.30 | 7.01 |  7.17 | 6.43 | 7.23 | 7.53 |  7.16 |
