# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |   31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  2.99 |  3.37 |  2.88 |  4.04 |  2.80 |  3.04 |  3.89 |  3.92 |  2.89 |  3.85 |  3.43 |  3.34 |  3.28 |  3.97 |  3.55 |  2.88 |  3.32 |  2.87 |  4.12 |  1.99 |  4.20 |  3.91 |  3.06 |  1.41 |  3.65 |  3.54 |  3.35 |  2.84 |  3.50 |  3.15 | 3.53 |  3.57 |  2.43 |  2.61 |  3.61 |  3.02 |  1.78 |  2.71 |  3.76 |  4.22 |
|         1 |  3.64 |  3.06 |  2.83 |  3.66 |  2.88 |  3.21 |  3.63 |  3.50 |  3.03 |  3.61 |  3.11 |  3.25 |  3.09 |  3.49 |  3.38 |  2.61 |  3.36 |  3.17 |  4.07 |  3.08 |  3.97 |  3.85 |  3.20 |  2.62 |  3.32 |  3.49 |  2.63 |  3.12 |  3.57 |  3.16 | 3.18 |  3.86 |  2.54 |  2.76 |  3.52 |  3.21 |  2.66 |  2.42 |  3.48 |  3.62 |
|         2 |  2.89 |  2.50 |  2.78 |  3.03 |  3.39 |  3.47 |  3.99 |  3.20 |  3.32 |  4.24 |  2.99 |  2.90 |  3.72 |  2.93 |  3.50 |  3.75 |  3.29 |  3.68 |  3.83 |  3.41 |  4.20 |  3.78 |  3.08 |  2.74 |  3.69 |  3.48 |  3.11 |  3.32 |  3.98 |  3.60 | 3.07 |  3.96 |  3.14 |  3.40 |  3.22 |  3.65 |  2.63 |  2.52 |  4.06 |  3.77 |
|         3 |  3.02 |  2.89 |  3.04 |  3.28 |  3.98 |  3.77 |  4.34 |  3.48 |  4.14 |  3.50 |  2.52 |  2.66 |  3.72 |  2.85 |  2.51 |  3.68 |  3.53 |  4.44 |  3.63 |  3.17 |  4.79 |  4.09 |  2.76 |  3.18 |  3.93 |  3.19 |  2.71 |  3.82 |  4.17 |  3.77 | 3.96 |  3.96 |  3.90 |  3.93 |  3.51 |  3.18 |  2.52 |  3.49 |  4.00 |  4.63 |
|         4 |  4.15 |  4.01 |  2.39 |  3.90 |  2.76 |  3.54 |  4.37 |  3.85 |  3.99 |  3.64 |  2.90 |  4.13 |  4.07 |  3.75 |  3.28 |  2.31 |  3.54 |  4.46 |  4.18 |  2.64 |  3.74 |  5.01 |  2.32 |  3.88 |  3.32 |  3.98 |  3.16 |  3.65 |  3.38 |  4.18 | 3.72 |  3.90 |  3.26 |  4.07 |  4.39 |  3.40 |  4.10 |  3.93 |  2.84 |  4.72 |
|         5 |  3.39 |  3.79 |  4.49 |  4.08 |  4.58 |  4.13 |  4.13 |  3.83 |  4.41 |  4.34 |  4.57 |  3.68 |  4.73 |  3.47 |  2.12 |  3.32 |  3.74 |  3.96 |  4.64 |  3.41 |  3.70 |  4.41 |  3.91 |  2.90 |  5.42 |  3.87 |  2.56 |  2.89 |  3.28 |  3.74 | 3.41 |  4.62 |  3.58 |  3.88 |  3.66 |  3.18 |  3.19 |  2.31 |  3.90 |  3.90 |
|         6 |  3.23 |  3.51 |  2.91 |  4.00 |  4.22 |  3.86 |  3.86 |  3.37 |  3.45 |  2.92 |  3.60 |  2.58 |  3.18 |  2.98 |  1.14 |  3.13 |  3.49 |  3.10 |  4.51 |  1.95 |  3.75 |  3.87 |  2.35 |  2.27 |  3.34 |  3.86 |  2.35 |  2.57 |  2.50 |  3.89 | 1.77 |  4.27 |  4.65 |  3.00 |  3.44 |  3.58 |  2.08 |  0.29 |  2.92 |  3.34 |
|         7 |  3.31 |  3.45 |  2.68 |  3.96 |  3.88 |  4.05 |  2.90 |  4.15 |  3.50 |  3.16 |  3.63 |  2.90 |  2.78 |  3.13 |  2.51 |  2.65 |  3.17 |  2.87 |  4.29 |  2.23 |  4.27 |  3.96 |  2.05 |  4.01 |  2.96 |  4.16 |  2.52 |  2.91 |  2.85 |  3.42 | 2.86 |  4.14 |  4.81 |  3.04 |  4.06 |  3.02 |  1.12 |  0.71 |  3.33 |  3.59 |
|         8 |  2.46 |  3.66 |  5.10 |  4.70 |  4.62 |  4.04 |  3.87 |  4.94 |  4.11 |  3.54 |  3.58 |  3.10 |  3.11 |  3.42 |  3.68 |  2.49 |  4.92 |  4.12 |  4.60 |  2.25 |  4.57 |  4.63 |  2.26 |  4.62 |  3.21 |  4.30 |  2.82 |  4.51 |  3.04 |  3.73 | 3.30 |  4.42 |  4.63 |  4.52 |  3.33 |  3.24 |  1.77 |  1.54 |  5.52 |  4.14 |
|         9 |  5.15 |  5.32 |  5.27 |  5.82 |  5.29 |  6.20 |  4.51 |  5.47 |  5.19 |  4.28 |  4.69 |  4.30 |  3.07 |  4.66 |  5.69 |  2.51 |  4.57 |  5.44 |  4.95 |  2.64 |  5.07 |  5.08 |  2.45 |  5.40 |  4.07 |  4.98 |  3.92 |  4.97 |  3.47 |  5.28 | 3.34 |  4.45 |  4.58 |  6.08 |  3.51 |  3.73 |  4.16 |  2.65 |  5.65 |  4.35 |
