# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |     8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |    16 |    17 |     18 |     19 |     20 |    21 |     22 |    23 |     24 |    25 |    26 |     27 |    28 |    29 |    30 |     31 |     32 |    33 |    34 |    35 |    36 |     37 |    38 |     39 |     40 |
|         1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |
|         2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |
|         3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |
|         4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |
|         5 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |
|         6 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |
|         7 |      0 |      0 |      0 |   0.20 |      0 |   0.30 |      0 |     0 |   0.60 |   0.40 |   0.30 |      0 |      0 |      0 |   0.20 |  0.10 |  0.10 |      0 |      0 |   0.20 |  0.10 |      0 |     0 |      0 |     0 |  0.10 |      0 |     0 |     0 |  0.20 |   0.50 |      0 |     0 |  0.20 |  0.10 |     0 |      0 |  0.20 |   0.20 |      0 |
|         8 |      0 |   0.70 |      0 |   4.00 |      0 |   1.90 |      0 |     0 |  12.30 |   8.60 |   4.20 |   0.40 |      0 |   2.00 |   0.50 |  1.80 |     0 |      0 |   1.90 |      0 |  2.00 |      0 |     0 |   0.20 |     0 |     0 |      0 |  0.20 |     0 |     0 |  16.40 |      0 |  0.10 |  2.80 |     0 |  1.30 |      0 |  0.70 |   3.10 |      0 |
|         9 |   0.10 |  13.20 |      0 |  17.60 |      0 |   6.90 |      0 |  3.10 |  43.20 |  46.80 |  12.90 |   4.60 |      0 |  11.50 |   0.90 |  1.60 |     0 |   0.20 |      0 |   3.90 |  2.10 |   1.40 |  0.60 |   1.40 |     0 |  4.80 |   2.30 |  1.40 |  1.00 |  0.10 |  49.40 |   0.90 |  0.90 |  4.20 |  0.10 |  5.60 |      0 |  6.70 |  23.40 |   6.70 |
|        10 |   7.30 |  27.90 |   8.50 |  27.60 |   5.90 |   3.00 |   0.30 |  3.20 |  83.30 |  71.00 |  10.00 |  12.40 |   1.20 |  14.10 |      0 |  5.00 |  0.60 |   5.30 |   1.30 |  12.90 |  4.50 |  12.60 |  0.10 |   0.80 |     0 | 12.60 |   0.70 |  2.70 |  6.10 |  1.90 | 116.30 |   1.00 |  2.50 |  4.60 |  0.90 |  4.10 |   4.00 |  4.90 |  46.00 |  16.60 |
