# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |    2 |     3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |    13 |   14 |   15 |   16 |   17 |   18 |   19 |    20 |   21 |    22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |    32 |   33 |   34 |   35 |   36 |    37 |   38 |   39 |   40 |
|         0 |  5.72 | 5.84 |  6.00 | 6.41 | 5.84 | 6.37 | 6.78 | 5.95 | 5.52 | 4.98 | 6.44 | 6.63 |  5.96 | 6.30 | 5.81 | 5.51 | 6.42 | 6.71 | 6.45 |  5.25 | 6.34 |  6.50 | 6.03 | 6.82 | 6.54 | 7.18 | 6.60 | 6.10 | 6.28 | 6.35 | 6.30 |  6.53 | 5.85 | 5.95 | 4.88 | 5.90 |  5.74 | 5.77 | 6.75 | 6.90 |
|         1 |  5.84 | 5.91 |  6.12 | 6.37 | 5.86 | 6.38 | 6.88 | 6.01 | 5.57 | 5.03 | 6.49 | 6.70 |  6.06 | 6.36 | 5.99 | 5.59 | 6.49 | 6.81 | 6.43 |  5.55 | 6.44 |  6.59 | 6.09 | 6.91 | 6.56 | 7.26 | 6.68 | 6.15 | 6.40 | 6.46 | 6.34 |  6.58 | 5.91 | 6.05 | 4.94 | 6.12 |  5.78 | 5.78 | 6.71 | 6.96 |
|         2 |  5.86 | 5.87 |  6.06 | 6.30 | 5.85 | 6.29 | 6.85 | 5.97 | 5.53 | 5.03 | 6.44 | 6.64 |  6.01 | 6.30 | 5.95 | 5.50 | 6.43 | 6.84 | 6.41 |  5.56 | 6.38 |  6.49 | 6.08 | 6.86 | 6.54 | 7.16 | 6.64 | 6.10 | 6.42 | 6.40 | 6.22 |  6.45 | 5.80 | 6.16 | 5.00 | 6.06 |  5.70 | 5.69 | 6.66 | 6.88 |
|         3 |  5.88 | 5.91 |  5.97 | 6.34 | 5.90 | 6.24 | 6.90 | 5.94 | 5.52 | 5.05 | 6.47 | 6.68 |  5.95 | 6.35 | 5.95 | 5.51 | 6.38 | 6.88 | 6.40 |  5.60 | 6.32 |  6.56 | 6.12 | 6.91 | 6.62 | 7.09 | 6.65 | 6.09 | 6.49 | 6.41 | 6.20 |  6.44 | 5.76 | 6.26 | 5.12 | 5.98 |  5.68 | 5.67 | 6.62 | 6.90 |
|         4 |  5.89 | 5.91 |  5.91 | 6.35 | 5.91 | 6.19 | 6.86 | 5.94 | 5.44 | 5.03 | 6.49 | 6.70 |  5.95 | 6.29 | 5.94 | 5.51 | 6.31 | 6.88 | 6.38 |  5.64 | 6.27 |  6.63 | 6.16 | 6.91 | 6.61 | 7.05 | 6.65 | 6.10 | 6.46 | 6.29 | 6.19 |  6.44 | 5.69 | 6.28 | 5.19 | 5.87 |  5.67 | 5.68 | 6.44 | 6.90 |
|         5 |  5.88 | 5.88 |  5.89 | 6.31 | 5.88 | 6.10 | 6.85 | 5.98 | 5.27 | 5.01 | 6.51 | 6.75 |  5.96 | 6.16 | 5.84 | 5.48 | 6.26 | 6.87 | 6.37 |  5.74 | 6.22 |  6.68 | 6.17 | 6.88 | 6.64 | 7.05 | 6.62 | 6.09 | 6.45 | 6.17 | 6.08 |  6.39 | 5.68 | 6.24 | 5.24 | 5.77 |  5.65 | 5.69 | 6.28 | 6.90 |
|         6 |  5.79 | 5.78 |  5.88 | 6.15 | 5.82 | 5.88 | 6.83 | 5.90 | 4.92 | 4.91 | 6.45 | 6.73 |  5.96 | 6.04 | 5.80 | 5.47 | 6.24 | 6.84 | 6.23 |  5.78 | 6.10 |  6.63 | 6.15 | 6.80 | 6.59 | 7.02 | 6.55 | 6.00 | 6.39 | 6.14 | 5.90 |  6.27 | 5.61 | 6.14 | 5.22 | 5.65 |  5.56 | 5.68 | 6.12 | 6.81 |
|         7 |  5.75 | 5.69 |  5.81 | 5.99 | 5.79 | 5.66 | 6.79 | 5.79 | 4.50 | 4.66 | 6.42 | 6.75 |  5.94 | 5.97 | 5.81 | 5.44 | 6.26 | 6.82 | 6.12 |  5.83 | 5.98 |  6.58 | 6.16 | 6.74 | 6.55 | 6.99 | 6.50 | 5.96 | 6.39 | 6.16 | 5.68 |  6.22 | 5.54 | 6.09 | 5.14 | 5.69 |  5.46 | 5.70 | 6.08 | 6.67 |
|         8 |  5.93 | 5.67 |  5.89 | 5.94 | 5.75 | 5.71 | 6.96 | 5.87 | 4.59 | 4.66 | 6.60 | 6.83 |  6.11 | 6.04 | 5.97 | 5.65 | 6.36 | 6.86 | 6.26 |  5.90 | 6.02 |  6.71 | 6.38 | 6.84 | 6.57 | 7.09 | 6.62 | 6.06 | 6.54 | 6.32 | 5.76 |  6.29 | 5.51 | 6.26 | 5.11 | 5.94 |  5.43 | 5.86 | 6.30 | 6.68 |
|         9 |  6.14 | 6.10 |  6.12 | 6.38 | 5.92 | 6.18 | 7.14 | 6.21 | 5.37 | 5.32 | 6.90 | 7.03 |  6.30 | 6.34 | 6.41 | 5.90 | 6.64 | 7.10 | 6.42 |  6.21 | 6.30 |  6.91 | 6.63 | 7.05 | 6.72 | 7.26 | 6.83 | 6.22 | 6.83 | 6.66 | 6.50 |  6.49 | 5.75 | 6.70 | 5.23 | 6.51 |  5.78 | 6.19 | 6.75 | 7.12 |
