# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |     4 |    5 |    6 |    7 |     8 |    9 |   10 |   11 |   12 |    13 |   14 |    15 |   16 |    17 |   18 |   19 |    20 |   21 |   22 |   23 |   24 |   25 |   26 |    27 |   28 |   29 |   30 |    31 |    32 |   33 |   34 |    35 |   36 |   37 |   38 |   39 |    40 |
|         0 | 1.89 | 1.76 | 1.94 |  1.76 | 2.22 | 1.18 | 1.31 |  2.00 | 2.50 | 2.08 | 1.57 | 2.13 |  2.33 | 0.74 |  2.51 | 1.97 |  1.65 | 1.90 | 2.33 |  2.20 | 2.38 | 2.62 | 2.51 | 2.72 | 2.37 | 2.32 |  2.67 | 1.88 | 1.84 | 2.43 |  2.58 |  2.72 | 1.29 | 1.80 |  1.53 | 1.76 | 1.45 | 2.08 | 2.30 |  1.99 |
|         1 | 1.71 | 1.75 | 1.80 |  1.68 | 1.88 | 1.14 | 1.20 |  1.95 | 2.35 | 1.87 | 1.46 | 2.01 |  2.27 | 0.59 |  2.38 | 1.25 |  1.45 | 1.68 | 2.02 |  2.03 | 2.33 | 2.42 | 2.32 | 2.80 | 2.21 | 2.02 |  2.16 | 1.75 | 1.74 | 2.53 |  2.16 |  2.97 | 1.24 | 1.62 |  1.54 | 1.67 | 1.36 | 1.60 | 2.18 |  2.10 |
|         2 | 1.73 | 1.49 | 1.42 |  1.42 | 1.82 | 0.99 | 1.01 |  2.47 | 2.34 | 1.70 | 1.17 | 1.98 |  1.85 | 0.49 |  1.73 | 1.06 |  1.34 | 1.61 | 1.44 |  1.99 | 2.20 | 2.38 | 2.11 | 2.53 | 1.61 | 1.74 |  1.70 | 1.48 | 1.51 | 2.24 |  1.92 |  3.32 | 1.10 | 1.77 |  1.66 | 1.92 | 1.21 | 1.40 | 1.73 |  2.40 |
|         3 | 1.93 | 1.07 | 0.93 |  1.20 | 1.85 | 0.99 | 1.05 |  3.03 | 2.49 | 1.65 | 0.91 | 2.00 |  1.45 | 0.40 |  1.39 | 0.99 |  1.17 | 1.62 | 1.10 |  2.18 | 2.00 | 2.24 | 1.97 | 2.13 | 1.07 | 1.35 |  1.41 | 1.27 | 1.23 | 1.48 |  1.83 |  3.52 | 0.98 | 1.94 |  1.69 | 2.06 | 0.97 | 1.18 | 1.30 |  2.53 |
|         4 | 2.49 | 0.80 | 0.65 |  1.03 | 2.26 | 1.29 | 1.32 |  3.35 | 2.75 | 1.65 | 0.68 | 2.23 |  1.42 | 0.34 |  1.52 | 1.11 |  1.03 | 1.72 | 0.90 |  2.70 | 2.22 | 2.31 | 1.77 | 1.96 | 0.77 | 1.00 |  1.28 | 1.18 | 0.99 | 0.92 |  1.65 |  3.66 | 0.83 | 1.91 |  1.60 | 2.16 | 0.83 | 1.11 | 1.32 |  2.74 |
|         5 | 3.14 | 0.82 | 0.54 |  0.89 | 2.67 | 2.02 | 1.47 |  3.54 | 3.10 | 1.92 | 0.44 | 2.48 |  1.39 | 0.45 |  1.80 | 1.81 |  0.91 | 1.90 | 0.88 |  3.40 | 2.58 | 2.49 | 1.85 | 1.57 | 0.57 | 0.86 |  1.70 | 1.43 | 0.82 | 0.60 |  1.54 |  3.67 | 0.69 | 2.01 |  1.41 | 2.21 | 0.78 | 1.46 | 1.66 |  2.96 |
|         6 | 3.31 | 0.94 | 0.51 |  0.81 | 2.81 | 2.53 | 1.35 |  3.55 | 3.31 | 2.25 | 0.26 | 2.30 |  1.38 | 0.52 |  1.84 | 2.06 |  0.80 | 2.20 | 0.89 |  3.74 | 2.52 | 2.66 | 1.94 | 1.14 | 0.50 | 0.78 |  2.11 | 1.66 | 0.65 | 0.56 |  1.31 |  3.52 | 0.51 | 2.00 |  1.21 | 2.19 | 1.17 | 1.75 | 1.90 |  3.10 |
|         7 | 3.50 | 1.58 | 0.61 |  0.96 | 2.94 | 3.02 | 1.35 |  3.82 | 3.64 | 2.92 | 0.19 | 2.40 |  1.50 | 0.69 |  1.80 | 2.14 |  0.81 | 2.49 | 1.00 |  3.90 | 2.43 | 2.88 | 2.19 | 0.80 | 0.50 | 0.95 |  2.58 | 2.10 | 0.53 | 0.67 |  1.36 |  4.04 | 0.32 | 2.18 |  1.23 | 2.24 | 2.03 | 2.19 | 2.42 |  3.49 |
|         8 | 4.12 | 2.69 | 0.97 |  1.47 | 3.12 | 3.51 | 1.46 |  4.40 | 4.32 | 3.62 | 0.29 | 2.82 |  2.20 | 1.27 |  1.80 | 2.56 |  1.08 | 2.72 | 1.47 |  4.18 | 2.51 | 3.23 | 2.45 | 0.39 | 0.53 | 1.83 |  3.11 | 2.96 | 0.82 | 0.91 |  2.04 |  4.85 | 0.19 | 2.57 |  1.56 | 2.43 | 3.20 | 2.92 | 3.02 |  4.15 |
|         9 | 5.11 | 3.95 | 1.66 |  2.58 | 3.48 | 4.28 | 1.62 |  5.40 | 5.25 | 4.66 | 1.19 | 3.54 |  2.93 | 2.17 |  1.99 | 3.43 |  1.59 | 3.18 | 2.21 |  4.93 | 3.08 | 3.94 | 2.97 | 0.16 | 1.01 | 2.88 |  3.80 | 4.10 | 1.77 | 1.74 |  3.09 |  5.92 | 1.08 | 3.33 |  2.21 | 2.84 | 4.29 | 4.14 | 3.88 |  5.16 |
|        10 | 6.82 | 4.72 | 2.58 |  4.05 | 3.99 | 5.43 | 2.41 |  6.19 | 6.27 | 5.66 | 3.11 | 4.34 |  3.84 | 3.21 |  2.36 | 4.45 |  2.00 | 3.86 | 3.31 |  5.96 | 3.95 | 5.09 | 4.14 | 0.19 | 2.35 | 3.77 |  4.90 | 5.44 | 2.99 | 3.38 |  4.12 |  6.87 | 2.57 | 4.62 |  3.50 | 3.47 | 5.15 | 5.36 | 4.91 |  6.36 |
|        11 | 7.81 | 5.36 | 3.29 |  4.73 | 5.34 | 6.34 | 3.83 |  6.97 | 7.04 | 6.26 | 4.50 | 5.66 |  4.74 | 4.66 |  2.96 | 5.14 |  2.55 | 4.67 | 4.47 |  6.60 | 4.74 | 5.98 | 4.96 | 0.95 | 3.72 | 4.93 |  5.89 | 6.39 | 4.06 | 5.08 |  5.18 |  7.29 | 3.26 | 5.85 |  4.69 | 4.61 | 6.02 | 6.12 | 6.06 |  7.16 |
|        12 | 7.30 | 6.22 | 3.75 |  5.33 | 6.77 | 6.44 | 5.14 |  7.86 | 7.09 | 7.09 | 5.42 | 6.46 |  5.64 | 6.14 |  3.54 | 6.15 |  3.14 | 5.36 | 4.98 |  6.67 | 5.36 | 6.64 | 5.29 | 2.50 | 4.56 | 5.36 |  6.51 | 7.16 | 4.80 | 5.97 |  6.07 |  7.00 | 3.94 | 6.81 |  5.46 | 5.82 | 6.99 | 6.51 | 7.04 |  7.15 |
|        13 | 7.37 | 7.05 | 4.78 |  6.01 | 7.00 | 6.73 | 6.36 |  7.72 | 7.44 | 7.81 | 5.98 | 6.53 |  6.55 | 7.29 |  4.25 | 7.24 |  4.15 | 6.11 | 5.82 |  7.05 | 5.86 | 6.99 | 5.73 | 3.82 | 5.49 | 5.76 |  7.02 | 7.61 | 5.37 | 6.47 |  6.96 |  7.18 | 5.20 | 7.32 |  5.98 | 6.74 | 7.20 | 6.98 | 7.47 |  7.09 |
