# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |   19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  5.41 |  3.79 |  4.57 |  4.33 |  4.21 |  4.68 |  5.58 |  6.15 |  5.57 |  4.53 |  5.31 |  4.34 |  4.07 |  4.29 |  4.38 |  5.39 |  4.58 |  4.88 | 5.14 |  4.00 |  5.97 |  5.18 |  5.33 |  4.60 |  5.64 |  5.62 |  4.60 |  4.89 |  5.19 |  3.84 |  4.98 |  4.78 |  5.16 |  5.48 |  4.92 |  4.20 |  5.02 |  4.43 |  3.95 |  4.80 |
|         1 |  5.01 |  4.41 |  3.56 |  4.97 |  4.54 |  4.88 |  5.26 |  5.88 |  4.82 |  4.39 |  4.92 |  4.42 |  4.62 |  4.51 |  4.50 |  5.50 |  4.29 |  4.65 | 4.83 |  4.20 |  5.23 |  5.38 |  5.36 |  4.39 |  5.13 |  5.15 |  4.28 |  4.74 |  4.75 |  3.73 |  4.99 |  4.24 |  4.96 |  5.18 |  4.91 |  3.81 |  5.14 |  4.63 |  3.67 |  4.72 |
|         2 |  4.52 |  4.35 |  3.93 |  4.97 |  4.41 |  5.03 |  4.68 |  5.34 |  3.91 |  3.90 |  4.79 |  4.62 |  5.45 |  3.94 |  4.75 |  5.19 |  3.83 |  4.34 | 4.70 |  5.04 |  4.66 |  5.28 |  5.37 |  4.11 |  4.09 |  4.93 |  3.73 |  4.26 |  4.25 |  3.35 |  4.95 |  3.64 |  5.02 |  4.76 |  5.07 |  3.57 |  4.82 |  4.50 |  3.81 |  4.23 |
|         3 |  3.88 |  3.91 |  4.18 |  4.57 |  4.05 |  4.57 |  3.85 |  4.51 |  3.68 |  3.74 |  4.32 |  4.75 |  5.49 |  3.28 |  4.36 |  4.67 |  3.49 |  4.09 | 4.13 |  4.62 |  4.23 |  4.71 |  4.82 |  3.31 |  3.41 |  4.96 |  3.33 |  3.70 |  3.76 |  3.34 |  4.85 |  3.10 |  4.72 |  4.47 |  4.72 |  3.15 |  4.33 |  4.12 |  3.85 |  3.66 |
|         4 |  3.12 |  3.75 |  4.72 |  3.90 |  4.38 |  4.48 |  3.31 |  3.79 |  4.32 |  4.28 |  3.76 |  4.87 |  5.17 |  3.33 |  3.86 |  4.63 |  3.78 |  3.90 | 3.50 |  4.45 |  3.86 |  4.22 |  4.04 |  3.13 |  3.01 |  4.52 |  3.00 |  2.89 |  3.71 |  3.84 |  5.08 |  2.71 |  4.36 |  4.52 |  4.33 |  3.25 |  4.02 |  3.37 |  3.70 |  3.76 |
|         5 |  3.18 |  4.24 |  4.63 |  3.80 |  4.82 |  4.54 |  3.22 |  3.56 |  5.33 |  4.72 |  3.46 |  4.76 |  4.56 |  3.52 |  2.92 |  4.62 |  3.92 |  3.98 | 3.22 |  4.34 |  3.71 |  3.66 |  3.54 |  3.64 |  3.53 |  4.11 |  2.95 |  3.02 |  3.74 |  3.57 |  5.51 |  2.86 |  4.10 |  4.76 |  3.87 |  3.32 |  3.76 |  2.71 |  3.59 |  4.13 |
|         6 |  3.71 |  4.45 |  4.55 |  4.13 |  4.88 |  4.63 |  3.17 |  3.75 |  6.49 |  6.07 |  3.95 |  4.09 |  4.28 |  3.72 |  2.99 |  4.54 |  3.68 |  4.34 | 3.96 |  3.83 |  3.61 |  3.56 |  3.68 |  4.14 |  4.11 |  4.12 |  3.43 |  3.64 |  3.38 |  3.57 |  5.51 |  3.83 |  4.42 |  4.71 |  3.87 |  3.58 |  4.30 |  2.98 |  3.62 |  4.57 |
|         7 |  4.09 |  4.70 |  4.56 |  4.66 |  5.30 |  4.87 |  3.52 |  4.29 |  6.58 |  6.51 |  4.41 |  3.42 |  4.56 |  4.43 |  3.62 |  4.37 |  3.65 |  4.90 | 4.45 |  3.62 |  4.00 |  3.81 |  3.79 |  4.22 |  4.46 |  4.00 |  4.31 |  4.25 |  3.80 |  3.83 |  5.61 |  4.89 |  4.99 |  4.68 |  4.37 |  3.56 |  5.37 |  3.87 |  3.93 |  4.93 |
|         8 |  4.70 |  6.60 |  5.26 |  5.54 |  5.89 |  6.04 |  4.81 |  4.58 |  6.53 |  7.05 |  4.76 |  3.59 |  4.81 |  5.71 |  4.26 |  4.56 |  4.78 |  5.83 | 5.14 |  4.34 |  5.19 |  4.56 |  3.74 |  4.90 |  5.54 |  4.12 |  6.03 |  5.36 |  4.85 |  4.86 |  6.43 |  6.14 |  5.91 |  5.11 |  5.09 |  4.18 |  6.38 |  4.45 |  4.41 |  5.62 |
|         9 |  5.45 |  6.84 |  5.78 |  5.33 |  5.68 |  5.60 |  5.87 |  6.25 |  6.06 |  7.06 |  6.41 |  4.79 |  5.30 |  6.65 |  5.36 |  5.42 |  4.63 |  6.51 | 5.58 |  5.38 |  5.72 |  6.13 |  4.43 |  5.66 |  5.17 |  4.70 |  7.25 |  6.48 |  5.90 |  6.01 |  6.34 |  7.32 |  6.36 |  5.88 |  6.31 |  5.02 |  5.73 |  6.28 |  4.91 |  6.28 |
|        10 |  6.56 |  7.82 |  6.08 |  5.91 |  6.11 |  6.42 |  7.63 |  6.50 |  6.52 |  8.27 |  6.26 |  5.89 |  5.55 |  6.46 |  5.80 |  5.90 |  4.89 |  6.61 | 5.72 |  5.99 |  6.13 |  7.05 |  5.39 |  6.37 |  5.76 |  5.35 |  8.33 |  6.98 |  5.73 |  6.35 |  7.53 |  7.68 |  6.31 |  6.57 |  6.78 |  5.22 |  5.52 |  7.16 |  4.67 |  7.51 |
|        11 |  8.78 |  8.19 |  6.89 |  6.24 |  7.55 |  8.35 |  8.86 |  6.43 |  8.34 | 10.12 |  7.23 |  7.83 |  5.96 |  8.18 |  6.07 |  7.31 |  6.66 |  7.73 | 6.83 |  6.65 |  7.38 |  8.52 |  5.67 |  7.52 |  6.62 |  6.34 |  8.30 |  7.46 |  6.84 |  7.49 |  8.61 |  7.96 |  6.26 |  7.38 |  7.28 |  6.18 |  6.06 |  8.58 |  5.77 |  8.07 |
|        12 |  8.50 | 10.43 |  8.08 |  7.52 |  8.82 | 11.24 |  8.94 |  8.52 |  9.17 | 12.33 |  8.75 |  8.58 |  7.43 | 11.80 |  6.75 |  7.41 |  8.96 |  8.44 | 6.67 |  6.53 |  7.79 |  9.05 |  7.59 |  7.43 |  7.37 |  6.56 |  9.78 |  8.86 |  6.77 |  9.67 |  8.92 |  7.88 |  7.36 |  7.93 |  7.50 |  7.35 |  7.81 |  8.44 |  7.11 |  9.87 |
|        13 |  9.58 | 10.59 |  8.59 |  7.76 |  9.55 | 10.09 |  8.82 |  8.37 |  9.09 | 12.26 |  8.25 |  8.71 |  8.13 | 10.98 |  5.56 |  8.57 |  8.89 |  9.65 | 6.83 |  7.44 |  9.39 |  8.26 |  8.42 |  7.30 |  7.03 |  6.80 |  8.88 |  8.57 |  6.35 |  9.51 |  8.99 |  9.14 |  7.89 |  7.18 |  6.64 |  6.93 |  8.40 |  8.43 |  9.14 |  9.63 |
|        14 |  9.52 | 10.70 |  9.19 |  8.47 |  8.83 |  8.90 | 10.16 |  8.80 |  9.70 | 10.73 |  8.22 |  8.54 |  8.14 |  9.20 |  6.17 |  9.09 |  8.57 | 10.17 | 8.25 |  7.38 |  9.32 |  7.61 |  8.25 |  7.50 |  7.28 |  7.62 |  9.32 | 10.06 |  6.73 |  8.92 |  9.12 |  9.91 |  7.86 |  7.62 |  7.92 |  7.19 |  9.42 |  8.81 |  9.78 |  9.45 |
|        15 |  7.41 |  8.40 |  9.04 |  7.81 |  8.13 |  8.16 |  7.92 |  8.61 |  8.89 |  8.43 |  7.90 |  7.50 |  7.37 |  8.28 |  7.74 |  8.38 |  8.28 |  9.61 | 8.48 |  5.67 |  8.46 |  6.67 |  7.48 |  6.95 |  7.19 |  7.81 |  8.47 |  9.18 |  6.54 |  7.96 |  7.93 |  9.89 |  7.46 |  8.85 |  8.40 |  6.90 |  8.36 |  8.65 |  9.09 |  8.97 |
|        16 |  7.63 |  7.95 |  8.37 |  7.48 |  6.99 |  7.52 |  8.41 |  8.30 |  7.71 |  7.46 |  7.66 |  6.82 |  7.20 |  8.97 |  8.04 |  7.61 |  7.70 |  8.23 | 7.88 |  6.21 |  8.58 |  7.41 |  7.62 |  7.66 |  7.58 |  8.38 |  8.04 |  9.09 |  6.57 |  7.46 |  8.36 |  8.88 |  8.20 |  9.84 |  8.28 |  6.67 |  7.73 |  8.23 |  7.54 |  8.73 |
