# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |     3 |      4 |      5 |      6 |      7 |     8 |      9 |    10 |     11 |     12 |     13 |     14 |     15 |    16 |     17 |    18 |     19 |     20 |    21 |     22 |    23 |     24 |     25 |    26 |    27 |    28 |     29 |     30 |     31 |     32 |    33 |    34 |     35 |    36 |    37 |    38 |     39 |     40 |
|         1 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |
|         2 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |
|         3 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |
|         4 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |
|         5 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |
|         6 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |
|         7 |      0 |      0 |  0.10 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |   0.10 |      0 |      0 |      0 |     0 |      0 |  0.10 |      0 |   0.10 |     0 |   0.10 |     0 |      0 |      0 |  0.10 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |  0.10 |     0 |     0 |      0 |   0.10 |
|         8 |      0 |   0.20 |  0.10 |      0 |      0 |   0.40 |      0 |  0.10 |      0 |  0.10 |   0.50 |      0 |   1.60 |   0.20 |      0 |  0.20 |   0.20 |  0.10 |   0.10 |      0 |  0.20 |   1.60 |     0 |   1.20 |   2.60 |  0.80 |  0.10 |     0 |      0 |   0.40 |      0 |   0.20 |  0.20 |     0 |   0.10 |  0.10 |  0.50 |  0.10 |   0.20 |      0 |
|         9 |   1.00 |  20.80 |  1.70 |  11.30 |   1.30 |   5.70 |      0 |  0.10 |   3.50 |  0.60 |  13.70 |   2.00 |  15.70 |   3.60 |   0.60 | 15.40 |  14.80 |  0.80 |   0.80 |      0 |  0.40 |   1.20 |     0 |   1.80 |  56.60 | 15.00 |  0.40 |     0 |   4.80 |   6.20 |   7.70 |  11.50 |     0 |  7.00 |   1.30 |     0 |  2.70 |  1.40 |   1.90 |   7.40 |
|        10 |   2.70 |  52.30 | 11.20 |  90.30 |   5.40 |  32.00 |  15.30 |  5.60 |  21.30 | 16.20 |  45.40 |  17.40 |  98.60 |  23.40 |  12.30 | 23.80 |  42.80 |  6.70 |   3.80 |   8.30 | 19.10 |  16.30 | 34.90 |  16.00 | 144.60 | 35.80 |  3.30 |  4.50 |  38.60 |  12.70 |  34.30 |  49.30 | 22.30 | 38.90 |   6.30 |  2.80 | 20.80 |  5.40 |   5.90 |  42.80 |
