# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |     2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |    11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |   32 |   33 |   34 |   35 |   36 |   37 |   38 |   39 |   40 |
|         0 | 2.98 |  2.64 | 2.69 | 2.96 | 3.15 | 2.77 | 2.90 | 2.83 | 2.28 | 2.69 |  2.86 | 3.10 | 2.44 | 2.96 | 2.54 | 3.24 | 3.44 | 2.95 | 3.05 | 3.08 | 2.37 | 3.02 | 2.68 | 2.82 | 2.33 | 2.80 | 3.12 | 2.68 | 2.84 | 2.57 | 2.58 | 2.47 | 2.93 | 2.44 | 2.46 | 2.90 | 2.37 | 3.15 | 3.18 | 3.28 |
|         1 | 2.69 |  2.68 | 2.49 | 2.94 | 3.02 | 2.75 | 3.01 | 2.65 | 1.91 | 2.66 |  2.69 | 2.99 | 2.51 | 2.84 | 2.50 | 3.00 | 3.28 | 2.93 | 2.90 | 2.74 | 2.28 | 3.23 | 2.69 | 2.73 | 2.15 | 2.65 | 3.04 | 2.61 | 2.70 | 2.33 | 2.53 | 2.27 | 2.74 | 2.31 | 2.43 | 2.77 | 2.25 | 2.99 | 3.10 | 3.45 |
|         2 | 2.56 |  2.66 | 2.48 | 2.85 | 2.84 | 2.62 | 3.09 | 2.66 | 1.85 | 2.74 |  2.46 | 2.84 | 2.28 | 2.68 | 2.33 | 2.79 | 3.22 | 3.08 | 2.69 | 2.57 | 2.19 | 3.19 | 2.70 | 2.67 | 2.11 | 2.56 | 2.93 | 2.50 | 2.57 | 2.13 | 2.57 | 2.26 | 2.75 | 2.30 | 2.49 | 2.65 | 2.30 | 2.84 | 2.92 | 3.38 |
|         3 | 2.51 |  2.71 | 2.53 | 2.90 | 2.99 | 2.75 | 3.26 | 2.71 | 2.10 | 3.01 |  2.31 | 2.94 | 2.36 | 2.72 | 2.39 | 2.66 | 3.30 | 3.26 | 2.57 | 2.65 | 2.26 | 3.27 | 2.67 | 2.88 | 2.19 | 2.60 | 3.05 | 2.63 | 2.60 | 2.11 | 2.76 | 2.56 | 2.80 | 2.33 | 2.55 | 2.78 | 2.42 | 2.71 | 2.90 | 3.49 |
|         4 | 2.71 |  2.97 | 2.67 | 3.11 | 3.27 | 3.05 | 3.51 | 2.81 | 2.28 | 3.16 |  2.48 | 3.23 | 2.56 | 3.01 | 2.63 | 2.75 | 3.50 | 3.55 | 2.73 | 2.90 | 2.41 | 3.44 | 2.81 | 3.27 | 2.42 | 2.87 | 3.30 | 2.84 | 2.68 | 2.36 | 3.00 | 2.94 | 3.00 | 2.53 | 2.71 | 3.08 | 2.71 | 2.80 | 3.02 | 3.59 |
|         5 | 2.86 |  3.18 | 2.71 | 3.24 | 3.45 | 3.17 | 3.70 | 2.84 | 2.34 | 3.25 |  2.73 | 3.50 | 2.72 | 3.28 | 2.83 | 2.88 | 3.69 | 3.68 | 2.98 | 3.08 | 2.51 | 3.58 | 2.79 | 3.58 | 2.53 | 2.91 | 3.50 | 2.98 | 2.69 | 2.60 | 3.21 | 2.98 | 3.14 | 2.79 | 2.79 | 3.27 | 2.94 | 2.86 | 2.88 | 3.68 |
|         6 | 3.08 |  3.38 | 2.91 | 3.42 | 3.65 | 3.37 | 3.90 | 2.96 | 2.49 | 3.39 |  3.02 | 3.72 | 2.96 | 3.52 | 3.12 | 3.06 | 3.79 | 3.81 | 3.31 | 3.34 | 2.65 | 3.83 | 2.95 | 3.92 | 2.69 | 3.05 | 3.76 | 3.20 | 2.86 | 2.87 | 3.40 | 3.08 | 3.35 | 3.07 | 2.86 | 3.54 | 3.25 | 3.11 | 2.84 | 3.74 |
|         7 | 3.25 |  3.52 | 3.09 | 3.53 | 3.80 | 3.49 | 4.06 | 3.09 | 2.72 | 3.53 |  3.17 | 3.85 | 3.18 | 3.65 | 3.29 | 3.13 | 3.72 | 3.94 | 3.54 | 3.48 | 2.82 | 4.04 | 3.07 | 4.17 | 2.82 | 3.14 | 3.91 | 3.33 | 3.07 | 3.03 | 3.50 | 3.09 | 3.48 | 3.17 | 2.97 | 3.76 | 3.50 | 3.25 | 2.85 | 3.84 |
|         8 | 3.84 |  4.06 | 3.69 | 4.03 | 4.24 | 4.08 | 4.51 | 3.66 | 3.31 | 4.01 |  3.66 | 4.32 | 3.85 | 4.11 | 3.78 | 3.57 | 4.22 | 4.48 | 4.13 | 3.96 | 3.38 | 4.65 | 3.63 | 4.73 | 3.52 | 3.57 | 4.34 | 3.89 | 3.70 | 3.58 | 3.90 | 3.63 | 3.94 | 3.60 | 3.54 | 4.23 | 4.05 | 3.66 | 3.50 | 4.32 |
|         9 | 4.53 |  4.97 | 4.48 | 4.87 | 4.86 | 4.86 | 5.26 | 4.39 | 4.13 | 4.69 |  4.47 | 4.97 | 4.80 | 4.86 | 4.49 | 4.53 | 5.22 | 5.17 | 4.75 | 4.75 | 4.14 | 5.60 | 4.30 | 5.56 | 4.69 | 4.36 | 4.88 | 4.55 | 4.52 | 4.39 | 4.58 | 4.45 | 4.60 | 4.41 | 4.29 | 4.72 | 4.93 | 4.35 | 4.35 | 5.13 |
|        10 | 5.37 |  6.20 | 5.53 | 5.86 | 5.85 | 5.94 | 6.33 | 5.29 | 5.15 | 5.90 |  5.55 | 5.80 | 6.10 | 5.83 | 5.46 | 5.80 | 6.30 | 5.98 | 5.63 | 5.66 | 5.17 | 6.82 | 5.44 | 6.64 | 6.09 | 5.41 | 5.61 | 5.43 | 5.76 | 5.51 | 5.50 | 5.59 | 5.62 | 5.50 | 5.33 | 5.41 | 6.19 | 5.29 | 5.52 | 6.29 |
|        11 | 6.14 |  7.41 | 6.48 | 6.80 | 6.87 | 6.72 | 7.32 | 6.00 | 6.33 | 6.81 |  6.43 | 6.78 | 7.34 | 6.82 | 6.30 | 6.84 | 7.49 | 6.95 | 6.51 | 6.61 | 6.13 | 7.85 | 6.34 | 7.64 | 7.34 | 6.30 | 6.30 | 6.27 | 6.94 | 6.52 | 6.48 | 6.61 | 6.64 | 6.47 | 6.18 | 6.04 | 7.26 | 6.09 | 6.36 | 7.40 |
|        12 | 6.74 |  8.20 | 7.19 | 7.43 | 7.56 | 7.39 | 8.17 | 6.62 | 7.22 | 7.59 |  7.10 | 7.67 | 8.17 | 7.58 | 6.96 | 7.62 | 8.29 | 7.71 | 7.49 | 7.41 | 6.94 | 8.67 | 7.02 | 8.45 | 8.32 | 6.99 | 6.93 | 7.04 | 7.79 | 7.31 | 7.35 | 7.56 | 7.41 | 7.32 | 6.85 | 6.52 | 8.02 | 6.75 | 6.97 | 8.36 |
|        13 | 7.14 |  8.89 | 7.68 | 7.79 | 7.98 | 7.67 | 8.70 | 7.05 | 7.86 | 8.06 |  7.58 | 8.21 | 8.65 | 8.18 | 7.38 | 8.25 | 8.74 | 8.17 | 8.13 | 7.94 | 7.61 | 9.13 | 7.55 | 9.02 | 8.92 | 7.55 | 7.36 | 7.54 | 8.26 | 7.87 | 7.92 | 8.24 | 7.91 | 7.95 | 7.34 | 6.84 | 8.44 | 7.30 | 7.46 | 8.96 |
|        14 | 7.22 |  9.16 | 7.82 | 7.86 | 8.09 | 7.55 | 8.74 | 7.17 | 7.94 | 8.15 |  7.70 | 8.40 | 8.67 | 8.40 | 7.48 | 8.46 | 8.74 | 8.24 | 8.28 | 8.02 | 7.78 | 9.16 | 7.67 | 9.18 | 9.08 | 7.73 | 7.49 | 7.66 | 8.39 | 8.04 | 7.98 | 8.57 | 8.11 | 8.23 | 7.54 | 6.95 | 8.47 | 7.50 | 7.63 | 9.07 |
|        15 | 6.76 |  8.76 | 7.45 | 7.39 | 7.87 | 7.09 | 8.04 | 6.86 | 7.25 | 7.48 |  7.28 | 8.17 | 8.17 | 8.19 | 7.27 | 8.27 | 8.12 | 7.75 | 7.98 | 7.47 | 7.37 | 8.77 | 7.10 | 8.78 | 8.57 | 7.45 | 7.20 | 7.29 | 7.92 | 7.76 | 7.41 | 8.35 | 7.86 | 8.16 | 7.05 | 6.66 | 8.05 | 7.06 | 7.33 | 8.57 |
|        16 | 6.22 |  8.12 | 6.39 | 6.43 | 7.11 | 6.63 | 7.08 | 6.29 | 6.39 | 6.33 |  6.43 | 7.66 | 7.30 | 7.69 | 6.65 | 7.49 | 7.18 | 7.02 | 7.07 | 6.54 | 6.81 | 8.26 | 6.18 | 8.06 | 7.56 | 6.70 | 6.58 | 6.52 | 6.98 | 7.14 | 6.63 | 7.76 | 7.35 | 7.53 | 6.06 | 6.09 | 7.44 | 6.00 | 6.60 | 7.85 |
|        17 | 5.93 |  7.68 | 5.62 | 5.92 | 6.48 | 6.31 | 6.55 | 5.82 | 5.86 | 5.47 |  5.80 | 7.54 | 6.54 | 7.30 | 6.00 | 6.68 | 6.74 | 6.59 | 6.38 | 6.24 | 6.59 | 8.05 | 5.62 | 7.71 | 6.85 | 6.16 | 6.12 | 6.13 | 6.23 | 6.61 | 6.34 | 7.47 | 6.90 | 6.78 | 5.36 | 5.76 | 7.08 | 5.13 | 6.18 | 7.55 |
|        18 | 5.94 |  7.55 | 4.94 | 5.19 | 6.12 | 6.16 | 6.28 | 5.49 | 5.56 | 4.75 |  5.26 | 7.66 | 6.03 | 7.09 | 5.47 | 6.20 | 6.41 | 6.22 | 5.98 | 6.16 | 6.44 | 8.08 | 4.93 | 7.57 | 6.35 | 5.94 | 5.86 | 5.99 | 5.65 | 6.37 | 6.28 | 7.39 | 6.69 | 6.32 | 4.93 | 5.63 | 6.70 | 4.67 | 5.92 | 7.33 |
|        19 | 5.90 |  7.40 | 4.36 | 4.24 | 5.85 | 5.92 | 6.26 | 5.14 | 5.24 | 4.09 |  4.74 | 7.64 | 5.64 | 7.00 | 4.94 | 5.80 | 5.97 | 5.98 | 5.71 | 5.83 | 6.31 | 7.94 | 4.03 | 7.54 | 6.01 | 5.83 | 5.42 | 5.62 | 5.03 | 6.24 | 6.28 | 7.30 | 6.71 | 6.12 | 4.61 | 5.51 | 6.18 | 4.37 | 5.68 | 7.03 |
