# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |    1 |     2 |     3 |     4 |     5 |     6 |     7 |    8 |    9 |   10 |   11 |   12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |   21 |    22 |    23 |    24 |   25 |    26 |    27 |   28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | 7.72 |  8.37 |  8.15 |  7.41 |  7.74 |  8.33 |  8.32 | 9.08 | 8.28 | 7.82 | 8.03 | 7.94 |  7.76 |  7.63 |  7.79 |  7.70 |  8.00 |  8.34 |  7.87 |  8.42 | 8.16 |  7.95 |  7.76 |  7.79 | 7.52 |  7.04 |  8.11 | 8.35 |  7.69 |  7.44 |  7.52 |  7.89 |  7.96 |  7.45 |  8.68 |  8.40 |  8.17 |  8.97 |  8.70 |  8.18 |
|         1 | 7.45 |  8.07 |  7.74 |  7.18 |  7.75 |  8.05 |  8.45 | 9.01 | 8.18 | 7.75 | 7.83 | 7.70 |  7.54 |  7.37 |  7.41 |  7.72 |  7.83 |  8.24 |  7.66 |  8.16 | 8.02 |  7.79 |  7.52 |  7.62 | 7.56 |  7.12 |  7.85 | 8.17 |  7.59 |  7.27 |  7.28 |  7.75 |  7.84 |  7.38 |  8.30 |  8.34 |  7.99 |  8.49 |  8.40 |  8.06 |
|         2 | 7.45 |  7.99 |  7.52 |  7.24 |  7.56 |  7.96 |  8.41 | 8.79 | 8.32 | 7.88 | 7.85 | 7.74 |  7.57 |  7.48 |  7.36 |  7.80 |  7.65 |  8.41 |  7.77 |  7.97 | 7.81 |  7.62 |  7.49 |  7.52 | 7.57 |  7.33 |  7.80 | 8.10 |  7.71 |  7.56 |  7.11 |  7.63 |  7.97 |  7.38 |  8.19 |  8.18 |  8.06 |  8.46 |  8.21 |  7.99 |
|         3 | 7.63 |  8.04 |  7.60 |  7.59 |  7.26 |  8.18 |  7.97 | 8.67 | 8.10 | 7.89 | 7.98 | 7.76 |  7.54 |  7.44 |  7.51 |  7.36 |  8.00 |  8.60 |  8.06 |  8.05 | 7.87 |  7.36 |  7.71 |  7.81 | 7.22 |  7.16 |  7.87 | 8.09 |  7.70 |  7.55 |  7.43 |  7.79 |  8.13 |  7.06 |  8.51 |  8.22 |  7.94 |  8.45 |  7.99 |  7.95 |
|         4 | 7.67 |  7.63 |  7.65 |  7.61 |  6.58 |  8.20 |  7.50 | 8.63 | 7.54 | 7.41 | 7.81 | 7.35 |  7.04 |  7.15 |  7.34 |  6.71 |  8.09 |  8.34 |  7.80 |  8.12 | 7.90 |  6.96 |  7.72 |  7.45 | 6.71 |  6.79 |  8.12 | 7.68 |  7.71 |  7.02 |  7.54 |  7.91 |  7.71 |  6.85 |  8.33 |  8.13 |  7.79 |  8.15 |  8.51 |  7.40 |
|         5 | 7.37 |  7.20 |  7.36 |  7.47 |  6.15 |  7.64 |  7.12 | 8.58 | 7.07 | 7.15 | 7.25 | 6.87 |  6.57 |  6.65 |  6.85 |  6.34 |  7.56 |  7.78 |  7.08 |  7.71 | 7.50 |  6.69 |  7.11 |  6.84 | 6.35 |  6.43 |  7.98 | 7.17 |  7.21 |  6.68 |  7.22 |  7.42 |  6.95 |  6.55 |  7.75 |  7.60 |  7.34 |  7.60 |  8.15 |  6.67 |
|         6 | 6.94 |  7.01 |  7.12 |  7.14 |  5.79 |  7.42 |  6.95 | 8.38 | 6.84 | 6.98 | 7.00 | 6.74 |  6.22 |  6.58 |  6.90 |  6.04 |  7.55 |  7.33 |  6.91 |  7.20 | 7.12 |  6.35 |  6.68 |  6.55 | 6.13 |  6.29 |  7.62 | 6.84 |  6.93 |  6.61 |  6.82 |  6.88 |  6.54 |  6.29 |  7.21 |  7.10 |  6.76 |  7.17 |  7.72 |  6.21 |
|         7 | 6.76 |  6.43 |  7.19 |  6.78 |  5.28 |  7.16 |  6.70 | 8.00 | 6.44 | 6.83 | 6.81 | 6.53 |  5.44 |  6.12 |  6.88 |  5.68 |  7.70 |  7.06 |  6.97 |  6.99 | 7.09 |  5.53 |  6.51 |  6.16 | 5.86 |  6.15 |  7.35 | 6.71 |  6.98 |  6.16 |  6.29 |  6.55 |  6.18 |  5.49 |  6.93 |  6.76 |  6.33 |  6.89 |  7.43 |  6.03 |
|         8 | 6.45 |  5.22 |  7.07 |  6.35 |  4.92 |  6.40 |  6.20 | 7.65 | 6.02 | 6.32 | 6.42 | 6.13 |  4.85 |  5.85 |  6.43 |  5.23 |  7.65 |  6.67 |  6.65 |  6.80 | 6.84 |  4.91 |  6.22 |  5.65 | 5.42 |  5.63 |  7.15 | 6.47 |  7.04 |  5.66 |  5.58 |  6.10 |  5.42 |  4.95 |  6.88 |  6.42 |  5.61 |  6.53 |  7.28 |  5.74 |
|         9 | 5.91 |  4.11 |  6.39 |  5.69 |  4.53 |  5.81 |  5.52 | 7.31 | 5.55 | 5.77 | 6.01 | 5.82 |  4.32 |  5.53 |  5.86 |  4.81 |  7.13 |  6.18 |  6.43 |  6.34 | 6.22 |  4.28 |  5.75 |  5.38 | 4.87 |  5.21 |  6.40 | 5.90 |  6.79 |  5.24 |  4.89 |  5.36 |  4.87 |  4.44 |  6.64 |  5.80 |  4.99 |  6.03 |  6.92 |  5.15 |
