# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |      2 |     3 |      4 |      5 |     6 |      7 |     8 |     9 |    10 |     11 |    12 |     13 |     14 |     15 |    16 |     17 |    18 |    19 |    20 |    21 |    22 |     23 |    24 |    25 |    26 |    27 |    28 |    29 |     30 |    31 |     32 |    33 |    34 |    35 |    36 |    37 |    38 |     39 |     40 |
|         1 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         2 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         3 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         4 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         5 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         6 |     0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         7 |  0.20 |   0.60 |  0.30 |   0.20 |   0.40 |     0 |   0.40 |     0 |  0.30 |     0 |   0.10 |  0.40 |   0.70 |   0.10 |      0 |  0.20 |   0.30 |  0.30 |  0.30 |     0 |  0.10 |     0 |   0.10 |  0.80 |     0 |  0.60 |     0 |  0.30 |     0 |   0.10 |     0 |   0.20 |  0.20 |  0.80 |  0.20 |  0.30 |  0.50 |  0.70 |   0.50 |   0.10 |
|         8 |  1.60 |  20.20 |  3.40 |   5.00 |   4.50 |  2.90 |   5.40 |  0.40 |  7.50 |  1.60 |   4.70 |  5.40 |  22.70 |   4.60 |   0.80 |  2.10 |   2.50 |  6.10 |  9.40 |  0.10 |  5.30 |  3.10 |   1.40 | 16.60 |  0.20 |  3.80 |  2.00 |  5.00 |  1.30 |   6.30 |  0.50 |   7.50 |  4.00 | 17.60 |  0.40 |  3.90 | 10.00 | 18.40 |   9.20 |   2.10 |
|         9 | 14.90 |  77.60 |  5.90 |  17.50 |  10.40 | 19.80 |  20.70 |  4.20 | 23.00 | 14.40 |  40.10 | 15.70 |  68.90 |  23.20 |  26.90 | 11.30 |  22.00 | 33.20 | 35.20 |  2.10 | 22.50 | 20.80 |  15.90 | 52.70 |  2.40 | 18.30 | 19.20 | 32.40 |  5.60 |  22.90 |  1.30 |  40.80 | 12.10 | 47.20 | 19.20 | 15.10 | 45.00 | 39.20 |  51.60 |  42.70 |
|        10 | 30.40 | 127.90 | 19.50 |  24.60 |  16.70 | 33.10 |  42.90 | 13.30 | 29.10 | 23.30 |  81.80 | 18.50 | 110.60 |  44.20 |  37.10 | 19.60 |  51.30 | 58.50 | 41.90 | 38.60 | 37.20 | 23.40 |  23.90 | 73.00 | 14.80 | 21.10 | 60.90 | 53.00 | 13.70 |  64.20 |  1.20 |  95.20 | 17.00 | 67.00 | 32.30 | 19.40 | 86.60 | 59.20 | 102.30 |  87.70 |
