# variable: Mean Sea Level Pressure
# units: hPa
# 
| fcst_hour |       1 |       2 |       3 |       4 |       5 |       6 |       7 |       8 |       9 |      10 |      11 |      12 |      13 |      14 |      15 |      16 |      17 |      18 |      19 |      20 |      21 |      22 |      23 |      24 |      25 |      26 |      27 |      28 |      29 |      30 |      31 |      32 |      33 |      34 |      35 |      36 |      37 |      38 |      39 |      40 |
|         0 | 1017.93 | 1017.42 | 1018.06 | 1018.44 | 1018.10 | 1018.26 | 1018.85 | 1017.82 | 1018.37 | 1018.34 | 1017.65 | 1017.43 | 1016.86 | 1017.97 | 1018.72 | 1018.87 | 1019.21 | 1017.43 | 1017.76 | 1018.20 | 1017.76 | 1018.47 | 1017.51 | 1018.39 | 1018.90 | 1017.83 | 1018.14 | 1019.44 | 1018.99 | 1018.81 | 1019.16 | 1018.68 | 1018.28 | 1017.75 | 1019.57 | 1017.96 | 1018.28 | 1018.22 | 1019.30 | 1018.20 |
|         1 | 1018.87 | 1018.54 | 1019.08 | 1019.30 | 1019.12 | 1019.22 | 1019.74 | 1018.41 | 1019.50 | 1019.25 | 1018.51 | 1018.27 | 1017.67 | 1018.91 | 1019.67 | 1019.72 | 1019.77 | 1018.35 | 1018.39 | 1018.97 | 1018.60 | 1019.22 | 1018.46 | 1019.15 | 1019.69 | 1018.58 | 1019.01 | 1020.32 | 1019.76 | 1019.73 | 1019.79 | 1019.55 | 1018.83 | 1018.64 | 1020.49 | 1018.66 | 1018.73 | 1018.84 | 1019.90 | 1019.03 |
|         2 | 1018.95 | 1018.52 | 1019.22 | 1019.62 | 1019.08 | 1019.14 | 1019.46 | 1018.45 | 1019.83 | 1019.40 | 1018.66 | 1018.17 | 1017.64 | 1018.91 | 1019.72 | 1019.76 | 1019.80 | 1018.30 | 1018.65 | 1018.59 | 1018.74 | 1019.31 | 1018.65 | 1019.31 | 1020.02 | 1018.73 | 1019.04 | 1020.44 | 1019.82 | 1019.83 | 1019.94 | 1019.51 | 1018.83 | 1018.49 | 1020.54 | 1018.50 | 1018.83 | 1018.83 | 1020.00 | 1019.09 |
|         3 | 1019.69 | 1018.79 | 1019.49 | 1020.25 | 1019.66 | 1019.53 | 1019.86 | 1018.98 | 1020.02 | 1020.04 | 1019.11 | 1018.90 | 1018.09 | 1019.32 | 1020.14 | 1019.82 | 1019.96 | 1019.24 | 1019.20 | 1018.89 | 1019.28 | 1019.57 | 1019.52 | 1019.50 | 1020.55 | 1019.39 | 1019.49 | 1020.84 | 1020.23 | 1020.31 | 1019.92 | 1019.84 | 1019.33 | 1018.94 | 1020.41 | 1018.91 | 1019.21 | 1019.24 | 1020.47 | 1019.45 |
|         4 | 1020.25 | 1019.25 | 1020.11 | 1020.84 | 1020.03 | 1020.18 | 1020.52 | 1019.59 | 1020.35 | 1020.56 | 1019.71 | 1019.39 | 1018.69 | 1019.74 | 1020.73 | 1020.35 | 1020.50 | 1019.96 | 1019.66 | 1019.10 | 1019.71 | 1020.17 | 1020.13 | 1019.93 | 1020.76 | 1019.91 | 1020.01 | 1021.12 | 1021.04 | 1020.79 | 1020.38 | 1020.44 | 1019.77 | 1019.85 | 1020.98 | 1019.50 | 1020.06 | 1019.95 | 1020.90 | 1020.02 |
|         5 | 1020.76 | 1019.92 | 1020.74 | 1020.81 | 1020.37 | 1020.70 | 1020.97 | 1020.25 | 1020.64 | 1021.03 | 1019.97 | 1019.85 | 1019.51 | 1020.08 | 1021.18 | 1020.81 | 1020.76 | 1020.52 | 1020.08 | 1019.61 | 1020.14 | 1020.71 | 1020.34 | 1020.41 | 1021.10 | 1020.51 | 1020.31 | 1021.42 | 1021.44 | 1021.02 | 1021.02 | 1020.93 | 1020.39 | 1020.46 | 1021.77 | 1019.80 | 1020.48 | 1020.40 | 1021.41 | 1021.08 |
|         6 | 1021.61 | 1020.78 | 1021.51 | 1021.56 | 1021.10 | 1021.65 | 1021.56 | 1021.11 | 1021.66 | 1021.95 | 1021.14 | 1020.58 | 1020.05 | 1021.16 | 1021.79 | 1021.96 | 1021.66 | 1021.20 | 1020.78 | 1020.67 | 1020.97 | 1021.52 | 1020.92 | 1021.86 | 1021.84 | 1021.54 | 1021.03 | 1022.25 | 1022.24 | 1021.92 | 1022.26 | 1021.86 | 1021.21 | 1021.24 | 1022.67 | 1020.79 | 1021.09 | 1021.28 | 1022.17 | 1022.06 |
|         7 | 1022.55 | 1021.45 | 1022.30 | 1022.36 | 1021.96 | 1022.54 | 1022.48 | 1022.04 | 1022.82 | 1022.80 | 1022.32 | 1021.48 | 1021.02 | 1022.33 | 1022.63 | 1022.74 | 1022.65 | 1021.87 | 1021.67 | 1021.80 | 1021.90 | 1022.21 | 1021.69 | 1023.12 | 1022.91 | 1022.40 | 1022.03 | 1023.17 | 1023.27 | 1023.19 | 1023.23 | 1022.67 | 1022.17 | 1021.93 | 1023.29 | 1021.82 | 1021.81 | 1022.29 | 1022.84 | 1022.90 |
|         8 | 1022.97 | 1022.06 | 1022.98 | 1023.28 | 1022.55 | 1023.06 | 1023.00 | 1022.54 | 1023.56 | 1023.27 | 1022.90 | 1022.35 | 1021.76 | 1022.79 | 1023.21 | 1023.28 | 1023.21 | 1022.32 | 1022.17 | 1022.56 | 1022.55 | 1022.88 | 1022.30 | 1023.78 | 1023.63 | 1022.76 | 1022.95 | 1023.92 | 1023.91 | 1023.83 | 1023.80 | 1023.17 | 1023.48 | 1022.66 | 1024.00 | 1022.70 | 1022.48 | 1023.01 | 1023.41 | 1023.17 |
|         9 | 1023.88 | 1023.10 | 1024.04 | 1024.02 | 1023.82 | 1023.97 | 1023.90 | 1023.17 | 1024.67 | 1023.83 | 1023.44 | 1023.00 | 1022.73 | 1023.44 | 1023.95 | 1023.75 | 1024.11 | 1023.05 | 1023.00 | 1023.11 | 1023.36 | 1023.71 | 1023.13 | 1024.30 | 1024.44 | 1023.43 | 1023.69 | 1024.41 | 1024.47 | 1024.63 | 1024.61 | 1024.10 | 1024.39 | 1023.63 | 1024.96 | 1023.45 | 1023.50 | 1023.92 | 1023.85 | 1024.01 |
|        10 | 1024.38 | 1024.21 | 1024.02 | 1024.68 | 1024.24 | 1024.24 | 1024.34 | 1023.62 | 1025.02 | 1024.28 | 1023.79 | 1023.26 | 1023.74 | 1023.71 | 1024.42 | 1024.48 | 1024.53 | 1023.72 | 1023.60 | 1023.64 | 1024.13 | 1024.13 | 1023.73 | 1024.53 | 1024.89 | 1023.77 | 1023.71 | 1024.96 | 1024.87 | 1025.12 | 1025.08 | 1024.86 | 1024.61 | 1024.17 | 1025.46 | 1023.83 | 1024.32 | 1024.28 | 1024.61 | 1024.26 |
|        11 | 1024.46 | 1024.20 | 1024.17 | 1024.92 | 1024.35 | 1024.48 | 1024.61 | 1023.99 | 1024.86 | 1024.26 | 1024.02 | 1023.44 | 1023.82 | 1023.84 | 1024.67 | 1024.94 | 1024.78 | 1023.98 | 1023.85 | 1023.84 | 1024.21 | 1024.16 | 1023.86 | 1024.73 | 1024.74 | 1024.09 | 1023.88 | 1024.90 | 1025.11 | 1024.97 | 1025.11 | 1024.99 | 1024.85 | 1024.57 | 1025.28 | 1023.95 | 1024.39 | 1024.28 | 1024.74 | 1024.47 |
|        12 | 1024.23 | 1023.89 | 1023.88 | 1024.74 | 1024.27 | 1024.49 | 1024.75 | 1024.25 | 1024.57 | 1024.19 | 1024.31 | 1023.43 | 1023.67 | 1023.92 | 1024.76 | 1025.05 | 1024.71 | 1024.05 | 1024.08 | 1023.77 | 1024.34 | 1024.19 | 1024.06 | 1024.86 | 1024.68 | 1024.48 | 1023.83 | 1024.91 | 1025.23 | 1024.78 | 1025.03 | 1025.07 | 1024.73 | 1024.48 | 1025.08 | 1023.94 | 1024.21 | 1024.21 | 1024.97 | 1024.37 |
|        13 | 1024.66 | 1024.09 | 1024.37 | 1025.16 | 1024.51 | 1025.05 | 1025.21 | 1024.58 | 1025.00 | 1024.63 | 1024.76 | 1023.93 | 1023.92 | 1024.65 | 1025.21 | 1025.27 | 1025.08 | 1024.70 | 1024.66 | 1023.99 | 1024.95 | 1024.81 | 1024.46 | 1025.41 | 1025.37 | 1024.82 | 1024.14 | 1025.21 | 1025.54 | 1025.31 | 1025.36 | 1025.50 | 1025.08 | 1025.02 | 1025.40 | 1024.47 | 1024.91 | 1024.79 | 1025.33 | 1024.86 |
|        14 | 1025.37 | 1024.74 | 1024.96 | 1025.45 | 1025.00 | 1025.37 | 1025.48 | 1025.03 | 1025.55 | 1025.35 | 1025.29 | 1024.36 | 1024.52 | 1025.30 | 1025.48 | 1025.42 | 1025.64 | 1025.17 | 1024.85 | 1024.36 | 1025.48 | 1025.33 | 1025.02 | 1025.91 | 1025.77 | 1025.07 | 1024.62 | 1025.51 | 1025.81 | 1026.02 | 1025.94 | 1025.95 | 1025.56 | 1025.40 | 1025.85 | 1025.07 | 1025.49 | 1025.16 | 1025.76 | 1025.37 |
|        15 | 1026.23 | 1025.49 | 1025.60 | 1026.15 | 1025.63 | 1025.80 | 1026.09 | 1025.58 | 1026.27 | 1026.05 | 1025.76 | 1024.94 | 1025.35 | 1025.73 | 1025.95 | 1025.95 | 1026.26 | 1025.81 | 1025.01 | 1025.06 | 1026.30 | 1025.83 | 1025.49 | 1026.28 | 1026.23 | 1025.54 | 1025.03 | 1026.12 | 1026.36 | 1026.76 | 1026.69 | 1026.43 | 1026.33 | 1025.89 | 1026.34 | 1025.61 | 1026.16 | 1025.70 | 1026.36 | 1026.02 |
|        16 | 1026.56 | 1025.76 | 1026.03 | 1026.57 | 1026.04 | 1026.17 | 1026.74 | 1025.94 | 1026.68 | 1026.35 | 1025.94 | 1025.09 | 1025.86 | 1025.72 | 1026.07 | 1026.46 | 1026.66 | 1026.08 | 1025.39 | 1025.50 | 1026.59 | 1025.93 | 1025.81 | 1026.47 | 1026.43 | 1026.02 | 1025.40 | 1026.49 | 1026.69 | 1026.95 | 1027.07 | 1026.64 | 1026.64 | 1026.04 | 1026.67 | 1025.92 | 1026.43 | 1026.06 | 1026.37 | 1026.32 |
