# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |     3 |    4 |    5 |    6 |     7 |    8 |    9 |    10 |   11 |    12 |   13 |   14 |    15 |    16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |    31 |   32 |   33 |    34 |   35 |   36 |    37 |   38 |   39 |   40 |
|         0 | 3.34 | 4.92 |  3.77 | 2.18 | 4.86 | 3.60 |  3.66 | 2.68 | 2.55 |  3.22 | 3.13 |  4.18 | 4.45 | 4.11 |  3.48 |  4.29 | 3.25 | 5.54 | 2.89 | 4.04 | 3.82 | 4.82 | 3.28 | 4.49 | 2.74 | 3.29 | 2.85 | 4.61 | 2.94 | 2.75 |  2.53 | 5.58 | 4.70 |  3.57 | 1.66 | 4.05 |  4.00 | 3.00 | 2.82 | 5.95 |
|         1 | 3.36 | 4.86 |  3.26 | 2.45 | 4.61 | 3.45 |  3.28 | 2.91 | 2.50 |  3.29 | 3.43 |  3.96 | 4.20 | 4.04 |  3.13 |  4.43 | 2.94 | 4.93 | 2.93 | 3.98 | 3.32 | 4.13 | 3.57 | 4.09 | 2.43 | 2.87 | 2.97 | 4.25 | 2.72 | 2.43 |  2.47 | 5.32 | 4.13 |  3.55 | 1.43 | 3.98 |  3.99 | 2.76 | 2.90 | 5.14 |
|         2 | 2.67 | 4.76 |  2.71 | 2.54 | 4.52 | 3.10 |  3.57 | 2.57 | 2.41 |  3.10 | 3.51 |  3.73 | 3.95 | 3.96 |  2.85 |  4.29 | 2.80 | 4.46 | 3.80 | 3.76 | 2.37 | 3.85 | 2.88 | 4.11 | 2.24 | 2.77 | 3.09 | 3.21 | 2.55 | 2.34 |  2.25 | 5.02 | 3.42 |  3.55 | 1.50 | 3.50 |  4.02 | 2.35 | 2.69 | 3.88 |
|         3 | 2.65 | 4.55 |  2.24 | 2.53 | 4.64 | 3.14 |  3.74 | 2.49 | 2.61 |  3.26 | 3.65 |  3.34 | 3.79 | 3.81 |  3.02 |  4.30 | 2.85 | 4.19 | 4.07 | 3.85 | 2.46 | 3.46 | 2.38 | 4.00 | 2.25 | 3.24 | 3.26 | 3.13 | 2.76 | 2.23 |  2.33 | 4.90 | 3.48 |  3.52 | 1.20 | 3.12 |  4.15 | 2.06 | 2.30 | 3.76 |
|         4 | 2.54 | 4.24 |  1.54 | 2.44 | 4.68 | 3.09 |  3.87 | 2.25 | 2.65 |  3.20 | 3.78 |  3.13 | 3.84 | 3.71 |  2.94 |  4.33 | 2.95 | 4.03 | 4.09 | 3.92 | 2.30 | 3.46 | 2.36 | 3.95 | 2.29 | 3.47 | 3.51 | 2.95 | 2.74 | 1.91 |  2.45 | 4.58 | 2.97 |  3.36 | 0.95 | 2.88 |  3.98 | 1.95 | 2.07 | 3.66 |
|         5 | 2.89 | 4.18 |  1.27 | 2.51 | 4.68 | 3.37 |  3.92 | 2.13 | 2.62 |  3.42 | 3.86 |  3.17 | 3.65 | 3.65 |  2.98 |  4.43 | 3.18 | 4.02 | 4.05 | 4.16 | 2.12 | 3.78 | 2.46 | 3.80 | 2.35 | 3.37 | 3.73 | 2.83 | 2.68 | 1.81 |  2.67 | 4.66 | 2.82 |  3.43 | 1.00 | 2.84 |  3.84 | 1.67 | 2.24 | 3.76 |
|         6 | 3.20 | 3.89 |  1.13 | 2.65 | 4.58 | 3.55 |  3.77 | 1.93 | 2.55 |  3.66 | 4.01 |  2.96 | 3.64 | 3.76 |  3.13 |  4.57 | 3.47 | 4.04 | 4.02 | 4.25 | 1.94 | 4.02 | 2.72 | 3.69 | 2.63 | 3.36 | 3.85 | 3.04 | 2.70 | 1.82 |  2.65 | 4.65 | 2.85 |  3.60 | 1.06 | 2.94 |  3.64 | 1.58 | 2.21 | 3.93 |
|         7 | 3.51 | 3.52 |  1.18 | 2.88 | 4.34 | 3.83 |  3.91 | 2.02 | 2.49 |  3.82 | 4.03 |  2.54 | 3.56 | 3.76 |  3.32 |  4.70 | 3.71 | 4.02 | 3.97 | 4.20 | 1.93 | 4.09 | 3.08 | 3.59 | 2.94 | 3.34 | 3.97 | 3.25 | 2.77 | 2.11 |  2.90 | 4.55 | 2.63 |  3.55 | 1.13 | 3.03 |  3.56 | 1.60 | 2.18 | 4.14 |
|         8 | 3.89 | 3.75 |  1.70 | 3.63 | 4.67 | 4.21 |  4.49 | 2.73 | 3.07 |  4.20 | 4.49 |  2.41 | 4.02 | 4.21 |  3.87 |  5.09 | 4.13 | 4.46 | 4.54 | 4.33 | 2.19 | 4.27 | 3.70 | 4.00 | 3.41 | 3.75 | 4.25 | 3.81 | 3.53 | 2.80 |  3.52 | 4.80 | 2.81 |  4.00 | 1.69 | 3.66 |  4.04 | 2.48 | 2.97 | 4.64 |
|         9 | 4.68 | 4.93 |  2.74 | 4.67 | 5.34 | 4.90 |  5.40 | 3.44 | 4.05 |  4.96 | 5.36 |  2.98 | 5.33 | 5.01 |  4.84 |  5.67 | 5.04 | 5.40 | 5.49 | 4.72 | 3.38 | 5.04 | 4.70 | 5.02 | 4.14 | 4.48 | 4.93 | 4.79 | 4.28 | 3.97 |  4.31 | 5.64 | 3.34 |  5.13 | 3.01 | 4.84 |  5.23 | 3.79 | 4.43 | 5.53 |
