# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |      3 |      4 |      5 |     6 |      7 |     8 |     9 |    10 |    11 |     12 |    13 |     14 |    15 |    16 |    17 |     18 |    19 |     20 |     21 |     22 |     23 |     24 |    25 |     26 |     27 |    28 |     29 |     30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |     39 |     40 |
|         1 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         2 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         3 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         4 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         5 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         6 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |
|         7 |  0.40 |  0.30 |   0.20 |   0.10 |   0.10 |  0.20 |      0 |     0 |  0.20 |  0.10 |  0.10 |      0 |  0.10 |   0.10 |     0 |  0.10 |     0 |      0 |  0.10 |   0.10 |   0.60 |      0 |   0.50 |   0.60 |  0.20 |      0 |   0.50 |     0 |      0 |   0.30 |  0.30 |  0.10 |     0 |  0.10 |     0 |     0 |  0.70 |  0.10 |   0.70 |   0.10 |
|         8 |  6.80 |  7.40 |   6.40 |   1.40 |   0.90 |  6.30 |      0 |  1.30 |  2.10 |  1.70 |  1.60 |   0.30 |  5.40 |   2.10 |     0 |  3.30 |  0.50 |      0 |  2.50 |   1.00 |  12.80 |   0.10 |   8.20 |  14.10 |  4.40 |   0.30 |   7.10 |  0.20 |      0 |   6.90 |  3.20 |  2.00 |  0.50 |  0.10 |  1.00 |  0.10 | 14.00 |  1.80 |   8.80 |   0.40 |
|         9 | 12.20 | 21.10 |  17.20 |   0.90 |   5.60 | 32.30 |      0 | 15.60 |  5.10 | 10.60 |  6.20 |   3.50 | 25.00 |   9.80 |  0.60 | 11.00 |  9.10 |   1.70 | 11.60 |   1.00 |  43.60 |   2.10 |  16.00 |  33.70 |  9.90 |   3.00 |   8.50 |  0.60 |   1.30 |  14.90 |  1.80 |  6.80 |  2.70 |  4.00 |  3.90 |  3.00 | 30.00 | 17.50 |   9.10 |   0.60 |
|        10 |  4.70 | 28.60 |  18.70 |   1.20 |  13.70 | 55.80 |   0.80 | 19.80 | 11.40 | 32.20 |  6.00 |  18.10 | 52.30 |  32.60 |  2.40 | 24.10 | 16.80 |   1.50 | 20.40 |      0 |  39.30 |  18.30 |  15.20 |  71.50 |  9.00 |   5.00 |  12.50 |  2.60 |   5.20 |  29.90 |  2.90 |  1.80 |  2.10 | 14.50 |  0.50 |  5.00 | 10.30 | 47.00 |   2.20 |   5.30 |
