# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |   21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |   30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  4.57 |  4.84 |  4.44 |  4.61 |  4.92 |  4.91 |  4.94 |  4.59 |  4.93 |  5.17 |  4.49 |  4.95 |  4.88 |  5.05 |  4.87 |  5.05 |  4.82 |  4.62 |  5.18 |  4.88 | 4.95 |  5.16 |  5.04 |  5.35 |  4.47 |  4.93 |  5.29 |  4.64 |  4.88 | 5.16 |  4.70 |  5.12 |  4.50 |  4.87 |  4.69 |  4.70 |  5.15 |  5.01 |  5.03 |  5.17 |
|         1 |  4.41 |  4.73 |  4.17 |  4.23 |  4.69 |  4.73 |  4.78 |  4.40 |  4.72 |  4.99 |  4.31 |  4.80 |  4.44 |  4.87 |  4.71 |  4.64 |  4.69 |  4.48 |  4.93 |  4.76 | 4.63 |  4.87 |  4.80 |  5.10 |  4.23 |  4.80 |  5.13 |  4.47 |  4.66 | 4.95 |  4.55 |  4.94 |  4.35 |  4.66 |  4.48 |  4.50 |  4.97 |  4.88 |  4.91 |  5.02 |
|         2 |  4.16 |  4.72 |  3.90 |  4.01 |  4.33 |  4.66 |  4.63 |  4.11 |  4.61 |  4.96 |  4.33 |  4.71 |  4.03 |  4.84 |  4.63 |  4.33 |  4.46 |  4.45 |  4.62 |  4.74 | 4.42 |  4.81 |  4.49 |  5.01 |  4.15 |  4.76 |  5.05 |  4.38 |  4.30 | 4.81 |  4.59 |  4.73 |  4.27 |  4.51 |  4.38 |  4.42 |  4.79 |  4.84 |  4.86 |  4.93 |
|         3 |  3.86 |  4.67 |  3.62 |  3.96 |  4.20 |  4.60 |  4.53 |  3.94 |  4.56 |  4.87 |  4.26 |  4.61 |  3.87 |  4.77 |  4.59 |  3.98 |  4.39 |  4.41 |  4.44 |  4.73 | 4.11 |  4.67 |  4.05 |  4.96 |  4.07 |  4.65 |  4.93 |  4.31 |  3.84 | 4.63 |  4.56 |  4.53 |  4.17 |  4.36 |  4.24 |  4.33 |  4.47 |  4.71 |  4.76 |  4.88 |
|         4 |  3.50 |  4.64 |  3.47 |  4.11 |  4.37 |  4.55 |  4.52 |  4.02 |  4.49 |  4.81 |  4.10 |  4.55 |  4.12 |  4.74 |  4.58 |  3.90 |  4.46 |  4.38 |  4.52 |  4.73 | 3.82 |  4.59 |  3.67 |  4.92 |  4.00 |  4.63 |  4.67 |  4.33 |  3.47 | 4.44 |  4.47 |  4.30 |  4.18 |  4.39 |  4.23 |  4.34 |  4.20 |  4.58 |  4.71 |  4.90 |
|         5 |  3.32 |  4.41 |  3.43 |  4.14 |  4.51 |  4.28 |  4.44 |  4.21 |  4.42 |  4.66 |  3.96 |  4.46 |  4.25 |  4.67 |  4.52 |  3.91 |  4.47 |  4.29 |  4.58 |  4.60 | 3.53 |  4.62 |  3.27 |  4.80 |  3.80 |  4.56 |  4.15 |  4.28 |  3.26 | 4.28 |  4.37 |  4.01 |  4.10 |  4.45 |  4.14 |  4.30 |  3.96 |  4.43 |  4.49 |  4.82 |
|         6 |  3.37 |  4.18 |  3.54 |  4.20 |  4.58 |  4.14 |  4.37 |  4.38 |  4.35 |  4.60 |  4.15 |  4.45 |  4.27 |  4.61 |  4.42 |  3.90 |  4.42 |  4.31 |  4.58 |  4.43 | 3.27 |  4.69 |  2.96 |  4.65 |  3.62 |  4.56 |  3.54 |  4.20 |  3.52 | 4.22 |  4.28 |  3.92 |  4.10 |  4.55 |  4.13 |  4.25 |  3.79 |  4.37 |  4.16 |  4.71 |
|         7 |  3.39 |  3.95 |  3.67 |  4.31 |  4.49 |  4.10 |  4.31 |  4.49 |  4.33 |  4.52 |  4.34 |  4.46 |  4.20 |  4.59 |  4.35 |  4.04 |  4.40 |  4.39 |  4.50 |  4.28 | 2.90 |  4.73 |  2.93 |  4.30 |  3.58 |  4.59 |  3.21 |  4.09 |  4.00 | 4.22 |  4.12 |  4.02 |  4.17 |  4.59 |  4.11 |  4.27 |  3.50 |  4.31 |  3.72 |  4.68 |
|         8 |  3.86 |  4.19 |  4.18 |  4.74 |  4.52 |  4.39 |  4.67 |  4.74 |  4.61 |  4.80 |  4.52 |  4.66 |  4.51 |  4.79 |  4.52 |  4.48 |  4.83 |  4.61 |  4.70 |  4.42 | 3.30 |  4.99 |  3.74 |  4.31 |  3.95 |  4.86 |  3.76 |  4.51 |  4.57 | 4.61 |  4.34 |  4.46 |  4.57 |  4.81 |  4.38 |  4.52 |  3.85 |  4.62 |  4.06 |  4.95 |
|         9 |  5.04 |  5.48 |  5.31 |  5.22 |  4.83 |  5.31 |  5.23 |  5.57 |  5.17 |  5.20 |  4.90 |  5.05 |  5.03 |  5.21 |  5.03 |  5.35 |  5.48 |  4.91 |  5.18 |  4.73 | 4.48 |  5.36 |  4.89 |  4.91 |  4.93 |  5.25 |  5.00 |  4.82 |  5.36 | 5.46 |  4.86 |  5.52 |  4.81 |  5.34 |  4.97 |  5.22 |  5.00 |  5.22 |  5.09 |  5.45 |
