# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |     2 |     3 |     4 |      5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |     18 |     19 |    20 |    21 |     22 |    23 |    24 |    25 |     26 |    27 |    28 |     29 |     30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |     40 |
|         1 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         2 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         3 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         4 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         5 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         6 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |
|         7 |      0 |     0 |  0.50 |  0.80 |   0.70 |  0.10 |  0.70 |     0 |     0 |  0.10 |  0.10 |     0 |     0 |  0.20 |  0.30 |     0 |  0.10 |   0.10 |   0.50 |     0 |     0 |   0.60 |  0.10 |  0.10 |  0.50 |   0.10 |  0.40 |  0.10 |   0.70 |   0.60 |     0 |  0.10 |     0 |  0.10 |  0.50 |  0.60 |     0 |  0.10 |     0 |   0.50 |
|         8 |   1.90 |  0.70 | 13.20 | 14.60 |  12.50 |  3.50 | 16.50 |  1.70 |  0.30 |  1.90 |  3.50 |  1.40 |  1.20 |  4.90 |  6.90 |  0.70 |  3.40 |   5.40 |  11.50 |  1.50 |  2.70 |  12.60 |  3.50 |  2.70 |  9.30 |   3.10 |  9.00 |  0.40 |  16.20 |  13.00 |  0.10 |  0.20 |  0.20 |  1.80 | 11.10 | 12.80 |  1.50 |  1.60 |  0.40 |  10.80 |
|         9 |   9.70 |  6.10 | 41.90 | 41.70 |  41.60 |  7.20 | 56.80 |  3.40 | 12.60 | 14.10 |  9.50 |  8.50 |  3.40 | 15.00 | 26.10 |  3.70 | 13.20 |  14.90 |  41.90 | 11.20 | 11.40 |  39.60 |  8.80 | 11.50 | 28.80 |   9.00 | 34.80 |  5.30 |  56.00 |  48.00 |  0.90 |  1.20 |  0.30 | 12.60 | 21.80 | 48.20 |  5.40 |  7.70 |  8.60 |  35.50 |
|        10 |  18.90 | 30.80 | 70.60 | 64.00 |  86.60 | 22.80 | 95.10 | 20.00 | 37.30 | 27.90 | 14.00 | 43.90 |  8.40 | 21.50 | 54.20 |  2.00 | 17.30 |  32.20 |  85.80 | 14.80 | 33.20 |  68.10 | 26.00 | 27.30 | 48.00 |  27.50 | 64.70 | 15.90 | 105.50 | 102.10 |  2.00 |  2.10 |  1.90 | 27.30 | 35.50 | 72.00 |  5.60 | 16.40 | 21.90 |  74.40 |
