# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  3.65 |  4.31 |  4.10 |  3.26 |  4.36 |  4.55 |  4.37 |  4.30 |  3.21 |  3.17 |  4.98 |  4.38 |  3.31 |  4.77 |  3.76 |  4.65 |  4.58 |  4.31 |  3.02 |  4.29 |  4.01 |  4.43 |  4.13 |  4.65 |  3.12 |  3.80 |  3.67 |  4.54 |  4.04 |  3.69 |  4.59 |  4.78 |  4.90 |  4.40 |  4.38 |  4.57 |  3.95 |  4.44 |  3.89 |  3.72 |
|         1 |  3.51 |  3.97 |  3.80 |  2.94 |  4.10 |  4.18 |  4.17 |  3.46 |  2.93 |  2.73 |  4.49 |  4.06 |  2.97 |  4.46 |  3.40 |  4.48 |  4.09 |  3.85 |  2.59 |  3.95 |  3.91 |  3.99 |  3.81 |  4.55 |  2.79 |  3.18 |  3.42 |  4.24 |  3.26 |  3.31 |  4.33 |  4.48 |  4.61 |  4.17 |  3.78 |  4.29 |  3.56 |  4.07 |  3.47 |  3.27 |
|         2 |  3.70 |  3.80 |  3.70 |  2.67 |  3.88 |  3.97 |  3.81 |  3.03 |  2.92 |  2.49 |  4.22 |  4.00 |  2.90 |  4.28 |  3.14 |  4.32 |  3.84 |  3.63 |  2.32 |  3.84 |  3.73 |  3.67 |  3.83 |  4.43 |  2.62 |  2.85 |  3.20 |  4.05 |  2.84 |  2.95 |  4.04 |  4.35 |  4.50 |  3.98 |  3.63 |  4.09 |  3.57 |  3.88 |  3.31 |  3.02 |
|         3 |  3.83 |  3.58 |  3.48 |  2.37 |  3.66 |  3.78 |  3.29 |  2.67 |  2.80 |  2.36 |  3.95 |  3.73 |  2.78 |  4.06 |  2.82 |  4.06 |  3.66 |  3.36 |  2.11 |  3.57 |  3.49 |  3.36 |  3.71 |  4.30 |  2.38 |  2.55 |  2.95 |  3.79 |  2.54 |  2.62 |  3.71 |  4.20 |  4.24 |  3.80 |  3.43 |  3.79 |  3.54 |  3.68 |  3.25 |  2.74 |
|         4 |  3.72 |  3.39 |  3.37 |  2.12 |  3.47 |  3.51 |  2.81 |  2.45 |  2.82 |  2.37 |  3.61 |  3.46 |  2.66 |  3.81 |  2.57 |  3.83 |  3.58 |  3.23 |  2.00 |  3.36 |  3.32 |  3.07 |  3.62 |  4.26 |  2.18 |  2.34 |  2.74 |  3.61 |  2.22 |  2.40 |  3.50 |  4.04 |  3.99 |  3.67 |  3.16 |  3.55 |  3.30 |  3.53 |  3.21 |  2.57 |
|         5 |  3.65 |  3.17 |  3.24 |  1.95 |  3.25 |  3.28 |  2.43 |  2.62 |  2.91 |  2.46 |  3.32 |  3.35 |  2.51 |  3.67 |  2.47 |  3.66 |  3.50 |  3.16 |  2.02 |  3.13 |  3.24 |  2.91 |  3.60 |  4.27 |  2.03 |  2.32 |  2.66 |  3.54 |  2.00 |  2.20 |  3.40 |  3.86 |  3.78 |  3.50 |  2.81 |  3.23 |  3.02 |  3.47 |  3.24 |  2.46 |
|         6 |  3.63 |  3.08 |  3.04 |  1.79 |  3.00 |  3.08 |  2.20 |  2.79 |  2.86 |  2.50 |  3.18 |  3.36 |  2.31 |  3.46 |  2.47 |  3.46 |  3.43 |  3.18 |  2.04 |  3.09 |  3.30 |  2.84 |  3.55 |  4.22 |  1.89 |  2.20 |  2.59 |  3.40 |  1.81 |  2.03 |  3.34 |  3.59 |  3.73 |  3.44 |  2.44 |  2.88 |  2.81 |  3.27 |  3.13 |  2.40 |
|         7 |  3.72 |  3.06 |  2.84 |  1.58 |  2.91 |  3.08 |  2.15 |  2.69 |  2.95 |  2.53 |  3.13 |  3.38 |  2.27 |  3.39 |  2.59 |  3.37 |  3.40 |  3.29 |  2.13 |  3.23 |  3.46 |  2.79 |  3.54 |  4.22 |  1.96 |  2.16 |  2.59 |  3.26 |  1.72 |  2.10 |  3.43 |  3.40 |  3.98 |  3.46 |  2.19 |  2.70 |  2.63 |  3.09 |  3.27 |  2.51 |
|         8 |  3.77 |  3.38 |  3.16 |  2.16 |  3.33 |  3.56 |  2.61 |  2.82 |  3.31 |  2.80 |  3.55 |  3.34 |  2.44 |  3.50 |  3.11 |  3.37 |  3.90 |  3.82 |  2.67 |  3.71 |  3.77 |  3.24 |  3.88 |  4.63 |  2.47 |  2.26 |  3.08 |  3.28 |  2.32 |  2.73 |  3.71 |  3.48 |  4.39 |  3.52 |  2.56 |  2.98 |  2.73 |  3.39 |  3.60 |  3.10 |
|         9 |  4.23 |  4.15 |  4.10 |  3.58 |  4.35 |  4.25 |  4.00 |  3.51 |  4.25 |  3.53 |  4.21 |  3.86 |  3.28 |  4.45 |  4.09 |  3.77 |  4.46 |  4.69 |  3.74 |  4.54 |  4.53 |  4.35 |  4.54 |  5.14 |  3.65 |  3.18 |  4.12 |  3.80 |  3.61 |  3.94 |  4.28 |  3.97 |  4.91 |  4.11 |  3.36 |  3.94 |  3.34 |  4.08 |  4.16 |  4.19 |
|        10 |  5.05 |  5.41 |  5.43 |  5.33 |  5.63 |  5.08 |  5.63 |  4.58 |  5.40 |  4.37 |  5.07 |  4.57 |  4.35 |  5.19 |  5.11 |  4.40 |  5.40 |  5.71 |  5.00 |  5.34 |  5.39 |  5.43 |  5.46 |  5.98 |  4.95 |  4.51 |  5.26 |  4.96 |  5.24 |  5.35 |  5.06 |  4.45 |  5.38 |  4.97 |  4.47 |  5.19 |  4.05 |  4.95 |  5.11 |  5.36 |
|        11 |  6.19 |  6.29 |  6.76 |  6.49 |  6.98 |  5.81 |  7.03 |  5.69 |  6.58 |  5.47 |  5.84 |  5.68 |  5.46 |  5.92 |  6.13 |  5.38 |  6.15 |  6.89 |  6.35 |  6.34 |  6.31 |  6.74 |  6.46 |  6.82 |  6.10 |  5.76 |  6.45 |  6.27 |  6.70 |  6.83 |  6.04 |  5.36 |  6.15 |  5.99 |  5.73 |  6.48 |  4.95 |  5.69 |  6.35 |  6.66 |
|        12 |  6.92 |  7.22 |  7.75 |  7.08 |  7.79 |  6.44 |  7.92 |  6.67 |  7.31 |  6.55 |  6.36 |  6.52 |  6.28 |  6.43 |  6.63 |  6.54 |  6.93 |  7.75 |  7.26 |  7.09 |  7.01 |  7.64 |  7.24 |  7.59 |  6.93 |  6.64 |  7.75 |  6.88 |  7.88 |  7.88 |  6.64 |  6.18 |  6.62 |  6.93 |  6.75 |  7.33 |  5.87 |  6.42 |  7.27 |  7.64 |
|        13 |  6.88 |  7.73 |  8.24 |  7.37 |  7.83 |  6.67 |  8.07 |  7.02 |  7.56 |  7.06 |  6.90 |  7.14 |  6.65 |  7.12 |  6.97 |  6.58 |  7.47 |  8.16 |  7.90 |  7.89 |  7.40 |  7.94 |  7.60 |  8.12 |  7.57 |  7.01 |  8.45 |  7.26 |  8.39 |  8.30 |  7.04 |  6.81 |  6.94 |  7.61 |  7.51 |  7.94 |  6.64 |  7.44 |  7.67 |  7.88 |
|        14 |  6.50 |  7.71 |  8.14 |  7.42 |  7.69 |  6.79 |  8.03 |  6.77 |  7.43 |  7.16 |  7.23 |  7.68 |  6.62 |  7.32 |  7.09 |  6.47 |  7.59 |  7.97 |  7.94 |  7.75 |  7.30 |  7.81 |  7.64 |  7.99 |  7.73 |  7.44 |  8.28 |  7.32 |  8.48 |  8.20 |  7.36 |  7.10 |  7.03 |  7.91 |  7.73 |  7.77 |  6.59 |  7.53 |  7.75 |  7.57 |
|        15 |  5.79 |  7.17 |  7.79 |  7.16 |  7.13 |  6.61 |  7.21 |  6.17 |  6.89 |  6.90 |  7.01 |  7.36 |  6.35 |  7.12 |  6.96 |  6.13 |  7.22 |  7.70 |  7.32 |  7.16 |  6.79 |  7.22 |  7.28 |  7.52 |  7.47 |  7.34 |  7.57 |  7.07 |  7.90 |  7.66 |  7.24 |  7.03 |  6.97 |  7.67 |  7.36 |  7.40 |  6.11 |  7.19 |  7.51 |  6.97 |
|        16 |  5.07 |  6.48 |  7.34 |  6.60 |  6.57 |  6.31 |  6.33 |  5.61 |  6.23 |  6.52 |  6.63 |  6.76 |  5.89 |  6.83 |  6.63 |  5.87 |  6.74 |  7.30 |  6.63 |  6.58 |  6.26 |  6.41 |  6.83 |  7.04 |  7.13 |  6.92 |  6.82 |  6.52 |  7.10 |  7.04 |  6.97 |  6.75 |  6.75 |  7.25 |  6.83 |  7.05 |  5.60 |  6.73 |  6.99 |  6.46 |
|        17 |  4.57 |  6.03 |  6.98 |  5.91 |  6.13 |  6.16 |  5.83 |  5.33 |  5.69 |  6.17 |  6.36 |  6.42 |  5.47 |  6.54 |  6.28 |  5.72 |  6.53 |  7.05 |  6.19 |  6.18 |  5.88 |  5.97 |  6.65 |  6.79 |  6.74 |  6.60 |  6.19 |  5.94 |  6.61 |  6.70 |  6.70 |  6.45 |  6.59 |  6.87 |  6.42 |  6.65 |  5.28 |  6.37 |  6.47 |  5.94 |
|        18 |  4.40 |  5.59 |  6.67 |  5.28 |  5.77 |  6.07 |  5.23 |  5.27 |  5.44 |  5.62 |  6.05 |  6.16 |  5.09 |  6.21 |  5.96 |  5.38 |  6.31 |  6.75 |  5.72 |  5.65 |  5.66 |  5.62 |  6.37 |  6.52 |  6.20 |  6.20 |  5.47 |  5.45 |  6.21 |  6.34 |  6.47 |  6.01 |  6.40 |  6.45 |  6.08 |  6.22 |  4.79 |  6.03 |  6.04 |  5.59 |
|        19 |  4.26 |  5.46 |  6.42 |  4.71 |  5.64 |  5.92 |  4.41 |  5.25 |  5.24 |  5.17 |  5.81 |  6.04 |  4.60 |  5.67 |  5.61 |  5.13 |  6.06 |  6.48 |  5.29 |  5.53 |  5.50 |  5.50 |  6.12 |  6.24 |  5.64 |  5.80 |  5.01 |  5.12 |  5.76 |  5.92 |  6.28 |  5.74 |  6.18 |  6.13 |  5.69 |  5.83 |  4.41 |  5.75 |  5.55 |  5.31 |
|        20 |  4.17 |  5.27 |  6.21 |  4.42 |  5.64 |  5.53 |  3.69 |  5.22 |  5.18 |  4.78 |  5.70 |  5.85 |  4.30 |  5.16 |  5.35 |  5.04 |  5.77 |  6.19 |  4.92 |  5.35 |  5.35 |  5.48 |  5.94 |  5.98 |  4.96 |  5.08 |  4.51 |  4.97 |  5.22 |  5.60 |  6.05 |  5.48 |  6.04 |  5.84 |  5.44 |  5.36 |  4.24 |  5.42 |  5.20 |  5.15 |
|        21 |  4.06 |  5.21 |  5.79 |  4.35 |  5.61 |  5.14 |  3.35 |  5.15 |  5.25 |  4.33 |  5.57 |  5.64 |  4.38 |  4.84 |  5.07 |  4.98 |  5.52 |  5.84 |  4.62 |  5.16 |  5.20 |  5.47 |  5.68 |  5.74 |  4.46 |  4.69 |  4.19 |  4.89 |  4.80 |  5.49 |  5.81 |  5.27 |  5.84 |  5.61 |  5.13 |  5.19 |  4.35 |  5.10 |  5.10 |  5.16 |
|        22 |  3.98 |  5.24 |  5.25 |  4.36 |  5.53 |  4.81 |  3.33 |  5.13 |  5.24 |  4.19 |  5.47 |  5.25 |  4.51 |  4.74 |  4.89 |  4.97 |  5.18 |  5.37 |  4.54 |  4.98 |  5.22 |  5.39 |  5.46 |  5.61 |  4.27 |  4.27 |  4.08 |  4.86 |  4.50 |  5.20 |  5.51 |  5.09 |  5.56 |  5.49 |  4.86 |  5.18 |  4.43 |  4.77 |  5.13 |  5.10 |
|        23 |  3.99 |  5.29 |  4.87 |  4.39 |  5.36 |  4.69 |  3.52 |  5.01 |  5.06 |  4.13 |  5.24 |  4.81 |  4.36 |  4.74 |  4.74 |  4.93 |  4.89 |  5.05 |  4.48 |  4.77 |  5.14 |  5.11 |  5.16 |  5.55 |  4.22 |  3.98 |  4.05 |  4.82 |  4.32 |  4.59 |  5.23 |  4.91 |  5.07 |  5.27 |  4.52 |  5.11 |  4.37 |  4.48 |  5.12 |  4.87 |
|        24 |  3.97 |  5.25 |  4.73 |  4.43 |  5.15 |  4.68 |  3.81 |  4.87 |  4.84 |  4.23 |  4.99 |  4.56 |  4.09 |  4.76 |  4.70 |  4.94 |  4.79 |  4.84 |  4.43 |  4.54 |  5.03 |  4.81 |  4.96 |  5.27 |  4.25 |  3.81 |  4.12 |  4.84 |  4.18 |  4.13 |  5.03 |  4.84 |  4.93 |  4.98 |  4.39 |  4.94 |  4.32 |  4.33 |  5.03 |  4.69 |
|        25 |  3.89 |  5.05 |  4.68 |  4.47 |  5.02 |  4.67 |  4.01 |  4.77 |  4.69 |  4.30 |  4.85 |  4.47 |  3.89 |  4.77 |  4.72 |  4.97 |  4.78 |  4.82 |  4.32 |  4.34 |  4.87 |  4.67 |  4.85 |  5.05 |  4.32 |  4.09 |  4.24 |  4.88 |  4.16 |  4.05 |  4.90 |  4.87 |  4.90 |  4.75 |  4.34 |  4.73 |  4.27 |  4.48 |  4.73 |  4.65 |
|        26 |  3.79 |  4.81 |  4.62 |  4.52 |  4.93 |  4.67 |  4.16 |  4.72 |  4.58 |  4.31 |  4.79 |  4.45 |  4.01 |  4.74 |  4.82 |  4.99 |  4.80 |  4.88 |  4.21 |  4.13 |  4.81 |  4.63 |  4.78 |  4.92 |  4.30 |  4.19 |  4.34 |  4.68 |  4.17 |  4.14 |  4.77 |  4.89 |  4.87 |  4.60 |  4.29 |  4.53 |  4.24 |  4.53 |  4.70 |  4.66 |
|        27 |  3.88 |  4.54 |  4.60 |  4.63 |  4.96 |  4.71 |  4.36 |  4.70 |  4.48 |  4.38 |  4.79 |  4.53 |  4.05 |  4.77 |  4.88 |  4.87 |  4.85 |  4.91 |  4.19 |  4.00 |  4.81 |  4.66 |  4.81 |  4.78 |  4.36 |  4.28 |  4.48 |  4.42 |  4.26 |  4.29 |  4.76 |  4.88 |  4.90 |  4.54 |  4.26 |  4.45 |  4.24 |  4.50 |  4.65 |  4.70 |
|        28 |  4.10 |  4.39 |  4.61 |  4.76 |  5.00 |  4.77 |  4.44 |  4.62 |  4.40 |  4.46 |  4.84 |  4.64 |  4.06 |  4.85 |  4.92 |  4.71 |  4.92 |  4.99 |  4.21 |  3.99 |  4.82 |  4.67 |  4.87 |  4.58 |  4.44 |  4.41 |  4.61 |  4.12 |  4.32 |  4.37 |  4.77 |  4.79 |  4.94 |  4.51 |  4.20 |  4.44 |  4.23 |  4.50 |  4.64 |  4.77 |
|        29 |  4.22 |  4.38 |  4.65 |  4.89 |  5.06 |  4.87 |  4.60 |  4.59 |  4.43 |  4.53 |  4.85 |  4.72 |  4.10 |  4.93 |  5.11 |  4.59 |  5.01 |  5.00 |  4.34 |  4.00 |  4.89 |  4.75 |  4.97 |  4.59 |  4.56 |  4.63 |  4.74 |  3.89 |  4.36 |  4.39 |  4.85 |  4.68 |  5.00 |  4.52 |  4.23 |  4.48 |  4.30 |  4.58 |  4.61 |  4.82 |
|        30 |  4.30 |  4.45 |  4.68 |  4.94 |  5.12 |  4.94 |  4.79 |  4.62 |  4.49 |  4.66 |  4.85 |  4.81 |  4.25 |  4.97 |  5.29 |  4.54 |  5.07 |  5.06 |  4.52 |  4.05 |  4.89 |  4.82 |  5.05 |  4.65 |  4.66 |  4.82 |  4.85 |  3.86 |  4.43 |  4.41 |  4.90 |  4.60 |  5.07 |  4.56 |  4.32 |  4.55 |  4.34 |  4.66 |  4.56 |  4.89 |
|        31 |  4.39 |  4.59 |  4.79 |  5.00 |  5.25 |  5.03 |  4.90 |  4.70 |  4.63 |  4.84 |  4.84 |  4.93 |  4.43 |  5.03 |  5.31 |  4.60 |  5.18 |  5.12 |  4.73 |  4.13 |  4.84 |  4.94 |  5.10 |  4.88 |  4.77 |  4.96 |  4.99 |  4.04 |  4.56 |  4.50 |  4.94 |  4.52 |  5.16 |  4.60 |  4.44 |  4.61 |  4.41 |  4.73 |  4.57 |  4.98 |
|        32 |  4.66 |  4.93 |  5.12 |  5.23 |  5.53 |  5.33 |  5.11 |  4.99 |  4.95 |  5.19 |  4.97 |  5.16 |  4.72 |  5.19 |  5.61 |  4.84 |  5.49 |  5.33 |  5.01 |  4.33 |  5.21 |  5.25 |  5.36 |  5.24 |  5.03 |  5.25 |  5.29 |  4.42 |  4.78 |  4.78 |  5.01 |  4.70 |  5.36 |  4.85 |  4.73 |  4.77 |  4.74 |  4.97 |  4.88 |  5.23 |
|        33 |  5.01 |  5.46 |  5.62 |  5.61 |  5.91 |  5.64 |  5.54 |  5.40 |  5.30 |  5.55 |  5.27 |  5.56 |  5.05 |  5.43 |  6.13 |  5.30 |  5.94 |  5.87 |  5.57 |  4.63 |  5.79 |  5.62 |  5.73 |  5.74 |  5.48 |  5.59 |  5.72 |  4.78 |  5.10 |  5.23 |  5.31 |  5.06 |  5.71 |  5.28 |  5.22 |  5.01 |  5.27 |  5.32 |  5.33 |  5.56 |
|        34 |  5.78 |  6.17 |  6.22 |  6.00 |  6.46 |  6.07 |  6.03 |  5.90 |  6.01 |  6.23 |  5.65 |  6.02 |  5.63 |  5.78 |  6.79 |  5.69 |  6.46 |  6.64 |  6.41 |  5.16 |  6.62 |  6.08 |  6.32 |  6.25 |  6.09 |  6.08 |  6.24 |  5.34 |  5.58 |  5.85 |  5.81 |  5.41 |  6.30 |  5.83 |  5.83 |  5.34 |  5.97 |  5.92 |  5.83 |  5.87 |
|        35 |  6.24 |  6.82 |  6.76 |  6.69 |  7.07 |  6.71 |  6.80 |  6.50 |  6.79 |  7.02 |  6.12 |  6.70 |  6.33 |  6.26 |  7.45 |  6.15 |  7.19 |  7.11 |  7.23 |  5.66 |  7.57 |  6.85 |  7.08 |  6.92 |  6.93 |  6.87 |  6.78 |  5.98 |  6.37 |  6.48 |  6.34 |  5.77 |  6.86 |  6.54 |  6.65 |  5.91 |  6.50 |  6.32 |  6.20 |  6.32 |
|        36 |  6.44 |  7.31 |  7.25 |  7.28 |  7.26 |  7.44 |  7.48 |  7.14 |  7.19 |  7.39 |  6.62 |  7.34 |  6.91 |  7.03 |  8.11 |  6.64 |  7.92 |  7.47 |  7.68 |  6.05 |  8.00 |  7.02 |  7.43 |  7.86 |  7.58 |  7.56 |  7.08 |  6.37 |  6.75 |  7.00 |  6.65 |  6.50 |  7.02 |  6.81 |  7.34 |  6.41 |  6.93 |  6.86 |  6.71 |  6.99 |
|        37 |  6.43 |  7.52 |  7.54 |  7.63 |  7.38 |  7.79 |  7.80 |  7.62 |  7.58 |  7.59 |  6.83 |  7.53 |  7.35 |  7.17 |  8.26 |  7.10 |  8.10 |  7.44 |  8.00 |  6.23 |  7.97 |  7.08 |  7.60 |  8.00 |  7.87 |  7.75 |  7.34 |  6.69 |  6.97 |  7.52 |  6.94 |  6.79 |  7.26 |  6.89 |  7.77 |  6.61 |  7.20 |  6.94 |  7.05 |  7.46 |
|        38 |  6.40 |  7.41 |  7.60 |  7.76 |  7.53 |  7.68 |  7.84 |  7.63 |  7.59 |  7.61 |  6.90 |  7.54 |  7.26 |  7.25 |  8.25 |  7.26 |  8.03 |  7.22 |  8.00 |  6.35 |  8.01 |  7.28 |  7.42 |  8.17 |  7.87 |  7.75 |  7.51 |  6.88 |  7.17 |  7.65 |  7.28 |  6.56 |  7.49 |  7.00 |  7.78 |  6.58 |  7.26 |  6.96 |  7.08 |  7.68 |
|        39 |  6.20 |  7.32 |  7.53 |  7.61 |  7.56 |  7.51 |  7.76 |  7.32 |  7.53 |  7.53 |  6.75 |  7.46 |  7.21 |  7.25 |  8.17 |  7.13 |  7.81 |  7.06 |  7.74 |  6.44 |  7.85 |  7.45 |  7.17 |  8.21 |  7.71 |  7.69 |  7.46 |  6.95 |  7.15 |  7.60 |  7.46 |  6.47 |  7.34 |  6.87 |  7.61 |  6.41 |  7.07 |  6.89 |  6.84 |  7.40 |
|        40 |  5.99 |  7.39 |  7.44 |  7.42 |  7.47 |  7.40 |  7.74 |  7.09 |  7.52 |  7.39 |  6.59 |  7.48 |  7.16 |  7.28 |  8.08 |  7.13 |  7.69 |  7.17 |  7.61 |  6.53 |  7.92 |  7.63 |  7.08 |  8.18 |  7.57 |  7.83 |  7.36 |  6.97 |  7.06 |  7.50 |  7.56 |  6.53 |  7.29 |  6.83 |  7.50 |  6.37 |  6.90 |  6.77 |  6.55 |  7.19 |
|        41 |  5.72 |  7.56 |  7.11 |  7.43 |  7.67 |  7.30 |  7.67 |  7.00 |  7.51 |  7.32 |  6.69 |  7.68 |  7.37 |  7.42 |  8.09 |  7.32 |  7.68 |  7.35 |  7.76 |  6.62 |  8.05 |  7.32 |  7.13 |  8.22 |  7.43 |  7.83 |  7.50 |  7.18 |  7.18 |  7.55 |  7.38 |  6.68 |  7.42 |  6.98 |  7.53 |  6.49 |  6.93 |  6.67 |  6.44 |  7.20 |
|        42 |  5.78 |  7.09 |  6.42 |  7.51 |  7.70 |  7.35 |  7.17 |  7.13 |  7.44 |  7.40 |  6.83 |  7.84 |  7.38 |  7.56 |  8.01 |  7.53 |  7.54 |  7.48 |  8.03 |  6.73 |  8.01 |  6.81 |  7.13 |  7.97 |  7.54 |  7.26 |  7.65 |  6.78 |  7.22 |  7.64 |  6.82 |  6.95 |  7.52 |  7.28 |  7.62 |  6.66 |  7.11 |  6.69 |  6.49 |  7.29 |
