# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |     37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |  0.10 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |  0.10 |     0 |  0.10 |  0.10 |     0 |     0 |  0.10 |     0 |     0 |     0 |     0 |  0.10 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |  0.10 |  0.10 |
|         8 |  2.00 |  2.10 |  0.30 |  0.60 |     0 |  0.70 |  0.70 |  0.40 |     0 |  0.80 |  0.40 |  0.20 |     0 |  0.10 |  0.40 |  0.70 |  0.20 |  0.10 |  0.10 |  0.40 |  2.20 |  0.10 |     0 |  0.30 |  2.70 |  2.10 |  0.30 |  0.20 |  1.30 |     0 |     0 |  0.10 |     0 |  0.20 |  0.20 |  0.30 |   0.20 |  0.80 |  0.60 |  0.40 |
|         9 |  0.90 |  6.30 |  2.90 |  2.10 |  0.40 |  3.00 |  1.00 |  1.00 |  1.10 |  3.30 |  1.30 |  1.40 |  1.10 |  0.70 |  4.70 |  0.20 |  1.40 |  0.30 |  1.60 |  1.40 | 10.50 |     0 |  0.60 |  1.20 | 10.40 |  0.70 |  0.50 |  0.50 |  0.80 |  2.70 |  1.70 |  3.00 |     0 |  1.60 |  1.90 |  0.80 |   2.90 |  2.50 |  0.10 |  1.20 |
|        10 |  5.20 | 22.70 |  3.90 |  0.30 |  2.90 |  6.00 |  0.70 |  0.80 |  2.20 |  5.40 |  0.40 |  0.30 |  5.90 |  3.90 | 10.20 |  1.30 |  9.40 |  9.70 |  3.20 |     0 | 21.60 |  1.30 |  6.80 |  0.60 | 16.70 |  4.70 |  3.50 |  4.40 |  1.40 |  3.70 |  2.30 |  8.60 |  0.60 |  0.10 |  3.40 |  1.10 |   9.70 |  2.00 |  5.20 |  4.20 |
