# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |      5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |     13 |     14 |     15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |     23 |    24 |    25 |    26 |    27 |     28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |     39 |    40 |
|         1 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |
|         2 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |
|         3 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |
|         4 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |
|         5 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |
|         6 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |
|         7 |     0 |     0 |  0.20 |  0.10 |   0.10 |  0.10 |     0 |  0.10 |  0.30 |     0 |  0.20 |  0.10 |      0 |      0 |   0.30 |     0 |     0 |  0.30 |  0.10 |     0 |  0.60 |     0 |   0.10 |     0 |  0.20 |     0 |     0 |   0.40 |     0 |     0 |     0 |  0.70 |     0 |     0 |  0.20 |  0.10 |  0.10 |  0.30 |   0.20 |  0.10 |
|         8 |     0 |  0.40 |  0.80 |     0 |   2.90 |  0.30 |     0 |     0 |  3.00 |     0 |  0.70 |  4.70 |   2.50 |   0.80 |   4.30 |  2.40 |     0 |  1.30 |  1.70 |     0 | 13.60 |  0.20 |   1.10 |     0 |  1.80 |     0 |  1.60 |   7.10 |     0 |  0.10 |  1.10 | 14.70 |  0.10 |     0 |  4.00 |  0.80 |     0 |  1.90 |   0.60 |  1.70 |
|         9 |  0.20 |  8.00 |     0 |  4.20 |  12.00 |  1.00 |  0.10 |  3.70 |  3.10 |  2.30 |  3.30 |  1.70 |   9.90 |  32.80 |   5.60 |  6.80 |  0.40 |  2.00 |  0.20 |  8.90 | 27.90 |  1.80 |   9.10 |  4.30 | 10.90 |  4.40 |  1.40 |   8.50 |  1.40 |  0.50 |  0.30 | 16.10 |     0 |  1.60 |  2.70 | 13.30 |  0.50 |  2.40 |      0 |  3.60 |
|        10 |  0.90 |  5.50 |  2.00 |  3.10 |  10.50 |  0.10 |  7.40 |  6.00 |  3.40 | 11.30 |  5.10 |     0 |  11.70 |  39.10 |   4.40 |  2.50 |  5.10 |  3.90 |  0.70 |  8.50 | 29.20 |  5.60 |   5.80 | 13.10 | 12.40 | 11.00 |  7.70 |   9.20 |  0.80 |  2.40 |  9.80 | 13.00 | 14.10 |  1.50 |     0 | 37.70 |  3.60 |  1.40 |   0.10 |  1.30 |
