# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |      2 |      3 |     4 |      5 |      6 |     7 |      8 |     9 |     10 |     11 |    12 |    13 |     14 |     15 |    16 |    17 |    18 |    19 |     20 |     21 |     22 |     23 |    24 |     25 |    26 |    27 |     28 |    29 |    30 |    31 |    32 |     33 |    34 |     35 |     36 |    37 |    38 |     39 |    40 |
|         1 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         2 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         3 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         4 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         5 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         6 |     0 |      0 |      0 |     0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |
|         7 |     0 |      0 |   0.10 |     0 |      0 |      0 |     0 |      0 |     0 |   0.10 |      0 |  0.10 |  0.10 |   0.10 |      0 |     0 |     0 |     0 |  0.10 |   0.10 |      0 |      0 |      0 |  0.10 |   0.10 |     0 |  0.10 |      0 |     0 |     0 |     0 |     0 |   0.10 |  0.10 |      0 |      0 |     0 |     0 |   0.10 |     0 |
|         8 |  0.80 |   0.10 |   0.70 |  0.40 |   0.30 |   0.20 |  1.20 |   0.30 |  3.30 |   3.80 |      0 |  2.30 |  0.10 |   0.70 |   2.10 |  1.40 |  0.20 |  0.10 |  3.80 |   0.10 |   0.20 |   0.60 |   1.10 |  1.30 |   0.30 |  0.10 |  0.40 |   0.70 |  0.10 |     0 |  0.20 |  0.20 |   0.10 |  0.60 |   0.10 |   0.10 |  0.70 |  0.70 |   0.40 |  0.60 |
|         9 |  0.10 |      0 |   1.50 |  1.20 |   3.10 |   3.10 |  2.40 |      0 |  3.20 |  13.80 |   1.10 |  6.60 |     0 |   1.60 |   1.70 |  0.50 |  0.50 |  1.70 |  4.60 |   1.40 |   0.30 |   1.50 |   0.60 |  0.10 |   0.10 |  0.20 |  0.10 |   3.20 |  0.50 |  0.70 |     0 |  0.20 |   0.90 |  0.70 |   1.90 |   0.20 |  0.30 |  2.10 |   0.10 |  1.70 |
|        10 |  3.70 |   0.30 |   7.40 |  1.80 |   1.50 |  10.50 |  5.10 |      0 |  2.90 |  15.20 |   0.40 | 17.50 |     0 |   9.60 |      0 |  0.50 |  0.80 |  2.20 |  1.60 |   1.40 |      0 |   1.70 |   1.40 |  1.70 |   3.40 |  1.10 |  1.20 |  24.30 |  1.40 |     0 |  2.00 |     0 |   0.70 |     0 |   3.50 |   5.40 |  1.70 |  1.50 |   1.50 |  0.70 |
