# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |     3 |     4 |      5 |      6 |      7 |      8 |     9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |    17 |     18 |    19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |    30 |     31 |    32 |     33 |     34 |     35 |     36 |     37 |     38 |    39 |    40 |
|         1 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |
|         2 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |
|         3 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |
|         4 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |
|         5 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |
|         6 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |
|         7 |      0 |      0 |     0 |  0.10 |      0 |      0 |   0.10 |      0 |     0 |      0 |      0 |   0.10 |      0 |      0 |      0 |   0.10 |     0 |   0.10 |     0 |      0 |      0 |   0.10 |   0.10 |      0 |      0 |      0 |      0 |      0 |   0.10 |     0 |      0 |  0.10 |      0 |   0.10 |      0 |   0.20 |   0.10 |   0.10 |     0 |  0.10 |
|         8 |   1.20 |      0 |  0.10 |  1.40 |   0.20 |   1.20 |   0.90 |      0 |  0.40 |   4.60 |   0.50 |   2.00 |   3.80 |   0.30 |      0 |   1.10 |  1.00 |   0.30 |  0.40 |      0 |   0.70 |   0.30 |   1.00 |   0.20 |   5.60 |   1.90 |   0.90 |   0.20 |   0.40 |  0.30 |   0.20 |  0.90 |   0.90 |   0.20 |   1.60 |   3.70 |   0.50 |   0.60 |  0.20 |  1.10 |
|         9 |   3.90 |   1.70 |  3.10 |  3.50 |   0.10 |   0.90 |   2.40 |   4.70 |     0 |  18.30 |   4.20 |   8.60 |  10.60 |   0.50 |   2.10 |   2.20 |  7.40 |   1.90 |  1.00 |   1.00 |   2.60 |   2.40 |   4.60 |      0 |  36.40 |   1.60 |   0.70 |   0.60 |   1.20 |  1.00 |   1.90 |  0.60 |   0.40 |   0.10 |   1.00 |   6.80 |   1.10 |   6.30 |  0.60 |  0.90 |
|        10 |  10.20 |  15.10 | 29.90 |  4.40 |   2.30 |   8.80 |   3.70 |  20.10 | 10.90 |  12.90 |  12.80 |   9.80 |  12.30 |   2.00 |  22.50 |   6.90 |  7.70 |   5.30 |  6.80 |   2.10 |   9.70 |   4.80 |   8.10 |   2.20 |  38.30 |   2.30 |   9.60 |   1.90 |   1.60 |  2.40 |  23.00 | 19.20 |   3.30 |   2.70 |   3.70 |   2.20 |   3.20 |   6.70 |  8.10 |  7.70 |
