# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |    2 |     3 |    4 |    5 |     6 |    7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |   15 |    16 |   17 |   18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |   26 |    27 |    28 |   29 |    30 |    31 |    32 |   33 |    34 |    35 |   36 |    37 |    38 |    39 |    40 |
|         0 |  8.37 | 8.30 |  8.31 | 8.20 | 8.05 |  8.10 | 8.48 |  8.69 |  8.16 |  7.69 |  8.43 |  9.00 |  8.07 |  8.22 | 8.12 |  8.51 | 7.97 | 8.49 |  8.85 |  8.61 |  8.05 |  8.57 |  8.15 |  7.69 |  8.65 | 8.65 |  8.37 |  8.22 | 8.03 |  8.23 |  8.31 |  8.69 | 8.40 |  8.41 |  8.38 | 8.17 |  8.27 |  8.34 |  8.33 |  8.22 |
|         1 |  8.16 | 8.06 |  8.10 | 8.04 | 7.91 |  7.98 | 8.30 |  8.46 |  8.04 |  7.56 |  8.13 |  8.82 |  7.95 |  8.04 | 7.94 |  8.41 | 8.02 | 8.37 |  8.78 |  8.45 |  7.89 |  8.27 |  7.98 |  7.60 |  8.42 | 8.43 |  8.27 |  8.07 | 7.78 |  8.13 |  8.15 |  8.48 | 8.17 |  8.18 |  8.23 | 7.97 |  8.07 |  8.15 |  8.12 |  8.15 |
|         2 |  8.05 | 7.80 |  7.89 | 7.97 | 7.78 |  7.77 | 8.15 |  8.30 |  7.76 |  7.51 |  7.78 |  8.67 |  7.79 |  7.90 | 7.77 |  8.23 | 7.97 | 8.22 |  8.73 |  8.36 |  7.78 |  8.03 |  7.81 |  7.46 |  8.27 | 8.24 |  8.07 |  7.87 | 7.56 |  7.99 |  8.02 |  8.27 | 8.04 |  8.04 |  8.07 | 7.87 |  7.83 |  7.99 |  7.96 |  7.91 |
|         3 |  7.76 | 7.57 |  7.70 | 7.70 | 7.61 |  7.53 | 7.99 |  8.13 |  7.49 |  7.41 |  7.52 |  8.51 |  7.63 |  7.73 | 7.57 |  8.06 | 7.77 | 8.00 |  8.54 |  8.19 |  7.57 |  7.81 |  7.58 |  7.22 |  8.10 | 8.04 |  7.93 |  7.66 | 7.45 |  7.83 |  7.76 |  8.07 | 7.96 |  7.84 |  7.85 | 7.73 |  7.62 |  7.79 |  7.79 |  7.70 |
|         4 |  7.56 | 7.52 |  7.57 | 7.35 | 7.58 |  7.37 | 7.87 |  8.03 |  7.34 |  7.40 |  7.37 |  8.25 |  7.55 |  7.64 | 7.27 |  7.87 | 7.63 | 7.83 |  8.24 |  7.99 |  7.38 |  7.66 |  7.39 |  7.06 |  7.96 | 7.90 |  7.81 |  7.40 | 7.39 |  7.65 |  7.55 |  7.91 | 7.92 |  7.67 |  7.55 | 7.63 |  7.51 |  7.65 |  7.68 |  7.44 |
|         5 |  7.27 | 7.44 |  7.34 | 7.10 | 7.47 |  7.22 | 7.67 |  7.84 |  7.23 |  7.30 |  7.15 |  7.76 |  7.37 |  7.41 | 6.99 |  7.66 | 7.50 | 7.49 |  7.90 |  7.50 |  7.02 |  7.40 |  7.21 |  6.88 |  7.47 | 7.74 |  7.61 |  7.23 | 7.27 |  7.39 |  7.32 |  7.72 | 7.75 |  7.46 |  7.16 | 7.51 |  7.34 |  7.51 |  7.44 |  7.18 |
|         6 |  6.71 | 7.23 |  7.16 | 6.99 | 7.36 |  7.16 | 7.47 |  7.60 |  7.12 |  6.89 |  6.83 |  7.44 |  7.18 |  7.06 | 6.78 |  7.30 | 7.37 | 7.12 |  7.67 |  7.02 |  6.64 |  6.91 |  7.10 |  6.61 |  6.98 | 7.56 |  7.15 |  7.26 | 7.08 |  7.12 |  6.91 |  7.56 | 7.52 |  7.24 |  6.79 | 7.35 |  7.16 |  7.43 |  7.13 |  7.18 |
|         7 |  6.35 | 6.86 |  6.98 | 6.65 | 7.29 |  7.10 | 7.33 |  7.52 |  6.97 |  6.69 |  6.62 |  7.25 |  6.95 |  6.74 | 6.70 |  6.80 | 7.19 | 6.90 |  7.54 |  6.85 |  6.38 |  6.61 |  6.98 |  6.37 |  6.73 | 7.41 |  6.74 |  7.25 | 6.86 |  6.94 |  6.30 |  7.39 | 7.16 |  6.97 |  6.69 | 7.02 |  6.94 |  7.35 |  6.87 |  7.20 |
|         8 |  6.53 | 6.88 |  7.04 | 6.59 | 7.40 |  7.13 | 7.42 |  7.65 |  6.93 |  6.83 |  6.64 |  7.44 |  7.00 |  6.77 | 6.72 |  6.75 | 7.21 | 7.01 |  7.51 |  6.98 |  6.62 |  6.72 |  7.18 |  6.40 |  6.76 | 7.48 |  6.93 |  7.30 | 6.97 |  7.09 |  6.34 |  7.44 | 7.26 |  7.09 |  6.93 | 7.06 |  7.07 |  7.36 |  6.91 |  7.30 |
|         9 |  7.06 | 7.15 |  7.26 | 6.75 | 7.51 |  7.50 | 7.46 |  7.79 |  7.19 |  6.94 |  6.89 |  7.84 |  7.27 |  7.01 | 6.93 |  6.92 | 7.56 | 7.25 |  7.49 |  7.22 |  6.90 |  7.12 |  7.58 |  6.63 |  6.87 | 7.57 |  7.51 |  7.44 | 7.13 |  7.33 |  6.81 |  7.75 | 7.51 |  7.29 |  7.27 | 7.23 |  7.33 |  7.59 |  6.93 |  7.55 |
|        10 |  7.43 | 7.45 |  7.41 | 7.10 | 7.83 |  7.93 | 7.70 |  7.88 |  7.45 |  7.06 |  7.17 |  8.13 |  7.63 |  7.34 | 7.72 |  7.12 | 7.82 | 7.56 |  7.79 |  7.44 |  7.19 |  7.40 |  7.80 |  6.78 |  7.04 | 7.74 |  8.06 |  7.70 | 7.16 |  7.62 |  7.19 |  8.17 | 7.85 |  7.42 |  7.47 | 7.44 |  7.48 |  7.67 |  7.03 |  7.78 |
|        11 |  7.53 | 7.73 |  7.72 | 7.55 | 8.10 |  8.18 | 7.88 |  8.01 |  7.52 |  7.12 |  7.32 |  8.35 |  7.94 |  7.42 | 8.62 |  7.18 | 7.88 | 7.82 |  8.35 |  7.93 |  7.51 |  7.76 |  7.76 |  7.00 |  7.44 | 7.94 |  8.15 |  8.37 | 7.36 |  7.79 |  7.45 |  8.39 | 8.11 |  7.47 |  7.56 | 7.53 |  7.46 |  7.75 |  7.22 |  8.14 |
|        12 |  7.57 | 8.02 |  8.00 | 8.35 | 8.52 |  8.12 | 8.00 |  8.16 |  7.69 |  7.52 |  7.39 |  8.58 |  8.68 |  7.69 | 8.89 |  7.42 | 7.99 | 8.02 |  8.51 |  8.40 |  7.85 |  7.93 |  7.75 |  7.42 |  7.66 | 8.36 |  8.22 |  8.76 | 7.66 |  7.91 |  7.46 |  8.54 | 8.57 |  7.54 |  7.99 | 7.71 |  7.47 |  7.79 |  7.91 |  8.49 |
|        13 |  7.73 | 8.53 |  8.22 | 8.81 | 8.96 |  8.03 | 8.44 |  8.49 |  7.87 |  8.10 |  7.37 |  8.65 |  8.99 |  8.02 | 9.14 |  7.95 | 8.27 | 8.24 |  8.78 |  8.51 |  8.07 |  7.85 |  7.95 |  7.68 |  7.96 | 8.70 |  8.52 |  9.06 | 8.00 |  8.00 |  7.48 |  8.37 | 8.63 |  7.97 |  8.16 | 7.94 |  7.82 |  7.93 |  8.24 |  8.89 |
|        14 |  7.84 | 8.79 |  8.27 | 8.89 | 8.71 |  7.83 | 8.65 |  8.56 |  7.90 |  8.19 |  7.31 |  8.71 |  9.01 |  7.89 | 9.05 |  8.07 | 8.22 | 8.32 |  8.76 |  8.59 |  8.20 |  7.70 |  7.98 |  7.77 |  8.09 | 8.80 |  8.47 |  9.08 | 8.13 |  8.07 |  7.46 |  8.03 | 8.61 |  8.02 |  8.26 | 8.17 |  7.99 |  8.05 |  8.33 |  8.81 |
|        15 |  7.62 | 8.42 |  7.98 | 8.48 | 8.00 |  7.65 | 8.36 |  8.33 |  7.76 |  7.83 |  7.22 |  8.53 |  8.73 |  7.70 | 8.49 |  8.03 | 8.09 | 7.92 |  8.52 |  8.35 |  7.80 |  7.57 |  7.87 |  7.68 |  7.87 | 8.46 |  8.19 |  8.41 | 7.63 |  7.72 |  7.39 |  7.83 | 8.39 |  7.74 |  8.07 | 8.08 |  7.88 |  7.89 |  8.00 |  8.16 |
|        16 |  7.36 | 7.77 |  7.48 | 7.54 | 7.20 |  7.38 | 7.82 |  7.98 |  7.47 |  7.24 |  7.12 |  8.23 |  8.17 |  7.58 | 7.77 |  7.53 | 7.90 | 7.30 |  8.19 |  7.90 |  7.21 |  7.41 |  7.78 |  7.31 |  7.34 | 7.98 |  7.87 |  7.37 | 7.05 |  7.19 |  7.23 |  7.66 | 7.97 |  7.48 |  7.59 | 7.80 |  7.69 |  7.59 |  7.46 |  7.49 |
|        17 |  7.10 | 7.37 |  7.19 | 7.07 | 6.49 |  7.11 | 7.29 |  7.59 |  7.15 |  6.80 |  7.11 |  8.00 |  7.75 |  7.42 | 7.42 |  7.15 | 7.64 | 6.82 |  7.71 |  7.38 |  6.80 |  6.99 |  7.69 |  6.71 |  6.93 | 7.86 |  7.44 |  6.68 | 6.68 |  6.86 |  7.16 |  7.53 | 7.38 |  7.23 |  7.09 | 7.52 |  7.41 |  7.24 |  6.96 |  6.93 |
|        18 |  6.88 | 7.23 |  7.04 | 6.76 | 6.05 |  6.79 | 6.93 |  7.24 |  6.87 |  6.42 |  7.08 |  7.79 |  7.43 |  7.19 | 7.23 |  7.01 | 7.26 | 6.54 |  7.08 |  7.04 |  6.51 |  6.63 |  7.45 |  6.27 |  6.66 | 7.76 |  7.03 |  6.05 | 6.45 |  6.46 |  7.00 |  7.35 | 7.03 |  7.06 |  6.64 | 7.18 |  7.03 |  7.04 |  6.59 |  6.46 |
