# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  5.32 |  5.19 |  2.51 |  5.12 |  4.66 |  4.64 |  3.20 |  5.42 |  5.41 |  5.29 |  4.95 |  1.96 |  4.41 |  4.82 |  1.79 |  3.70 |  4.07 |  3.99 |  3.19 |  4.02 |  4.76 |  5.08 |  5.14 |  2.47 |  2.65 |  4.21 |  3.84 |  3.50 |  5.53 |  4.69 |  3.15 |  3.17 |  4.46 |  5.24 |  4.66 |  3.19 |  5.34 |  5.90 |  4.89 |  4.63 |
|         1 |  4.15 |  3.80 |  1.54 |  4.96 |  3.98 |  4.05 |  1.58 |  4.07 |  4.96 |  4.31 |  4.10 |  1.40 |  3.35 |  3.70 |  1.02 |  2.46 |  3.03 |  2.40 |  1.95 |  2.59 |  3.05 |  4.19 |  3.40 |  0.91 |  1.23 |  3.01 |  2.29 |  2.05 |  4.04 |  3.05 |  1.98 |  2.04 |  3.47 |  4.92 |  3.00 |  1.27 |  3.92 |  4.86 |  2.89 |  2.83 |
|         2 |  1.54 |  1.93 |  0.85 |  4.10 |  2.74 |  3.13 |  0.96 |  2.00 |  4.01 |  1.59 |  2.75 |  0.82 |  1.94 |  1.34 |  0.64 |  1.22 |  1.89 |  1.30 |  0.70 |  1.20 |  1.37 |  2.37 |  1.38 | -0.03 |  0.52 |  1.57 |  1.17 |  0.32 |  2.15 |  1.23 |  0.81 |  0.98 |  2.12 |  3.39 |  1.93 |  0.56 |  1.67 |  3.97 |  1.05 |  0.78 |
|         3 |  0.60 |  0.76 |  0.24 |  2.35 |  1.41 |  1.50 |  0.49 |  0.32 |  2.45 |  0.18 |  2.09 |  0.12 |  1.22 |  0.12 | -0.34 |  0.72 |  0.58 |  0.24 | -0.41 |  0.03 |  0.10 |  0.61 |  0.06 | -0.38 |  0.08 |  0.46 |  0.70 | -0.60 |  0.19 |  0.15 |  0.28 |  0.43 |  1.08 |  2.36 |  0.69 |  0.26 | -0.03 |  3.53 |  0.89 |  1.29 |
|         4 |  0.21 |  0.73 |  0.10 |  3.39 | -0.12 |  0.62 |  0.19 |  1.14 |  2.17 | -0.40 |  2.56 |  1.50 |  2.47 | -0.59 |  1.31 |  0.50 | -0.26 |  0.09 |  0.53 |  0.64 |  0.56 |  0.50 | -0.63 | -1.13 | -0.29 |  0.53 |  1.66 |  1.98 | -0.66 |  1.19 | -0.23 |  1.02 |  1.39 |  2.25 | -0.34 | -0.41 | -0.92 |  2.93 | -0.20 |  1.56 |
|         5 |  1.27 |  0.20 | -0.52 |  3.10 |  0.18 |  0.59 |  2.22 |  2.70 |  2.20 |  0.63 |  3.14 |  1.59 |  3.30 |  1.82 |  2.08 |  0.32 |  0.60 |  2.67 |  1.85 |  2.55 |  1.25 |  1.95 | -0.78 | -0.96 |  1.25 |  1.67 |  1.27 |  1.88 |  0.40 |  0.64 | -0.12 |  1.62 |  1.82 |  1.46 |  0.62 |  0.11 | -0.18 |  1.14 |  1.57 |  1.27 |
|         6 |  1.60 |  0.38 | -0.05 |  1.53 |  1.03 |  1.36 |  0.90 |  1.45 |  1.10 |  0.32 |  3.78 |  1.70 |  2.01 |  2.07 |  1.67 |  1.89 |  2.51 |  1.17 |  1.80 |  1.79 |  0.75 |  0.97 | -0.42 | -0.18 |  1.57 |  0.80 |  0.75 |  0.94 |  1.22 |  0.88 |  1.54 |  0.75 |  1.22 |  1.74 |  1.43 |  0.46 |  0.44 |  0.15 |  1.97 |  1.04 |
|         7 |  0.65 |  0.69 |  0.74 |  1.28 |  0.82 |  1.96 |  0.67 |  0.37 | -0.18 |  0.54 |  3.35 |  1.74 |  1.34 |  0.91 |  1.49 |  1.73 |  0.26 | -0.04 |  1.10 |  0.99 |  0.53 |  0.81 | -0.02 |  0.10 |  0.99 |  1.02 |  0.48 |  1.15 |  0.41 |  1.14 |  2.16 |  0.87 |  1.23 |  1.36 |  1.61 |  0.58 |  0.61 |  0.52 |  1.93 |  0.84 |
|         8 |  0.37 |  1.16 |  0.78 |  1.30 |  0.53 |  1.57 |  1.00 |  0.78 |  0.24 |  0.77 |  2.39 |  1.43 |  1.27 |  0.91 |  1.49 |  0.85 |  0.34 |  0.46 |  0.83 |  0.95 |  0.63 |  0.82 |  0.62 |  0.58 |  1.07 |  1.21 | -0.22 |  0.72 |  0.32 |  0.86 |  1.24 |  0.99 |  1.24 |  1.08 |  1.45 |  0.74 |  0.64 |  0.93 |  1.67 |  0.36 |
|         9 |  0.28 |  1.17 |  0.22 |  0.78 |  0.32 |  0.23 |  0.91 |  0.95 |  0.70 |  0.65 |  1.24 |  1.66 |  1.13 |  0.93 |  1.14 |  1.02 |  0.77 |  0.67 |  0.28 |  0.78 |  0.66 |  0.76 |  1.19 |  0.62 |  0.83 |  0.70 | -0.09 |  0.08 |  0.08 |  0.20 |  1.13 |  1.12 |  1.22 |  1.17 |  1.31 |  0.74 |  0.84 |  0.96 |  1.23 |    -0 |
|        10 |  0.47 |  0.66 | -0.22 |  0.44 | -0.15 |  0.21 |  0.28 |  0.84 |  0.89 |  0.08 |  0.97 |  1.71 |  1.49 |  0.73 |  0.82 |  0.84 |  0.69 |  0.04 |     0 |  0.39 |  0.52 |  0.83 |  1.37 |  0.13 |  0.11 |  0.21 |  0.41 | -0.30 | -0.46 | -0.20 |  1.21 |  1.40 |  0.77 |  1.02 |  1.07 |  0.24 |  0.88 |  0.83 |  0.59 | -0.26 |
|        11 |  0.55 |  0.29 | -0.61 | -0.25 | -0.60 |  0.51 | -0.29 |  0.52 |  0.66 | -0.36 |  1.12 |  1.48 |  1.05 |  0.19 |  0.60 |  0.40 |  0.10 | -0.66 | -0.50 | -0.03 |  0.09 |  0.77 |  1.05 | -0.19 | -0.49 |  0.33 |  0.49 | -0.59 | -0.83 | -0.42 |  1.28 |  1.27 | -0.02 |  0.48 |  0.54 | -0.35 |  0.50 |  0.34 |  0.06 | -0.94 |
|        12 | -0.03 | -0.31 | -1.25 | -0.48 | -1.07 |  0.26 | -0.97 |  0.04 |  0.15 | -0.89 |  0.91 |  0.49 |  0.62 | -0.68 |  0.25 |  0.13 | -0.41 | -1.16 | -0.92 | -0.47 | -0.47 |  0.49 |  0.25 | -0.50 | -1.03 |  0.16 |  0.04 | -0.60 | -1.43 | -0.85 |  0.97 |  1.06 | -0.40 | -0.40 | -0.08 | -1.03 | -0.16 | -0.32 | -0.37 | -1.03 |
|        13 | -0.69 | -0.74 | -1.12 | -0.86 | -1.23 | -0.46 | -0.80 | -0.38 | -0.26 | -1.34 |  0.27 |  0.22 |  0.08 | -1.16 | -0.28 |  0.03 | -0.63 | -1.46 | -1.06 | -1.08 | -0.74 | -0.01 | -0.18 | -0.78 | -1.34 | -0.10 | -0.44 | -1.18 | -1.44 | -1.30 |  0.22 |  0.40 | -0.63 | -0.93 | -0.65 | -1.88 | -0.61 | -0.65 | -0.74 | -1.49 |
|        14 | -1.04 | -1.06 | -1.48 | -1.37 | -1.30 | -1.15 | -0.99 | -0.61 | -0.69 | -1.62 | -0.26 | -0.02 | -0.76 | -1.06 | -0.71 | -0.42 | -0.87 | -1.60 | -1.26 | -1.13 | -1.01 | -0.64 | -0.52 | -1.01 | -1.60 | -0.88 | -0.68 | -1.46 | -1.15 | -1.16 | -0.49 | -0.02 | -0.51 | -1.38 | -1.40 | -1.94 | -0.96 | -1.02 | -1.04 | -1.80 |
|        15 | -1.56 | -1.00 | -1.56 | -1.54 | -1.47 | -1.60 | -0.95 | -0.83 | -1.11 | -1.92 | -0.77 | -0.62 | -0.95 | -1.09 | -0.86 | -0.90 | -1.10 | -1.73 | -1.19 | -1.16 | -1.18 | -1.06 | -0.81 | -1.34 | -1.82 | -1.50 | -0.75 | -1.33 | -1.51 | -1.23 | -0.77 | -0.13 | -1.08 | -1.32 | -1.35 | -1.29 | -0.79 | -1.10 | -1.44 | -1.56 |
|        16 | -1.88 | -1.25 | -1.73 | -1.28 | -1.67 | -1.39 | -1.13 | -1.24 | -1.22 | -1.93 | -1.10 | -0.47 | -1.02 | -1.55 | -0.98 | -1.00 | -1.34 | -1.80 | -1.20 | -1.65 | -1.06 | -1.26 | -0.91 | -1.60 | -2.22 | -1.82 | -0.92 | -1.65 | -1.77 | -1.87 | -1.06 | -0.31 | -1.39 | -1.22 | -1.12 | -1.69 | -1.13 | -1.19 | -1.41 | -1.67 |
|        17 | -2.01 | -1.44 | -1.92 | -1.68 | -1.99 | -1.52 | -1.67 | -1.49 | -1.19 | -2.05 | -1.42 | -0.86 | -1.06 | -1.81 | -1.17 | -1.27 | -1.41 | -2.08 | -1.69 | -1.97 | -1.38 | -1.37 | -1.01 | -1.68 | -2.48 | -2.44 | -0.90 | -1.96 | -2.05 | -2.06 | -1.29 | -0.70 | -1.41 | -1.67 | -1.47 | -2.11 | -1.52 | -1.66 | -1.54 | -2.03 |
|        18 | -2.39 | -1.50 | -2.07 | -2.39 | -2.55 | -1.52 | -1.96 | -1.67 | -1.22 | -2.33 | -1.70 | -1.04 | -1.06 | -1.78 | -1.39 | -1.55 | -1.79 | -2.24 | -2.10 | -2.12 | -1.68 | -1.60 | -1.19 | -1.91 | -3.19 | -2.80 | -0.97 | -2.07 | -2.29 | -2.16 | -1.37 | -1.26 | -1.88 | -1.89 | -1.85 | -2.22 | -1.65 | -2.05 | -1.97 | -2.56 |
|        19 | -2.46 | -2.18 | -2.32 | -2.31 | -2.83 | -1.48 | -2.18 | -1.89 | -1.47 | -2.63 | -2.06 | -1.32 | -1.05 | -2.07 | -1.36 | -1.62 | -2.25 | -3.15 | -2.55 | -2.33 | -1.88 | -1.67 | -1.34 | -2.11 | -3.20 | -3.55 | -1.17 | -2.44 | -2.49 | -2.98 | -1.48 | -1.66 | -2.19 | -2.11 | -2.15 | -2.40 | -1.81 | -2.51 | -2.27 | -3.17 |
|        20 | -2.43 | -2.77 | -2.69 | -2.57 | -2.76 | -1.61 | -2.37 | -2.04 | -1.79 | -2.85 | -2.26 | -1.46 | -1.11 | -2.26 | -1.41 | -1.86 | -2.91 | -3.80 | -3.08 | -2.61 | -1.95 | -1.71 | -1.43 | -2.57 | -3.11 | -4.06 | -1.46 | -2.85 | -2.44 | -3.93 | -1.79 | -1.77 | -2.55 | -2.32 | -2.39 | -2.64 | -1.96 | -2.89 | -2.45 | -3.40 |
|        21 | -2.55 | -2.91 | -3.17 | -3.32 | -2.76 | -1.87 | -2.46 | -2.43 | -1.97 | -2.95 | -2.04 | -1.44 | -1.96 | -2.42 | -2.12 | -1.95 | -2.99 | -4.16 | -3.21 | -2.74 | -1.94 | -1.85 | -1.62 | -3.01 | -3.16 | -4.30 | -1.69 | -3.18 | -2.20 | -4.57 | -2.31 | -1.71 | -2.86 | -2.21 | -2.52 | -3.43 | -2.09 | -3.34 | -2.61 | -3.37 |
|        22 | -2.71 | -2.81 | -3.32 | -3.82 | -2.84 | -1.97 | -2.36 | -2.85 | -2.16 | -2.72 | -1.78 | -1.71 | -2.47 | -2.50 | -2.51 | -2.26 | -2.99 | -4.15 | -4.03 | -2.63 | -2.16 | -2.03 | -1.78 | -3.19 | -2.95 | -4.31 | -1.87 | -3.50 | -2.45 | -5.01 | -2.85 | -1.58 | -3.22 | -1.86 | -2.72 | -3.71 | -2.05 | -3.52 | -3.08 | -3.50 |
|        23 | -2.77 | -3.15 | -3.63 | -4.13 | -2.90 | -2.10 | -2.58 | -2.87 | -2.31 | -2.63 | -1.75 | -2.07 | -3.02 | -2.53 | -2.74 | -2.97 | -3.04 | -3.86 | -4.13 | -2.78 | -2.52 | -2.76 | -1.87 | -2.99 | -2.67 | -4.31 | -1.97 | -3.76 | -3.36 | -5.16 | -3.08 | -1.49 | -3.45 | -1.95 | -2.86 | -3.81 | -2.04 | -3.70 | -3.29 | -3.66 |
|        24 | -2.79 | -3.57 | -4.32 | -4.40 | -3.22 | -2.55 | -3.12 | -2.87 | -2.65 | -2.76 | -1.99 | -2.65 | -3.54 | -2.67 | -2.98 | -3.26 | -3.15 | -4.00 | -4.49 | -3.43 | -2.66 | -3.57 | -2.52 | -2.80 | -2.65 | -4.46 | -2.04 | -3.91 | -4.36 | -5.11 | -3.23 | -1.53 | -3.69 | -2.65 | -2.93 | -3.85 | -2.34 | -3.94 | -3.49 | -3.74 |
|        25 | -2.99 | -4.05 | -4.81 | -4.42 | -3.89 | -3.16 | -3.99 | -2.97 | -3.02 | -2.87 | -2.51 | -3.63 | -3.87 | -3.21 | -3.17 | -3.36 | -3.29 | -4.59 | -5.18 | -4.00 | -2.62 | -3.83 | -3.31 | -2.72 | -2.81 | -4.77 | -2.07 | -4.14 | -4.95 | -5.05 | -3.39 | -1.59 | -3.99 | -3.22 | -3.18 | -3.92 | -3.12 | -4.24 | -3.52 | -3.74 |
|        26 | -3.25 | -4.59 | -5.05 | -4.53 | -4.52 | -3.73 | -4.14 | -3.13 | -3.32 | -3.05 | -3.15 | -4.41 | -4.15 | -3.57 | -3.39 | -3.49 | -4.06 | -4.75 | -5.70 | -4.15 | -2.83 | -4.10 | -3.58 | -2.84 | -3.04 | -4.66 | -2.38 | -4.43 | -5.03 | -5.08 | -3.36 | -1.64 | -4.18 | -3.93 | -3.60 | -4.18 | -3.70 | -4.48 | -3.67 | -3.78 |
|        27 | -3.47 | -4.80 | -4.75 | -4.70 | -4.05 | -4.19 | -4.03 | -3.31 | -3.67 | -3.36 | -3.59 | -4.69 | -4.22 | -3.50 | -3.48 | -3.47 | -4.74 | -4.89 | -5.41 | -4.20 | -3.20 | -4.30 | -3.89 | -2.90 | -3.14 | -4.47 | -2.74 | -4.53 | -5.04 | -5.14 | -3.73 | -1.68 | -4.30 | -4.43 | -4.34 | -4.44 | -4.41 | -4.58 | -3.93 | -3.99 |
|        28 | -3.59 | -4.58 | -4.55 | -5.03 | -3.77 | -4.48 | -4.06 | -3.45 | -3.86 | -3.61 | -3.74 | -4.53 | -3.70 | -3.33 | -3.49 | -3.56 | -5.03 | -4.76 | -4.75 | -4.39 | -3.32 | -4.53 | -4.00 | -3.12 | -3.27 | -4.63 | -2.99 | -4.42 | -4.91 | -5.28 | -4.27 | -1.92 | -4.06 | -4.51 | -4.86 | -4.44 | -4.95 | -4.55 | -4.34 | -4.37 |
|        29 | -3.78 | -4.52 | -4.38 | -5.56 | -3.82 | -4.70 | -4.12 | -3.72 | -3.79 | -3.92 | -3.90 | -4.02 | -3.97 | -3.46 | -3.61 | -3.67 | -4.88 | -4.62 | -4.51 | -4.50 | -3.51 | -4.55 | -3.66 | -3.15 | -3.75 | -4.67 | -3.02 | -4.34 | -4.89 | -5.13 | -4.46 | -2.19 | -4.02 | -4.64 | -5.08 | -4.12 | -5.29 | -4.71 | -4.68 | -4.67 |
|        30 | -4.11 | -4.59 | -4.45 | -5.82 | -3.81 | -4.81 | -4.26 | -3.60 | -4.02 | -4.45 | -3.74 | -3.40 | -4.40 | -3.85 | -3.65 | -3.75 | -4.17 | -4.79 | -4.41 | -4.31 | -3.90 | -4.33 | -3.76 | -3.19 | -4.12 | -4.53 | -3.04 | -4.24 | -4.86 | -4.78 | -4.61 | -2.56 | -4.06 | -4.69 | -5.36 | -3.60 | -5.18 | -4.81 | -4.61 | -4.52 |
|        31 | -4.51 | -4.56 | -4.58 | -5.60 | -3.73 | -4.62 | -4.27 | -3.22 | -4.20 | -4.80 | -3.45 | -3.04 | -4.41 | -4.15 | -3.58 | -3.87 | -3.88 | -4.92 | -4.29 | -3.97 | -4.25 | -3.97 | -4.01 | -3.48 | -4.31 | -4.36 | -3.14 | -4.26 | -4.77 | -4.67 | -4.47 | -2.72 | -4.23 | -4.30 | -5.43 | -3.55 | -5.25 | -4.99 | -4.47 | -4.37 |
|        32 | -4.94 | -4.72 | -4.84 | -5.09 | -3.72 | -4.58 | -4.08 | -3.08 | -4.40 | -4.90 | -3.42 | -2.82 | -4.08 | -4.28 | -3.41 | -3.91 | -3.73 | -4.70 | -4.32 | -3.78 | -4.47 | -3.70 | -4.06 | -3.65 | -4.36 | -4.46 | -3.54 | -4.35 | -4.68 | -4.56 | -4.47 | -2.76 | -4.30 | -3.94 | -4.79 | -3.71 | -4.83 | -5.22 | -4.32 | -4.22 |
|        33 | -5.31 | -4.96 | -5.02 | -4.79 | -3.82 | -4.44 | -4.00 | -3.43 | -4.70 | -5.09 | -3.42 | -2.92 | -4.09 | -4.28 | -3.19 | -4.11 | -3.61 | -4.49 | -4.24 | -3.80 | -4.44 | -3.66 | -4.11 | -3.81 | -4.57 | -4.31 | -3.97 | -4.49 | -4.76 | -4.38 | -4.34 | -2.98 | -4.13 | -3.90 | -4.14 | -3.65 | -4.49 | -5.22 | -4.29 | -4.15 |
|        34 | -5.19 | -4.91 | -5.46 | -4.99 | -3.92 | -4.55 | -4.23 | -3.72 | -4.91 | -5.12 | -3.49 | -3.24 | -4.26 | -4.27 | -2.96 | -4.34 | -3.54 | -4.67 | -4.19 | -4.02 | -3.86 | -3.81 | -4.15 | -3.94 | -4.64 | -4.07 | -3.99 | -4.59 | -5.32 | -4.43 | -3.94 | -3.06 | -4.11 | -4.04 | -4.13 | -3.54 | -4.66 | -5.02 | -4.42 | -4.03 |
|        35 | -4.26 | -4.69 | -5.84 | -5.31 | -4.00 | -4.81 | -4.41 | -4.03 | -4.54 | -5.01 | -3.76 | -3.40 | -4.31 | -4.45 | -2.88 | -4.56 | -3.81 | -4.86 | -4.33 | -4.15 | -4.04 | -4.14 | -4.23 | -4.03 | -4.69 | -4.19 | -3.96 | -4.60 | -5.74 | -4.59 | -3.77 | -3.07 | -4.07 | -4.34 | -4.14 | -3.77 | -5.00 | -4.95 | -4.44 | -3.98 |
|        36 | -3.79 | -4.75 | -5.83 | -5.71 | -4.53 | -4.79 | -4.38 | -4.18 | -4.60 | -4.86 | -4.04 | -3.50 | -4.19 | -4.64 | -2.58 | -4.93 | -4.01 | -5.01 | -4.45 | -4.11 | -4.50 | -4.38 | -4.28 | -3.98 | -4.77 | -4.70 | -4.05 | -4.58 | -5.77 | -4.92 | -3.64 | -3.13 | -3.80 | -4.48 | -4.11 | -4.07 | -5.23 | -5.02 | -4.43 | -3.90 |
|        37 | -3.75 | -4.93 | -5.51 | -6.20 | -4.99 | -4.84 | -4.12 | -4.30 | -4.40 | -4.58 | -3.92 | -3.53 | -4.28 | -4.55 | -2.72 | -5.14 | -4.31 | -5.23 | -4.31 | -3.75 | -4.43 | -4.13 | -4.21 | -3.83 | -4.88 | -5.13 | -3.99 | -4.70 | -5.58 | -5.23 | -3.64 | -3.35 | -3.80 | -4.37 | -4.19 | -4.16 | -5.43 | -4.82 | -4.44 | -3.92 |
|        38 | -3.34 | -5.29 | -4.75 | -6.66 | -4.52 | -4.60 | -4.45 | -4.53 | -4.22 | -4.40 | -3.65 | -3.51 | -5.06 | -4.28 | -3.03 | -4.84 | -4.75 | -5.48 | -4.20 | -3.64 | -4.16 | -4.39 | -3.91 | -3.66 | -5.15 | -5.63 | -3.85 | -4.87 | -5.17 | -5.31 | -3.92 | -3.44 | -3.43 | -4.28 | -4.18 | -4.01 | -4.86 | -4.37 | -4.07 | -4.23 |
