# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |     14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |    37 |     38 |     39 |     40 |
|         1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         5 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         6 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |
|         7 |   0.80 |   0.30 |   0.50 |   0.40 |   0.40 |   0.40 |   0.40 |   0.80 |   0.10 |   0.30 |   0.50 |   0.30 |   0.40 |      0 |   0.50 |   0.30 |   0.70 |   0.70 |   0.20 |   0.40 |   0.20 |   0.20 |   0.30 |   0.70 |   0.70 |   0.80 |   0.20 |   0.70 |   0.30 |   0.20 |   0.40 |   0.40 |   0.30 |   0.50 |   0.70 |   0.70 |  0.30 |   0.50 |   0.60 |   0.60 |
|         8 |  29.40 |  15.60 |  25.40 |  22.30 |  23.50 |  17.40 |  17.80 |  27.90 |   9.20 |  17.70 |  20.70 |  15.20 |  21.60 |   2.10 |  24.80 |  18.20 |  27.70 |  27.60 |   8.40 |  24.40 |  14.50 |  15.30 |  10.70 |  26.20 |  28.00 |  29.70 |   9.10 |  28.20 |  17.50 |  10.30 |  20.90 |  21.10 |  17.10 |  22.70 |  27.70 |  28.40 | 11.00 |  22.80 |  26.90 |  24.10 |
|         9 | 103.30 |  69.80 |  94.60 |  81.50 | 100.30 |  86.70 |  79.60 | 104.10 |  74.70 |  92.90 |  95.90 |  79.00 |  97.90 |  27.80 | 101.60 |  78.90 | 102.10 | 100.10 |  28.90 |  96.70 |  77.20 |  92.40 |  65.40 |  98.50 | 101.60 | 101.40 |  67.80 |  93.80 |  89.80 |  45.50 |  94.60 |  86.10 |  76.30 |  97.50 | 100.90 | 102.90 | 48.70 | 100.20 | 100.00 |  97.40 |
|        10 | 165.10 | 139.00 | 137.80 | 134.50 | 163.50 | 150.50 | 146.20 | 165.10 | 148.90 | 162.70 | 165.20 | 152.90 | 164.00 |  94.60 | 167.30 | 116.40 | 163.60 | 161.40 |  55.80 | 140.80 | 112.70 | 163.60 | 150.40 | 160.00 | 165.90 | 163.60 | 141.60 | 152.50 | 159.80 |  80.50 | 160.90 | 153.90 | 130.70 | 165.40 | 163.90 | 165.80 | 88.00 | 164.70 | 163.30 | 162.90 |
