# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |    2 |     3 |     4 |     5 |     6 |    7 |     8 |     9 |    10 |   11 |   12 |    13 |    14 |   15 |    16 |   17 |    18 |   19 |   20 |    21 |    22 |   23 |    24 |    25 |   26 |   27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |   35 |   36 |    37 |    38 |   39 |    40 |
|         0 |  4.85 | 5.89 |  5.03 |  4.34 |  5.22 |  3.91 | 5.43 |  5.27 |  5.58 |  4.95 | 4.68 | 5.78 |  5.72 |  5.41 | 5.52 |  5.40 | 6.21 |  4.80 | 4.61 | 4.88 |  4.51 |  3.61 | 5.36 |  5.77 |  5.30 | 5.22 | 5.04 |  5.35 |  5.24 |  5.09 |  5.70 |  5.34 |  6.04 |  5.06 | 5.01 | 5.45 |  5.49 |  5.80 | 5.40 |  5.19 |
|         1 |  4.44 | 6.08 |  5.20 |  4.63 |  5.08 |  3.84 | 5.34 |  5.20 |  5.29 |  4.95 | 4.25 | 5.78 |  5.56 |  5.42 | 5.46 |  5.23 | 6.20 |  4.76 | 4.58 | 4.48 |  4.45 |  3.48 | 5.35 |  5.90 |  5.28 | 5.41 | 5.01 |  5.42 |  5.07 |  5.07 |  5.77 |  5.44 |  6.04 |  4.55 | 5.08 | 5.55 |  5.21 |  5.61 | 5.16 |  4.96 |
|         2 |  4.41 | 5.93 |  5.35 |  4.70 |  4.97 |  4.14 | 5.36 |  5.17 |  5.25 |  4.97 | 3.95 | 5.62 |  5.33 |  5.48 | 5.29 |  5.32 | 5.85 |  4.93 | 4.90 | 4.44 |  4.54 |  3.29 | 5.36 |  5.77 |  5.21 | 5.58 | 5.06 |  5.33 |  5.33 |  5.27 |  5.65 |  5.54 |  6.03 |  4.59 | 5.00 | 5.70 |  5.04 |  5.22 | 4.73 |  4.77 |
|         3 |  4.68 | 5.72 |  5.29 |  4.89 |  5.07 |  4.51 | 5.42 |  5.20 |  5.39 |  5.17 | 3.76 | 5.26 |  5.20 |  5.57 | 5.05 |  5.36 | 5.52 |  5.07 | 5.08 | 4.59 |  4.53 |  2.91 | 5.30 |  5.46 |  5.23 | 5.61 | 5.27 |  5.29 |  5.44 |  5.35 |  5.39 |  5.41 |  6.06 |  4.89 | 4.83 | 5.68 |  5.12 |  4.87 | 4.41 |  4.81 |
|         4 |  5.05 | 5.47 |  5.08 |  5.09 |  5.27 |  4.99 | 5.49 |  5.38 |  5.57 |  5.46 | 4.11 | 5.20 |  5.34 |  5.63 | 5.08 |  5.34 | 5.54 |  5.01 | 5.17 | 4.72 |  4.68 |  2.88 | 5.26 |  5.03 |  5.27 | 5.33 | 5.26 |  5.02 |  5.30 |  5.22 |  5.22 |  5.21 |  5.97 |  5.14 | 5.01 | 5.49 |  5.34 |  4.53 | 4.63 |  4.73 |
|         5 |  5.11 | 5.05 |  4.84 |  5.03 |  5.26 |  5.26 | 5.41 |  5.49 |  5.55 |  5.65 | 4.43 | 5.32 |  5.51 |  5.62 | 5.14 |  5.18 | 5.29 |  4.55 | 5.17 | 4.68 |  4.82 |  3.34 | 5.22 |  4.58 |  5.18 | 4.61 | 5.20 |  4.26 |  5.15 |  4.94 |  5.12 |  5.09 |  5.79 |  5.21 | 4.79 | 5.05 |  5.37 |  4.15 | 4.50 |  4.30 |
|         6 |  4.19 | 4.47 |  4.41 |  4.52 |  4.83 |  4.89 | 5.25 |  5.02 |  5.43 |  5.42 | 4.05 | 5.09 |  5.23 |  5.53 | 4.85 |  4.92 | 4.31 |  3.72 | 5.17 | 4.45 |  4.73 |  3.84 | 5.02 |  3.92 |  4.68 | 3.65 | 5.11 |  3.29 |  4.81 |  4.68 |  4.65 |  4.82 |  5.74 |  4.74 | 3.82 | 4.43 |  5.10 |  3.67 | 4.04 |  3.58 |
|         7 |  3.07 | 4.14 |  3.80 |  3.83 |  3.97 |  4.16 | 4.87 |  4.01 |  5.19 |  4.73 | 3.47 | 4.57 |  4.62 |  5.26 | 4.04 |  4.45 | 3.33 |  2.84 | 4.81 | 3.95 |  4.39 |  4.02 | 4.59 |  3.10 |  3.81 | 2.86 | 4.85 |  2.50 |  4.17 |  4.37 |  3.85 |  4.31 |  5.33 |  4.11 | 2.81 | 3.64 |  4.62 |  3.13 | 3.23 |  2.79 |
|         8 |  2.87 | 4.11 |  3.47 |  3.47 |  3.57 |  3.90 | 4.52 |  3.67 |  5.01 |  4.33 | 3.61 | 4.33 |  4.20 |  5.15 | 3.69 |  3.99 | 3.16 |  2.57 | 4.66 | 3.65 |  4.27 |  4.11 | 4.42 |  2.95 |  3.42 | 2.70 | 4.54 |  2.40 |  3.66 |  4.30 |  3.34 |  4.16 |  5.01 |  3.91 | 2.48 | 3.44 |  4.41 |  2.84 | 3.06 |  2.78 |
|         9 |  3.77 | 4.40 |  3.89 |  3.97 |  4.12 |  4.39 | 4.69 |  4.16 |  5.15 |  4.83 | 4.61 | 4.81 |  4.49 |  5.34 | 4.39 |  4.28 | 3.86 |  3.23 | 4.96 | 4.19 |  4.88 |  4.76 | 4.74 |  3.69 |  3.99 | 3.32 | 4.61 |  3.15 |  4.07 |  4.54 |  3.71 |  4.86 |  5.29 |  4.58 | 3.11 | 4.07 |  4.68 |  3.29 | 3.88 |  3.75 |
