# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |      9 |     10 |     11 |     12 |    13 |    14 |     15 |    16 |    17 |    18 |     19 |    20 |    21 |    22 |     23 |     24 |     25 |    26 |    27 |    28 |    29 |    30 |     31 |     32 |     33 |     34 |     35 |    36 |    37 |    38 |     39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |
|         7 |     0 |     0 |     0 |  0.10 |     0 |     0 |     0 |  0.10 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |  0.10 |     0 |   0.10 |     0 |     0 |  0.10 |   0.10 |      0 |   0.10 |     0 |     0 |  0.10 |  0.10 |     0 |   0.10 |      0 |   0.10 |      0 |      0 |     0 |  0.10 |     0 |   0.10 |     0 |
|         8 |  1.10 |  1.80 |  3.00 |  2.60 |  0.40 |  3.20 |  1.30 |  3.50 |      0 |   1.90 |   0.40 |      0 |  0.30 |  1.40 |   3.20 |  0.70 |  1.50 |  0.10 |   3.10 |  2.20 |  1.20 |  5.20 |   6.80 |   0.30 |   1.80 |  1.30 |  0.80 |  2.30 |  1.10 |     0 |   7.30 |   0.60 |   0.90 |   2.80 |   1.00 |  1.00 |  2.00 |  0.90 |   0.60 |  0.10 |
|         9 |  2.80 | 23.20 |  4.60 | 14.00 |  2.20 | 16.20 |  7.70 |  8.50 |   4.10 |  10.10 |   7.00 |   0.50 |  1.70 |  6.30 |   3.80 |  2.50 |  7.20 |  3.50 |  10.90 |  6.20 |  4.90 | 15.30 |  15.10 |   4.90 |   4.00 |  9.40 |  2.00 |  2.30 |  0.40 |  0.30 |  28.60 |   3.10 |   0.50 |  16.20 |   3.20 |  8.40 |  5.80 |  0.10 |   4.40 |  7.70 |
|        10 | 21.20 | 31.60 |  7.10 | 13.10 |  6.90 | 27.60 | 15.50 | 12.40 |   0.10 |   8.50 |  10.70 |   0.80 |  9.40 |  6.80 |   1.60 |  5.60 | 17.40 | 15.60 |   7.30 | 25.40 | 12.70 | 23.70 |  20.70 |   1.60 |   2.80 | 15.70 | 15.10 |  1.10 |  0.80 |  4.70 |  60.50 |   7.60 |   0.20 |  16.60 |   6.60 | 15.10 |  8.10 |  0.10 |   5.00 |  9.90 |
