# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |     3 |    4 |     5 |     6 |    7 |     8 |     9 |    10 |   11 |    12 |    13 |    14 |   15 |   16 |   17 |    18 |   19 |    20 |    21 |   22 |   23 |    24 |    25 |    26 |    27 |    28 |    29 |   30 |    31 |    32 |   33 |   34 |   35 |    36 |    37 |   38 |   39 |   40 |
|         0 |    0 | 1.01 |  1.22 | 0.83 |  1.44 |  0.49 | 1.51 |  1.34 | -0.06 |  1.00 | 0.33 |  1.06 |  1.02 | -0.05 | 0.97 | 0.46 | 1.21 | -0.11 | 0.51 |  1.03 |     0 | 0.42 | 0.97 | -0.11 |  0.67 |  1.56 |  0.63 |  1.16 |  1.48 | 0.18 |  0.46 |  0.30 | 0.82 | 0.82 | 0.86 |  1.60 |  0.79 | 0.71 | 0.84 |    0 |
|         1 | 0.15 | 1.45 |  1.48 | 1.04 |  1.93 |  1.08 | 2.28 |  1.88 |  0.08 |  1.28 | 0.53 |  1.57 |  1.53 | -0.01 | 1.31 | 0.87 | 1.52 | -0.16 | 0.53 |  1.24 | -0.02 | 0.49 | 1.20 |  0.28 |  0.75 |  2.31 |  0.73 |  1.48 |  1.84 | 0.21 |  0.72 |  0.96 | 1.58 | 1.14 | 1.67 |  2.39 |  1.15 | 0.55 | 1.34 | 0.82 |
|         2 | 0.83 | 1.95 |  1.79 | 1.44 |  2.52 |  1.63 | 2.71 |  2.19 |  0.67 |  1.55 | 0.95 |  1.99 |  1.97 |  0.18 | 1.65 | 1.16 | 1.79 |  0.34 | 0.92 |  1.39 |  0.53 | 0.61 | 1.75 |  0.95 |  1.21 |  2.57 |  1.18 |  1.80 |  2.32 | 0.42 |  1.08 |  1.55 | 2.08 | 1.55 | 2.31 |  2.94 |  1.86 | 0.51 | 1.87 | 1.48 |
|         3 | 1.35 | 2.72 |  1.87 | 2.02 |  3.13 |  2.16 | 3.16 |  2.56 |  1.12 |  1.82 | 1.40 |  2.29 |  2.31 |  0.57 | 2.12 | 1.40 | 1.88 |  1.07 | 1.41 |  1.70 |  1.12 | 0.61 | 2.33 |  1.47 |  1.44 |  2.99 |  1.72 |  2.29 |  2.95 | 0.81 |  1.56 |  2.23 | 2.42 | 1.94 | 2.91 |  3.55 |  2.46 | 0.61 | 2.03 | 1.59 |
|         4 | 1.80 | 3.45 |  2.24 | 2.65 |  3.64 |  2.80 | 3.74 |  3.01 |  1.59 |  2.44 | 1.90 |  2.80 |  2.74 |  1.14 | 2.63 | 1.70 | 2.44 |  1.74 | 1.86 |  2.12 |  1.51 | 0.73 | 2.90 |  1.77 |  1.61 |  3.51 |  2.25 |  2.96 |  3.63 | 1.28 |  2.37 |  2.87 | 2.98 | 2.43 | 3.65 |  3.99 |  2.98 | 1.25 | 2.52 | 1.77 |
|         5 | 2.32 | 3.98 |  2.80 | 3.31 |  3.91 |  3.54 | 4.08 |  3.63 |  2.17 |  2.80 | 2.40 |  3.49 |  3.36 |  1.64 | 3.15 | 2.29 | 3.16 |  2.18 | 2.34 |  2.66 |  1.90 | 1.11 | 3.41 |  2.13 |  1.91 |  4.01 |  2.97 |  3.63 |  4.12 | 1.41 |  3.21 |  3.40 | 3.61 | 2.96 | 4.04 |  4.33 |  3.52 | 1.89 | 3.25 | 2.56 |
|         6 | 2.78 | 4.30 |  3.34 | 3.77 |  4.23 |  3.99 | 4.27 |  4.15 |  2.68 |  3.15 | 2.79 |  4.05 |  3.91 |  2.26 | 3.59 | 2.89 | 3.76 |  2.60 | 3.00 |  3.34 |  2.23 | 1.66 | 3.91 |  2.68 |  2.48 |  4.39 |  3.71 |  4.06 |  4.40 | 2.02 |  3.73 |  3.74 | 4.09 | 3.38 | 4.36 |  4.62 |  4.08 | 2.41 | 3.82 | 3.36 |
|         7 | 3.39 | 4.60 |  3.77 | 4.06 |  4.60 |  4.15 | 4.50 |  4.29 |  3.30 |  3.57 | 3.14 |  4.23 |  4.13 |  2.90 | 3.95 | 3.22 | 4.23 |  3.02 | 3.39 |  3.73 |  2.80 | 2.18 | 4.20 |  3.41 |  3.11 |  4.66 |  4.19 |  4.31 |  4.58 | 2.62 |  3.91 |  4.08 | 4.23 | 3.54 | 4.76 |  5.01 |  4.24 | 2.91 | 4.20 | 3.69 |
|         8 | 3.90 | 4.93 |  4.19 | 4.30 |  4.89 |  4.42 | 4.81 |  4.63 |  3.84 |  4.01 | 3.66 |  4.60 |  4.44 |  3.61 | 4.42 | 3.70 | 4.61 |  3.61 | 3.59 |  4.11 |  3.34 | 2.85 | 4.40 |  3.97 |  3.64 |  5.03 |  4.58 |  4.50 |  4.93 | 3.15 |  4.24 |  4.50 | 4.51 | 3.75 | 5.03 |  5.40 |  4.70 | 3.43 | 4.70 | 4.01 |
|         9 | 4.60 | 5.57 |  4.72 | 4.82 |  5.37 |  5.09 | 5.42 |  5.31 |  4.61 |  4.69 | 4.38 |  5.00 |  4.94 |  4.39 | 5.11 | 4.37 | 5.27 |  4.33 | 4.19 |  4.58 |  4.16 | 3.77 | 5.03 |  4.50 |  4.17 |  5.62 |  5.07 |  4.85 |  5.43 | 3.80 |  5.03 |  5.03 | 4.96 | 4.44 | 5.49 |  5.98 |  5.44 | 4.09 | 5.36 | 4.86 |
