# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |     18 |    19 |     20 |    21 |    22 |    23 |    24 |     25 |    26 |    27 |    28 |    29 |    30 |     31 |    32 |    33 |    34 |     35 |     36 |     37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |     0 |
|         7 |  0.10 |     0 |     0 |     0 |     0 |     0 |  0.10 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |     0 |  0.10 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |  0.10 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |  0.10 |
|         8 |  4.80 |  1.10 |  1.20 |  0.30 |  2.40 |  2.70 |  2.80 |  1.20 |     0 |  0.50 |  0.70 |  0.70 |  0.80 |  0.30 |  1.50 |  1.30 |  0.80 |      0 |  1.80 |   0.90 |  1.60 |  4.50 |  1.40 |  0.30 |   0.70 |  0.40 |  0.30 |  1.10 |  1.00 |  1.60 |      0 |  0.10 |  0.20 |     0 |   1.10 |   0.40 |   0.70 |  0.20 |     0 |  2.30 |
|         9 | 14.90 |  1.80 |  3.90 |     0 |  5.90 | 10.50 | 15.50 |  2.80 |  1.80 |  0.20 |  0.50 |  6.30 |  5.90 |  2.50 |  1.00 |  8.90 |  1.10 |   1.40 |  8.20 |   3.90 |  5.30 | 19.60 |  9.00 |  5.00 |   4.70 |  0.30 |  1.40 |  5.40 |  4.10 |  8.10 |   6.40 |  0.80 |  3.00 |     0 |   0.90 |   1.80 |   2.30 |  4.00 |     0 |  8.50 |
|        10 | 19.30 |  4.10 |  7.80 |     0 | 10.10 | 14.80 | 12.70 |  2.80 |  0.20 | 13.90 |  1.90 | 19.20 | 17.10 | 20.10 |  5.40 | 14.90 |  0.70 |   2.60 | 21.30 |   5.50 |  7.20 | 16.40 | 28.50 | 10.00 |  16.10 | 11.60 |  3.20 |  8.70 |  5.90 | 10.20 |  11.90 |  2.10 | 12.80 |     0 |   1.50 |  12.00 |   4.30 |  7.00 |     0 |  2.90 |
