# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |      2 |     3 |      4 |     5 |      6 |      7 |     8 |     9 |     10 |     11 |     12 |     13 |     14 |    15 |     16 |    17 |     18 |     19 |     20 |    21 |     22 |    23 |    24 |    25 |     26 |     27 |     28 |    29 |     30 |    31 |     32 |     33 |    34 |    35 |     36 |     37 |    38 |    39 |     40 |
|         1 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |
|         2 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |
|         3 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |
|         4 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |
|         5 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |
|         6 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |
|         7 |     0 |   0.20 |  0.10 |   0.10 |  0.10 |   0.20 |   0.10 |     0 |  0.10 |   0.20 |   0.10 |   0.10 |   0.10 |   0.10 |     0 |      0 |     0 |   0.10 |   0.10 |   0.10 |  0.10 |      0 |  0.10 |  0.20 |  0.10 |   0.10 |   0.10 |   0.10 |  0.10 |      0 |  0.10 |   0.10 |   0.10 |  0.10 |     0 |   0.10 |   0.10 |  0.10 |  0.10 |   0.10 |
|         8 |  9.30 |  17.30 |  5.30 |  10.10 |  9.00 |  14.80 |   4.00 |  3.30 |  6.70 |  13.00 |   8.70 |   9.50 |   5.30 |   7.40 |  3.70 |   3.80 |  2.80 |  13.20 |  12.20 |   6.70 |  4.00 |   3.20 |  5.40 | 12.50 |  6.80 |   9.30 |   6.40 |   5.50 |  4.60 |   8.30 |  7.00 |   7.40 |   2.30 | 10.60 |  6.00 |   4.70 |  13.50 |  8.90 |  7.30 |   7.90 |
|         9 | 43.10 |  81.80 | 24.80 |  51.80 | 43.00 |  62.80 |  26.90 | 13.60 | 31.20 |  50.90 |  27.50 |  36.60 |  30.70 |  63.40 | 17.50 |  22.70 | 16.10 |  64.50 |  55.50 |  23.20 | 23.50 |  27.30 | 37.00 | 44.60 | 30.40 |  56.50 |  24.00 |  12.10 | 26.40 |  39.90 | 20.70 |  25.80 |  33.50 | 35.40 | 21.60 |  22.00 |  54.20 | 33.50 | 28.90 |  45.20 |
|        10 | 71.90 | 142.80 | 45.10 | 108.40 | 77.40 | 101.80 |  58.70 | 27.80 | 33.90 | 100.90 |  56.30 |  56.80 |  72.60 | 132.10 | 52.20 |  60.30 | 29.40 | 111.50 |  99.30 |  44.70 | 39.70 |  65.60 | 71.30 | 58.20 | 51.60 | 104.10 |  47.70 |  53.80 | 58.80 |  58.60 | 46.00 |  43.50 |  79.50 | 30.00 | 39.80 |  43.00 |  98.30 | 48.50 | 26.90 |  81.80 |
