# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |      6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | -1.23 | -1.72 | -3.10 | -3.15 | -0.37 |  -3.66 | -3.50 | -4.23 | -2.00 | -0.85 | -1.73 | -3.03 | -1.25 | -1.94 | -1.88 | -0.30 |  1.37 | -0.84 | -2.74 | -2.25 | -3.17 | -3.17 | -3.59 | -4.18 | -2.47 | -2.63 | -1.74 | -2.36 | -2.37 | -3.03 | -3.57 | -0.67 | -2.41 | -2.50 | -2.74 | -3.69 | -3.99 | -3.98 | -3.65 | -2.52 |
|         1 |  0.15 |  0.19 | -1.75 | -1.68 |  0.18 |  -3.53 | -1.80 | -3.26 | -0.87 |  0.39 |  0.02 | -1.34 | -0.22 | -1.56 | -1.19 |  1.02 |  2.20 |  1.54 | -0.92 | -0.05 | -2.06 | -1.51 | -2.69 | -3.42 | -1.80 | -0.54 | -0.96 | -0.75 | -0.70 | -2.45 | -2.99 | -0.14 | -2.57 | -1.02 | -0.84 | -3.79 | -2.52 | -2.94 | -3.33 | -1.51 |
|         2 |  0.76 |  0.80 | -0.11 | -0.21 |  0.63 |  -2.59 | -0.60 | -1.94 |  0.20 |  1.54 |  2.16 |  0.41 |  1.04 | -1.50 | -0.27 |  1.73 |  2.09 |  2.36 |  0.25 |  1.93 | -1.14 | -0.52 | -1.14 | -1.42 | -0.74 |  0.41 |     0 |  0.46 |  0.35 | -1.48 | -1.15 |  0.20 | -1.65 | -0.03 |  1.01 | -2.61 | -0.92 | -1.17 | -2.07 | -0.36 |
|         3 |  0.60 |  0.41 |  0.59 |  0.47 |  0.39 |  -1.09 | -0.03 | -1.66 |  0.47 |  1.78 |  2.41 |  0.68 |  1.20 | -1.39 | -0.06 |  1.48 |  1.92 |  2.21 |  0.42 |  2.90 | -0.92 | -0.27 | -0.33 | -0.09 | -0.05 |  0.39 |  0.76 |  1.11 |  0.63 | -0.99 | -0.43 |  0.59 | -0.94 |  0.02 |  1.62 | -1.78 |  0.35 | -0.09 | -1.38 |  0.13 |
|         4 |  0.18 |  0.28 |  0.19 |  0.45 | -0.13 |  -0.24 |  0.58 | -1.82 | -0.10 |  1.49 |  1.75 |  0.67 |  0.90 | -1.26 | -0.40 |  1.18 |  1.58 |  2.14 |  0.64 |  2.33 | -1.32 | -0.09 |  0.06 |  0.14 |  0.51 |  0.78 |  0.85 |  1.29 |  0.40 | -0.57 | -0.90 |  0.63 | -1.05 | -0.30 |  0.95 | -1.52 |  1.07 | -0.06 | -1.30 | -0.44 |
|         5 | -0.50 |  0.69 | -0.10 |  0.30 | -0.16 |  -0.64 |  0.77 | -1.73 | -0.43 |  1.15 |  1.09 |  0.57 |  0.77 | -1.27 | -0.25 |  1.08 |  1.11 |  1.83 |  0.88 |  1.61 | -1.54 |  0.15 | -0.20 |  0.34 |  0.48 |  1.30 |  0.96 |  1.26 |  0.37 | -0.67 | -1.12 |  0.76 | -1.35 | -0.35 |  0.43 | -1.63 |  0.60 | -0.31 | -1.39 | -0.48 |
|         6 | -0.46 |  0.98 |  0.02 |  0.49 |  0.12 |  -0.76 |  0.62 | -1.15 | -0.13 |  0.98 |  0.84 |  0.39 |  0.61 | -0.82 |  0.17 |  1.19 |  0.97 |  1.46 |  0.79 |  0.98 | -1.01 |  0.49 | -0.84 |  0.62 |  0.02 |  1.18 |  1.08 |  1.35 |  0.47 | -0.91 | -1.11 |  0.81 | -1.31 | -0.10 |  0.55 | -1.88 | -0.01 | -0.20 | -1.29 |  0.03 |
|         7 | -0.21 |  0.93 |  0.37 |  0.72 |  0.29 |  -0.70 |  0.21 | -0.67 |  0.15 |  1.13 |  1.08 |  0.52 |  0.17 | -0.51 |  0.44 |  1.16 |  0.79 |  1.49 |  1.11 |  0.41 | -0.71 |  0.87 | -1.29 |  0.30 | -0.76 |  1.20 |  1.07 |  1.56 |  0.63 | -1.02 | -0.86 |  0.69 | -1.10 |  0.22 |  0.96 | -2.14 |  0.16 | -0.16 | -0.82 |  0.59 |
|         8 | -0.19 |  0.82 |  0.40 |  0.71 |  0.39 |  -0.46 | -0.14 | -0.99 |  0.06 |  1.49 |  1.48 |  0.92 | -0.10 | -0.63 |  0.41 |  1.03 |  0.77 |  1.81 |  1.58 | -0.05 | -0.89 |  1.37 | -1.39 | -0.16 | -1.12 |  1.46 |  1.05 |  1.65 |  0.73 | -0.57 | -0.65 |  0.57 | -0.67 |  0.29 |  1.17 | -2.40 |  0.59 | -0.07 | -0.30 |  1.01 |
|         9 | -0.51 |  1.22 | -0.26 |  0.83 |  0.34 |  -0.73 | -0.36 | -1.37 | -0.34 |  1.27 |  2.06 |  1.48 |  0.36 | -0.33 |  0.64 |  0.92 |  1.06 |  2.17 |  1.80 | -0.47 | -1.13 |  1.33 | -0.92 | -0.37 | -0.75 |  1.61 |  1.07 |  1.56 |  0.50 | -0.58 | -0.81 |  0.58 | -1.20 |  0.18 |  1.02 | -2.27 |  0.73 | -0.02 | -0.38 |  0.70 |
