# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |      2 |     3 |      4 |     5 |     6 |     7 |      8 |     9 |    10 |     11 |    12 |     13 |     14 |    15 |    16 |    17 |    18 |     19 |    20 |    21 |    22 |     23 |    24 |     25 |     26 |    27 |    28 |    29 |     30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         2 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         3 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         4 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         5 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         6 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         7 |     0 |   0.10 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |  0.10 |     0 |     0 |
|         8 |  1.50 |   4.10 |  1.80 |   0.70 |  0.30 |  1.70 |  2.30 |      0 |  2.20 |  0.60 |   2.00 |  4.30 |   3.00 |   3.60 |  0.90 |  2.90 |  0.50 |  2.10 |      0 |  2.20 |  2.20 |  0.20 |   0.10 |  0.30 |   1.20 |   2.40 |  0.60 |  2.60 |  3.50 |   4.90 |     0 |  0.20 |  1.40 |  0.10 |  0.20 |  1.20 |  2.20 |  6.80 |  0.20 |  5.20 |
|         9 | 12.60 |  12.50 | 11.20 |   2.40 |  1.20 |  4.90 |  1.50 |   1.30 | 16.60 |  2.80 |   9.80 | 17.90 |  24.10 |  13.70 |  1.50 |  6.40 |  0.70 |  6.00 |   5.30 |  3.50 |  5.80 |  3.20 |   5.70 |  2.90 |  23.90 |   7.20 |  1.00 | 23.40 | 27.30 |   5.90 |  0.20 | 12.10 |  3.60 |  1.80 |  3.20 | 34.20 |  2.60 | 35.50 |  1.20 | 33.10 |
|        10 | 15.60 |   3.70 | 56.50 |  21.60 |  4.40 | 14.80 | 16.40 |   2.10 | 42.60 | 11.50 |   6.60 | 34.40 |  33.60 |  41.90 |  7.90 |  5.30 |  4.90 | 25.30 |  35.70 | 15.90 | 21.40 | 30.50 |  19.80 |  1.90 |  39.00 |  15.50 |  4.00 | 52.00 | 39.60 |   2.00 |  0.30 | 14.70 |  7.90 |  1.10 |  2.00 | 57.90 | 21.80 | 53.10 |  1.70 | 47.90 |
