# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |      1 |     2 |     3 |     4 |      5 |      6 |      7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |     18 |    19 |    20 |     21 |    22 |     23 |    24 |    25 |    26 |    27 |    28 |     29 |     30 |     31 |     32 |    33 |     34 |    35 |    36 |    37 |    38 |     39 |    40 |
|         0 |  -3.26 | -3.38 | -3.58 | -4.87 |  -3.02 |  -4.22 |  -3.63 | -3.85 | -4.77 | -3.42 | -2.86 | -3.80 | -3.60 | -3.54 | -3.19 | -3.46 | -3.35 |  -3.31 | -3.29 | -4.17 |  -3.76 | -3.53 |  -4.77 | -3.00 | -4.83 | -3.48 | -3.06 | -3.17 |  -4.77 |  -3.98 |  -4.80 |  -3.21 | -2.39 |  -3.78 | -3.62 | -3.65 | -3.69 | -3.40 |  -3.31 | -3.62 |
|         1 |  -3.54 | -4.01 | -3.70 | -4.67 |  -3.21 |  -4.68 |  -4.01 | -4.50 | -4.92 | -3.71 | -2.62 | -3.75 | -3.80 | -4.00 | -3.48 | -4.32 | -3.76 |  -3.50 | -3.77 | -4.65 |  -4.71 | -3.81 |  -5.00 | -3.20 | -4.90 | -4.05 | -3.33 | -3.23 |  -4.74 |  -4.52 |  -4.81 |  -3.26 | -2.47 |  -4.28 | -3.94 | -4.24 | -3.28 | -3.68 |  -3.45 | -3.79 |
|         2 |  -3.71 | -4.30 | -3.63 | -4.29 |  -3.20 |  -4.90 |  -4.35 | -5.29 | -4.80 | -3.99 | -2.51 | -3.75 | -3.86 | -4.41 | -4.15 | -4.69 | -4.18 |  -3.56 | -4.34 | -5.11 |  -4.70 | -4.21 |  -4.99 | -3.23 | -5.00 | -4.41 | -3.49 | -3.34 |  -4.70 |  -4.47 |  -4.71 |  -3.60 | -2.51 |  -4.50 | -4.14 | -4.95 | -3.15 | -4.20 |  -3.53 | -3.75 |
|         3 |  -4.02 | -3.91 | -3.77 | -4.62 |  -3.11 |  -4.60 |  -4.86 | -5.23 | -4.64 | -4.32 | -2.75 | -3.64 | -4.02 | -4.54 | -4.73 | -4.73 | -4.53 |  -3.95 | -4.40 | -5.27 |  -4.48 | -4.79 |  -5.05 | -3.38 | -4.97 | -4.63 | -3.47 | -3.94 |  -4.73 |  -4.52 |  -4.54 |  -3.96 | -2.68 |  -4.80 | -4.32 | -5.20 | -3.27 | -4.78 |  -3.62 | -3.92 |
|         4 |  -4.57 | -3.70 | -4.25 | -5.08 |  -3.25 |  -4.39 |  -4.77 | -5.13 | -4.45 | -4.18 | -3.02 | -3.96 | -4.24 | -4.67 | -5.00 | -4.72 | -4.57 |  -4.63 | -4.46 | -5.33 |  -4.21 | -5.23 |  -5.05 | -3.65 | -4.89 | -4.73 | -3.61 | -4.50 |  -4.84 |  -4.58 |  -4.36 |  -4.71 | -3.11 |  -4.78 | -5.06 | -5.20 | -3.44 | -4.70 |  -3.90 | -4.26 |
|         5 |  -5.16 | -3.96 | -4.20 | -5.21 |  -3.54 |  -4.40 |  -4.73 | -5.01 | -4.43 | -4.08 | -3.11 | -4.79 | -4.59 | -4.70 | -4.99 | -4.86 | -4.57 |  -4.95 | -4.46 | -5.34 |  -4.09 | -5.38 |  -5.02 | -4.28 | -4.92 | -4.42 | -3.89 | -4.59 |  -4.84 |  -4.55 |  -4.58 |  -5.04 | -3.60 |  -4.83 | -5.11 | -5.19 | -3.67 | -4.68 |  -4.40 | -4.76 |
|         6 |  -5.38 | -4.17 | -4.58 | -4.96 |  -3.87 |  -4.52 |  -4.77 | -4.94 | -4.70 | -4.56 | -3.06 | -5.30 | -4.86 | -4.68 | -5.16 | -4.87 | -4.61 |  -5.01 | -4.46 | -5.41 |  -4.23 | -5.75 |  -5.02 | -4.62 | -5.00 | -4.34 | -4.17 | -4.72 |  -4.80 |  -4.47 |  -4.93 |  -5.04 | -4.14 |  -4.98 | -5.04 | -5.37 | -4.03 | -4.76 |  -4.52 | -5.03 |
|         7 |  -5.45 | -4.09 | -5.25 | -4.71 |  -4.32 |  -4.63 |  -4.85 | -4.56 | -4.98 | -4.78 | -3.08 | -5.50 | -4.92 | -4.72 | -5.05 | -4.55 | -4.47 |  -5.10 | -4.52 | -5.49 |  -4.39 | -5.64 |  -4.77 | -4.99 | -5.19 | -4.52 | -4.68 | -4.89 |  -4.82 |  -4.39 |  -5.15 |  -5.19 | -4.50 |  -5.13 | -4.90 | -5.18 | -3.86 | -4.83 |  -4.70 | -5.09 |
|         8 |  -5.56 | -4.26 | -5.21 | -4.52 |  -4.88 |  -4.85 |  -4.82 | -4.57 | -5.31 | -4.58 | -3.73 | -5.65 | -5.27 | -4.94 | -5.00 | -4.31 | -4.15 |  -5.10 | -4.33 | -5.51 |  -4.61 | -5.55 |  -4.72 | -5.05 | -5.16 | -4.56 | -4.66 | -4.83 |  -4.91 |  -4.68 |  -5.17 |  -5.24 | -4.50 |  -5.10 | -4.51 | -4.84 | -3.76 | -4.78 |  -4.66 | -4.84 |
|         9 |  -5.34 | -4.54 | -4.93 | -4.39 |  -5.07 |  -4.88 |  -4.82 | -4.43 | -5.60 | -4.33 | -4.67 | -5.48 | -5.56 | -4.81 | -4.87 | -4.34 | -3.96 |  -4.95 | -4.22 | -5.46 |  -4.89 | -5.12 |  -4.67 | -4.82 | -4.71 | -4.27 | -4.36 | -4.58 |  -5.04 |  -4.83 |  -4.89 |  -5.34 | -4.40 |  -4.66 | -4.32 | -4.78 | -3.93 | -4.70 |  -4.64 | -4.94 |
