# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |     3 |     4 |      5 |     6 |      7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |     19 |    20 |    21 |     22 |     23 |    24 |    25 |    26 |     27 |    28 |    29 |     30 |     31 |    32 |    33 |    34 |    35 |    36 |    37 |     38 |     39 |    40 |
|         1 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         2 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         3 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         4 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         5 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         6 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |
|         7 |      0 |   0.10 |     0 |  0.10 |      0 |  0.10 |   0.10 |     0 |     0 |     0 |     0 |     0 |  0.10 |     0 |     0 |     0 |     0 |     0 |   0.10 |     0 |     0 |      0 |      0 |  0.10 |     0 |  0.10 |   0.10 |     0 |     0 |   0.10 |      0 |     0 |     0 |     0 |     0 |  0.10 |     0 |      0 |      0 |     0 |
|         8 |   2.90 |   8.10 |  1.30 |  4.80 |   2.40 |  6.60 |   5.20 |  0.10 |     0 |  1.40 |  2.80 |  1.60 |  2.20 |  1.20 |  2.90 |  1.70 |  1.40 |  4.10 |   7.80 |  4.10 |     0 |   1.90 |   0.70 |  9.70 |  1.60 |  7.40 |  10.20 |  2.70 |  3.90 |  14.10 |   2.10 |  2.00 |  1.10 |     0 |  1.20 |  4.50 |  0.90 |      0 |   3.40 |  1.60 |
|         9 |   7.00 |  42.60 | 12.80 | 15.90 |  24.30 | 12.00 |  21.50 | 10.10 | 24.50 | 15.80 | 12.70 |  9.80 |  9.10 |  9.50 | 23.80 |  5.40 | 15.90 | 22.20 |  30.50 | 26.20 |  6.50 |   4.20 |  13.70 | 25.10 | 14.90 | 29.30 |  16.60 | 19.30 | 36.40 |  71.00 |  14.30 | 17.10 | 11.20 |  3.20 | 14.80 | 38.50 | 21.60 |  24.20 |  29.00 | 16.90 |
|        10 |  11.90 |  71.70 | 37.50 | 24.30 |  44.10 |  8.10 |  48.80 | 25.70 | 53.70 | 19.40 | 28.10 | 18.70 | 42.30 |  9.80 | 19.60 | 17.10 | 24.70 |  7.90 |  94.70 | 48.60 | 28.50 |  18.90 |  32.80 | 21.60 | 44.60 | 66.30 |  18.70 | 10.10 | 31.40 | 105.70 |   8.20 | 51.40 | 33.60 | 19.90 | 54.90 | 92.00 | 16.00 |  43.50 |  54.30 | 24.70 |
