# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |      2 |     3 |      4 |     5 |      6 |      7 |      8 |      9 |     10 |     11 |    12 |     13 |     14 |     15 |    16 |     17 |     18 |     19 |     20 |     21 |     22 |    23 |     24 |     25 |     26 |     27 |    28 |    29 |     30 |     31 |     32 |     33 |     34 |     35 |    36 |     37 |    38 |     39 |    40 |
|         1 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |
|         2 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |
|         3 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |
|         4 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |
|         5 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |
|         6 |     0 |      0 |     0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |     0 |      0 |     0 |
|         7 |     0 |   0.10 |     0 |   0.10 |     0 |   0.10 |   0.10 |   0.10 |   0.10 |      0 |      0 |  0.10 |   0.10 |   0.10 |   0.10 |     0 |      0 |      0 |      0 |   0.10 |   0.10 |      0 |     0 |      0 |      0 |   0.10 |   0.10 |     0 |     0 |   0.10 |      0 |   0.10 |      0 |      0 |   0.10 |  0.10 |      0 |     0 |      0 |     0 |
|         8 |  2.60 |  12.00 |     0 |  14.50 |     0 |  13.50 |  14.30 |  15.10 |  16.70 |   3.00 |   0.40 | 11.00 |   6.80 |  17.80 |  11.50 |  2.50 |   6.40 |   1.70 |   3.70 |  10.30 |  11.90 |   3.50 |  5.80 |   7.90 |   5.80 |  10.50 |  13.20 |  3.40 |  0.10 |   8.50 |   2.70 |  12.40 |   4.70 |      0 |  13.30 |  6.80 |   4.80 |     0 |   3.40 |  2.50 |
|         9 |  8.00 |  66.60 |  2.90 |  67.90 |     0 |  72.00 |  77.20 |  68.20 |  79.40 |  26.30 |  23.70 | 41.20 |  55.10 |  80.00 |  58.10 | 23.50 |  41.90 |   7.50 |  24.20 |  48.10 |  62.50 |  52.30 | 26.10 |  39.70 |  58.70 |  43.50 |  53.80 | 10.10 | 10.30 |  36.10 |  22.90 |  47.90 |  38.10 |   7.60 |  71.10 | 17.90 |  31.60 |  1.10 |  32.50 |  8.20 |
|        10 | 23.70 | 141.20 |  4.50 | 117.10 |  8.00 | 134.60 | 147.70 | 144.00 | 139.30 | 104.80 | 116.30 | 73.40 | 139.70 | 115.40 | 133.60 | 48.40 |  84.50 |  27.00 |  47.90 | 112.50 | 132.80 | 135.60 | 27.50 | 104.70 | 138.30 | 115.50 | 120.50 |  8.50 | 38.10 |  85.40 |  52.90 |  89.90 | 110.60 |  55.20 | 125.30 | 33.30 |  77.20 |  1.50 | 100.20 | 19.20 |
