# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |      6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |     15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |     23 |     24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |     37 |    38 |    39 |    40 |
|         0 | -4.23 | -4.17 | -4.76 | -4.38 | -3.60 |  -4.60 | -4.33 | -4.55 | -4.27 | -4.32 | -4.13 | -4.90 | -4.76 | -4.64 |  -4.29 | -4.52 | -4.10 | -3.87 | -3.63 | -4.00 | -4.31 | -4.04 |  -3.94 |  -3.93 | -3.86 | -4.60 | -3.70 | -4.11 | -4.52 | -3.49 | -4.17 | -4.55 | -3.86 | -3.93 | -4.44 | -4.23 |  -4.44 | -3.74 | -4.31 | -4.08 |
|         1 | -4.24 | -4.09 | -4.93 | -4.79 | -3.89 |  -4.98 | -4.76 | -4.69 | -4.41 | -4.25 | -4.23 | -5.12 | -5.03 | -4.55 |  -4.30 | -4.76 | -4.03 | -3.91 | -3.83 | -4.06 | -4.56 | -4.31 |  -4.02 |  -4.03 | -3.95 | -4.52 | -3.83 | -4.11 | -4.81 | -3.66 | -4.17 | -4.75 | -4.07 | -4.15 | -4.54 | -4.29 |  -4.51 | -3.79 | -4.56 | -4.61 |
|         2 | -4.51 | -4.45 | -5.25 | -4.92 | -3.97 |  -5.60 | -4.73 | -5.03 | -4.41 | -4.83 | -4.34 | -5.42 | -5.64 | -4.92 |  -4.55 | -4.78 | -4.39 | -4.11 | -4.02 | -4.27 | -4.88 | -4.53 |  -4.25 |  -3.88 | -4.14 | -4.77 | -4.18 | -4.29 | -5.00 | -3.96 | -4.64 | -5.45 | -4.12 | -4.42 | -4.77 | -4.35 |  -5.07 | -3.90 | -4.72 | -4.88 |
|         3 | -5.12 | -4.82 | -5.47 | -5.57 | -4.44 |  -6.04 | -5.11 | -5.67 | -5.07 | -5.61 | -4.71 | -5.70 | -6.12 | -5.18 |  -5.01 | -5.06 | -4.76 | -4.92 | -4.46 | -4.52 | -5.58 | -5.04 |  -4.49 |  -4.45 | -4.66 | -5.17 | -5.09 | -4.56 | -5.55 | -4.45 | -5.34 | -6.11 | -4.38 | -4.87 | -5.46 | -4.82 |  -5.45 | -4.32 | -5.27 | -5.28 |
|         4 | -5.61 | -5.40 | -5.79 | -5.70 | -4.86 |  -6.59 | -5.48 | -5.98 | -5.74 | -5.96 | -5.14 | -5.96 | -6.41 | -5.65 |  -5.34 | -5.55 | -5.15 | -5.31 | -5.05 | -4.97 | -6.05 | -5.77 |  -5.08 |  -4.73 | -5.05 | -5.73 | -5.58 | -4.74 | -6.04 | -5.11 | -5.53 | -6.42 | -4.71 | -5.45 | -5.74 | -5.24 |  -5.46 | -4.90 | -5.92 | -5.68 |
|         5 | -6.23 | -5.98 | -6.25 | -6.01 | -4.89 |  -6.66 | -5.69 | -6.56 | -6.30 | -6.22 | -5.74 | -5.98 | -6.65 | -5.98 |  -5.53 | -6.00 | -5.53 | -5.53 | -5.44 | -5.33 | -6.22 | -6.08 |  -5.34 |  -4.99 | -5.36 | -6.23 | -5.95 | -5.13 | -6.04 | -5.37 | -5.32 | -6.65 | -5.05 | -5.94 | -5.98 | -5.87 |  -5.54 | -5.35 | -6.20 | -5.81 |
|         6 | -6.37 | -6.25 | -6.44 | -6.09 | -4.73 |  -6.63 | -5.39 | -6.43 | -6.35 | -6.55 | -6.24 | -6.22 | -6.97 | -6.01 |  -5.64 | -6.21 | -5.57 | -5.66 | -5.68 | -5.49 | -5.70 | -6.01 |  -5.58 |  -5.32 | -5.40 | -6.48 | -6.11 | -5.83 | -6.62 | -5.52 | -5.07 | -6.76 | -5.28 | -6.08 | -6.16 | -6.32 |  -5.52 | -5.42 | -6.42 | -5.89 |
|         7 | -6.04 | -6.33 | -6.48 | -5.92 | -4.72 |  -6.49 | -5.29 | -6.17 | -6.22 | -6.79 | -6.61 | -6.42 | -7.38 | -5.92 |  -5.85 | -6.56 | -5.65 | -5.83 | -5.88 | -5.27 | -5.10 | -6.06 |  -5.64 |  -5.28 | -5.35 | -6.46 | -5.86 | -5.86 | -7.02 | -5.72 | -5.05 | -6.74 | -5.26 | -6.24 | -6.29 | -6.44 |  -5.43 | -5.27 | -6.46 | -6.11 |
|         8 | -5.85 | -6.02 | -6.46 | -6.03 | -4.90 |  -6.05 | -5.85 | -6.25 | -6.16 | -6.75 | -6.67 | -6.58 | -7.51 | -5.78 |  -5.97 | -6.39 | -5.56 | -5.94 | -5.83 | -5.42 | -5.33 | -5.73 |  -5.59 |  -5.66 | -5.64 | -6.44 | -6.01 | -5.71 | -6.95 | -5.88 | -5.06 | -6.67 | -5.59 | -6.31 | -6.12 | -6.01 |  -5.54 | -5.15 | -6.23 | -6.19 |
|         9 | -5.69 | -5.65 | -6.19 | -6.23 | -4.72 |  -5.63 | -6.10 | -6.39 | -6.24 | -6.50 | -6.60 | -6.51 | -6.90 | -5.79 |  -5.91 | -6.07 | -5.26 | -5.70 | -5.80 | -5.58 | -5.58 | -5.33 |  -5.61 |  -6.13 | -5.50 | -6.27 | -6.19 | -5.57 | -6.46 | -5.96 | -5.07 | -6.74 | -5.91 | -6.29 | -5.54 | -5.72 |  -5.63 | -4.98 | -6.11 | -6.02 |
