# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |   17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |   38 |   39 |    40 |
|         0 | -0.03 | -0.69 |  0.46 |  1.28 |  0.28 |  0.72 |  0.86 |  1.15 |  0.96 |  0.52 |  1.58 |  1.12 | -0.05 |  1.41 |  1.28 |  1.27 | 0.94 |  1.47 |  0.75 |  1.58 |  0.64 |  0.53 | -0.10 |  1.30 |  0.11 |  0.29 |  1.56 |  0.95 |  0.53 |  1.21 |  0.68 |  1.30 |  1.11 |  1.35 |  1.70 |  0.93 | -1.39 | 0.31 | 0.75 |  1.40 |
|         1 |  0.11 | -0.54 |  0.45 |  1.11 |  0.34 |  0.62 |  0.93 |  1.08 |  0.92 |  0.78 |  1.51 |  0.98 |  0.14 |  1.38 |  1.33 |  1.25 | 0.96 |  1.35 |  0.57 |  1.57 |  0.80 |  0.19 | -0.18 |  1.26 |  0.32 |  0.27 |  1.51 |  0.93 |  0.67 |  0.85 |  0.71 |  1.29 |  1.00 |  1.49 |  1.61 |  0.82 | -1.65 | 0.43 | 0.85 |  1.31 |
|         2 |  0.32 | -0.29 |  0.50 |  0.82 |  0.41 |  0.61 |  0.87 |  0.89 |  0.93 |  0.88 |  1.57 |  1.02 |  0.19 |  1.26 |  1.21 |  1.27 | 1.19 |  1.05 |  0.48 |  1.49 |  0.88 |  0.35 |    -0 |  1.06 |  0.39 |  0.21 |  1.47 |  1.00 |  0.57 |  0.76 |  0.72 |  1.24 |  0.85 |  1.48 |  1.58 |  0.55 | -1.56 | 0.51 | 0.73 |  1.11 |
|         3 |  0.37 | -0.06 |  0.60 |  1.06 |  0.21 |  0.87 |  0.97 |  0.57 |  0.98 |  0.99 |  1.62 |  0.86 |  0.20 |  1.17 |  1.04 |  1.35 | 1.26 |  1.00 |  0.54 |  1.48 |  0.79 |  0.51 |  0.20 |  0.94 |  0.50 |  0.26 |  1.51 |  0.87 |  0.54 |  0.87 |  0.77 |  1.27 |  0.66 |  1.38 |  1.32 |  0.64 | -1.40 | 0.54 | 0.66 |  0.90 |
|         4 |  0.49 |  0.14 |  0.85 |  1.26 |  0.14 |  1.07 |  0.92 |  0.63 |  1.15 |  1.09 |  1.72 |  0.83 |  0.20 |  1.16 |  1.04 |  1.40 | 1.32 |  1.07 |  0.60 |  1.51 |  0.77 |  0.68 |  0.50 |  0.80 |  0.69 |  0.29 |  1.58 |  0.82 |  0.50 |  0.94 |  0.92 |  1.32 |  0.71 |  1.23 |  0.91 |  0.83 | -0.99 | 0.65 | 0.66 |  0.66 |
|         5 |  0.65 |  0.26 |  0.98 |  1.27 |  0.05 |  1.21 |  0.90 |  0.90 |  1.33 |  1.13 |  1.69 |  0.56 |  0.25 |  1.13 |  1.04 |  1.46 | 1.38 |  1.03 |  0.85 |  1.43 |  0.67 |  0.76 |  0.69 |  0.70 |  0.64 |  0.29 |  1.66 |  0.66 |  0.42 |  0.84 |  1.03 |  1.17 |  0.77 |  0.97 |  0.48 |  0.99 | -0.55 | 0.73 | 0.54 |  0.49 |
|         6 |  0.72 |  0.35 |  1.12 |  1.21 |  0.13 |  1.34 |  0.97 |  1.17 |  1.46 |  1.15 |  1.70 |  0.57 |  0.33 |  1.13 |  1.21 |  1.61 | 1.34 |  1.17 |  1.08 |  1.37 |  0.75 |  0.82 |  0.89 |  0.71 |  0.73 |  0.40 |  1.73 |  0.69 |  0.37 |  0.67 |  1.10 |  1.06 |  0.86 |  0.82 |  0.56 |  1.13 | -0.31 | 0.65 | 0.50 |  0.59 |
|         7 |  0.77 |  0.38 |  1.24 |  1.22 |  0.32 |  1.42 |  1.08 |  1.26 |  1.59 |  1.02 |  1.66 |  0.75 |  0.43 |  1.01 |  1.38 |  1.75 | 1.33 |  1.31 |  1.18 |  1.41 |  0.87 |  0.88 |  0.92 |  1.00 |  0.74 |  0.47 |  1.75 |  0.71 |  0.48 |  0.58 |  1.12 |  1.14 |  0.85 |  0.83 |  0.86 |  1.21 | -0.13 | 0.54 | 0.62 |  0.79 |
|         8 |  0.91 |  0.72 |  1.48 |  1.40 |  0.50 |  1.61 |  1.40 |  1.47 |  1.78 |  1.14 |  1.74 |  1.10 |  0.67 |  1.12 |  1.66 |  1.96 | 1.37 |  1.56 |  1.40 |  1.63 |  1.03 |  1.00 |  1.06 |  1.29 |  1.03 |  0.57 |  1.90 |  0.96 |  0.88 |  0.73 |  1.25 |  1.32 |  0.93 |  1.17 |  1.28 |  1.35 |  0.25 | 0.73 | 0.98 |  1.10 |
|         9 |  1.19 |  1.08 |  1.90 |  1.69 |  0.90 |  2.03 |  2.06 |  2.17 |  2.08 |  1.70 |  1.81 |  1.70 |  1.10 |  1.52 |  2.25 |  2.19 | 1.95 |  1.93 |  1.92 |  2.28 |  1.33 |  1.62 |  1.36 |  1.67 |  1.47 |  0.81 |  2.29 |  1.48 |  1.67 |  1.55 |  1.75 |  1.79 |  1.26 |  1.79 |  1.72 |  1.64 |  0.90 | 1.12 | 1.44 |  1.49 |
|        10 |  1.62 |  1.58 |  2.32 |  2.25 |  1.72 |  2.64 |  2.66 |  2.85 |  2.46 |  2.33 |  2.32 |  2.75 |  1.86 |  2.18 |  2.67 |  2.63 | 2.65 |  2.50 |  2.54 |  2.55 |  1.71 |  2.53 |  2.47 |  2.14 |  2.22 |  1.51 |  3.03 |  1.96 |  2.21 |  2.22 |  2.37 |  2.15 |  1.87 |  2.28 |  2.40 |  1.89 |  1.54 | 1.74 | 2.19 |  1.63 |
|        11 |  2.28 |  2.10 |  2.24 |  2.97 |  2.54 |  3.00 |  3.12 |  3.42 |  2.98 |  3.02 |  3.24 |  3.22 |  2.57 |  3.08 |  3.09 |  3.15 | 3.19 |  2.83 |  2.90 |  2.76 |  2.48 |  3.15 |  3.35 |  2.44 |  2.92 |  1.94 |  3.64 |  2.63 |  2.71 |  2.63 |  3.00 |  2.66 |  2.60 |  2.79 |  2.97 |  2.39 |  2.05 | 2.42 | 2.81 |  2.23 |
|        12 |  2.98 |  3.10 |  2.40 |  3.38 |  3.49 |  3.60 |  3.22 |  3.76 |  3.33 |  3.27 |  3.81 |  3.73 |  3.12 |  3.56 |  3.37 |  3.57 | 3.67 |  3.38 |  3.45 |  3.07 |  3.10 |  3.45 |  3.79 |  2.83 |  3.19 |  2.65 |  4.06 |  2.93 |  3.19 |  3.20 |  3.49 |  3.18 |  2.95 |  3.15 |  3.53 |  2.75 |  2.53 | 2.96 | 3.35 |  3.18 |
|        13 |  3.37 |  3.44 |  3.23 |  3.54 |  3.76 |  3.79 |  3.15 |  3.27 |  3.51 |  3.49 |  3.62 |  3.98 |  3.22 |  3.77 |  3.20 |  3.76 | 3.75 |  3.45 |  3.54 |  3.17 |  3.25 |  3.64 |  4.00 |  3.19 |  3.67 |  3.13 |  3.83 |  3.07 |  3.35 |  3.44 |  3.69 |  3.58 |  3.08 |  3.24 |  3.85 |  3.17 |  2.90 | 3.18 | 3.64 |  3.19 |
