# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |   10 |    11 |    12 |    13 |    14 |    15 |    16 |   17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  1.29 |  1.61 |  1.04 |  2.04 |  1.20 |  1.81 |  1.78 |  1.03 |  1.61 | 1.68 |  2.40 |  2.14 |  1.53 |  1.56 |  1.42 |  1.91 | 1.59 |  1.26 |  1.59 |  1.61 |  2.17 |  1.75 |  1.04 |  1.85 |  1.68 |  1.60 |  2.04 |  1.10 |  1.98 |  1.96 |  1.94 |  2.17 |  1.64 |  2.45 |  2.06 |  1.46 |  1.85 |  1.67 |  1.85 |  1.86 |
|         1 |  1.23 |  1.34 |  1.20 |  1.87 |  0.86 |  1.52 |  1.71 |  0.73 |  1.28 | 1.35 |  2.28 |  1.93 |  1.25 |  1.35 |  1.28 |  1.67 | 1.53 |  1.14 |  1.15 |  1.56 |  2.17 |  1.28 |  1.09 |  1.78 |  1.32 |  1.48 |  1.57 |  0.73 |  1.73 |  1.85 |  1.70 |  1.97 |  1.45 |  2.22 |  1.73 |  1.36 |  1.65 |  1.68 |  1.67 |  1.84 |
|         2 |  1.06 |  1.44 |  0.98 |  1.42 |  0.63 |  1.50 |  1.25 |  0.41 |  0.92 | 0.68 |  1.74 |  1.54 |  1.07 |  1.01 |  1.27 |  1.30 | 1.49 |  1.06 |  1.15 |  1.18 |  1.95 |  1.42 |  1.12 |  1.43 |  0.86 |  1.44 |  0.91 |  0.64 |  1.55 |  1.63 |  1.14 |  1.41 |  0.99 |  1.76 |  1.15 |  1.06 |  1.29 |  1.32 |  1.13 |  1.29 |
|         3 |  1.18 |  1.66 |  1.00 |  1.53 |  0.66 |  1.42 |  1.35 |  0.82 |  1.18 | 0.50 |  1.60 |  1.74 |  1.22 |  1.18 |  1.28 |  0.96 | 1.38 |  1.03 |  1.06 |  0.88 |  1.64 |  1.48 |  1.41 |  1.07 |  0.84 |  1.68 |  0.72 |  0.85 |  1.51 |  1.54 |  0.90 |  1.27 |  0.96 |  1.32 |  1.18 |  1.10 |  1.28 |  1.39 |  1.04 |  1.09 |
|         4 |  1.47 |  1.55 |  1.18 |  1.58 |  0.98 |  1.14 |  1.58 |  1.17 |  1.65 | 0.73 |  1.50 |  1.93 |  1.41 |  1.27 |  0.80 |  0.89 | 1.64 |  1.20 |  0.88 |  1.10 |  1.59 |  1.44 |  1.32 |  1.20 |  0.87 |  1.90 |  1.08 |  1.24 |  1.64 |  1.74 |  0.97 |  1.53 |  1.30 |  1.34 |  1.79 |  1.10 |  1.32 |  1.46 |  1.39 |  1.45 |
|         5 |  1.01 |  1.08 |  0.87 |  1.53 |  0.68 |  0.73 |  1.23 |  0.90 |  1.20 | 0.69 |  0.96 |  1.73 |  1.02 |  0.95 |  0.78 |  0.80 | 1.74 |  1.10 |  0.49 |  0.83 |  1.47 |  1.32 |  1.27 |  1.08 |  0.98 |  1.45 |  0.72 |  1.10 |  1.42 |  1.22 |  0.70 |  1.44 |  0.89 |  0.95 |  1.64 |  0.54 |  0.80 |  0.65 |  1.20 |  0.85 |
|         6 |  0.86 |  0.93 |  0.83 |  1.34 |  0.89 |  0.55 |  0.86 |  1.05 |  1.08 | 0.86 |  1.12 |  1.44 |  0.92 |  0.74 |  0.78 |  1.09 | 1.71 |  1.17 |  0.64 |  0.65 |  1.18 |  1.13 |  0.99 |  0.94 |  1.12 |  1.24 |  0.58 |  0.87 |  1.11 |  1.00 |  0.89 |  1.51 |  0.99 |  1.01 |  1.38 |  0.65 |  1.21 |  0.49 |  0.79 |  0.72 |
|         7 |  0.98 |  0.66 |  0.94 |  1.36 |  1.15 |  0.44 |  0.57 |  0.66 |  0.57 | 0.88 |  1.43 |  0.98 |  1.09 |  0.54 |  0.57 |  1.18 | 1.66 |  0.98 |  0.74 |  0.92 |  1.19 |  1.12 |  0.74 |  0.54 |  0.55 |  1.06 |  0.52 |  0.85 |  0.60 |  1.05 |  0.85 |  1.60 |  1.33 |  0.95 |  1.06 |  0.79 |  1.09 |  0.54 |  0.95 |  1.04 |
|         8 |  0.79 |  0.60 |  0.81 |  0.52 |  0.74 |  0.97 |  1.00 |  0.66 |  0.79 | 0.87 |  1.24 |  0.63 |  0.82 |  0.56 |  1.01 |  0.67 | 1.43 |  0.44 |  0.57 |  1.41 |  0.83 |  0.70 |  1.10 |  0.73 |  1.09 |  1.23 |  0.47 |  0.59 |  0.63 |  0.73 |  0.60 |  1.09 |  0.91 |  0.68 |  0.72 |  0.70 |  0.76 |  0.64 |  0.62 |  0.79 |
|         9 |  0.93 |  1.33 |  0.54 |  1.05 |  1.70 |  1.62 |  1.58 |  0.97 |  1.37 | 1.39 |  0.72 |  0.61 |  0.66 |  0.86 |  1.81 |  0.95 | 1.94 |  0.70 |  0.82 |  0.99 |  0.80 |  1.11 |  1.45 |  1.43 |  1.59 |  1.92 |  1.30 |  0.82 |  1.39 |  0.95 |  1.12 |  1.36 |  0.66 |  1.29 |  0.66 |  1.32 |  0.92 |  0.91 |  0.99 |  0.89 |
|        10 |  1.67 |  3.05 |  1.15 |  1.74 |  2.42 |  2.63 |  2.60 |  1.08 |  2.26 | 2.35 |  1.02 |  0.86 |  1.25 |  1.28 |  3.36 |  1.82 | 2.80 |  1.33 |  1.40 |  1.51 |  0.83 |  2.37 |  2.84 |  2.35 |  3.62 |  2.48 |  1.87 |  0.47 |  2.31 |  1.58 |  1.76 |  2.36 |  0.74 |  1.83 |  1.74 |  2.33 |  0.83 |  1.50 |  1.24 |  0.57 |
|        11 |  2.49 |  4.30 |  2.31 |  3.06 |  3.36 |  3.86 |  4.45 |  1.78 |  3.57 | 3.71 |  2.13 |  1.53 |  2.57 |  2.47 |  4.58 |  3.52 | 4.20 |  2.93 |  3.15 |  2.67 |  1.09 |  4.14 |  4.62 |  3.75 |  4.54 |  3.57 |  3.47 |  1.19 |  3.80 |  3.92 |  3.30 |  3.83 |  1.27 |  3.45 |  3.04 |  3.80 |  0.67 |  2.62 |  2.68 |  1.87 |
|        12 |  3.98 |  4.90 |  3.48 |  4.33 |  4.37 |  4.63 |  4.89 |  3.09 |  4.72 | 4.70 |  3.49 |  2.69 |  3.68 |  4.00 |  5.07 |  4.90 | 5.36 |  4.31 |  4.56 |  3.87 |  2.97 |  4.75 |  5.64 |  4.75 |  5.17 |  4.91 |  4.47 |  3.18 |  4.93 |  5.07 |  4.40 |  4.97 |  3.16 |  4.61 |  4.18 |  4.39 |  1.87 |  4.03 |  3.84 |  3.70 |
