# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |     12 |    13 |     14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |     23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |     37 |    38 |    39 |    40 |
|         0 | -6.43 | -7.38 | -7.33 | -6.83 | -6.95 | -6.51 | -7.15 | -6.70 | -7.43 | -6.06 | -6.63 |  -7.14 | -6.76 |  -8.04 | -6.77 | -8.30 | -6.81 | -7.24 | -8.65 | -7.55 | -6.76 | -8.09 |  -7.11 | -7.29 | -6.72 | -6.05 | -7.40 | -8.18 | -7.36 | -7.94 | -7.18 | -7.01 | -6.21 | -6.75 | -6.87 | -7.29 |  -6.68 | -6.93 | -6.42 | -7.79 |
|         1 | -5.65 | -7.06 | -6.61 | -6.95 | -5.67 | -6.46 | -6.85 | -5.41 | -7.01 | -5.36 | -7.28 |  -6.62 | -6.86 |  -7.81 | -6.00 | -7.41 | -6.21 | -6.64 | -6.39 | -6.79 | -6.78 | -6.13 |  -5.92 | -6.40 | -5.80 | -5.33 | -6.36 | -6.75 | -7.55 | -7.96 | -6.40 | -5.64 | -5.56 | -6.36 | -5.94 | -6.92 |  -6.61 | -6.63 | -6.42 | -6.54 |
|         2 | -5.41 | -6.15 | -5.68 | -5.92 | -5.35 | -6.52 | -6.16 | -5.33 | -5.82 | -4.61 | -6.00 |  -5.75 | -6.40 |  -6.43 | -5.67 | -6.51 | -5.41 | -6.06 | -6.41 | -5.63 | -6.58 | -6.04 |  -5.51 | -5.56 | -5.24 | -5.10 | -5.34 | -6.05 | -7.23 | -6.23 | -6.02 | -5.04 | -5.16 | -5.83 | -5.38 | -5.88 |  -6.01 | -6.09 | -5.93 | -5.29 |
|         3 | -6.18 | -6.12 | -5.79 | -5.69 | -5.66 | -6.60 | -6.01 | -5.75 | -6.32 | -5.00 | -5.43 |  -5.30 | -6.62 |  -6.07 | -6.31 | -6.53 | -5.39 | -6.41 | -6.63 | -5.86 | -6.00 | -6.02 |  -6.31 | -5.72 | -5.79 | -5.29 | -5.20 | -6.08 | -6.82 | -6.29 | -5.88 | -5.74 | -4.95 | -6.15 | -5.24 | -5.55 |  -5.45 | -5.48 | -6.72 | -5.42 |
|         4 | -6.02 | -5.63 | -6.05 | -5.57 | -5.78 | -5.90 | -5.84 | -6.24 | -5.65 | -5.77 | -5.78 |  -5.51 | -6.06 |  -5.71 | -5.79 | -6.38 | -5.78 | -6.27 | -6.10 | -6.45 | -5.30 | -5.56 |  -5.46 | -6.39 | -5.18 | -5.21 | -5.81 | -6.00 | -6.14 | -6.37 | -5.83 | -5.39 | -5.80 | -6.33 | -5.76 | -5.76 |  -6.40 | -6.00 | -6.50 | -5.84 |
|         5 | -5.48 | -5.36 | -5.95 | -5.53 | -5.56 | -5.22 | -5.85 | -5.52 | -5.77 | -5.78 | -5.27 |  -6.12 | -5.41 |  -5.39 | -5.51 | -5.45 | -5.45 | -5.99 | -5.42 | -5.57 | -5.62 | -5.25 |  -5.55 | -5.52 | -4.81 | -5.32 | -5.61 | -5.54 | -5.73 | -6.00 | -5.59 | -4.90 | -5.56 | -5.69 | -5.57 | -5.63 |  -5.38 | -5.40 | -5.59 | -5.85 |
|         6 | -5.17 | -4.82 | -5.54 | -5.58 | -5.36 | -4.54 | -4.83 | -5.68 | -5.27 | -5.25 | -4.87 |  -6.06 | -5.28 |  -4.98 | -4.09 | -4.51 | -5.04 | -5.76 | -5.16 | -5.56 | -5.94 | -5.18 |  -4.22 | -5.36 | -4.36 | -4.53 | -5.78 | -5.57 | -5.04 | -5.70 | -4.95 | -4.45 | -5.18 | -5.29 | -5.48 | -5.41 |  -5.97 | -5.45 | -5.20 | -5.74 |
|         7 | -4.30 | -2.25 | -4.89 | -4.65 | -4.01 | -2.04 | -2.48 | -4.49 | -3.98 | -3.22 | -4.46 |  -4.52 | -4.86 |  -4.38 | -1.85 | -3.45 | -3.17 | -4.14 | -3.39 | -4.80 | -5.24 | -2.94 |  -1.98 | -4.41 | -2.26 | -2.09 | -4.16 | -3.60 | -2.89 | -4.39 | -3.66 | -2.50 | -3.65 | -4.48 | -4.28 | -3.51 |  -5.38 | -4.19 | -4.36 | -4.13 |
|         8 | -2.36 | -1.10 | -1.97 | -2.66 | -1.45 | -1.17 | -1.76 | -1.90 | -2.47 | -2.13 | -2.96 |  -2.50 | -2.57 |  -1.95 | -1.15 | -1.13 | -1.51 | -2.62 | -1.43 | -2.79 | -2.86 | -1.50 |  -1.18 | -1.94 | -2.03 | -1.04 | -1.77 | -1.91 | -2.76 | -2.15 | -1.85 | -0.75 | -1.71 | -2.01 | -1.93 | -2.44 |  -3.16 | -1.25 | -1.61 | -3.16 |
|         9 | -1.86 | -1.80 | -1.49 | -2.35 | -1.92 | -1.47 | -1.64 | -1.70 | -1.26 | -1.01 | -1.92 |  -2.67 | -1.74 |  -1.75 | -1.50 | -0.75 | -1.21 | -1.28 | -1.16 | -2.25 | -2.00 | -2.62 |  -0.22 | -1.21 | -2.45 | -1.88 | -1.05 | -1.49 | -0.59 | -1.46 | -0.90 | -1.19 | -1.48 | -1.58 | -0.94 | -1.82 |  -2.57 | -1.09 | -1.63 | -1.94 |
|        10 | -1.39 | -3.04 | -0.38 | -2.32 | -2.21 | -2.06 | -3.38 | -1.67 | -1.29 | -1.57 | -1.03 |  -2.47 | -0.79 |  -1.28 | -3.45 | -2.65 | -2.61 | -1.17 | -2.41 | -1.12 | -1.08 | -3.97 |  -1.88 | -2.60 | -3.85 | -2.57 | -2.30 | -1.38 | -1.93 | -2.76 | -1.51 | -3.28 | -1.85 | -2.96 | -1.29 | -3.23 |  -2.49 | -1.29 | -2.07 | -1.51 |
|        11 | -2.58 | -3.98 | -2.05 | -4.00 | -2.08 | -2.06 | -4.03 | -2.90 | -2.61 | -3.41 | -1.57 |  -3.98 | -2.15 |  -2.44 | -3.55 | -3.26 | -3.79 | -2.23 | -3.38 | -1.96 | -2.33 | -3.98 |  -3.58 | -3.43 | -4.48 | -2.97 | -2.59 | -3.05 | -4.13 | -4.27 | -2.78 | -4.27 | -3.33 | -3.06 | -2.47 | -4.05 |  -3.83 | -2.30 | -3.06 | -2.20 |
