# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |      8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |     39 |    40 |
|         0 | -4.41 | -4.08 | -4.56 | -5.63 | -4.18 | -4.55 | -4.50 |  -5.06 | -4.07 | -3.81 | -4.71 | -4.85 | -3.78 | -4.56 | -4.81 | -4.30 | -4.38 | -4.68 | -4.14 | -3.88 | -4.75 | -5.15 | -4.46 | -4.64 | -4.60 | -4.71 | -4.87 | -4.39 | -4.44 | -4.65 | -5.07 | -4.98 | -4.33 | -5.70 | -4.58 | -4.67 | -4.56 | -4.65 |  -4.32 | -4.90 |
|         1 | -4.14 | -3.96 | -4.26 | -4.68 | -3.63 | -4.14 | -4.27 |  -5.03 | -3.64 | -3.63 | -4.37 | -4.60 | -3.65 | -4.65 | -4.46 | -3.93 | -4.19 | -4.21 | -3.83 | -3.64 | -4.50 | -5.02 | -3.71 | -4.30 | -4.33 | -4.38 | -4.42 | -4.03 | -4.12 | -4.65 | -4.85 | -4.98 | -4.21 | -4.83 | -4.42 | -4.44 | -4.29 | -4.07 |  -4.10 | -4.47 |
|         2 | -3.48 | -3.72 | -3.89 | -4.11 | -3.34 | -3.61 | -3.85 |  -4.64 | -3.47 | -3.24 | -3.93 | -3.64 | -3.46 | -4.27 | -3.82 | -3.58 | -3.36 | -3.81 | -3.27 | -3.38 | -4.49 | -4.03 | -3.48 | -4.06 | -3.88 | -4.13 | -4.29 | -3.40 | -3.86 | -4.34 | -4.52 | -4.78 | -3.97 | -4.40 | -3.89 | -3.80 | -3.81 | -3.81 |  -3.70 | -3.81 |
|         3 | -2.74 | -3.06 | -3.65 | -3.45 | -2.15 | -2.52 | -3.28 |  -3.47 | -2.69 | -2.74 | -2.95 | -2.95 | -3.23 | -2.65 | -3.21 | -2.74 | -2.89 | -3.16 | -2.60 | -2.77 | -3.31 | -2.97 | -3.08 | -3.37 | -2.73 | -3.51 | -3.50 | -2.17 | -2.99 | -3.43 | -3.16 | -3.60 | -3.84 | -3.59 | -3.08 | -3.02 | -3.13 | -2.99 |  -3.03 | -3.82 |
|         4 | -1.95 | -1.09 | -2.27 | -2.86 | -1.07 | -0.78 | -2.65 |  -1.80 | -1.99 | -1.97 | -2.40 | -1.56 | -1.75 | -0.82 | -1.42 | -1.59 | -1.35 | -3.00 | -2.25 | -2.78 | -2.64 | -2.37 | -3.23 | -1.73 | -1.04 | -2.14 | -3.04 | -0.96 | -1.63 | -2.33 | -1.28 | -2.47 | -2.78 | -2.87 | -2.73 | -1.38 | -1.56 | -2.35 |  -2.37 | -1.93 |
|         5 | -1.00 | -0.94 | -1.20 | -1.03 | -0.63 | -0.30 | -0.71 |  -0.82 | -0.63 | -0.61 | -1.07 | -0.82 | -0.58 | -0.49 | -0.79 | -0.82 | -0.42 | -1.17 | -1.01 | -0.67 | -1.18 | -1.06 | -0.65 | -0.85 | -0.78 | -0.90 | -1.16 | -0.49 | -0.90 | -0.93 | -0.94 | -0.80 | -1.15 | -2.20 | -1.05 | -0.80 | -0.79 | -1.77 |  -0.77 | -1.21 |
|         6 | -0.03 | -0.17 | -0.64 | -0.89 |  0.70 |  0.81 | -0.51 |  -0.73 | -0.39 | -0.07 | -0.64 |  0.18 | -0.10 |  0.27 |  0.16 | -0.23 |  0.08 | -0.89 | -0.56 | -0.31 | -0.79 | -0.60 | -0.41 | -0.32 | -0.17 | -0.83 | -0.63 |  0.03 | -0.36 | -0.66 | -0.29 | -0.30 | -0.65 | -0.87 | -1.04 | -0.74 | -0.60 | -0.55 |  -0.12 | -0.59 |
|         7 |  1.17 |  0.76 |  0.51 |  0.47 |  1.70 |  2.32 |  0.57 |  -0.08 |  0.96 |  1.09 |  0.13 |  1.39 |  2.15 |  1.67 |  1.56 |  1.18 |  1.58 | -0.22 | -0.01 |  0.74 |  0.13 |  0.58 |  0.19 |  0.94 |  1.54 |  0.21 | -0.26 |  1.79 |  0.40 |  0.58 |  1.49 |  0.73 |  0.25 | -0.24 | -0.07 |  0.24 |  0.33 |  0.83 |   1.12 |  0.65 |
|         8 |  1.97 |  1.76 |  1.09 |  1.61 |  1.96 |  3.19 |  1.31 |   0.36 |  2.16 |  2.01 |  0.03 |  2.02 |  2.97 |  2.08 |  2.57 |  2.27 |  2.46 |  0.15 |  1.18 |  1.88 |  0.74 |  1.51 |  1.41 |  2.29 |  2.49 |  1.13 |  0.76 |  2.23 |  1.32 |  1.53 |  1.96 |  2.28 |  0.93 |  0.85 |  1.06 |  0.98 |  1.47 |  2.52 |   1.88 |  2.43 |
|         9 |  1.79 |  1.94 |  0.55 |  2.06 |  1.38 |  2.95 |  1.77 |   0.59 |  3.29 |  3.02 |  1.36 |  2.31 |  2.75 |  2.50 |  2.59 |  3.10 |  2.73 | -0.07 |  1.60 |  2.86 |  1.55 |  2.12 |  2.78 |  2.73 |  2.47 |  0.58 |  1.38 |  2.46 |  1.25 |  2.14 |  1.58 |  2.78 |  1.28 |  0.96 |  1.74 |  1.85 |  1.70 |  2.87 |   2.49 |  2.92 |
|        10 |  1.34 |  1.81 |  0.70 |  2.10 |  1.51 |  2.79 |  1.93 |   1.39 |  2.45 |  2.75 |  1.46 |  2.37 |  2.69 |  2.24 |  2.70 |  2.91 |  2.55 |  0.45 |  1.51 |  2.88 |  1.91 |  2.03 |  3.02 |  2.79 |  2.11 |  1.47 |  1.16 |  2.80 |  1.25 |  1.77 |  2.37 |  2.50 |  0.95 |  1.11 |  1.58 |  1.65 |  2.00 |  2.83 |   1.85 |  2.42 |
|        11 |  1.83 |  2.25 |  0.95 |  2.70 |  0.87 |  2.32 |  1.42 |   1.83 |  2.33 |  2.69 |  1.41 |  1.94 |  1.84 |  2.11 |  2.73 |  2.55 |  2.15 |  0.18 |  1.35 |  2.59 |  1.70 |  1.79 |  2.78 |  2.55 |  1.74 |  1.84 |  0.37 |  2.76 |  0.86 |  1.19 |  2.02 |  1.95 |  1.01 |  1.59 |  1.57 |  1.80 |  1.80 |  2.97 |   1.70 |  2.25 |
|        12 |  2.14 |  1.56 |  1.32 |  2.38 |  1.10 |  1.12 |  1.39 |   1.19 |  2.04 |  2.12 |  1.46 |  1.52 |  0.92 |  2.06 |  1.98 |  1.79 |  2.16 |  1.23 |  1.15 |  1.75 |  1.18 |  1.17 |  1.86 |  1.96 |  1.43 |  1.62 |  1.16 |  2.34 |  1.48 |  1.07 |  1.91 |  1.24 |  1.11 |  1.17 |  1.94 |  1.46 |  1.75 |  2.87 |   1.93 |  1.86 |
|        13 |  1.55 |  1.18 |  0.64 |  1.54 |  0.57 |  0.81 |  0.59 |   1.12 |  1.88 |  1.42 |  0.95 |  0.90 |  0.33 |  1.46 |  1.47 |  1.35 |  1.73 |  1.60 |  1.47 |  1.06 |  0.62 |  1.55 |  1.91 |  1.44 |  1.15 |  1.18 |  1.17 |  1.87 |  1.06 |  1.10 |  1.52 |  1.13 |  0.82 |  0.73 |  1.73 |  1.13 |  1.30 |  2.17 |   1.50 |  2.09 |
|        14 |  1.60 |  1.26 |  0.61 |  0.84 |  0.59 |  1.02 |  0.88 |   1.48 | -0.11 |  0.99 |  0.45 |  0.75 |  0.12 |  0.28 |  1.03 |  1.28 |  1.32 |  2.45 |  1.26 |  1.02 |  0.69 |  0.10 |  0.47 |  0.86 |  0.99 |  0.80 |  0.78 |  0.94 | -0.10 |  0.74 |  0.81 |  1.62 |  0.36 |  0.57 |  1.12 |  0.77 |  1.06 |  1.28 |   2.07 |  1.35 |
|        15 |  0.86 |  0.25 |  0.50 |  0.67 |  0.30 |  0.44 |  0.19 |   1.34 |  0.08 |  0.77 |  0.19 |  0.39 |  0.29 |  0.37 |  0.86 |  1.03 |  0.69 |  1.36 | -0.39 |  0.37 |  0.61 | -0.66 | -0.39 |  0.69 |  0.18 |  0.49 |  0.33 |  0.72 | -0.47 |  0.13 |  0.36 |  0.65 |  0.90 |  0.70 |  0.73 |  0.44 |  0.30 |  1.26 |   1.67 |  0.74 |
|        16 |  0.20 | -0.16 |  0.19 |  0.62 |  0.25 |  0.71 |  0.76 |   1.05 | -0.02 |  0.48 |  0.02 |  0.23 |  0.16 |  0.46 |  0.59 |  0.52 |  0.21 |  0.27 | -0.36 |  0.47 |  0.41 | -0.95 | -0.59 |  0.21 |  0.27 | -0.13 |  0.06 |  0.26 | -0.57 | -0.13 | -0.33 |  0.42 | -0.03 |  0.47 |  0.88 | -0.24 | -0.06 |  0.67 |   0.53 |  0.46 |
|        17 | -0.04 | -0.48 | -0.30 | -0.21 | -0.77 |  0.81 |  0.60 |   0.63 | -0.05 | -0.08 | -0.60 | -0.35 | -0.36 |  0.28 |  0.31 |  0.27 | -0.20 |  0.76 | -0.80 |  0.23 |  0.04 | -0.79 | -1.36 | -0.18 | -0.36 | -1.23 | -0.23 | -0.36 | -1.45 | -0.39 | -0.72 | -0.17 | -0.46 | -0.25 |  0.19 | -0.32 | -0.34 |  0.65 |   0.23 |  0.03 |
|        18 | -0.22 | -0.81 | -0.22 | -0.84 | -1.51 |  0.39 | -0.48 |   0.06 | -0.16 | -0.86 | -0.50 | -0.90 | -0.60 | -0.16 | -0.37 |  0.01 | -1.13 | -0.23 | -1.11 | -0.62 | -0.21 | -1.13 | -1.43 | -1.20 | -0.90 | -1.23 | -0.46 | -0.52 | -1.75 | -1.15 | -1.48 | -0.70 | -0.90 | -0.32 | -0.36 | -0.57 | -0.04 |  0.30 |  -0.56 | -0.22 |
|        19 | -0.49 | -0.67 | -0.65 | -1.32 | -1.76 | -0.91 | -0.20 |  -0.72 | -1.19 | -1.21 | -0.93 | -1.02 | -0.90 | -1.14 | -0.75 | -1.48 | -1.84 | -0.68 | -0.84 | -0.70 | -0.96 | -1.96 | -0.91 | -1.46 | -2.16 | -2.25 | -0.61 | -1.11 | -1.23 | -2.08 | -2.07 | -1.55 | -1.67 | -0.83 | -1.14 | -1.50 | -0.72 | -0.31 |  -0.60 | -0.39 |
|        20 | -0.89 | -1.08 | -1.10 | -1.05 | -1.81 | -1.25 | -1.17 |  -1.23 | -1.84 | -1.34 | -1.06 | -1.31 | -1.45 | -1.41 | -1.18 | -1.29 | -1.78 | -1.14 | -1.56 | -1.10 | -1.97 | -2.46 | -1.84 | -1.46 | -2.59 | -2.84 | -0.99 | -1.72 | -1.57 | -2.44 | -2.59 | -1.89 | -2.07 | -1.17 | -1.78 | -2.15 | -1.55 | -1.44 |  -0.81 | -0.84 |
|        21 | -1.43 | -1.15 | -1.50 | -1.57 | -2.19 | -1.37 | -1.94 |  -1.27 | -2.24 | -2.08 | -1.78 | -1.81 | -2.35 | -1.90 | -2.17 | -1.65 | -1.95 | -1.23 | -1.45 | -2.39 | -2.47 | -3.28 | -2.18 | -2.02 | -2.70 | -2.91 | -1.73 | -2.35 | -2.05 | -2.55 | -2.33 | -2.34 | -1.83 | -2.37 | -1.91 | -1.85 | -1.94 | -1.36 |  -1.34 | -1.45 |
|        22 | -2.20 | -1.42 | -1.97 | -2.44 | -2.93 | -1.89 | -2.38 |  -1.76 | -2.48 | -3.80 | -2.20 | -3.61 | -3.06 | -2.75 | -3.44 | -2.53 | -2.03 | -1.70 | -1.17 | -3.62 | -2.74 | -4.44 | -1.74 | -3.15 | -3.69 | -2.56 | -1.97 | -3.10 | -2.74 | -2.76 | -2.60 | -2.72 | -2.07 | -2.28 | -2.09 | -1.62 | -2.39 | -1.29 |  -1.99 | -2.14 |
|        23 | -3.26 | -1.79 | -2.58 | -4.40 | -4.29 | -3.04 | -2.97 |  -2.36 | -2.23 | -5.81 | -3.23 | -5.88 | -3.90 | -5.35 | -5.22 | -3.77 | -2.34 | -2.16 | -2.12 | -4.98 | -3.12 | -6.00 | -1.62 | -4.50 | -4.90 | -3.51 | -2.19 | -4.77 | -3.73 | -3.61 | -3.31 | -3.88 | -3.14 | -2.26 | -3.35 | -1.60 | -3.00 | -1.20 |  -3.04 | -3.51 |
|        24 | -4.84 | -1.85 | -3.37 | -5.75 | -5.31 | -4.40 | -3.67 |  -3.26 | -2.71 | -6.43 | -5.36 | -6.57 | -5.23 | -7.24 | -3.34 | -4.91 | -3.13 | -2.34 | -2.23 | -3.28 | -2.85 | -7.08 | -1.98 | -5.62 | -5.73 | -4.56 | -2.56 | -6.02 | -4.87 | -4.85 | -4.48 | -6.08 | -4.76 | -2.63 | -6.53 | -2.34 | -3.86 | -1.65 |  -4.74 | -3.90 |
|        25 | -4.39 | -1.04 | -5.11 | -4.65 | -5.87 | -5.27 | -4.85 |  -3.77 | -3.42 | -6.43 | -5.08 | -5.79 | -7.32 | -7.61 | -3.54 | -5.49 | -4.75 | -2.69 | -2.94 | -3.10 | -2.23 | -6.20 | -3.30 | -6.16 | -6.43 | -5.94 | -1.78 | -6.88 | -5.67 | -6.20 | -5.39 | -6.71 | -6.01 | -3.46 | -6.49 | -3.70 | -3.15 | -2.59 |  -6.43 | -5.61 |
|        26 | -3.99 | -0.98 | -6.34 | -4.38 | -6.36 | -6.10 | -5.87 |  -4.94 | -5.90 | -6.38 | -5.96 | -5.56 | -6.45 | -6.37 | -4.16 | -5.82 | -5.75 | -3.76 | -4.77 | -3.48 | -2.57 | -5.98 | -4.13 | -6.42 | -6.97 | -6.15 | -0.48 | -6.25 | -5.58 | -6.62 | -5.85 | -7.09 | -4.95 | -5.24 | -6.21 | -4.92 | -4.43 | -3.75 |  -7.20 | -6.22 |
|        27 | -4.01 | -2.52 | -6.92 | -4.49 | -6.50 | -6.37 | -7.10 |  -6.24 | -6.88 | -5.61 | -5.53 | -5.74 | -5.57 | -6.17 | -4.71 | -6.09 | -4.71 | -3.93 | -6.06 | -3.85 | -3.93 | -5.86 | -4.91 | -6.37 | -7.40 | -5.87 | -2.21 | -5.65 | -5.75 | -7.02 | -6.16 | -6.31 | -5.06 | -5.99 | -5.49 | -5.17 | -5.88 | -4.76 |  -7.30 | -7.50 |
|        28 | -4.34 | -6.01 | -6.11 | -4.85 | -6.10 | -5.91 | -6.87 |  -6.98 | -7.42 | -5.60 | -5.65 | -5.70 | -5.80 | -6.62 | -5.20 | -6.37 | -4.97 | -4.06 | -6.14 | -4.07 | -7.01 | -6.28 | -4.39 | -6.07 | -7.53 | -5.47 | -2.63 | -5.86 | -6.08 | -6.43 | -6.52 | -6.66 | -5.40 | -6.34 | -6.14 | -6.03 | -5.98 | -5.60 |  -6.70 | -8.07 |
|        29 | -4.68 | -6.48 | -5.84 | -5.26 | -5.91 | -5.53 | -6.75 |  -7.21 | -6.23 | -5.72 | -5.80 | -6.10 | -6.11 | -6.69 | -5.53 | -6.89 | -5.25 | -5.61 | -4.50 | -4.28 | -8.31 | -6.72 | -4.30 | -5.61 | -7.26 | -5.96 | -4.47 | -5.95 | -6.22 | -6.73 | -6.82 | -6.61 | -5.75 | -5.81 | -6.49 | -6.03 | -5.94 | -5.97 |  -6.99 | -8.29 |
|        30 | -4.99 | -5.97 | -5.61 | -5.62 | -5.94 | -5.69 | -6.69 |  -7.25 | -5.78 | -5.38 | -6.00 | -6.39 | -6.40 | -6.78 | -5.74 | -7.18 | -5.79 | -5.98 | -4.39 | -4.81 | -8.04 | -7.02 | -4.08 | -5.93 | -7.19 | -6.91 | -6.44 | -6.10 | -6.59 | -7.07 | -6.96 | -6.59 | -6.35 | -5.85 | -6.89 | -5.98 | -6.18 | -6.11 |  -7.15 | -8.20 |
|        31 | -5.27 | -6.14 | -5.39 | -5.85 | -6.33 | -5.68 | -6.82 |  -7.52 | -6.20 | -4.95 | -6.80 | -6.22 | -6.50 | -6.74 | -5.95 | -6.87 | -6.35 | -5.85 | -4.58 | -5.18 | -7.01 | -7.10 | -4.33 | -6.19 | -7.00 | -7.62 | -7.19 | -6.12 | -7.01 | -7.41 | -6.89 | -6.85 | -6.63 | -6.17 | -6.99 | -6.17 | -6.45 | -5.75 |  -7.05 | -7.87 |
|        32 | -5.73 | -6.59 | -5.41 | -6.03 | -6.57 | -5.50 | -7.17 |  -7.71 | -6.71 | -4.87 | -7.45 | -6.19 | -6.43 | -6.88 | -6.08 | -6.50 | -6.20 | -5.85 | -5.14 | -5.32 | -6.83 | -7.08 | -4.48 | -6.33 | -6.89 | -7.46 | -6.90 | -6.28 | -7.29 | -7.50 | -6.55 | -7.21 | -6.76 | -6.86 | -7.11 | -6.27 | -6.98 | -5.46 |  -6.87 | -7.86 |
|        33 | -6.20 | -6.88 | -5.67 | -6.08 | -6.73 | -5.42 | -7.39 |  -7.09 | -7.13 | -5.01 | -7.32 | -6.24 | -6.36 | -7.02 | -6.40 | -6.53 | -6.18 | -5.79 | -5.57 | -5.46 | -7.04 | -7.14 | -4.45 | -6.54 | -6.81 | -7.29 | -6.81 | -6.46 | -7.58 | -7.41 | -6.42 | -7.39 | -6.80 | -6.62 | -7.25 | -6.51 | -6.96 | -5.30 |  -6.70 | -7.93 |
|        34 | -6.55 | -7.19 | -5.91 | -6.15 | -6.84 | -5.34 | -7.36 |  -6.66 | -7.28 | -5.41 | -7.26 | -6.34 | -6.47 | -7.00 | -7.03 | -6.81 | -6.54 | -5.88 | -5.54 | -5.54 | -7.23 | -7.17 | -4.69 | -7.10 | -7.03 | -7.32 | -6.80 | -6.65 | -7.76 | -7.18 | -6.18 | -7.45 | -6.79 | -6.78 | -7.38 | -6.94 | -7.00 | -5.40 |  -6.54 | -7.90 |
|        35 | -7.00 | -7.46 | -5.99 | -6.27 | -7.07 | -5.57 | -7.35 |  -6.73 | -7.39 | -5.39 | -7.45 | -6.56 | -6.57 | -6.92 | -7.73 | -6.92 | -6.92 | -6.14 | -5.54 | -5.77 | -7.39 | -7.32 | -5.06 | -7.54 | -7.19 | -7.61 | -6.69 | -6.79 | -7.83 | -7.04 | -6.15 | -7.58 | -6.92 | -6.58 | -7.85 | -7.38 | -7.28 | -5.43 |  -6.38 | -8.00 |
|        36 | -8.26 | -7.15 | -5.80 | -6.16 | -7.37 | -5.97 | -7.34 |  -6.90 | -7.75 | -6.07 | -7.49 | -6.91 | -6.76 | -6.89 | -8.48 | -6.87 | -6.65 | -6.13 | -5.77 | -6.28 | -7.50 | -7.82 | -5.26 | -7.50 | -7.29 | -7.53 | -6.58 | -6.97 | -7.80 | -6.86 | -6.41 | -7.71 | -6.98 | -6.58 | -8.52 | -7.90 | -7.46 | -5.43 |  -6.43 | -8.06 |
|        37 | -8.71 | -6.84 | -5.60 | -5.98 | -7.58 | -6.21 | -7.29 |  -7.32 | -8.36 | -6.18 | -8.16 | -7.38 | -7.35 | -6.70 | -8.33 | -6.71 | -6.53 | -6.33 | -6.05 | -6.77 | -7.67 | -7.96 | -5.48 | -7.38 | -7.44 | -7.26 | -6.54 | -7.19 | -7.40 | -6.78 | -6.78 | -7.79 | -6.96 | -7.03 | -9.02 | -8.20 | -7.56 | -5.76 |  -6.53 | -8.11 |
|        38 | -8.62 | -6.94 | -5.66 | -6.08 | -7.65 | -6.40 | -7.49 |  -7.63 | -8.51 | -6.40 | -8.52 | -7.71 | -8.14 | -6.56 | -8.28 | -6.70 | -6.70 | -6.61 | -6.53 | -7.19 | -8.07 | -8.10 | -5.72 | -7.23 | -7.62 | -7.05 | -6.55 | -7.44 | -7.13 | -7.00 | -7.12 | -8.13 | -7.20 | -7.68 | -8.85 | -8.22 | -7.88 | -6.27 |  -6.53 | -8.34 |
|        39 | -8.72 | -6.96 | -5.72 | -6.56 | -7.91 | -6.70 | -7.80 |  -8.30 | -8.32 | -6.77 | -8.42 | -7.69 | -8.02 | -6.62 | -8.13 | -6.91 | -6.87 | -7.01 | -7.52 | -7.77 | -8.52 | -8.34 | -6.29 | -7.26 | -8.01 | -7.18 | -6.73 | -7.70 | -7.08 | -6.95 | -7.64 | -8.49 | -7.48 | -8.15 | -8.62 | -8.39 | -8.47 | -6.62 |  -6.79 | -8.55 |
