# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |      3 |      4 |      5 |      6 |      7 |      8 |      9 |     10 |     11 |     12 |     13 |    14 |     15 |     16 |     17 |     18 |     19 |     20 |     21 |     22 |     23 |     24 |     25 |     26 |     27 |     28 |     29 |     30 |     31 |     32 |     33 |     34 |     35 |     36 |     37 |     38 |     39 |     40 |
|         1 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         2 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         3 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         4 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         5 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         6 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         7 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |     0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |      0 |
|         8 |   6.20 |   6.40 |   8.00 |   7.60 |   5.00 |   6.80 |   7.70 |   6.50 |   5.90 |   7.90 |   9.80 |   9.20 |   0.90 |  8.10 |   6.90 |   4.90 |   5.10 |   7.60 |   4.00 |  13.90 |   6.70 |   6.40 |   9.80 |   7.60 |   6.70 |   4.30 |   3.80 |   9.80 |   4.50 |   6.90 |   7.90 |   4.40 |   7.90 |   9.30 |   8.60 |   8.00 |   7.00 |   7.20 |   7.80 |   3.70 |
|         9 |  34.10 |  26.20 |  35.80 |  40.60 |  21.20 |  32.00 |  34.80 |  34.40 |  32.10 |  49.90 |  52.30 |  53.10 |  13.00 | 38.70 |  37.60 |  25.90 |  35.80 |  37.70 |  34.50 |  71.60 |  16.70 |  39.50 |  53.00 |  37.50 |  34.90 |  31.10 |  24.30 |  41.30 |  36.10 |  42.80 |  45.30 |  30.90 |  38.70 |  38.60 |  46.80 |  29.40 |  49.50 |  44.80 |  40.90 |  20.00 |
|        10 |  81.60 |  73.40 |  70.20 |  70.60 |  43.00 |  62.30 |  76.10 |  73.30 |  59.30 | 106.60 | 109.00 | 114.30 |  60.30 | 69.00 |  87.90 |  51.30 |  77.10 |  69.60 |  74.40 | 136.20 |  37.80 |  85.00 |  93.10 |  91.30 |  75.20 |  67.50 |  56.70 |  94.30 |  99.40 |  99.30 |  80.00 |  65.00 |  83.20 |  71.70 | 102.50 |  72.10 | 110.60 |  92.90 |  68.70 |  51.60 |
