# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |     2 |     3 |     4 |     5 |     6 |      7 |     8 |     9 |    10 |    11 |    12 |     13 |    14 |    15 |    16 |    17 |    18 |     19 |     20 |     21 |    22 |    23 |     24 |    25 |    26 |     27 |    28 |     29 |     30 |    31 |    32 |     33 |    34 |     35 |    36 |   37 |    38 |    39 |    40 |
|         1 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |    0 |     0 |     0 |     0 |
|         2 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |    0 |     0 |     0 |     0 |
|         3 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |    0 |     0 |     0 |     0 |
|         4 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |    0 |     0 |     0 |     0 |
|         5 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |    0 |     0 |     0 |     0 |
|         6 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |    0 |     0 |     0 |     0 |
|         7 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |     0 |    0 |     0 |     0 |     0 |
|         8 |  10.30 |  2.40 |  5.10 |  0.20 |  1.60 |  0.20 |   3.20 |  4.40 |     0 |     0 |  0.60 |  3.90 |   8.80 |  2.00 |  3.90 |  0.50 |  1.00 |  2.60 |   7.90 |   0.40 |   8.90 |  1.90 |  0.60 |   0.80 |  0.70 |  2.00 |  12.70 |  0.80 |   1.50 |   2.00 |     0 |  2.20 |   4.80 |  0.90 |   3.30 |  2.80 |    0 |  1.50 |  2.10 |  1.30 |
|         9 |  65.70 | 10.10 |  6.30 |  1.00 |  2.50 |  0.70 |   5.30 |  6.50 |  2.80 |  0.30 |     0 |  8.30 |  40.50 | 10.40 |  6.50 |  9.30 | 10.60 |  4.40 |  37.50 |  26.60 |  33.40 |  4.00 |  8.20 |   1.60 |  1.60 |  2.00 |  68.00 |  8.60 |   7.30 |      0 |     0 | 12.80 |  18.00 |  2.40 |  45.40 |  7.60 | 2.80 |  0.30 |  2.10 |  2.70 |
|        10 | 113.20 | 31.80 | 10.60 |     0 | 10.40 |  5.30 |  11.80 | 12.10 |  3.30 | 13.00 |  1.30 | 33.90 | 103.00 | 22.50 | 25.90 | 28.60 |  3.50 | 14.00 |  87.70 |  51.60 |  97.40 | 23.30 | 60.20 |   7.50 | 11.40 |  1.90 | 111.40 | 20.00 |  21.20 |  17.80 |  7.00 | 10.80 |  40.20 |  6.20 |  90.60 | 10.00 | 8.80 | 12.00 |  9.70 |  7.20 |
