# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |      5 |     6 |     7 |     8 |      9 |     10 |    11 |    12 |     13 |    14 |    15 |    16 |    17 |    18 |     19 |    20 |    21 |    22 |     23 |    24 |    25 |    26 |    27 |    28 |    29 |     30 |     31 |    32 |    33 |    34 |     35 |     36 |    37 |     38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |
|         8 |  0.30 |  0.20 |  0.10 |     0 |   0.30 |  0.10 |     0 |  0.10 |   0.30 |   0.20 |     0 |     0 |      0 |  0.10 |  0.30 |  0.10 |  0.10 |  0.10 |   0.50 |  0.20 |  0.20 |  0.10 |      0 |  1.40 |  0.60 |  0.10 |  0.30 |  0.70 |  0.20 |   0.20 |   0.10 |  0.10 |     0 |  0.10 |   0.10 |   0.30 |  0.90 |      0 |     0 |  0.30 |
|         9 |  1.20 |  3.40 |     0 |  2.90 |   6.20 |     0 |  5.80 |  0.50 |   1.70 |   2.30 |     0 |     0 |   1.70 |  4.30 |  5.60 |     0 |     0 |  0.30 |   3.60 |  0.50 |  0.10 |  0.50 |   0.80 |     0 |  4.70 |  0.30 |     0 |  6.10 |  0.10 |   3.20 |   0.10 |  2.00 |  0.40 |  3.60 |   0.90 |   1.00 |  2.30 |   1.70 |  0.40 |  2.10 |
|        10 |  4.60 | 16.70 |  0.50 |  7.20 |  11.10 |  0.30 | 26.00 |  1.10 |   5.00 |   2.20 |  1.20 |  0.50 |   3.90 |  7.50 | 14.40 |     0 |  2.70 |  6.90 |   1.50 |  4.10 |  2.50 |  2.30 |   5.10 |  5.40 | 23.70 |  0.90 |  5.20 | 31.20 |  0.80 |  20.80 |      0 |  8.80 |  2.00 |  7.40 |   7.50 |  11.00 |  2.50 |  18.40 |     0 | 14.40 |
