# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |      3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |     22 |    23 |    24 |     25 |    26 |    27 |     28 |    29 |    30 |    31 |    32 |    33 |    34 |     35 |     36 |    37 |    38 |    39 |    40 |
|         1 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |
|         2 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |
|         3 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |
|         4 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |
|         5 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |
|         6 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |
|         7 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |
|         8 |     0 |  0.80 |   0.10 |     0 |  0.20 |  0.40 |  0.10 |  0.30 |  0.10 |     0 |  0.10 |  0.40 |     0 |  0.60 |  0.10 |  0.50 |  0.20 |  0.20 |  0.40 |  1.00 |     0 |   0.10 |  0.10 |  0.10 |   0.70 |  0.20 |     0 |   0.80 |  0.10 |  0.10 |  0.20 |  0.90 |  0.40 |  0.10 |   0.20 |   0.60 |  0.10 |     0 |     0 |  0.80 |
|         9 |  3.70 |  1.40 |   3.50 |  0.10 |  0.60 |  2.00 |  0.40 |  0.70 |  0.60 |  1.00 |  0.40 |  6.00 |  0.40 |  5.60 |  0.10 |  2.30 |     0 |  2.40 |  6.20 |  3.60 |  0.50 |   0.20 |  1.80 |  0.80 |   3.10 |  0.20 |     0 |   3.80 |  9.50 |  0.10 |  0.40 |  0.10 |  1.00 |  0.20 |   0.90 |   0.30 |     0 |     0 |     0 |  1.90 |
|        10 |  7.30 |  1.40 |   3.70 |  0.20 |  5.60 |  1.80 |  1.80 |  7.30 |  0.20 |  1.40 |  0.80 |  4.60 |  0.10 | 10.30 |  7.20 | 12.20 |  0.10 | 10.70 |  4.20 |  6.00 |  3.20 |   1.00 |  5.00 |  3.10 |   3.30 |  0.70 |  0.60 |  10.00 | 19.20 |     0 |  0.30 |  0.50 |  0.90 |     0 |   5.10 |   1.00 |  1.30 |  1.00 |  4.90 |  1.70 |
