# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |     3 |     4 |      5 |     6 |     7 |     8 |      9 |     10 |     11 |     12 |    13 |    14 |     15 |     16 |    17 |    18 |    19 |    20 |    21 |     22 |     23 |    24 |     25 |    26 |    27 |    28 |    29 |     30 |     31 |    32 |     33 |    34 |    35 |    36 |    37 |     38 |    39 |     40 |
|         1 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |
|         2 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |
|         3 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |
|         4 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |
|         5 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |
|         6 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |
|         7 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |     0 |     0 |      0 |     0 |      0 |
|         8 |   2.10 |   2.80 |  2.20 |  1.10 |   0.70 |  0.60 |  2.10 |  2.60 |   2.70 |   2.50 |   0.90 |   0.60 |  1.10 |  0.40 |   0.80 |   0.10 |  1.80 |  1.80 |  0.50 |  0.70 |  1.90 |   1.80 |   1.10 |  7.10 |   0.40 |  0.10 |  0.60 |  1.80 |  0.20 |   6.70 |   0.90 |  2.20 |   1.90 |  3.10 |  5.50 |  2.30 |  3.30 |   1.40 |  0.50 |   2.10 |
|         9 |  10.90 |  24.00 | 23.70 |  9.40 |  21.10 | 13.60 | 12.20 | 21.10 |  34.70 |   4.50 |   2.30 |   0.50 | 15.50 | 13.10 |   3.30 |  13.00 |  8.90 | 24.10 | 11.40 | 11.00 | 17.90 |  17.80 |   6.70 | 36.10 |   5.20 |  1.90 |  4.90 | 10.10 |  0.70 |  47.50 |  14.90 | 22.90 |  18.00 | 27.00 | 23.60 | 33.80 | 23.30 |  16.20 |  8.90 |   7.70 |
|        10 |  25.60 |  47.90 | 58.00 | 16.90 |  79.90 | 41.50 | 31.40 | 41.00 |  92.40 |   6.70 |   7.80 |   3.20 | 53.60 | 24.60 |  22.20 |  70.80 | 30.10 | 38.00 | 40.20 | 28.30 | 53.40 |  43.20 |   5.90 | 50.30 |  54.60 |  8.60 | 18.60 |  9.10 |  9.20 | 100.00 |  67.60 | 38.10 |  69.00 | 38.00 | 30.60 | 52.10 | 48.70 |  42.60 | 19.00 |  11.00 |
