# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |
|         8 |     0 |  0.10 |  0.20 |  5.60 |  1.90 |  0.20 |  0.20 |  0.90 |  0.10 |  1.20 |  2.10 |  0.40 |  0.10 |  0.20 |  5.10 |  0.20 |  1.30 |  2.20 |  1.40 |  2.00 |  0.10 |     0 |     0 |  1.60 |  3.80 |  3.60 |  0.50 |     0 |  0.20 |  0.20 |  0.20 |  0.20 |  1.70 |  0.20 |  1.10 |  0.80 |  0.10 |  0.10 |  0.30 |  0.50 |
|         9 |  0.60 |  1.40 |  5.10 | 36.80 | 10.60 |  2.40 |  3.00 |  9.60 |  0.40 | 10.60 | 17.20 |  0.30 |  7.30 |  5.00 | 30.70 |  5.90 | 12.50 | 17.10 |  7.80 | 11.30 |  9.60 |  4.70 |  1.80 | 15.50 | 20.60 | 25.50 |  5.50 |  4.90 |  5.50 |  7.10 |  2.10 |  4.00 | 19.30 |  1.70 | 17.60 |  5.40 | 11.00 |  0.40 |  1.40 |  9.80 |
|        10 |  3.30 | 29.60 | 27.30 | 53.00 | 29.50 |  1.80 |  7.20 | 28.40 | 11.30 | 21.80 | 25.60 |  1.40 | 47.20 |  6.10 | 42.00 |  8.60 |  9.10 | 23.60 | 18.30 | 34.10 | 22.10 |  5.30 |  9.30 | 26.30 | 40.50 | 30.70 | 20.10 |  7.60 | 15.10 | 13.60 | 17.40 |  9.20 | 28.70 |  0.10 | 43.90 |  4.30 |  8.60 |  9.90 |  5.40 | 12.70 |
