# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  7.01 |  6.20 |  7.65 |  7.45 |  7.85 |  8.40 |  7.94 |  7.54 |  7.86 |  6.52 |  7.59 |  7.67 |  5.82 |  6.70 |  6.24 |  7.02 |  7.77 |  6.90 |  9.26 |  6.62 |  6.36 |  5.95 |  7.33 |  8.04 |  6.70 |  6.09 |  7.31 |  6.52 |  7.03 |  5.61 |  7.15 |  6.10 |  6.90 |  7.66 |  5.62 |  8.10 |  7.69 |  6.89 |  9.16 |  7.06 |
|         1 |  8.76 |  7.39 |  8.38 |  8.37 |  8.33 |  9.34 |  8.72 |  9.70 |  9.44 |  7.39 |  9.11 |  8.42 |  6.78 |  7.39 |  7.43 |  8.41 |  9.21 |  8.06 | 10.60 |  7.59 |  7.97 |  6.79 |  8.51 |  9.13 |  7.84 |  6.71 |  8.11 |  7.43 |  8.21 |  6.19 |  8.15 |  7.76 |  7.23 |  9.20 |  7.17 |  9.44 |  8.73 |  8.17 | 10.45 |  7.33 |
|         2 |  9.49 |  9.17 |  9.10 | 10.22 |  8.94 | 10.35 | 10.09 | 11.24 | 10.74 |  8.14 | 10.51 |  9.46 |  8.27 |  8.27 |  8.18 | 11.00 | 10.53 |  9.47 | 11.72 |  8.52 |  8.84 |  8.03 |  9.60 | 11.39 |  9.28 |  8.37 |  9.18 |  8.02 |  9.69 |  6.97 |  8.85 |  9.07 |  8.38 | 10.86 |  8.31 | 11.20 | 10.45 |  9.43 | 11.47 |  8.38 |
|         3 |  9.92 |  9.61 |  9.27 | 11.04 |  9.91 | 11.07 | 10.83 | 12.12 | 11.08 |  8.62 | 10.64 |  9.84 |  8.81 |  8.65 |  8.47 | 11.01 | 11.12 | 11.08 | 11.13 |  8.73 |  9.24 |  9.48 | 10.09 | 11.80 | 10.58 |  9.15 |  9.86 |  8.34 | 10.41 | 10.13 |  9.20 | 10.58 |  9.30 | 10.65 | 11.89 | 12.44 | 10.79 | 10.67 | 11.32 |  9.06 |
|         4 | 10.52 |  9.67 |  9.13 | 12.47 | 10.79 | 12.10 | 12.31 | 11.82 | 11.23 |  8.77 | 10.28 | 10.31 |  8.77 |  8.62 |  8.88 | 10.67 | 11.05 | 10.72 | 10.56 |  8.95 |  9.65 | 11.56 | 11.44 | 12.56 | 10.78 |  9.34 | 10.47 |  9.83 | 10.66 |  9.44 |  9.97 | 11.52 |  9.77 | 10.63 | 10.22 | 12.10 | 11.34 | 10.94 | 11.18 |  8.96 |
|         5 | 10.90 | 10.49 |  9.22 | 13.73 | 11.87 | 12.02 | 12.30 | 11.45 | 12.18 |  9.68 |  9.70 | 10.36 |  9.47 |  9.38 |  9.45 | 11.77 | 11.18 | 11.94 |  9.75 |  8.86 |  9.77 | 12.29 | 11.65 | 11.94 | 10.93 |  9.68 | 10.89 | 10.35 |  9.65 |  9.52 | 10.83 | 11.48 |  9.91 | 11.21 | 10.75 | 11.54 | 12.05 | 10.85 | 11.00 |  9.27 |
|         6 | 11.48 | 11.97 | 10.01 | 13.48 | 10.97 | 12.27 | 13.08 | 11.98 | 11.71 | 10.57 |  9.30 |  9.89 | 10.09 |  9.46 |  9.55 | 12.83 | 11.25 | 10.69 | 10.05 |  8.64 |  9.87 | 13.07 | 11.76 | 12.44 |  9.62 |  9.48 | 11.23 | 11.17 | 10.18 |  9.69 | 12.11 | 12.40 | 10.71 | 12.07 | 11.08 | 11.53 | 12.71 | 10.71 | 11.29 | 11.13 |
|         7 | 11.58 | 12.33 | 10.91 | 12.54 | 11.35 | 13.07 | 13.78 | 13.04 | 12.19 | 10.91 | 10.60 | 10.25 | 11.06 | 10.59 |  9.41 | 12.56 | 11.44 | 11.02 | 11.87 |  9.02 | 10.60 | 13.63 | 12.31 | 13.40 | 10.38 |  9.68 | 12.30 | 12.16 | 10.88 |  9.60 | 12.21 | 12.82 | 12.45 | 13.03 | 12.42 | 12.67 | 12.60 | 10.50 | 12.34 | 11.84 |
|         8 | 12.08 | 12.73 | 11.37 | 13.47 | 12.64 | 14.31 | 13.25 | 14.57 | 12.77 | 10.97 | 11.89 | 11.43 | 12.02 | 11.61 | 10.60 | 13.74 | 11.41 | 12.60 | 13.72 | 10.04 | 11.48 | 14.79 | 13.88 | 13.17 | 11.52 | 10.99 | 12.93 | 12.00 | 11.31 | 10.69 | 13.65 | 13.84 | 13.23 | 13.53 | 12.83 | 13.01 | 12.64 | 11.29 | 12.85 | 12.50 |
|         9 | 12.29 | 12.61 | 11.04 | 14.85 | 14.41 | 15.14 | 14.95 | 15.11 | 13.03 | 10.33 | 13.52 | 13.64 | 12.42 | 11.56 | 11.74 | 15.91 | 10.94 | 16.91 | 14.95 | 11.55 | 11.27 | 14.61 | 17.44 | 14.04 | 13.74 | 15.69 | 13.48 | 11.95 | 11.12 | 11.16 | 13.99 | 14.34 | 14.76 | 14.24 | 13.34 | 15.17 | 14.80 | 13.27 | 13.35 | 12.91 |
