# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |     2 |     3 |      4 |      5 |      6 |      7 |      8 |     9 |    10 |     11 |    12 |    13 |     14 |     15 |     16 |    17 |    18 |     19 |    20 |    21 |    22 |     23 |     24 |    25 |    26 |     27 |    28 |    29 |     30 |     31 |    32 |     33 |    34 |    35 |     36 |    37 |    38 |    39 |    40 |
|         1 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |
|         2 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |
|         3 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |
|         4 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |
|         5 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |
|         6 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |
|         7 |      0 |     0 |     0 |      0 |      0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |      0 |     0 |     0 |      0 |      0 |     0 |      0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |
|         8 |   2.90 |     0 |     0 |      0 |   1.60 |   0.10 |      0 |      0 |  0.20 |  3.20 |   0.10 |  0.10 |  1.20 |   0.10 |   0.10 |   0.10 |  0.40 |  3.20 |   0.10 |  0.10 |  0.40 |     0 |   1.50 |      0 |     0 |  0.30 |   0.10 |     0 |  0.80 |   0.20 |      0 |     0 |   0.40 |  2.90 |  0.10 |   0.20 |  0.40 |  0.80 |  1.80 |  0.60 |
|         9 |  13.00 |  0.60 |  3.00 |   4.10 |   4.90 |   0.10 |      0 |  29.50 |  1.00 |  8.80 |      0 |  1.20 |  9.90 |      0 |   0.60 |   0.90 | 10.90 | 19.70 |      0 |  1.30 |  3.30 |     0 |   5.60 |   3.20 |  2.00 | 28.90 |   1.20 |  5.80 | 15.20 |   3.80 |      0 |  0.10 |   2.90 | 26.40 |  8.10 |   0.90 |     0 |  4.70 | 15.10 | 10.10 |
|        10 |   3.40 |  9.50 | 15.60 |   0.50 |   1.00 |   0.60 |      0 |  34.80 |  3.60 | 10.40 |   0.30 |  3.80 | 16.50 |  10.20 |   0.30 |      0 | 10.20 | 25.60 |   0.50 |  1.80 |  4.20 |  0.30 |   5.20 |   5.30 |  6.40 | 54.50 |   0.30 | 18.70 |  5.60 |   9.00 |   1.20 |  0.70 |   6.30 | 48.90 | 30.80 |   4.00 |     0 |  4.80 | 10.10 | 11.50 |
