# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |      1 |      2 |     3 |     4 |      5 |      6 |      7 |     8 |     9 |     10 |    11 |     12 |     13 |    14 |    15 |   16 |     17 |    18 |    19 |     20 |    21 |   22 |    23 |     24 |    25 |    26 |    27 |    28 |    29 |     30 |     31 |    32 |    33 |    34 |     35 |    36 |     37 |     38 |    39 |    40 |
|         1 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |    0 |      0 |     0 |     0 |      0 |     0 |    0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |
|         2 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |    0 |      0 |     0 |     0 |      0 |     0 |    0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |
|         3 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |    0 |      0 |     0 |     0 |      0 |     0 |    0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |
|         4 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |    0 |      0 |     0 |     0 |      0 |     0 |    0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |
|         5 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |    0 |      0 |     0 |     0 |      0 |     0 |    0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |
|         6 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |    0 |      0 |     0 |     0 |      0 |     0 |    0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |
|         7 |      0 |      0 |     0 |     0 |      0 |      0 |      0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |    0 |      0 |     0 |     0 |      0 |     0 |    0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |      0 |      0 |     0 |     0 |     0 |      0 |     0 |      0 |      0 |     0 |     0 |
|         8 |      0 |   0.10 |  0.20 |  0.10 |   0.20 |   0.20 |   0.10 |     0 |  0.10 |   0.20 |  0.20 |   1.20 |      0 |  0.10 |  0.40 |    0 |   0.10 |     0 |  0.10 |      0 |     0 | 0.20 |  0.10 |      0 |     0 |     0 |  0.20 |  0.10 |  0.10 |      0 |   0.10 |  0.80 |     0 |  0.60 |   0.10 |  0.10 |   0.10 |      0 |  0.10 |     0 |
|         9 |   0.10 |   0.40 |  0.20 |  0.20 |      0 |   0.30 |      0 |  0.10 |  0.40 |   0.50 |  1.90 |   3.30 |   0.10 |  6.40 |  3.40 | 0.40 |   0.60 |     0 |  0.90 |   1.80 |  0.20 | 1.50 |  2.00 |   0.10 |  0.20 |  0.10 |  2.00 |  0.60 |  0.30 |      0 |   0.40 |  2.20 |  1.50 |  1.80 |   2.40 |  0.60 |   0.20 |      0 |  0.20 |     0 |
|        10 |   1.30 |   0.30 |  0.80 |  0.20 |      0 |   2.20 |      0 |  1.90 |  0.80 |      0 |  5.40 |   7.20 |   3.50 | 10.60 |  7.10 |    0 |   0.50 |     0 |  8.90 |   5.80 |  0.40 | 1.00 |  3.10 |      0 |     0 |  0.60 |  8.10 |  0.50 |  0.20 |   1.20 |   0.30 |  6.00 | 11.20 | 12.00 |   2.80 |  1.20 |   1.00 |   1.30 |  2.70 |  1.10 |
