# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |    1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |   12 |    13 |    14 |    15 |    16 |   17 |    18 |    19 |    20 |   21 |    22 |    23 |    24 |   25 |    26 |    27 |   28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |   38 |    39 |    40 |
|         0 | 3.87 |  3.22 |  4.38 |  1.84 |  2.04 |  3.14 |  2.79 |  2.30 |  3.78 |  1.12 |  2.76 | 3.38 |  1.37 |  2.83 |  2.12 |  3.79 | 4.44 |  2.02 |  4.00 |  2.42 | 2.11 |  2.43 |  3.77 |  1.17 | 1.56 |  2.09 |  2.78 | 3.62 |  3.25 |  3.20 |  2.81 |  5.36 |  3.18 |  3.61 |  3.25 |  2.99 |  2.84 | 3.88 |  1.94 |  4.40 |
|         1 | 1.99 |  3.62 |  5.73 |  2.98 |  1.87 |  2.13 |  4.16 |  3.98 |  4.30 |  0.76 |  2.42 | 4.11 |  1.54 |  3.98 |  2.46 |  3.66 | 4.85 |  2.22 |  4.62 |  3.10 | 1.50 |  1.86 |  4.06 |  1.03 | 2.87 |  2.59 |  2.51 | 3.68 |  3.91 |  3.21 |  1.99 |  5.25 |  2.92 |  3.19 |  3.30 |  3.30 |  2.48 | 4.28 |  2.53 |  4.37 |
|         2 | 2.00 |  4.70 |  5.77 |  3.19 |  4.43 |  4.41 |  5.44 |  4.14 |  3.85 |  2.48 |  3.38 | 4.68 |  2.96 |  4.27 |  3.50 |  3.98 | 5.40 |  3.19 |  5.37 |  3.92 | 1.57 |  3.56 |  4.56 |  2.03 | 4.08 |  2.69 |  3.59 | 4.00 |  4.59 |  3.56 |  2.16 |  6.77 |  4.03 |  3.98 |  5.57 |  3.83 |  3.01 | 5.91 |  2.65 |  5.41 |
|         3 | 4.24 |  5.16 |  5.75 |  2.41 |  4.59 |  4.49 |  5.08 |  3.49 |  3.85 |  3.85 |  4.07 | 5.27 |  3.12 |  4.43 |  4.06 |  5.24 | 5.83 |  3.99 |  5.98 |  4.13 | 2.75 |  3.63 |  4.64 |  2.62 | 3.47 |  2.95 |  4.52 | 3.94 |  4.12 |  3.66 |  2.32 |  6.84 |  4.77 |  4.06 |  4.97 |  4.77 |  3.30 | 6.12 |  5.48 |  6.00 |
|         4 | 4.66 |  4.50 |  5.43 |  2.29 |  4.59 |  3.87 |  4.49 |  3.27 |  4.01 |  3.25 |  3.96 | 4.86 |  3.06 |  4.13 |  5.11 |  4.29 | 5.62 |  3.96 |  5.98 |  3.74 | 2.16 |  3.62 |  4.84 |  2.70 | 3.30 |  2.58 |  4.75 | 2.99 |  3.05 |  3.47 |  2.78 |  5.37 |  4.20 |  4.62 |  4.27 |  4.62 |  2.68 | 5.56 |  4.72 |  5.76 |
|         5 | 3.94 |  4.52 |  5.23 |  3.27 |  4.02 |  3.65 |  4.17 |  3.93 |  4.03 |  3.43 |  2.86 | 4.34 |  3.57 |  3.76 |  4.21 |  3.98 | 5.17 |  5.01 |  4.75 |  4.29 | 2.48 |  4.37 |  4.77 |  2.73 | 3.47 |  3.57 |  4.61 | 4.02 |  2.69 |  3.50 |  3.33 |  3.54 |  4.66 |  3.40 |  4.72 |  4.16 |  2.34 | 5.57 |  4.44 |  4.92 |
|         6 | 3.93 |  6.08 |  4.90 |  3.95 |  4.23 |  4.03 |  3.71 |  4.33 |  3.27 |  3.71 |  3.18 | 5.39 |  4.34 |  4.61 |  4.49 |  3.31 | 4.69 |  3.97 |  6.49 |  5.02 | 3.18 |  3.98 |  4.98 |  2.52 | 3.64 |  3.47 |  5.38 | 3.89 |  3.77 |  4.28 |  3.73 |  3.50 |  6.02 |  4.63 |  4.68 |  4.43 |  2.40 | 5.65 |  4.55 |  3.61 |
|         7 | 4.36 |  5.74 |  5.99 |  3.55 |  5.26 |  4.79 |  4.24 |  4.68 |  4.25 |  3.49 |  4.81 | 4.85 |  3.96 |  6.13 |  5.33 |  4.59 | 4.93 |  3.91 |  6.37 |  4.65 | 3.40 |  4.76 |  5.54 |  2.57 | 4.45 |  2.72 |  5.90 | 3.36 |  2.63 |  4.82 |  3.88 |  5.46 |  5.24 |  6.60 |  4.31 |  5.40 |  3.88 | 5.44 |  4.30 |  4.61 |
|         8 | 5.71 |  5.82 |  6.63 |  4.12 |  6.47 |  5.37 |  5.44 |  4.76 |  3.60 |  3.14 |  5.01 | 4.92 |  3.77 |  6.26 |  4.93 |  5.31 | 6.39 |  3.80 |  6.31 |  4.73 | 3.68 |  4.76 |  6.04 |  3.75 | 4.48 |  3.12 |  6.52 | 4.21 |  3.35 |  5.62 |  4.18 |  5.49 |  6.28 |  6.14 |  5.28 |  6.31 |  4.74 | 5.82 |  4.85 |  6.32 |
|         9 | 7.82 |  6.36 |  6.54 |  5.46 |  7.27 |  5.84 |  6.05 |  5.32 |  5.14 |  3.50 |  5.47 | 6.00 |  4.45 |  6.30 |  5.98 |  5.55 | 6.85 |  4.58 |  6.53 |  5.85 | 3.78 |  5.47 |  6.15 |  5.00 | 5.21 |  3.83 |  6.81 | 5.25 |  3.76 |  6.41 |  4.74 |  6.97 |  7.11 |  5.51 |  5.79 |  7.33 |  4.32 | 6.17 |  4.87 |  7.42 |
|        10 | 7.62 |  6.73 |  7.08 |  6.58 |  7.76 |  6.50 |  7.27 |  7.27 |  5.71 |  4.60 |  6.88 | 6.76 |  5.38 |  5.99 |  6.10 |  6.34 | 6.62 |  5.46 |  7.15 |  6.92 | 4.25 |  5.73 |  6.47 |  5.54 | 6.77 |  3.33 |  6.91 | 6.41 |  5.04 |  6.70 |  6.36 |  7.59 |  8.19 |  5.53 |  6.06 |  7.35 |  5.97 | 5.56 |  5.28 |  6.78 |
|        11 | 6.84 |  7.13 |  7.54 |  8.15 |  8.96 |  6.59 |  7.11 |  9.04 |  5.83 |  5.00 |  5.99 | 6.39 |  6.25 |  8.07 |  6.10 |  8.83 | 6.20 |  7.24 |  9.31 |  6.85 | 4.79 |  6.41 |  6.66 |  6.61 | 6.67 |  4.20 |  6.71 | 5.48 |  5.45 |  8.80 |  8.11 |  8.77 |  7.42 |  7.19 |  6.49 |  7.14 |  6.97 | 5.55 |  5.86 |  8.77 |
|        12 | 7.56 |  7.31 |  8.73 |  8.02 |  6.30 |  5.88 |  9.01 |  8.13 |  5.76 |  5.77 |  6.48 | 6.63 |  6.28 |  8.07 |  7.82 |  7.31 | 6.35 |  6.73 |  8.87 |  6.34 | 6.19 |  7.34 |  6.36 |  5.99 | 6.37 |  4.81 |  6.88 | 6.73 |  4.97 |  8.55 |  8.42 |  7.51 |  7.42 |  8.05 |  6.97 |  7.05 |  6.48 | 6.30 |  5.46 |  8.59 |
|        13 | 7.61 |  7.10 |  8.48 |  7.87 |  6.64 |  5.51 |  8.11 |  5.87 |  6.06 |  5.78 |  6.35 | 6.90 |  6.39 |  7.65 |  8.30 |  7.02 | 6.74 |  6.35 |  8.42 |  6.17 | 6.47 |  7.24 |  6.17 |  6.00 | 6.06 |  4.99 |  7.01 | 6.91 |  4.80 |  6.59 |  8.28 |  6.86 |  7.59 |  7.21 |  7.42 |  7.02 |  6.09 | 7.13 |  5.66 |  7.35 |
|        14 | 5.75 |  6.58 |  6.38 |  5.68 |  6.89 |  5.66 |  5.50 |  5.66 |  5.13 |  5.32 |  5.66 | 6.62 |  6.03 |  5.40 |  6.67 |  7.16 | 6.84 |  5.52 |  5.70 |  6.75 | 5.01 |  5.52 |  6.03 |  5.28 | 5.72 |  3.77 |  6.65 | 5.15 |  3.85 |  6.15 |  6.02 |  5.72 |  6.73 |  6.07 |  6.79 |  7.19 |  5.37 | 7.19 |  6.23 |  6.60 |
|        15 | 5.41 |  6.16 |  6.61 |  5.32 |  6.39 |  5.62 |  5.18 |  6.68 |  4.50 |  5.20 |  5.09 | 6.82 |  5.85 |  4.94 |  6.20 |  7.51 | 6.70 |  5.08 |  5.03 |  6.69 | 4.02 |  5.07 |  5.83 |  4.93 | 5.95 |  2.59 |  5.57 | 4.45 |  3.32 |  6.35 |  5.77 |  4.54 |  6.36 |  5.77 |  6.13 |  7.26 |  5.48 | 6.78 |  6.32 |  6.32 |
|        16 | 5.63 |  6.40 |  6.88 |  5.25 |  7.18 |  5.87 |  5.69 |  7.45 |  4.56 |  5.36 |  5.40 | 7.75 |  5.88 |  4.98 |  5.79 |  7.89 | 6.88 |  5.91 |  5.09 |  6.56 | 4.02 |  5.33 |  5.82 |  4.90 | 5.25 |  2.98 |  5.72 | 4.82 |  3.69 |  6.58 |  5.47 |  4.38 |  6.28 |  5.70 |  6.19 |  7.52 |  5.39 | 6.30 |  5.82 |  6.24 |
|        17 | 5.79 |  7.10 |  7.19 |  5.64 |  7.80 |  6.33 |  5.85 |  7.43 |  4.44 |  5.81 |  5.37 | 7.97 |  6.48 |  5.25 |  5.84 |  7.82 | 7.32 |  6.31 |  5.45 |  6.78 | 4.13 |  4.99 |  6.38 |  5.37 | 5.15 |  3.21 |  6.51 | 5.53 |  3.84 |  7.27 |  5.21 |  4.66 |  6.78 |  5.60 |  7.04 |  7.72 |  5.63 | 6.91 |  5.84 |  5.81 |
|        18 | 5.50 |  7.16 |  7.65 |  6.01 |  7.32 |  6.59 |  5.72 |  6.92 |  4.31 |  6.11 |  4.63 | 8.05 |  7.02 |  5.34 |  6.26 |  8.03 | 7.42 |  6.30 |  5.64 |  6.63 | 4.37 |  4.60 |  6.61 |  6.04 | 5.07 |  3.43 |  6.39 | 5.26 |  3.71 |  7.32 |  4.79 |  4.87 |  7.57 |  5.52 |  7.81 |  7.43 |  5.79 | 7.31 |  5.77 |  6.03 |
|        19 | 5.73 |  6.77 |  7.60 |  5.78 |  7.69 |  6.07 |  5.49 |  7.21 |  4.15 |  6.06 |  4.74 | 7.81 |  6.83 |  5.35 |  6.53 |  8.35 | 7.11 |  5.65 |  5.97 |  6.15 | 4.60 |  4.48 |  5.92 |  6.51 | 5.14 |  3.75 |  5.46 | 4.75 |  3.59 |  6.73 |  5.08 |  4.87 |  6.98 |  5.34 |  7.57 |  6.92 |  6.04 | 6.66 |  6.12 |  5.98 |
|        20 | 6.41 |  6.77 |  7.32 |  5.78 |  8.07 |  5.36 |  5.83 |  7.97 |  3.75 |  5.76 |  5.00 | 7.92 |  6.40 |  5.41 |  6.66 |  8.16 | 7.17 |  5.00 |  6.60 |  6.83 | 4.37 |  4.83 |  5.13 |  5.82 | 5.40 |  3.77 |  5.34 | 4.49 |  3.54 |  6.87 |  5.41 |  4.26 |  6.74 |  5.16 |  7.22 |  7.60 |  6.50 | 6.69 |  6.24 |  5.56 |
|        21 | 6.64 |  6.92 |  6.97 |  5.58 |  7.79 |  5.31 |  6.29 |  7.15 |  3.91 |  5.92 |  4.69 | 8.13 |  6.30 |  5.47 |  5.91 |  8.04 | 7.10 |  4.68 |  6.61 |  7.22 | 3.65 |  5.24 |  5.05 |  4.79 | 5.39 |  3.28 |  5.30 | 4.18 |  3.13 |  7.39 |  5.41 |  3.81 |  6.31 |  4.99 |  7.21 |  8.05 |  6.76 | 6.87 |  5.87 |  5.59 |
|        22 | 5.79 |  6.38 |  6.69 |  5.05 |  8.10 |  5.43 |  6.21 |  6.72 |  4.09 |  6.08 |  4.55 | 8.30 |  5.96 |  5.40 |  5.57 |  7.63 | 6.98 |  4.64 |  5.88 |  6.41 | 3.90 |  4.83 |  5.64 |  4.47 | 5.30 |  2.96 |  5.11 | 4.03 |  2.73 |  7.38 |  5.17 |  3.63 |  5.52 |  4.84 |  7.10 |  7.47 |  6.63 | 6.82 |  5.11 |  5.54 |
|        23 | 4.92 |  5.87 |  7.06 |  4.42 |  8.15 |  5.51 |  5.83 |  6.70 |  3.91 |  5.85 |  4.12 | 8.12 |  5.53 |  5.28 |  5.95 |  7.32 | 6.73 |  4.60 |  5.48 |  5.86 | 4.39 |  4.42 |  5.48 |  4.10 | 5.26 |  2.63 |  4.84 | 4.31 |  2.46 |  6.81 |  5.17 |  3.25 |  4.43 |  4.79 |  7.37 |  6.89 |  6.26 | 6.94 |  5.15 |  5.47 |
|        24 | 4.43 |  5.91 |  7.12 |  3.63 |  7.70 |  5.88 |  5.04 |  6.50 |  3.41 |  5.66 |  3.91 | 7.66 |  5.32 |  4.94 |  5.51 |  6.71 | 6.61 |  4.43 |  4.78 |  5.99 | 3.99 |  3.73 |  4.89 |  4.14 | 4.97 |  2.88 |  4.43 | 4.19 |  2.59 |  6.39 |  5.11 |  3.04 |  3.87 |  4.78 |  7.34 |  6.29 |  5.93 | 6.85 |  5.36 |  5.07 |
|        25 | 4.62 |  5.37 |  6.56 |  3.76 |  7.17 |  5.81 |  4.52 |  5.99 |  2.66 |  5.54 |  3.43 | 6.52 |  5.57 |  4.52 |  4.54 |  5.78 | 6.32 |  3.96 |  3.92 |  5.89 | 3.43 |  3.88 |  4.63 |  4.70 | 4.41 |  2.45 |  4.43 | 3.60 |  2.52 |  6.13 |  4.73 |  2.60 |  3.42 |  4.31 |  6.77 |  5.56 |  5.49 | 6.96 |  4.69 |  4.51 |
|        26 | 4.54 |  4.31 |  5.64 |  3.98 |  6.16 |  5.16 |  4.39 |  5.15 |  2.28 |  5.15 |  2.04 | 5.68 |  5.80 |  4.28 |  4.28 |  4.99 | 5.31 |  3.27 |  3.64 |  5.13 | 3.58 |  3.85 |  4.22 |  4.65 | 3.82 |  3.15 |  3.97 | 2.93 |  1.61 |  5.57 |  4.33 |  1.82 |  3.52 |  3.38 |  6.03 |  4.66 |  4.52 | 6.26 |  3.49 |  3.74 |
|        27 | 4.09 |  3.54 |  4.53 |  3.15 |  4.87 |  4.55 |  4.10 |  3.78 |  2.52 |  4.35 |  1.29 | 5.38 |  5.42 |  3.90 |  4.30 |  4.55 | 4.42 |  2.15 |  3.32 |  4.03 | 4.09 |  2.88 |  3.65 |  3.95 | 3.55 |  4.24 |  3.56 | 2.65 |  2.29 |  4.26 |  3.67 |  0.16 |  3.48 |  2.09 |  5.31 |  3.87 |  3.87 | 4.99 |  2.68 |  2.85 |
|        28 | 3.13 |  3.57 |  3.84 |  1.92 |  4.77 |  3.71 |  3.76 |  2.63 |  2.32 |  3.25 |  2.91 | 5.45 |  4.26 |  3.29 |  3.84 |  4.16 | 4.44 |  2.24 |  3.05 |  2.68 | 3.56 |  1.70 |  2.97 |  3.21 | 3.21 |  4.78 |  3.37 | 2.08 |  3.82 |  3.58 |  3.28 |  1.71 |  3.39 |  1.73 |  4.85 |  3.76 |  3.68 | 4.34 |  2.50 |  2.75 |
|        29 | 2.16 |  3.76 |  3.74 |  1.59 |  4.43 |  3.53 |  3.41 |  2.78 |  1.60 |  2.51 |  4.31 | 5.37 |  3.51 |  2.81 |  2.94 |  3.95 | 4.13 |  2.64 |  2.47 |  2.82 | 2.88 |  1.87 |  2.37 |  2.81 | 3.33 |  5.67 |  2.87 | 1.17 |  4.83 |  3.76 |  3.49 |  2.67 |  2.69 |  3.02 |  4.60 |  3.67 |  3.72 | 4.01 |  2.17 |  2.73 |
|        30 | 2.07 |  3.21 |  3.40 |  2.16 |  3.85 |  3.61 |  3.28 |  1.90 |  0.40 |  2.91 |  5.86 | 5.00 |  3.38 |  2.12 |  2.37 |  3.12 | 3.62 |  1.45 |  2.67 |  3.13 | 2.04 |  2.68 |  2.36 |  2.67 | 3.47 |  6.76 |  2.55 | 1.85 |  5.05 |  3.78 |  3.09 |  3.59 |  2.28 |  4.65 |  4.30 |  2.98 |  3.06 | 3.85 |  1.90 |  2.32 |
|        31 | 2.07 |  2.58 |  2.48 |  3.00 |  3.85 |  3.26 |  3.80 |  0.74 |  1.25 |  3.48 |  6.44 | 4.53 |  2.78 |  2.34 |  3.13 |  1.50 | 3.10 |  1.54 |  3.69 |  2.77 | 1.18 |  3.44 |  2.07 |  2.62 | 3.72 |  6.90 |  1.98 | 2.90 |  5.27 |  3.52 |  2.98 |  4.30 |  1.39 |  5.51 |  4.03 |  2.36 |  2.58 | 3.93 |  2.90 |  1.43 |
|        32 | 1.38 |  1.46 |  2.54 |  4.50 |  3.43 |  2.35 |  2.77 |  2.56 |  2.80 |  3.87 |  6.32 | 4.29 |  3.10 |  2.91 |  4.53 |  1.23 | 2.54 |  3.11 |  4.83 |  1.57 | 2.34 |  3.99 |  0.29 |  2.50 | 4.35 |  7.29 |  0.47 | 4.44 |  5.86 |  2.62 |  1.96 |  4.80 |  0.48 |  6.95 |  3.50 |  2.36 |  1.94 | 3.30 |  3.94 |  1.21 |
