# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |      2 |    3 |     4 |     5 |     6 |     7 |      8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |     16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |   29 |    30 |    31 |    32 |    33 |    34 |    35 |   36 |    37 |    38 |   39 |    40 |
|         1 |     0 |      0 |    0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |    0 |     0 |
|         2 |     0 |      0 |    0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |    0 |     0 |
|         3 |     0 |      0 |    0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |    0 |     0 |
|         4 |     0 |      0 |    0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |    0 |     0 |
|         5 |     0 |      0 |    0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |    0 |     0 |
|         6 |     0 |      0 |    0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |    0 |     0 |
|         7 |     0 |      0 |    0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |      0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |    0 |     0 |
|         8 |  0.20 |   1.80 | 0.20 |  0.10 |  2.50 |  0.10 |  0.70 |      0 |  0.30 |  0.30 |     0 |  0.80 |  0.10 |  0.10 |  0.30 |   0.20 |     0 |  0.90 |  0.10 |  0.10 |     0 |  0.50 |  2.80 |  0.80 |  0.20 |     0 |  4.10 |  0.20 |    0 |     0 |  1.20 |     0 |     0 |     0 |  2.40 | 0.10 |  0.20 |  0.10 | 0.10 |     0 |
|         9 |  2.20 |   6.80 | 0.10 |  0.10 | 12.30 |  3.20 |  4.40 |   0.80 |  0.70 |  5.30 |  0.50 |  5.30 |  5.50 |  6.80 |  4.70 |   5.70 |  0.20 |  4.70 |     0 |  5.90 |  0.60 |  2.80 | 14.80 |  1.70 |  0.20 |  0.30 | 21.40 |  1.80 | 1.10 |     0 |  5.70 |  1.30 |     0 |     0 | 13.30 | 1.40 | 13.50 |  0.40 | 1.90 |  1.60 |
|        10 |  1.00 |   9.50 | 1.30 |     0 | 17.10 | 11.90 | 19.90 |   0.90 |  0.70 | 14.20 |  0.90 | 13.30 | 17.30 | 11.60 | 25.60 |  10.00 |  1.40 |  8.70 |  0.30 | 26.80 |     0 |  4.10 | 20.40 |  2.90 |  0.20 |  1.50 | 28.30 |  1.40 | 6.00 |     0 |  9.20 |  2.20 |  5.90 |  1.60 | 25.60 | 2.80 | 35.80 |  2.30 | 1.90 |  6.40 |
