# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |    2 |     3 |     4 |     5 |    6 |    7 |    8 |    9 |   10 |    11 |    12 |    13 |   14 |    15 |   16 |    17 |    18 |    19 |   20 |    21 |    22 |   23 |    24 |   25 |   26 |   27 |    28 |    29 |   30 |    31 |   32 |    33 |   34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  3.26 | 3.53 |  3.97 |  3.52 |  5.13 | 4.97 | 3.47 | 3.28 | 2.58 | 6.47 |  2.42 |  5.21 |  2.83 | 4.48 |  2.80 | 3.65 |  3.95 |  3.90 |  3.11 | 5.86 |  3.57 |  4.48 | 6.08 |  3.68 | 3.41 | 4.96 | 4.91 |  5.35 |  5.30 | 2.96 |  3.50 | 2.88 |  4.74 | 4.36 |  5.17 |  5.40 |  5.31 |  3.61 |  4.96 |  4.75 |
|         1 |  2.42 | 3.40 |  3.38 |  2.94 |  4.53 | 4.25 | 3.03 | 2.15 | 2.41 | 5.66 |  2.91 |  4.86 |  2.73 | 3.91 |  2.92 | 3.00 |  3.62 |  3.13 |  2.77 | 5.10 |  3.03 |  3.75 | 5.11 |  3.45 | 2.67 | 4.13 | 4.69 |  4.62 |  4.99 | 1.56 |  3.36 | 2.29 |  4.68 | 3.66 |  4.60 |  4.46 |  4.68 |  2.85 |  3.99 |  3.28 |
|         2 |  1.69 | 3.35 |  2.47 |  2.55 |  3.63 | 3.74 | 2.95 | 1.12 | 2.30 | 5.11 |  3.72 |  4.34 |  2.64 | 3.36 |  2.40 | 2.51 |  2.87 |  2.88 |  2.34 | 4.23 |  2.08 |  3.41 | 4.32 |  3.12 | 2.58 | 3.24 | 4.45 |  3.63 |  4.26 | 1.15 |  3.22 | 2.84 |  4.70 | 2.83 |  4.51 |  3.42 |  3.98 |  2.00 |  3.23 |  2.42 |
|         3 |  1.58 | 2.94 |  0.91 |  2.24 |  3.15 | 3.44 | 2.88 | 2.60 | 1.96 | 4.56 |  3.66 |  3.81 |  2.31 | 2.81 |  2.42 | 1.61 |  1.41 |  2.93 |  1.40 | 3.20 |  0.79 |  3.02 | 3.55 |  2.83 | 3.18 | 2.32 | 4.28 |  2.79 |  3.45 | 2.42 |  3.10 | 2.82 |  5.09 | 2.36 |  4.31 |  1.99 |  3.48 |  1.15 |  2.23 |  1.52 |
|         4 |  2.01 | 2.24 |  1.88 |  2.22 |  3.20 | 2.09 | 3.04 | 4.17 | 1.74 | 3.44 |  3.56 |  3.56 |  2.48 | 2.61 |  2.56 | 2.27 |  1.90 |  2.62 |  0.97 | 2.59 |  0.51 |  2.64 | 3.14 |  2.27 | 3.88 | 2.04 | 3.86 |  2.45 |  3.05 | 3.14 |  2.68 | 2.47 |  4.31 | 1.98 |  4.04 |  1.18 |  3.04 |  0.89 |  1.88 |  1.08 |
|         5 |  2.12 | 1.19 |  3.75 |  2.71 |  2.88 | 1.84 | 3.36 | 5.04 | 2.15 | 2.32 |  4.26 |  2.81 |  3.19 | 2.27 |  3.11 | 1.71 |  2.48 |  2.14 |  2.89 | 2.58 |  2.19 |  2.20 | 2.52 |  1.31 | 4.44 | 2.90 | 3.25 |  2.14 |  1.93 | 3.49 |  1.54 | 3.00 |  3.10 | 2.22 |  3.67 |  1.47 |  2.35 |  1.96 |  2.41 |  1.61 |
|         6 |  2.57 | 1.26 |  4.73 |  3.36 |  3.18 | 2.85 | 3.85 | 5.61 | 3.46 | 1.83 |  5.09 |  1.72 |  3.59 | 2.34 |  3.66 | 2.51 |  3.25 |  0.83 |  4.13 | 2.18 |  3.25 |  2.14 | 1.62 |  1.09 | 4.92 | 3.77 | 2.22 |  2.26 |  1.25 | 4.25 |  1.26 | 3.68 |  1.85 | 3.39 |  3.19 |  2.27 |  2.03 |  3.01 |  3.17 |  2.37 |
|         7 |  3.15 | 2.60 |  4.82 |  4.39 |  3.36 | 3.75 | 3.73 | 6.35 | 4.56 | 2.43 |  6.42 |  1.43 |  3.84 | 3.07 |  4.09 | 3.57 |  3.17 |  0.94 |  4.73 | 2.28 |  4.89 |  2.21 | 1.67 |  1.63 | 6.23 | 4.74 | 0.32 |  3.00 |  2.24 | 5.04 |  2.51 | 4.21 |  0.87 | 4.53 |  2.54 |  3.38 |  1.67 |  3.71 |  3.92 |  3.23 |
|         8 |  3.97 | 3.96 |  5.82 |  5.73 |  4.01 | 5.13 | 4.17 | 7.05 | 6.27 | 3.31 |  6.93 |  2.00 |  4.29 | 4.04 |  4.77 | 4.68 |  4.29 |  2.30 |  5.84 | 2.61 |  6.58 |  2.83 | 3.10 |  1.66 | 7.07 | 6.00 | 1.43 |  3.70 |  3.43 | 5.25 |  3.29 | 4.89 |  1.34 | 5.79 |  2.52 |  4.28 |  1.87 |  4.11 |  5.40 |  3.57 |
|         9 |  5.06 | 6.00 |  8.07 |  6.72 |  5.78 | 6.49 | 4.90 | 7.93 | 7.89 | 5.61 |  7.56 |  3.11 |  5.78 | 6.79 |  5.31 | 5.02 |  6.31 |  4.81 |  7.12 | 3.50 |  9.11 |  4.34 | 4.93 |  2.63 | 8.43 | 7.36 | 1.14 |  5.68 |  5.04 | 5.82 |  5.54 | 5.73 |  2.91 | 7.38 |  2.34 |  6.09 |  3.22 |  5.59 |  6.27 |  4.43 |
|        10 |  6.00 | 8.44 |  9.24 |  7.79 |  8.08 | 7.01 | 5.87 | 7.86 | 8.78 | 6.00 |  8.14 |  4.87 |  7.98 | 8.11 |  5.59 | 6.29 |  7.47 |  7.10 |  9.09 | 4.40 |  9.49 |  6.56 | 5.47 |  4.19 | 9.54 | 8.69 | 2.92 |  6.41 |  7.11 | 7.79 |  6.22 | 6.37 |  3.24 | 8.57 |  2.87 |  7.69 |  5.35 |  6.76 |  7.87 |  5.15 |
|        11 |  7.05 | 8.40 |  8.49 |  8.92 |  9.62 | 7.94 | 6.64 | 8.74 | 8.04 | 6.62 |  8.76 |  5.03 |  7.95 | 8.78 |  6.01 | 6.25 |  8.37 |  7.39 | 10.66 | 5.78 | 11.75 |  8.45 | 5.19 |  6.72 | 9.97 | 8.79 | 3.89 |  7.31 |  7.17 | 8.82 |  5.36 | 6.99 |  4.00 | 9.00 |  4.48 |  7.45 |  7.99 |  7.04 |  9.20 |  5.49 |
|        12 |  6.61 | 7.81 |  7.57 |  7.61 |  7.80 | 8.09 | 7.09 | 9.58 | 6.97 | 7.78 |  6.82 |  5.22 |  7.46 | 8.16 |  6.09 | 6.31 |  7.74 |  6.88 |  8.85 | 7.16 |  8.42 |  6.89 | 6.22 |  7.78 | 9.44 | 8.95 | 5.60 |  8.48 |  8.52 | 9.46 |  5.56 | 7.41 |  4.53 | 8.13 |  5.53 |  7.19 |  7.89 |  7.91 |  8.75 |  5.34 |
|        13 |  5.62 | 7.49 |  7.28 |  6.65 |  8.23 | 7.98 | 7.37 | 8.97 | 7.33 | 7.16 |  6.85 |  5.79 |  8.05 | 7.96 |  6.23 | 6.33 |  6.83 |  6.54 |  7.31 | 6.10 |  7.05 |  6.36 | 6.39 |  8.11 | 9.14 | 8.88 | 6.57 |  7.83 |  8.17 | 7.94 |  6.33 | 7.51 |  5.11 | 6.91 |  5.61 |  7.23 |  8.53 |  8.05 |  7.71 |  5.42 |
|        14 |  5.64 | 7.58 |  7.69 |  7.69 |  8.58 | 6.29 | 6.79 | 6.69 | 7.97 | 7.20 |  6.16 |  4.93 |  7.00 | 8.53 |  6.47 | 6.31 |  5.97 |  7.80 |  6.73 | 4.42 |  7.09 |  5.19 | 6.27 |  9.08 | 8.69 | 7.30 | 7.93 |  7.59 |  7.94 | 8.26 |  7.77 | 6.81 |  5.40 | 6.57 |  5.97 |  7.04 |  7.87 |  8.38 |  7.45 |  5.98 |
|        15 |  5.76 | 8.01 |  8.20 |  8.71 |  7.22 | 5.10 | 7.16 | 6.00 | 5.54 | 8.05 |  6.61 |  4.80 |  5.74 | 8.82 |  6.73 | 6.26 |  6.13 |  8.74 |  7.03 | 4.65 |  7.56 |  4.96 | 5.63 |  8.46 | 6.78 | 7.92 | 6.28 |  6.03 |  7.30 | 7.26 |  6.96 | 6.93 |  5.94 | 6.98 |  6.14 |  6.15 |  7.79 |  9.02 |  7.44 |  6.30 |
|        16 |  5.87 | 7.74 |  8.20 |  9.05 |  6.64 | 4.77 | 7.71 | 6.97 | 5.00 | 8.51 |  7.11 |  4.97 |  5.45 | 8.67 |  7.01 | 6.49 |  6.36 |  9.00 |  7.14 | 4.97 |  8.02 |  5.55 | 5.71 |  8.18 | 6.91 | 8.88 | 5.95 |  5.47 |  6.67 | 7.28 |  5.26 | 5.76 |  6.62 | 7.52 |  6.89 |  6.02 |  7.34 |  9.11 |  7.89 |  6.70 |
|        17 |  6.14 | 8.11 |  7.93 |  9.07 |  6.50 | 4.75 | 6.83 | 7.83 | 5.53 | 7.68 |  7.49 |  5.36 |  5.55 | 7.98 |  7.06 | 5.79 |  6.79 |  9.02 |  7.29 | 4.95 |  8.24 |  5.98 | 6.22 |  9.20 | 6.78 | 9.50 | 5.38 |  6.20 |  6.55 | 7.94 |  3.03 | 4.41 |  7.33 | 7.55 |  7.16 |  5.57 |  7.50 |  7.69 |  7.61 |  6.55 |
|        18 |  6.30 | 7.98 |  7.74 |  9.02 |  6.62 | 5.32 | 5.71 | 7.82 | 5.80 | 6.16 |  8.03 |  4.92 |  5.45 | 6.00 |  6.88 | 5.72 |  6.59 |  7.95 |  7.17 | 5.43 |  8.37 |  6.06 | 6.23 |  8.85 | 6.14 | 9.42 | 5.47 |  6.59 |  6.86 | 7.91 |  4.13 | 4.71 |  6.98 | 7.63 |  8.30 |  5.63 |  7.02 |  5.71 |  7.55 |  6.70 |
