# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |   10 |    11 |    12 |   13 |    14 |    15 |   16 |   17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |   26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  6.47 |  6.28 |  9.13 |  8.18 |  8.19 |  7.33 |  7.29 |  8.74 |  6.36 | 7.65 |  8.35 |  6.68 | 8.14 |  6.46 |  7.59 | 8.09 | 7.83 |  8.12 |  8.44 |  7.74 |  6.17 |  5.61 |  9.25 |  7.82 |  6.47 | 9.46 |  6.94 |  8.58 |  9.39 |  8.69 |  5.51 |  9.88 |  6.69 |  8.93 |  8.96 |  8.05 |  7.18 |  9.21 |  8.88 | 10.15 |
|         1 |  6.46 |  6.39 |  9.06 |  8.20 |  8.78 |  7.26 |  6.84 |  8.86 |  6.40 | 7.44 |  8.33 |  7.18 | 8.21 |  6.33 |  7.94 | 7.63 | 7.71 |  7.92 |  8.49 |  8.26 |  6.89 |  5.65 |  9.45 |  7.85 |  6.32 | 9.37 |  6.85 |  8.66 |  9.76 |  8.25 |  6.04 |  8.93 |  7.32 |  8.77 |  9.11 |  8.07 |  7.16 |  9.07 |  8.67 |  9.88 |
|         2 |  6.38 |  6.38 |  9.19 |  8.16 |  9.01 |  7.08 |  7.14 |  8.91 |  6.75 | 7.63 |  8.26 |  7.48 | 8.27 |  6.21 |  7.88 | 7.55 | 8.19 |  8.14 |  8.31 |  8.31 |  7.07 |  5.37 |  9.30 |  7.39 |  6.75 | 8.87 |  6.62 |  8.48 | 10.20 |  8.19 |  6.22 |  8.57 |  7.37 |  8.47 |  9.41 |  8.43 |  7.57 |  9.23 |  8.48 |  9.24 |
|         3 |  6.32 |  6.20 |  9.32 |  8.36 |  9.11 |  7.07 |  7.98 |  8.95 |  7.54 | 7.71 |  7.96 |  7.35 | 7.91 |  6.03 |  8.08 | 7.65 | 8.33 |  7.86 |  7.83 |  8.06 |  7.33 |  5.20 |  9.17 |  6.91 |  7.04 | 8.75 |  5.90 |  8.20 |  9.58 |  8.23 |  6.17 |  8.73 |  7.29 |  8.27 |  9.95 |  8.77 |  7.74 |  9.48 |  8.32 |  9.30 |
|         4 |  5.99 |  6.05 |  8.69 |  8.26 |  9.14 |  7.10 |  8.09 |  8.45 |  7.47 | 7.63 |  7.58 |  7.13 | 7.94 |  5.62 |  7.78 | 7.62 | 7.69 |  7.53 |  7.45 |  7.77 |  7.17 |  5.12 |  9.26 |  6.41 |  7.25 | 8.33 |  5.84 |  7.90 |  8.86 |  8.16 |  5.58 |  8.56 |  6.97 |  8.49 | 10.51 |  8.34 |  7.56 |  9.24 |  8.13 |  8.45 |
|         5 |  5.49 |  5.70 |  7.84 |  8.09 |  8.50 |  6.23 |  8.00 |  7.77 |  7.18 | 7.23 |  7.19 |  6.60 | 6.81 |  5.24 |  7.35 | 7.49 | 6.79 |  6.87 |  6.77 |  7.52 |  6.19 |  4.98 |  8.30 |  6.41 |  7.23 | 7.72 |  5.92 |  7.36 |  8.11 |  7.70 |  5.38 |  7.58 |  6.08 |  8.27 | 10.38 |  7.93 |  6.87 |  8.81 |  7.92 |  6.94 |
|         6 |  5.26 |  5.75 |  7.22 |  7.74 |  7.61 |  5.56 |  7.83 |  7.31 |  7.09 | 6.79 |  6.86 |  6.07 | 6.17 |  5.29 |  6.93 | 7.27 | 6.94 |  6.10 |  6.83 |  6.40 |  5.70 |  4.86 |  7.28 |  5.91 |  6.70 | 7.45 |  6.10 |  7.60 |  7.33 |  7.71 |  5.07 |  6.67 |  5.77 |  7.79 |  8.95 |  7.04 |  6.39 |  8.51 |  7.44 |  7.01 |
|         7 |  5.47 |  6.06 |  7.59 |  6.92 |  7.50 |  5.63 |  7.70 |  7.15 |  6.60 | 6.44 |  7.03 |  5.56 | 5.90 |  5.68 |  7.00 | 6.96 | 7.44 |  5.47 |  7.13 |  6.46 |  5.43 |  4.82 |  7.27 |  5.88 |  6.52 | 7.19 |  5.46 |  8.00 |  7.49 |  7.32 |  5.02 |  5.80 |  6.04 |  6.94 |  8.19 |  6.02 |  5.82 |  8.61 |  6.54 |  7.39 |
|         8 |  5.95 |  6.35 |  8.27 |  6.82 |  8.35 |  6.22 |  7.91 |  7.60 |  7.17 | 7.07 |  7.77 |  6.17 | 6.83 |  5.94 |  7.58 | 7.31 | 7.81 |  5.70 |  8.12 |  7.11 |  5.82 |  4.89 |  7.28 |  6.54 |  6.81 | 7.46 |  5.83 |  8.67 |  8.49 |  7.60 |  5.37 |  5.72 |  7.42 |  6.80 |  7.62 |  6.95 |  5.54 |  8.37 |  7.03 |  7.77 |
|         9 |  6.98 |  6.68 |  8.40 |  7.35 |  8.37 |  6.96 |  8.30 |  7.92 |  7.72 | 8.02 |  8.41 |  6.93 | 7.76 |  6.37 |  8.17 | 7.28 | 8.00 |  6.86 |  8.70 |  8.02 |  6.50 |  5.35 |  8.04 |  8.26 |  7.96 | 7.79 |  7.34 |  9.33 |  9.47 |  8.36 |  6.17 |  6.85 |  7.85 |  7.59 |  8.26 |  8.57 |  5.66 |  8.69 |  7.73 |  8.61 |
