# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |    4 |    5 |     6 |    7 |    8 |    9 |   10 |   11 |   12 |    13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |    30 |    31 |   32 |   33 |   34 |   35 |   36 |    37 |    38 |   39 |   40 |
|         0 | 2.60 | 2.72 | 3.74 | 4.47 | 3.82 |  3.35 | 3.35 | 3.67 | 3.90 | 3.44 | 3.77 | 2.21 |  3.46 | 1.91 | 3.84 | 4.46 | 3.09 | 2.79 | 3.93 | 2.48 | 3.04 | 1.79 | 4.16 | 2.30 | 4.11 | 3.18 | 1.40 | 3.73 | 3.57 |  3.87 |  3.09 | 3.35 | 2.68 | 3.44 | 3.86 | 2.77 |  3.15 |  3.13 | 4.20 | 2.02 |
|         1 | 3.06 | 2.91 | 3.88 | 4.66 | 4.11 |  3.62 | 3.65 | 3.91 | 4.12 | 3.68 | 4.02 | 2.57 |  3.58 | 2.14 | 4.04 | 4.77 | 3.77 | 2.62 | 4.23 | 3.26 | 3.92 | 1.75 | 4.39 | 2.34 | 4.43 | 3.43 | 1.37 | 4.00 | 3.63 |  4.08 |  3.16 | 4.19 | 2.93 | 3.77 | 4.16 | 2.94 |  3.27 |  3.36 | 4.45 | 1.96 |
|         2 | 3.26 | 3.23 | 4.06 | 4.77 | 4.13 |  3.67 | 3.93 | 4.06 | 4.28 | 3.90 | 4.18 | 2.57 |  3.81 | 2.83 | 4.17 | 4.96 | 3.74 | 2.67 | 4.50 | 2.93 | 3.83 | 2.04 | 4.58 | 2.38 | 4.77 | 3.62 | 1.39 | 4.24 | 3.75 |  4.29 |  2.77 | 4.29 | 3.08 | 4.05 | 4.45 | 3.17 |  3.45 |  3.62 | 4.74 | 1.83 |
|         3 | 3.59 | 3.72 | 4.36 | 4.84 | 4.16 |  3.75 | 4.12 | 4.19 | 4.37 | 4.07 | 4.31 | 2.49 |  4.05 | 3.12 | 4.36 | 5.13 | 3.48 | 2.84 | 4.71 | 2.84 | 3.46 | 2.18 | 4.74 | 2.46 | 4.27 | 3.72 | 1.43 | 4.45 | 3.91 |  4.45 |  2.80 | 4.09 | 3.05 | 4.15 | 4.68 | 3.24 |  3.83 |  3.82 | 4.97 | 1.87 |
|         4 | 3.62 | 3.15 | 4.53 | 5.02 | 4.24 |  3.81 | 4.35 | 4.39 | 4.38 | 4.21 | 4.44 | 2.52 |  4.29 | 2.94 | 4.51 | 5.28 | 3.58 | 2.99 | 4.89 | 2.90 | 3.39 | 2.09 | 4.89 | 2.99 | 4.21 | 3.78 | 1.48 | 4.63 | 3.99 |  4.59 |  2.68 | 4.09 | 3.03 | 4.23 | 4.84 | 3.29 |  3.73 |  4.16 | 5.18 | 2.02 |
|         5 | 3.90 | 2.85 | 4.70 | 5.19 | 4.31 |  3.89 | 4.56 | 4.60 | 4.11 | 4.28 | 4.53 | 2.46 |  4.53 | 2.94 | 4.68 | 5.44 | 3.69 | 3.16 | 5.02 | 2.98 | 3.39 | 2.04 | 5.02 | 3.06 | 4.24 | 3.88 | 1.52 | 4.75 | 4.10 |  4.72 |  2.53 | 4.27 | 3.08 | 4.37 | 5.02 | 3.32 |  3.57 |  4.39 | 5.42 | 2.15 |
|         6 | 3.51 | 2.61 | 4.79 | 5.20 | 4.47 |  3.99 | 4.75 | 4.80 | 4.04 | 4.34 | 4.60 | 2.33 |  4.73 | 2.90 | 4.76 | 5.59 | 3.78 | 3.28 | 5.11 | 3.07 | 3.43 | 2.01 | 5.11 | 3.19 | 4.28 | 3.99 | 1.58 | 4.89 | 4.13 |  4.79 |  2.50 | 4.41 | 3.13 | 4.52 | 5.19 | 3.39 |  3.55 |  4.61 | 5.67 | 1.98 |
|         7 | 3.31 | 2.48 | 4.86 | 5.29 | 4.71 |  4.11 | 4.95 | 5.05 | 4.11 | 4.36 | 4.69 | 2.32 |  5.03 | 2.88 | 4.84 | 5.82 | 3.82 | 3.35 | 5.21 | 3.16 | 3.49 | 2.06 | 5.23 | 3.37 | 4.35 | 4.10 | 1.78 | 5.04 | 4.18 |  4.89 |  2.57 | 4.50 | 3.25 | 4.69 | 5.43 | 3.48 |  3.63 |  4.87 | 5.91 | 1.93 |
|         8 | 3.38 | 2.54 | 4.94 | 5.48 | 5.01 |  4.31 | 5.26 | 5.35 | 4.30 | 4.50 | 4.94 | 2.49 |  5.36 | 2.95 | 5.01 | 6.12 | 3.94 | 3.47 | 5.35 | 3.49 | 3.70 | 2.22 | 5.44 | 3.60 | 4.47 | 4.22 | 2.01 | 5.29 | 4.42 |  5.05 |  2.75 | 4.68 | 3.47 | 4.92 | 5.76 | 3.64 |  3.89 |  5.16 | 6.22 | 2.17 |
|         9 | 3.68 | 2.71 | 5.04 | 5.77 | 5.44 |  4.57 | 5.68 | 5.74 | 4.65 | 4.74 | 5.35 | 2.77 |  5.69 | 3.12 | 5.25 | 6.51 | 4.15 | 3.74 | 5.60 | 4.06 | 4.04 | 2.51 | 5.74 | 3.83 | 4.72 | 4.41 | 2.30 | 5.61 | 4.76 |  5.32 |  3.06 | 4.95 | 3.73 | 5.28 | 6.15 | 3.91 |  4.23 |  5.45 | 6.69 | 2.54 |
