# variable: Momentary Wind Speed at 10m
# units: km/h
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |   19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |   30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 |  6.09 |  5.45 |  6.55 |  7.21 |  7.12 |  5.30 |  6.90 |  7.12 |  6.89 |  6.62 |  7.47 |  5.45 |  6.08 |  6.19 |  6.72 |  6.35 |  6.28 |  5.81 | 7.56 |  4.64 |  6.48 |  5.29 |  6.83 |  5.51 |  8.11 |  6.93 |  3.85 |  7.83 |  7.42 | 6.74 |  6.29 |  5.41 |  6.57 |  7.19 |  7.99 |  6.31 |  4.86 |  7.26 |  8.25 |  5.46 |
|         1 |  5.92 |  5.13 |  5.76 |  6.28 |  6.12 |  5.04 |  6.09 |  5.89 |  5.68 |  5.79 |  6.77 |  5.30 |  5.67 |  5.77 |  5.96 |  5.81 |  6.13 |  5.13 | 6.87 |  5.78 |  5.83 |  4.77 |  6.89 |  5.02 |  8.63 |  6.30 |  3.99 |  7.44 |  6.55 | 5.90 |  5.62 |  6.83 |  6.38 |  6.70 |  7.23 |  5.38 |  4.42 |  6.19 |  7.06 |  5.03 |
|         2 |  5.75 |  4.96 |  5.33 |  6.03 |  5.30 |  4.51 |  5.51 |  4.93 |  5.03 |  4.95 |  5.90 |  3.90 |  5.48 |  5.66 |  5.20 |  5.19 |  5.27 |  4.44 | 6.16 |  4.34 |  4.24 |  4.77 |  6.66 |  4.49 |  8.58 |  5.44 |  3.71 |  7.08 |  5.77 | 5.40 |  3.26 |  5.91 |  5.14 |  6.09 |  6.80 |  4.96 |  4.30 |  5.41 |  6.59 |  4.11 |
|         3 |  4.88 |  3.93 |  5.39 |  6.07 |  4.03 |  4.01 |  5.25 |  4.72 |  4.10 |  4.05 |  4.91 |  3.60 |  4.99 |  4.96 |  4.36 |  4.68 |  4.43 |  4.16 | 4.94 |  3.87 |  3.00 |  3.75 |  6.01 |  3.56 |  5.96 |  4.49 |  3.30 |  6.32 |  5.26 | 4.74 |  3.16 |  4.60 |  3.61 |  5.31 |  5.88 |  4.02 |  3.85 |  4.56 |  5.77 |  2.78 |
|         4 |  4.26 |  3.01 |  5.28 |  6.06 |  3.70 |  3.89 |  5.08 |  4.80 |  3.83 |  3.47 |  4.56 |  3.32 |  4.89 |  4.48 |  4.05 |  4.40 |  3.88 |  4.09 | 4.10 |  3.91 |  2.86 |  3.44 |  5.14 |  4.24 |  5.22 |  3.98 |  3.17 |  5.40 |  4.72 | 4.36 |  3.37 |  4.03 |  3.06 |  4.73 |  4.88 |  3.49 |  3.37 |  4.77 |  5.64 |  2.51 |
|         5 |  4.04 |  3.21 |  4.96 |  5.89 |  3.99 |  3.72 |  4.83 |  4.28 |  3.28 |  3.43 |  4.07 |  3.38 |  4.45 |  4.00 |  4.02 |  4.17 |  3.43 |  3.82 | 3.57 |  4.25 |  3.04 |  3.26 |  4.37 |  4.09 |  4.74 |  4.34 |  3.23 |  4.89 |  3.89 | 3.67 |  3.34 |  3.57 |  3.11 |  4.35 |  4.32 |  3.47 |  3.43 |  4.92 |  5.54 |  2.47 |
|         6 |  4.11 |  3.43 |  4.76 |  5.59 |  4.14 |  3.81 |  4.45 |  4.77 |  3.58 |  3.55 |  4.06 |  3.69 |  4.44 |  4.16 |  4.10 |  4.80 |  3.32 |  3.64 | 3.53 |  4.38 |  3.26 |  3.57 |  4.20 |  4.34 |  4.27 |  4.08 |  3.53 |  5.15 |  3.89 | 4.09 |  3.50 |  3.56 |  3.28 |  4.36 |  5.15 |  3.42 |  3.72 |  5.06 |  5.14 |  3.23 |
|         7 |  4.60 |  3.76 |  4.31 |  5.10 |  4.86 |  4.09 |  4.84 |  5.31 |  3.96 |  3.92 |  4.92 |  3.86 |  5.13 |  3.92 |  4.45 |  5.15 |  3.53 |  3.74 | 3.85 |  4.37 |  3.20 |  3.71 |  4.80 |  4.61 |  4.29 |  3.83 |  3.63 |  5.38 |  4.67 | 3.97 |  3.53 |  3.64 |  3.35 |  4.65 |  5.37 |  3.53 |  3.90 |  5.21 |  5.30 |  3.52 |
|         8 |  4.41 |  3.62 |  3.55 |  4.41 |  4.26 |  4.23 |  5.12 |  5.09 |  4.14 |  4.29 |  5.74 |  3.96 |  5.49 |  3.75 |  4.83 |  5.63 |  3.16 |  3.99 | 3.97 |  4.14 |  3.17 |  3.75 |  5.37 |  4.87 |  4.30 |  3.53 |  3.91 |  5.57 |  5.57 | 4.30 |  3.70 |  3.75 |  3.26 |  5.27 |  5.66 |  3.64 |  3.56 |  5.52 |  6.15 |  3.81 |
|         9 |  4.75 |  3.72 |  3.51 |  4.35 |  4.65 |  4.17 |  5.75 |  5.15 |  4.12 |  4.39 |  6.36 |  4.33 |  6.11 |  4.05 |  5.27 |  6.05 |  3.40 |  3.66 | 3.91 |  3.61 |  3.07 |  3.80 |  5.97 |  3.98 |  4.42 |  3.46 |  4.38 |  5.96 |  5.44 | 4.34 |  3.71 |  3.72 |  3.52 |  5.53 |  6.45 |  3.31 |  3.21 |  5.85 |  7.43 |  4.03 |
