# variable: Direct Downward Shortwave Radiation, Average of Time Interval before fcst_hour
# units: W/m^2
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |     7 |    8 |     9 |    10 |    11 |    12 |    13 |   14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |   25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |   33 |    34 |    35 |    36 |   37 |    38 |    39 |    40 |
|         1 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |
|         2 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |
|         3 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |
|         4 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |
|         5 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |
|         6 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |
|         7 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |     0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |    0 |     0 |     0 |     0 |
|         8 |  0.20 |  0.50 |  0.10 |  0.10 |     0 |  0.80 |  0.10 | 0.20 |  0.10 |  0.10 |  0.10 |  0.10 |  0.10 | 0.10 |     0 |  0.10 |  0.20 |  0.10 |  0.70 |     0 |     0 |  0.20 |     0 |  0.10 | 0.20 |  0.30 |     0 |  0.10 |  0.70 |  0.20 |  0.10 |     0 | 0.10 |  0.40 |     0 |     0 | 0.10 |  1.10 |  0.50 |  0.20 |
|         9 |  0.70 |  1.50 |     0 |  5.30 |     0 |  1.20 |  1.60 | 2.80 |  1.80 |  1.30 |  0.60 |     0 |     0 | 1.30 |  0.20 |  0.50 |  1.80 |  2.80 |  1.40 |  3.00 |  0.10 |  0.90 |  0.10 |  0.90 | 1.10 |  1.80 |  1.00 |  7.80 |  0.30 |  1.00 |     0 |  1.50 |    0 |  4.30 |  0.20 |  3.10 | 2.10 |  7.30 |  2.40 |  1.40 |
|        10 |  0.70 | 11.40 |  0.10 |  6.40 |     0 |  1.10 |  5.40 | 3.50 | 19.00 |  2.70 |  3.00 |  0.10 |  2.70 | 2.20 |  0.70 |  0.10 |  2.00 |  2.00 |  1.20 |  1.50 |     0 |  3.90 |  0.70 |  4.90 | 0.50 |  2.00 |  0.70 | 12.80 |  0.10 |  0.40 |  3.40 |  5.90 | 0.10 |  7.20 |  0.90 |  0.90 | 6.50 |  5.70 |  0.40 |  7.50 |
