# variable: Temperature at 2m
# units: degree celsius
# 
| fcst_hour |    1 |    2 |    3 |     4 |     5 |    6 |    7 |     8 |     9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |    18 |   19 |   20 |   21 |    22 |   23 |   24 |   25 |   26 |    27 |   28 |   29 |   30 |   31 |    32 |    33 |   34 |    35 |    36 |    37 |    38 |   39 |   40 |
|         0 | 5.50 | 5.04 | 6.45 |  6.90 |  5.92 | 5.58 | 6.52 |  6.55 |  5.73 | 6.62 | 6.74 | 5.95 | 5.86 | 4.86 | 6.29 | 6.94 | 5.48 |  6.00 | 7.15 | 5.84 | 5.12 |  4.80 | 6.84 | 6.69 | 5.50 | 6.58 |  5.60 | 6.51 | 6.71 | 6.16 | 5.92 |  5.77 |  5.11 | 7.11 |  6.93 |  5.35 |  5.38 |  5.82 | 6.98 | 5.77 |
|         1 | 5.45 | 4.94 | 6.28 |  6.93 |  5.93 | 5.55 | 6.32 |  6.34 |  5.46 | 6.55 | 6.55 | 5.57 | 5.69 | 4.65 | 6.11 | 6.88 | 5.36 |  5.93 | 6.81 | 5.57 | 4.86 |  4.32 | 6.62 | 6.54 | 5.34 | 6.17 |  5.53 | 6.38 | 6.41 | 6.09 | 5.89 |  5.57 |  4.93 | 6.83 |  6.90 |  4.95 |  5.29 |  5.58 | 6.77 | 5.60 |
|         2 | 5.15 | 4.59 | 6.05 |  6.76 |  5.88 | 5.50 | 6.17 |  6.03 |  5.18 | 6.42 | 6.26 | 5.37 | 5.17 | 4.16 | 5.92 | 6.79 | 4.89 |  5.93 | 6.48 | 5.22 | 4.90 |  4.23 | 6.28 | 6.29 | 5.11 | 6.00 |  5.53 | 6.11 | 6.03 | 5.97 | 5.60 |  5.46 |  4.82 | 6.60 |  6.57 |  4.87 |  5.18 |  5.26 | 6.51 | 5.20 |
|         3 | 4.79 | 4.32 | 5.55 |  6.51 |  5.56 | 5.40 | 5.94 |  5.63 |  5.08 | 6.17 | 5.88 | 5.18 | 4.66 | 3.49 | 5.97 | 6.69 | 4.55 |  5.82 | 6.40 | 4.97 | 4.68 |  3.91 | 5.80 | 5.65 | 4.82 | 5.95 |  5.43 | 5.89 | 5.72 | 5.59 | 5.44 |  5.10 |  4.68 | 6.08 |  6.35 |  4.94 |  4.85 |  5.06 | 6.13 | 4.66 |
|         4 | 4.83 | 4.15 | 5.00 |  6.38 |  5.37 | 5.29 | 5.78 |  5.32 |  4.89 | 6.04 | 5.74 | 4.98 | 4.59 | 2.98 | 5.94 | 6.68 | 4.29 |  5.60 | 6.43 | 4.78 | 4.46 |  3.67 | 5.56 | 5.47 | 4.80 | 5.93 |  5.06 | 5.81 | 5.48 | 4.97 | 5.22 |  4.65 |  4.21 | 5.50 |  6.31 |  4.84 |  4.73 |  5.01 | 5.81 | 4.20 |
|         5 | 4.81 | 4.00 | 4.83 |  6.17 |  5.13 | 5.01 | 5.68 |  4.98 |  4.65 | 5.88 | 5.65 | 4.83 | 4.51 | 2.62 | 5.91 | 6.60 | 4.16 |  5.18 | 6.33 | 4.63 | 4.44 |  3.67 | 5.43 | 5.53 | 4.71 | 5.93 |  4.27 | 5.78 | 5.33 | 4.65 | 5.20 |  4.48 |  3.88 | 5.36 |  6.20 |  4.60 |  4.53 |  4.87 | 5.82 | 4.05 |
|         6 | 4.63 | 3.97 | 4.79 |  5.91 |  5.00 | 4.63 | 5.51 |  4.77 |  4.21 | 5.42 | 5.57 | 4.80 | 4.04 | 2.50 | 5.89 | 6.32 | 4.07 |  4.76 | 6.16 | 4.64 | 4.46 |  3.55 | 5.20 | 5.52 | 4.59 | 5.85 |  4.17 | 5.70 | 5.24 | 4.53 | 5.14 |  4.46 |  3.81 | 5.35 |  6.06 |  4.57 |  4.34 |  4.76 | 5.71 | 4.26 |
|         7 | 4.16 | 3.89 | 4.77 |  5.83 |  4.80 | 4.58 | 5.32 |  4.45 |  3.94 | 5.10 | 5.48 | 4.59 | 3.65 | 2.19 | 5.86 | 5.87 | 4.04 |  4.74 | 5.63 | 4.55 | 4.36 |  3.46 | 4.79 | 5.49 | 4.47 | 5.72 |  4.06 | 5.47 | 4.97 | 4.42 | 4.92 |  4.38 |  3.55 | 5.27 |  5.91 |  4.66 |  4.18 |  4.58 | 5.49 | 4.39 |
|         8 | 4.12 | 4.07 | 4.81 |  5.73 |  4.76 | 4.66 | 5.39 |  4.54 |  4.24 | 5.09 | 5.41 | 4.50 | 4.00 | 2.43 | 5.78 | 5.72 | 4.09 |  4.65 | 5.30 | 4.53 | 4.43 |  3.51 | 4.67 | 5.50 | 4.31 | 5.65 |  3.90 | 5.47 | 5.05 | 4.36 | 4.84 |  4.46 |  3.55 | 5.30 |  5.81 |  4.77 |  4.24 |  4.35 | 5.24 | 4.56 |
|         9 | 4.62 | 4.37 | 4.89 |  6.09 |  5.02 | 5.05 | 5.79 |  4.95 |  4.97 | 5.36 | 5.49 | 4.93 | 4.56 | 3.27 | 5.91 | 5.89 | 4.52 |  4.93 | 5.60 | 4.89 | 4.88 |  3.98 | 4.74 | 5.58 | 4.75 | 5.69 |  4.18 | 5.77 | 5.21 | 4.76 | 5.00 |  4.70 |  3.94 | 5.50 |  5.87 |  5.24 |  4.99 |  4.65 | 5.63 | 5.27 |
|        10 | 5.16 | 5.13 | 5.11 |  6.49 |  5.64 | 5.73 | 6.31 |  5.45 |  5.90 | 5.70 | 5.76 | 5.62 | 5.31 | 4.08 | 6.03 | 6.33 | 5.26 |  5.75 | 5.81 | 5.44 | 5.34 |  4.69 | 5.17 | 5.88 | 5.34 | 5.95 |  4.46 | 6.22 | 5.55 | 5.17 | 5.40 |  5.24 |  4.48 | 5.96 |  6.14 |  5.73 |  5.74 |  5.21 | 6.05 | 5.90 |
