# variable: Temperature at 850hPa
# units: degree celsius
# 
| fcst_hour |     1 |     2 |     3 |     4 |     5 |     6 |      7 |     8 |     9 |    10 |    11 |    12 |    13 |    14 |    15 |    16 |    17 |    18 |    19 |    20 |    21 |    22 |    23 |    24 |    25 |    26 |    27 |    28 |    29 |    30 |    31 |    32 |    33 |    34 |    35 |    36 |    37 |    38 |    39 |    40 |
|         0 | -2.42 | -2.40 | -1.73 | -2.24 | -1.94 | -0.94 |  -1.82 | -2.24 | -2.21 | -1.79 | -3.09 | -2.28 | -1.66 | -2.34 | -2.87 | -2.08 | -2.10 | -0.83 | -2.11 | -1.47 | -2.35 | -1.52 | -1.77 | -2.03 | -2.64 | -2.03 | -0.97 | -2.14 | -2.10 | -1.42 | -2.35 | -2.23 | -2.11 | -1.72 | -2.51 | -2.22 | -2.22 | -2.07 | -1.88 | -2.42 |
|         1 | -2.62 | -2.59 | -1.69 | -2.31 | -0.65 | -0.87 |  -1.72 | -2.49 | -2.43 | -2.02 | -3.09 | -2.08 | -1.93 | -2.33 | -3.04 | -1.83 | -2.28 | -0.73 | -2.34 | -1.87 | -2.31 | -1.57 | -1.99 | -2.40 | -2.94 | -2.13 | -1.12 | -2.30 | -2.31 | -1.47 | -2.40 | -2.22 | -2.16 | -1.79 | -2.92 | -2.28 | -2.46 | -2.38 | -1.94 | -2.07 |
|         2 | -2.58 | -2.75 | -1.94 | -2.45 |  0.11 | -0.68 |  -1.48 | -2.26 | -1.58 | -2.35 | -3.01 | -0.88 | -1.04 | -1.71 | -2.92 | -0.71 | -2.27 | -0.96 | -1.04 | -1.22 | -2.27 | -1.41 | -2.13 | -2.84 | -3.46 | -0.39 | -1.35 | -2.14 | -2.42 | -1.83 | -2.16 | -2.48 | -2.25 | -1.92 | -2.15 | -1.95 | -2.64 | -2.45 | -1.94 | -1.54 |
|         3 | -1.43 | -1.83 | -2.03 | -2.47 | -0.08 | -0.49 |  -1.72 | -1.37 | -0.59 | -1.64 | -2.09 | -0.38 | -0.58 | -0.62 | -1.10 | -0.19 | -1.34 | -1.22 |  0.37 | -0.32 | -0.92 | -1.13 | -1.60 | -2.14 | -2.29 |  0.01 | -1.74 | -0.96 | -1.75 | -1.75 | -1.34 | -2.35 | -2.26 | -1.86 | -0.63 | -1.18 | -2.49 | -1.45 | -1.50 | -1.57 |
|         4 | -0.06 | -0.86 | -2.03 | -2.48 | -0.28 | -0.05 |  -2.12 | -0.49 | -0.44 | -0.08 | -0.66 | -0.48 |  0.44 | -0.45 | -0.22 |  0.06 | -0.48 | -1.41 |  0.47 | -0.19 |  0.82 | -0.98 | -0.64 | -0.18 | -0.92 |  0.05 | -1.84 | -0.69 | -0.63 | -1.09 | -0.98 | -1.61 | -1.32 | -1.38 | -0.25 | -0.47 | -2.00 | -0.59 | -0.65 | -1.96 |
|         5 |  0.62 | -0.95 | -2.21 | -1.92 | -0.18 |  1.07 |  -2.02 |  0.34 | -0.28 |  0.68 | -0.07 | -0.86 |  1.20 | -0.28 |  0.15 | -0.03 | -0.84 | -1.21 |  0.57 |  0.11 |  1.50 | -0.46 | -0.40 |  0.01 | -0.36 | -0.02 | -0.30 | -1.14 | -0.58 | -0.68 |  0.24 | -1.11 | -0.47 | -1.61 | -0.52 | -0.52 | -1.68 | -0.15 |  0.22 | -0.49 |
|         6 | -0.44 | -1.02 | -1.71 | -1.12 | -1.02 |  1.23 |  -2.29 |  0.67 |  0.12 |  0.82 | -0.52 | -0.88 | -0.51 |  1.06 |  0.01 | -0.32 | -1.06 | -0.03 |  0.22 | -0.21 |  0.75 | -0.14 | -0.76 | -0.21 | -0.34 | -0.76 |  0.89 | -1.53 | -0.81 |  0.09 |  0.64 | -0.75 | -0.03 | -2.06 | -0.45 | -0.85 | -1.44 |     0 |  0.73 |  0.55 |
|         7 | -1.45 | -1.36 | -1.20 | -1.56 | -2.21 |  1.06 |  -2.37 |  0.54 | -0.20 |  0.05 | -0.67 | -1.14 | -1.37 |  0.42 | -0.33 | -0.49 | -1.91 |  0.33 | -0.49 | -1.37 | -0.13 | -0.82 | -2.23 | -1.00 | -0.77 | -1.64 |  0.71 | -1.96 | -1.33 | -0.61 | -0.02 | -0.65 | -0.15 | -2.34 | -0.65 | -1.43 | -1.74 | -0.74 |  0.11 | -0.45 |
|         8 | -0.86 | -1.90 | -1.22 | -2.12 | -3.20 |  0.34 |  -2.47 | -0.14 | -1.89 | -0.60 | -1.60 | -1.62 | -2.28 | -1.03 | -1.06 | -0.94 | -2.78 | -0.21 | -0.46 | -1.84 |  0.58 | -1.61 | -1.95 | -1.82 | -0.87 | -1.52 | -0.61 | -1.82 | -1.79 | -1.74 | -1.45 | -1.58 | -1.30 | -2.11 | -1.32 | -1.43 | -2.09 | -1.40 | -0.35 | -0.41 |
|         9 | -0.77 | -2.39 | -2.45 | -2.52 | -3.20 | -0.02 |  -3.08 | -0.76 | -1.64 | -1.66 | -1.92 | -2.42 | -1.90 | -2.97 | -1.80 | -0.53 | -2.88 | -1.33 | -0.56 | -2.47 |  0.52 | -1.04 | -2.14 | -2.32 | -1.23 | -2.48 | -0.65 | -2.32 | -2.10 | -2.40 | -0.94 | -2.54 | -2.30 | -1.16 | -2.25 | -1.76 | -2.59 | -1.86 | -0.69 | -0.63 |
